nauni: hnit
paucal-idadi: plom
kwa-sababu: hyok
causal-kesi: ksak
jambo: hkis
kuweka: swat
jina: hnem
sahihi-noun: hran
hortative: hrat
nchi: hlit
aliuliza: hput
inayoonekana-evidential: crit
bora: pcac
upande: psac
Bila-shaka: hkus
kike: hfin
kutosha: kyat
haraka: hpuc
kamili: hcun
chumba: hfac
karibu: hlap
hawawezi: nyat
maji: hwik
desiderative-mood: hdin
mwanga: lyak
wala: hnun
neno: slat
mlango: tyan
matumizi: hpus
asubuhi: hsap
terminative-kesi: twik
nguvu: hkuk
wenyewe: hmis
sasa: hyin
sauti: hwas
nyeupe: hpis
fedha: tlan
ijayo: kyak
maskini: hyis
kifo: hmut
fomu: hfam
inessive-kesi: nwik
aina: tyac
mara-nyingi: tsan
mwaka: nwan
rafiki: myat
ili: hyut
muhimu-mood: hpim
pande-zote: hcut
kuamini: hban
umma: hpin
hali-mazingira: hsas
mwana: psat
mia: hmas
watoto: hcis
hivyo: tyak
matumaini: hcap
juu: hyip
wapenzi: pyin
kusoma: pyac
mji: hsic
tayari: hpic
ukweli: hfat
factive-evidential: hfit
kusikia: hsun
angalau: hmim
labda: pyat
wazi: kcat
mwili: tcic
hewa: cwac
asili: nyit
kusaidia: mlat
barua: lyat
nne: ksat
optative-mood: hpam
moto: hfak
Kwa-hiyo: hyif
saa: hcam
bure: tyit
vita: syat
iwapo: hsaf
sababu: kyan
umoja: hnut
wito: hkuc
kwa-nini: hwam
waliopotea: hkut
elfu: tsas
familia: hfic
nafsi: twam
swali: swac
huduma: kcan
realis-mood: hlin
maana: mwit
uwezo-mood: hten
kuelekea: cyan
allative-kesi: lwik
anthropic-jinsia: hrin
short: kyut
uwezo: hyuk
kuishi: hkip
somo: hsek
sawa-somo-marker: hcek
tofauti-somo: hfek
jibu: tsat
bahari: mwat
hofu: hcoc
kuelewa: pcat
ngumu: kyin
suala: tyut
shaka: hdac
dubitative-mood: twin
kuuliza: psan
silaha: tcas
nyeusi: clis
kuleta: tyat
nzuri: ksis
giza: tcak
kushikilia: psak
kumi: htaf
show: pyan
hadithi: hkif
kawaida: kwan
kitabu: hkup
umeme: lyin
majadiliano: plak
alama: myac
maslahi: nyis
kuandika: kcit
kitanda: pwat
muhimu: syis
wazo: hwis
sanaa: klat
vialis-kesi: hlas
kaka: pyak
wakati-mwingine: ksas
mstari: lyan
meza: tlas
mto: nwit
jicho: kyac
maelezo: fyin
ghafla: tfan
ajabu: hgan
kina: ksan
mabadiliko: hrit
hisia: nwac
kukutana: mlit
madhumuni: htuc
furaha: hcuc
kuonekana: syit
damu: cyac
kufufuka: kwas
kusini: swan
baridi: tlat
mbele: myik
nafasi: psis
marehemu: tyam
kusimama: syan
kudhani: nlas
binti: pyit
yangu: myan
kukata: hkim
nakala: hfap
mume: hgat
sita: hlis
kumbuka: twat
athari: hyaf
kuanguka: htuk
isipokuwa: hsip
nywele: hpaf
kupita: pyas
hati-miliki: pcit
jeshi: cyit
kukimbia: kcak
farasi: kcas
baadaye: hwic
magharibi: pcak
kulipa: plit
nyekundu: hyun
dhahabu: tcun
hamu: hdan
kucheza: plin
bwana: mwas
ofisi: hfus
serikali: syak
kanisa: kyas
urefu: hlen
kampuni: ksin
karatasi: kyis
uwezekano: hbin
hasa: cyas
kubeba: pcas
dirisha: cyak
makubaliano: hgac
uzuri: syac
wajibu: tfac
kutuma: fyan
umbali: htif
ukimya: slan
mguu: fyat
porini: kyik
kufa: myam
kuokoa: pfan
kijani: kcin
shida: mlan
tabasamu: myak
vibaya: clat
mbalimbali: pcin
usingizi: slit
quotative-kesi: kwik
mwanzo: cwan
hatua: kfan
ziara: fwat
kufuata: nlan
kujaribu: tcis
uwepo: psit
tamu: tlit
tajiri: tcin
adui: tcam
meli: hcip
hali: kyit
Ikiwa-ni-pamoja na: hkum
umoja-mtu: hlon
siri: kwit
precative-mood: pwim
polite-kusajili: hbit
mabaya: pwac
maandamano: myas
chochote: kwac
kukaa: hlam
badala: plat
bluu: plan
haiwezekani: psap
shule: hsuk
tukio: ksac
ndoa: nwat
chakula: hcuk
ishirini: tsis
utulivu: tcit
urahisi: hnis
wanaotazamiwa-kipengele: hrap
lugha: lyac
kujieleza: syas
wiki: hsus
ukumbi: hcum
hatari: kcic
mali: myit
aliyezaliwa: nyan
mahakama: kcut
ujumla: tyap
gnomic-kipengele: hmip
thamani: tyas
rahisi: syap
mti: pyic
mapambano: pyap
ukuta: twit
mbinguni: cwak
inchoative-kipengele: htip
jussive-mood: hjin
tone: twun
kujali: klan
inatarajiwa: pcik
mwezi: hmaf
uzoefu: nyap
kabisa: nyac
safi: tsac
duke: hnuk
kufunikwa: kwak
amefungwa: hyim
mashariki: tyuk
jiwe: pwan
kiasi-fulani: kfat
mwelekeo: tlac
kiti: kwis
msaada: syut
tarehe: tyic
kijiji: klac
uwanja: clit
ruhusa: nwin
permissive-mood: hmom
mafanikio: slak
sahihi: hric
kilima: clin
muziki: ksik
distal-demonstrative: hdat
alasiri: htup
kilio: hyuc
heshima: hnaf
saba: swit
binafsi: pfat
habari: nwas
eneo-la-tukio: slac
bustani: cyam
mbio: htus
distributive-kesi: twak
kujifunza: clan
kisiasa: syik
uongo: kcun
kutupwa: tsak
kula: kcam
sakafu: hlaf
mgonjwa: pwin
awali: mlin
majira: kyam
dini: tlam
picha: ksit
kutoroka: plap
mwandishi: hlut
brown: pyun
kuamua: htem
maumivu: hdon
spring: psin
karne: syic
laini: mwan
kona: kyun
kuzalisha: psas
kicheko: cyaf
kusahau: flat
Ulaya: hyup
nane: lwat
mavazi: lwac
kutisha: cyap
pumzi: syaf
busara: hbas
kutochukua-marker: srak
kumbukumbu: myin
kisasa: fwan
doa: tcap
kupanda: hyus
mapumziko: pyik
hamsini: hfis
kisiwa: tlap
kugusa: hsuc
ahadi: pcam
commissive-mood: mwin
shahada: tfat
mpango: plac
mwenendo: nyak
mshangao: cran
dakika: hmun
risasi: hwut
mbaya: pcap
kioo: klak
mfano: tlin
salama: hsif
daktari: tsit
completive-kipengele: hmep
mara-kwa-mara: tyun
kijeshi: slin
joto: nyam
kunywa: pfin
maswali: pcaf
hasira: nran
moja-kwa-moja: tyik
kofia: hcup
mbwa: kwap
mtumishi: hnuc
kiburi: hram
umati: tcuc
treni: nyin
maadili: myut
kuhusishwa: kyim
kuingia: fyak
utawala: nyas
upanga: cwat
mashambulizi: kfak
afya: clac
aya: pyaf
kijamii: hsum
refund: tfit
pole: hpec
ujasiri: krac
neema: hnen
rasmi: hfaf
zinazotolewa: tsik
ombi: pwit
mtazamo: klas
harakati: hyon
kutarajia: cwit
kinyume: psam
kumi-na-mbili: tyaf
wanaohusika: nyut
mvinyo: hwun
ladha: swut
chuma: fyac
kusambaza: syin
biashara: myap
faida: twac
nguo: kfip
hakimu: fwak
tofauti: tfaf
wasiwasi: kcis
nahodha: kwin
kumaliza: nlat
kukoma-kipengele: hsep
curious: kyic
kigeni: kwic
intensifier: hnif
umuhimu: myun
hatimaye: hfim
muswada: fwin
kuthibitisha: hpuk
kuzuia: flan
shingo: cyun
kisheria: hfik
kavu: swak
kutumikia: syam
kupoteza: pcut
ushahidi: pyut
evidential-kesi: hdak
maendeleo: pyis
jengo: klit
search: syuc
kusikitisha: hrac
dhambi: psip
thelathini: tfis
waaminifu: tsin
kufunga: kyap
benki: pcun
hatma: cyik
msitu: hfun
kupima: mlac
vinginevyo: htoc
mkondo: lyam
mkate: hpup
ziada: tfak
kuchagua: twas
wanyama: nwam
Zoic-jinsia: hzin
eventive-mood: hwim
sawa-tukio-marker: hcom
multiplicative-kesi: tlak
nene: hmus
kiumbe: hyum
mvua: myic
uso: pfas
takatifu: swis
Julai: clim
ripoti-hiyo: hfut
pwani: pwas
faili: hfif
bega: cwut
kushangaa: kran
kifalme: klik
wimbo: hkuf
faraja: kfaf
mtu-yeyote: nyic
nyasi: kcap
kuteka: cwik
ufunguzi: cyic
Juni: cwun
samaki: mlic
mji-mkuu: klin
matiti: cyut
theluji: hcif
elimu: tlik
mkali: tcaf
huruma: hdam
gharama: fyas
lenu: hmuc
milioni: mlun
uchovu: tcik
kuua: ksam
kivuli: cwap
uzito: plas
wingi: mlas
imara: tlip
jasiri: pyam
nyembamba: plic
kuridhika: srat
kuangalia: kcik
wema: hdet
kitaifa: nyaf
Mungu: swin
bonde: clak
nadhani: kwam
mapema-mno-mood: hken
njano: clas
mabaki: mwac
bent: nlac
sanduku: pwak
msimu: tsim
sayansi: slas
kuzaa: kcuc
mjomba: hmuk
orodha: lyit
Agosti: ksut
maarufu: hlup
haijulikani: fyit
ukoo: flak
ukoo-kusajili: krit
msomaji: tsut
mbinu: pcuc
mara-mbili: tsap
akili: tfik
kweli: tsam
kuhani: pcis
waliojeruhiwa: fran
huzuni: hpom
ikulu: kfas
kuwapiga: clap
eh?: hnec
kumdanganya: myuk
makali: pfac
tisa: nwun
kupasuka: psut
kuteseka: tfas
kelele: hcus
fasihi: lyic
ushauri: swas
tupu: kcuk
cheo: psik
dhoruba: tcut
mfukoni: kyip
mawazo: nlin
hukumu: cwas
Novemba: nwap
Desemba: tsip
kukosekana: psic
kuwashukuru: ryak
anuani: tyis
ndege: pyuc
mmiliki: mlik
kanzu: kwut
kuandaa: tyip
mahusiano: lwan
moshi: htum
Januari: nwak
mashine: clic
yaliyomo: nyik
meno: tlis
aibu: hcet
bay: kcaf
ubongo: pyuk
pete: klic
maneno-marker: frak
mraba: ksap
matunda: fyut
chai: tsic
kueleza: slam
kuwakaribisha: cwam
mashairi: pwis
kununua: klam
mwaminifu: hdic
msisimko: hcen
arobaini: klis
Aprili: pyip
kindly: kfit
Oktoba: kfap
uchungu: kyuc
mtumwa: tlaf
huru: hluk
Nakala: tsus
mikopo: cyip
kumi-na-tano: pfit
kikatili: kcim
kujiunga: cluc
mchakato: hpif
uhalifu: kyaf
vumbi: tsuc
vitendo: plik
rangi: nlak
kuharibu: nyuc
Ongeza: lyas
pua: hnus
kukubali: tyim
jana: kfac
hesternal-uliopo: tlen
kushindwa: slap
kuendelea: tcim
kuvaa: pwam
kipofu: nlit
kadhaa: tsun
kuruka: fyap
sifa: cwin
shetani: cwaf
hatua-kwa-hatua: twic
sadaka: kyif
zoezi: cyis
dhamiri: tfin
nadharia: tlic
waziri: myis
chuki: hnet
ziwa: cwic
kituo-cha: syun
kukata-tamaa: pfic
mantiki-jinsia: hron
makini: fwac
kufurahia: nlam
ibada: pwap
bidhaa: twap
ngozi: twaf
paa: tlut
taji: gyan
ngome: klap
kiti-cha-enzi: tcus
masharti: nlaf
maili: mlim
uliokithiri: krim
gerezani: fyis
kikombe: kcip
mwanachama: mlam
kiraia: syim
kila-mahali: tsaf
dhahiri: tfic
wanandoa: pwaf
kiasi: clam
desturi: ksaf
upinde: ksun
suti: slut
nyama: mwak
maziwa: hluc
vegetal-jinsia: hwen
maono: slic
nadra: nlap
binamu: ksic
daraja: pwut
kulinda: pfak
chumvi: swam
wasio-na-hatia: hwus
malkia: kwim
kuhesabu: kcus
udadisi: hras
ngoma: tyus
hoteli: clut
kujaza: flin
mfungwa: psun
duka: hjan
ngazi: sric
naomba: hmen
mchanga: sran
vurugu: hgit
Septemba: hsem
kuondoka: prac
uharibifu: crin
ujuzi: krin
ng'ombe: hwec
vifaa-vya: hwip
jikoni: hkon
kuuza: hbak
kasi: hsot
hitimisho: clon
kompyuta: hkot
milele: hsen
mdogo: mrit
maktaba: hbek
msingi: hbac
mkanganyiko: hrun
tukufu: cris
vivyo-hivyo: hjic
kutishika: hbic
ole: prin
makala: hrek
mpishi: kfin
band: hbat
jangwa: hget
busu: hbun
mpira: hbot
fimbo: hpot
hoja: hrut
kuchunguza: nrak
baraka-mood: hbim
fora: hrim
hatia: hdis
gun: hgin
polisi: plis
kujificha: hzan
msafara: srin
wajinga: nrin
ukarimu: drac
wingu: blan
taka: htek
Februari: frif
ugonjwa: hren
kutumia: bwan
chanzo: sron
mpango-kesi: hnok
shangazi: hbam
kuchelewa: dlic
kuchelewa-muhimu: hlip
taarifa-evidential: prat
usiku-wa-manane: dyit
shujaa: nrac
falsafa: hfof
kidole: hjit
vizuri: hzat
mahali-fulani: hmoc
vyombo-vya-habari: bran
wafanyakazi: hraf
zawadi: rwan
lawama: dlac
taabu: krat
paji-la-uso: htec
tangazo: glan
angel: htet
umoja-idadi: hgam
alfajiri: hbon
kibiashara: krak
kusamehe: pran
kondoo: hcec
uvumilivu: hpen
shamba: crac
rejea: hrec
mahindi: mran
ufunguo: kcif
wengi: hmot
udhaifu: hdut
anga: traf
sigh: tcoc
ubinadamu: mlis
upinzani: pric
disk: hdik
upweke: hket
msanii: nrat
knight: cwis
charm: tran
uamuzi: drin
gavana: gran
tawi: rwac
disposition: hsoc
shauku: tsum
kufata-mood: hdum
jamii: hmum
mafuta: hyen
bomba: hbap
magazeti: trat
oh: dyoc
mjadala-mazingira: hros
vocative-kesi: hwok
cabin: ksen
kengele: plam
neva: hnes
kudumu: hset
kisu: ksuk
hariri: slik
dharau: grin
kuzimu: nrik
kutengwa: plen
umakini: mrat
mchanganyiko: mrik
mbao: mrak
kupendelea: hpet
onyo: trin
mawaidha-mood: htom
msukumo: hmos
tamaa: mrac
kukataa: hnek
katiba: swic
chombo: srit
kuendelea-kipengele: hnip
tide: hgas
chuo: klen
mkia: hkek
kizazi: nric
paka: blat
moja-kwa-moja evidential: hret
kutelekezwa: trac
kumi-na-moja: hyec
Instinct: nlik
tabia: trit
kabila: hgik
apprehensive-mood: pcim
makazi: crat
rude: hruc
wanaoendesha: hris
kuitingisha: hmon
sekta: hdot
taaluma: hres
taa: hdap
kahawa: kfif
kutii: htot
kaskazini: nrit
muuguzi: nris
kuwahakikishia: hjat
mlolongo: ryin
mafundisho: cric
viatu: hgut
yadi: mram
hazieleweki: hmec
mahali-pengine: hlet
ghorofa: pret
shughuli: twot
Jumamosi: cram
mwanga-wa-jua: hduc
mjane: hwuc
kipengele: hlem
tafakari: hfen
shirika: hgis
nyota: tram
tukio-hilo: hgon
mgeni: hgip
bar: brap
chupa: hbet
awabariki: blak
koroga: crak
ndani: trik
kurekebisha: krik
unatokana: prit
mashimo: hcot
jimbo: hpos
ustaarabu: srac
hutegemea: hgak
mshtuko: crok
ubaguzi: swap
mzigo: tren
kiwango-cha: ryan
kuendesha-gari: dran
kuondoa: hruk
kuapa: kses
hazina: zran
mbegu: hbis
mnara: tras
favorite: fwit
hivi-karibuni: hcem
hivi-karibuni-siku za nyuma uliopo: hrot
ari: srik
samani: mrin
kamba: hkos
adventure: hdas
mrahaba: ryit
sikukuu: dyat
kuelezea: dras
sitini: hses
wadogo: hkem
sherehe: srec
uwindaji: clik
whisper: psus
kwa-kiasi-kikubwa: ryat
ukristo: ksim
Mwanasheria: hwif
undani: drit
princess: hrus
madhabahuni: dlat
mtandao: hwes
zambarau: brin
kukusanya: hkoc
uchaguzi: hben
mimba: kren
mlevi: crik
kumwaga: brac
kuinua: hlif
ishara: hjis
kusimamia: rwin
kubadilishana: tcen
uhakika-makala: hdek
Kaizari: mras
kijijini: hroc
ugly: clup
wapole: cras
roll: hrof
inch: nlic
gazeti: grat
ndevu: dric
machozi: srim
tume: kson
ilhali: grak
kuvuka: kcoc
uhuru: htes
harufu: hwon
kumi-na-nane: hdec
kihistoria: tris
pato-la: krut
mzizi: hrok
matope: hbik
bibi: dlan
pazia: pras
ukumbi-wa-michezo: tret
kulinganisha: kras
mpinzani: rwis
usawa: slen
kocha: kron
ucheshi: hnum
riwaya: rwas
kisasi: hbaf
wivu: ryut
gurudumu: hlok
kuteketezwa: glat
flash: flac
kujenga: hkec
migogoro: hnot
laana: hlos
imprecatory-mood: pram
wanyonge: hces
chanya: hzit
klabu: klup
mafuriko: nras
nafaka: gwan
kutojali: hdun
upeo-wa-macho: crim
assumptive-mood: hsom
mwinuko: htop
maelewano: mron
radi: hgot
utoto: htok
goti: hgun
programu: pwen
kuumia: kram
kupokea: ryis
kuwawezesha: nlim
protasis: hpoc
kuingizwa: slok
mapinduzi: hrif
mkulima: hjim
kiharusi: trak
jukwaa: hpof
mjumbe: hmes
upendeleo: hpek
iliyoandaliwa: hyot
mwanafunzi: clen
pango: hgec
mila: rwat
janga: tses
kuaga: hjap
kukosolewa: ryik
pamba: krap
hospitali: slot
kodi: kris
gesi: hges
kuepukika: pwic
mauti: hgim
jani: glit
uchapishaji: plun
uhasama: tsup
tafsiri: dwan
mazishi: jran
unga: mrun
mawasiliano: ryon
kimapenzi: hrom
kibanda: clun
kupendekeza: psot
mimetic: hmet
dola: dlon
mchana: hjac
kumi-na-sita: hsos
mkutano: hzac
koloni: klon
mrengo: gyin
simba: hles
utamaduni: klut
safu: hkom
ujanja: glak
mchezo-wa-kuigiza: dram
utani: hjuc
ukungu: hdus
dawa: dwas
kumi-na-nne: hkes
acid: sram
yaani: hyet
mapato: hmok
askofu: hbip
machungwa: tron
umwagaji: byan
primitive: rwit
kikapu: ksek
katibu: sris
majani: prak
papara: pfif
wokovu: slon
hodiernal-uliopo: dlin
nia: zrin
mvuke: tcip
sumu: hwoc
vipaji: tlon
hali-ya-hewa: lwim
ufanisi: fric
kutofautisha: tcif
osha: dwac
kukiri: kfis
yasiyo-na-msingi: hjas
makaa-ya-mawe: kyon
mtumbwi: kwon
muda: tric
delimitative-kipengele: hdip
mfupa: hcos
Jumatatu: nwic
Jumanne: glac
Jumatano: bwac
shirikisho: frin
kuhitajika: hzic
mwakilishi: ryic
sanda: lwin
kuzama: swuk
mpwa: bwin
umwagaji-damu: kric
kuzingirwa: cren
tumbo: hpem
shaba: pcon
mkutano-wa-kilele: hzik
tano: pfik
nafuu: brat
kipekee-mtu: kwen
kumtia: zrat
uzio: hzas
sanamu: tfam
artillery: tlep
kukumbatia: mrap
jirani: sren
madhubuti: srot
kulungu: hluf
kichaka: hbuc
reli: hrep
kutokwa: hduk
mrithi: mris
mwaloni: blun
unpleasant: pren
uvumbuzi: hgic
piano: pyon
kuwashawishi: swen
asiyeonekana: gric
vizuri-inayojulikana: ryun
ukatili: kluk
majaribu: hyoc
telic-kipengele: hlep
kiuchumi: kfik
kimataifa: troc
kuingilia-kati: tcek
mwanafalsafa: flif
kifahari: gyit
ustawi: kyen
uvuvi: mlak
kuiba: truc
mdomo: hloc
kustaafu: ryac
kunyoosha: sras
nyumba-ya-sanaa: glen
sambamba: zlan
atelic-kipengele: htep
bara: trap
kikwazo-mood: nrim
tai: dwat
kiini: slep
yai: dyan
bandia: jrat
wakati-huo-huo: nwis
mgogoro: ksot
polite: sloc
chakula-cha-mchana: lyon
pine: pwon
kushinikiza: hcef
muungano: lyen
kiuno: hkop
miujiza: hmek
baharia: slis
usafi: prut
jamhuri: hguk
simu: tfen
mjeledi: krip
shati: cyim
kuanzisha: ryas
sofa: hsof
sweep: hsup
mwizi: ksif
kurejesha: nrec
channel: kcen
utu: klim
mageuzi: kfam
kutishia: hzim
palm: plim
msemaji: hzak
kizingiti: dwic
kushawishi: pris
mkuki: bzak
nadhifu: syec
kikao: cwen
mateso: crot
uchafu: tcum
ridge: grit
msafiri: hyek
kinu: mwik
ramani: jrac
collar: klok
kuchukua-nafasi-ya: klif
makusudi: drat
bia: hbif
velvet: hwem
mvuto: gwit
mahubiri: hpum
matumizi-mabaya: glas
kundi: hgen
kumi-na-tatu: tres
kuhalalisha: jyit
Ijumaa: crum
brush: broc
download: dlas
cream: krem
cliff: klaf
jury: jrin
monster: ksos
waliohifadhiwa: hgoc
sufuria: pfot
senti: psen
kusisitiza: srut
apple: hpep
kujadili: drak
background: prun
nukulu: trim
upimaji: prik
burudani: nren
virusi: bris
kitoto: blit
kutafakari: flit
kubadilisha: kcet
muhtasari: kluc
opera: hpop
idhini: nron
kumsaliti: rwak
kuwaadhibu: hzen
elbow: kcon
attachment: tcet
kukarabati: hrop
tuhuma: cyec
sabini: swet
maandiko: srip
shimo: grac
machafuko: dlak
binary: byin
Abbey: bjan
mshale: tcec
huwa: trec
kufafanua: frat
uaminifu: hlot
sarafu: syip
hutetemeka: tcem
uhamishoni: gwin
mitambo: myim
mtego: crap
keki: kyek
sir: cyes
kubisha: sret
kumi-na-saba: syet
asali: myon
wadau: dzat
kutembea: hjam
matofali: brit
themanini: hpes
kwa-bahati-mbaya: pcen
kushauriana: kcot
legend: lwen
mavuno: hfos
kukuza: pfon
jiko: hsop
waasi: bric
mtindo-wa-zamani wa: hnom
jazwa: cron
swamp: swot
dressing: hdes
kujiepusha-na-anasa: pces
meneja: mren
chorus: cros
mantiki: tson
usindikaji: pson
wolf: blaf
carpet: hgap
mambo-ya-kale: hjak
rutuba: frut
filimbi: slif
jibini: twis
kuuma: byat
kukaribisha: jwan
Makuu: kyet
bandari: brak
tanga: djan
mazao: tsos
Navy: nlen
mask: mrok
kalamu: pses
mboga: sroc
maonyesho: hzet
suruali: tlun
rushwa: hrup
baraza-la-mawaziri: nram
supu: srup
upasuaji: syon
posho: tcot
kupeleleza: gyas
reckless: hlec
uvumi: gyic
ishara: hzon
abstract: srok
Alhamisi: cwim
trafiki: ryaf
usanifu: ryek
ufa: rwaf
pambo: rwon
kubadili: lwas
amuse: mwun
ahueni: ksus
lami: plut
maamuzi: dyin
hasi: nraf
tamasha: hfec
kupunguza: hrum
uhaini: zyan
wawindaji: djin
nyoka: syen
betri: bret
nta: flam
upelelezi: dlit
uchambuzi: nlis
mkazo: hzot
kuogelea: twen
bahasha: lwaf
yeyote: hgek
sigara: jrit
motor: mrot
kujitolea: hwot
majibu: ryif
mizigo: blam
viziwi: hboc
juisi: hjus
unyenyekevu: jlit
wizara: mret
ngono: hjon
mduara: dyam
shoka: blac
diamond: dlam
mbadala: hlek
echo: hgus
kujizuia: swon
utambulisho: hdaf
screen: krun
wavivu: lwis
momentane-kipengele: hmop
Compact: kfot
drift: hdif
kutoweka: hgaf
ray: ryen
wino: mwic
mkubwa: mraf
pishi: dyac
kukumbukwa: nrun
glare: klek
seneti: slet
jeneza: tfap
msamaha: frac
kumeza: nlun
kujiingiza: nlot
swing: swun
meadow: gram
tata: klos
kujiuzulu: hzis
wanyenyekevu-kusajili: nret
njama: swim
pilipili: prip
GPPony: pron
mgombea: hzam
fox: flik
chimney: tcon
mamlaka: drik
kilimo: rwic
usahihi: tcuk
zamani-marehemu: brim
kidemokrasia: mrek
bud: hbos
blanketi: bwat
mvua-ya-mawe: hgep
nguruwe: srus
umbo: krek
pembe-za-ndovu: craf
classical: ksok
waangalizi: nwet
tembo: lwit
misumari: nwus
nyuki: hmif
kuzika: dzan
muigizaji: bzat
jasho: zwan
polish: ploc
udanganyifu: hlus
kutokuwa-na-uhakika: pcet
sekondari: syif
mara: tsot
vijijini: grun
tunaugua: nyen
kufanana-na: slec
kunukuu: hzun
gunia: cyek
kero: fren
sindano: hjun
kudhibitiwa: nroc
kuku: truk
thabiti: kwot
pipa: bras
habitual-kipengele: hcep
mtaalam: ksec
kumvutia: blin
mizeituni: zlin
van: myen
kikwazo: bwak
nod: kcec
wa-kambo: plaf
ufafanuzi: fyic
siku-ya-kuzaliwa: gjin
nyundo: hcof
harufu-nzuri: hfon
marudio: trun
yasiyo-na-maana: twut
kick: hjik
kuchimba: kwaf
pet: plot
fuvu: hcop
bunge: dlik
kisigino: cruk
frown: crun
patent: plet
bilioni: blim
kemikali: fyik
majaribio: pyot
kuiga: mlot
skirt: kwet
isiyo-ya-kawaida: srap
kila-wiki: jwik
kiufundi: tfip
uoto-wa-asili: tset
jogoo: kraf
sunrise: sruc
maisha: glin
kuchangia: hyom
ndoano: hdok
tiger: blic
kupenya: crut
sleeve: slun
barabara: jras
wanamgambo: mlip
shimoni: kroc
uadilifu: kret
kumi-na-tisa: dzin
kikaboni: rwik
theolojia: flic
kuelea: flut
mchawi: byac
kuchoka: hwuk
kidiplomasia: dyik
studio: twos
kisichozidi: kcok
champagne: cyen
kuhamasisha: crif
bendera: hbes
talaka: lwon
bolt: hbut
mshipa: jyan
watazamaji: psif
povu: hgum
changarawe: grik
apron: tyen
sayari: gren
rafu: claf
shabiki: flon
kitropiki: hjip
awamu: fwas
holela: rwen
kutamka: kfun
zebaki: krok
huenda: hrem
kujiua: tcos
mwandishi-wa: prot
kuwanyima: hpok
wenye-ujuzi: klun
balcony: blik
uma: fras
mfanyakazi: mlek
mwajiri: myot
upana: jrak
irritated: djit
kuwashitaki: klot
pensheni: pyen
kitendo: kres
tumbili: mwon
kukubalika: hwek
saini: tlim
orthodox: rwos
kejeli: fron
kitalu: nrap
kusita: jlan
kuagiza: tyot
mwenge: croc
sarufi: gjak
amana: gyat
ukoloni: plon
yacht: jyat
consequential: kwec
kuba: kwun
unene: hfot
ukaidi: cyon
misuli: hmup
ukubwa: ryam
RUB: ryos
waoga: rwam
kuunganisha: gwac
toast: tros
panya: myus
silabi: slim
pat: prap
mazungumzo: dlaf
upande-wowote: nrot
bidii: dwin
utata: trot
kufikia: kfic
mbuzi: byak
kustawi: hfet
kulazimisha: mlon
bila-majina: nwim
