infinitiivi: hnit
teho: hkuk
itse: hmis
esittää: hyin
ääni: hwas
valkoinen: hpis
raha: tlan
seuraava: kyak
huono: hyis
kuolema: hmut
muoto: hfam
inessiivi-tapaus: nwik
ystävällinen: tyac
usein: tsan
vuosi: nwan
ystävä: myat
tilata: hyut
pakottava-mieliala: hpim
pyöristää: hcut
uskoa: hban
julkinen: hpin
osavaltio-konteksti: hsas
poika: psat
sata: hmas
lapset: hcis
siten: tyak
toivoa: hcap
edellä: hyip
rakas: pyin
lukea: pyac
kaupunki: hsic
jo: hpic
tosiasia: hfat
factive-todistusarvo: hfit
kuulla: hsun
vähiten: hmim
ehkä: pyat
avata: kcat
elin: tcic
ilma: cwac
luonto: nyit
auttaa: mlat
kirje: lyat
neljä: ksat
optative-mieliala: hpam
antaa-potkut: hfak
siksi: hyif
tunnin: hcam
ilmaiseksi: tyit
sota-: syat
onko: hsaf
syy: kyan
yhdistynyt: hnut
puhelu: hkuc
Miksi: hwam
menetetty: hkut
tuhat: tsas
perhe: hfic
sielu: twam
kysymys: swac
hoito: kcan
REALIS-mieliala: hlin
tarkoittaa: mwit
mahdollinen-mieliala: hten
kohti: cyan
allative-tapaus: lwik
ihmisen-toiminnasta-sukupuoli: hrin
lyhyt: kyut
pystyvät: hyuk
elää: hkip
aihe: hsek
sama-aihe-merkki: hcek
eri-aihe: hfek
vastaus: tsat
meri: mwat
pelko: hcoc
ymmärtää: pcat
kova: kyin
ehdot: tyut
epäillä: hdac
dubitative-mieliala: twin
kysyä: psan
aseet: tcas
musta: clis
tuoda: tyat
kaunis: ksis
tumma: tcak
pitää: psak
kymmenen: htaf
show: pyan
tarina: hkif
yhteinen: kwan
kirja: hkup
elektroninen: lyin
puhua: plak
merkki: myac
kiinnostaa: nyis
kirjoittaa: kcit
vuode: pwat
välttämätön: syis
ajatus: hwis
taide: klat
Vialis-tapaus: hlas
veli: pyak
joskus: ksas
linja: lyan
taulukko: tlas
joki: nwit
silmä: kyac
tiedot: fyin
yhtäkkiä: tfan
outo: hgan
syvä: ksan
muuttaa: hrit
tunne: nwac
tavata: mlit
tarkoitus: htuc
onnellinen: hcuc
näyttää: syit
veri: cyac
ruusu-: kwas
etelä: swan
kylmä: tlat
eteenpäin: myik
sijainti: psis
myöhään: tyam
seistä: syan
olettaa: nlas
tytär: pyit
minun: myan
leikata: hkim
kopioida: hfap
aviomies: hgat
kuusi: hlis
muistaa: twat
vaikutus: hyaf
pudota: htuk
paitsi: hsip
hiukset: hpaf
syöttö: pyas
tekijänoikeus: pcit
armeija: cyit
ajaa: kcak
hevonen: kcas
tulevaisuus: hwic
länsi: pcak
maksaa: plit
punainen: hyun
kulta-: tcun
halu: hdan
pelata: plin
hallita: mwas
toimisto: hfus
hallitus: syak
kirkko: kyas
pituus: hlen
yritys: ksin
paperi: kyis
todennäköisyys: hbin
erityisesti: cyas
karhu: pcas
ikkuna: cyak
sopimus: hgac
kauneus: syac
tulli: tfac
lähettää: fyan
etäisyys: htif
hiljaisuus: slan
jalka: fyat
villi: kyik
kuolla: myam
tallentaa: pfan
vihreä: kcin
vaivata: mlan
hymy: myak
väärässä: clat
eri: pcin
nukkua: slit
quotative-tapaus: kwik
alku: cwan
toiminta: kfan
vierailla: fwat
seurata: nlan
yrittää: tcis
läsnäolo: psit
makea: tlit
rikas: tcin
vihollinen: tcam
laiva: hcip
kunto: kyit
mukaan-lukien: hkum
täydellinen-henkilö: hlon
salaisuus: kwit
precative-mieliala: pwim
kohtelias-ilmoittautua: hbit
paha: pwac
maaliskuu: myas
aivan-sama: kwac
pysyä: hlam
sen-sijaan: plat
sininen: plan
mahdoton: psap
koulu: hsuk
tilaisuus: ksac
naimisissa: nwat
ruoka: hcuk
kaksikymmentä: tsis
hiljainen: tcit
helposti: hnis
mahdollinen-näkökohta: hrap
kieli: lyac
ilmaisu: syas
viikko: hsus
sali: hcum
vaara: kcic
omaisuus: myit
syntynyt: nyan
tuomioistuin: kcut
yleisesti: tyap
genomisen-näkökohta: hmip
arvoinen: tyas
yksinkertainen: syap
puu: pyic
taistella: pyap
seinä: twit
taivas: cwak
inchoative-näkökohta: htip
jussive-mieliala: hjin
sävy: twun
ottaa-huomioon: klan
odotettu: pcik
kuukausi: hmaf
kokea: nyap
täysin: nyac
tuore: tsac
herttua: hnuk
katettu: kwak
sidottu: hyim
itään: tyuk
kivi: pwan
jokseenkin: kfat
suunta: tlac
tuoli: kwis
tuki: syut
päivämäärä: tyic
kylä: klac
ala: clit
lupa: nwin
salliva-mieliala: hmom
menestys: slak
asianmukainen: hric
mäki: clin
musiikki: ksik
distaalinen-demonstratiivinen: hdat
iltapäivällä: htup
itkeä: hyuc
kunnia: hnaf
seitsemän: swit
yksityinen: pfat
uutiset: nwas
näkymä: slac
puutarha: cyam
rotu: htus
jakelu-tapaus: twak
oppia: clan
poliittinen: syik
valhe: kcun
heittää: tsak
syödä: kcam
lattia: hlaf
sairas: pwin
alkuperäinen: mlin
kesä: kyam
uskonto: tlam
kuva: ksit
paeta: plap
kirjailija: hlut
ruskea: pyun
määritetty: htem
kipu: hdon
kevät: psin
vuosisata: syic
pehmeä: mwan
nurkka: kyun
tuottaa: psas
nauraa: cyaf
unohtaa: flat
Eurooppa: hyup
kahdeksan: lwat
pukeutua: lwac
kauhea: cyap
hengitys: syaf
viisas: hbas
omistushaluinen-merkki: srak
muisti: myin
moderni: fwan
paikka: tcap
nousta: hyus
tauko: pyik
viisikymmentä: hfis
saari: tlap
koskettaa: hsuc
lupaus: pcam
commissive-mieliala: mwin
aste: tfat
suunnitelma: plac
käytös: nyak
yllätys: cran
minuutti: hmun
laukaus: hwut
huonompi: pcap
lasi-: klak
esimerkki: tlin
turvallinen: hsif
lääkäri: tsit
completive-näkökohta: hmep
toistuva: tyun
sotilaallinen: slin
lämmin: nyam
juoda: pfin
kysymykset: pcaf
suututtaa: nran
suoraan: tyik
hattu: hcup
koira: kwap
palvelija: hnuc
ylpeys: hram
väkijoukko: tcuc
kouluttaa: nyin
moraalinen: myut
liittyvä: kyim
astua: fyak
sääntö: nyas
miekka: cwat
hyökkäys: kfak
terveys: clac
kohta: pyaf
sosiaalinen: hsum
maksun-palautus: tfit
anteeksi: hpec
rohkeus: krac
armo: hnen
virallinen: hfaf
mikäli: tsik
pyyntö: pwit
silmäys: klas
liike: hyon
odottaa: cwit
vastapäätä: psam
kaksitoista: tyaf
kihloissa: nyut
viini: hwun
maku: swut
rauta-: fyac
jakaa: syin
käydä-kauppaa: myap
etu: twac
vaatteet: kfip
tuomari: fwak
ero: tfaf
ahdistunut: kcis
kapteeni: kwin
päättynyt: nlat
lakkaaminen-näkökohta: hsep
utelias: kyic
ulkomainen: kwic
vahvistussana: hnif
merkitys: myun
vihdoin: hfim
laskuttaa: fwin
todistaa: hpuk
estää: flan
kaula: cyun
oikeudellinen: hfik
kuiva: swak
palvella: syam
menettää: pcut
näyttö: pyut
todistusarvo-tapaus: hdak
edistyminen: pyis
rakentaminen: klit
haku: syuc
surullinen: hrac
synti: psip
kolmekymmentä: tfis
rehellinen: tsin
kiinni: kyap
pankki: pcun
kohtalo: cyik
metsä: hfun
mitata: mlac
muuten: htoc
virta: lyam
leipä: hpup
lisä-: tfak
valita: twas
eläin: nwam
Zoic-Kahvi-sukupuoli: hzin
eventive-mieliala: hwim
sama-tapahtuma-merkki: hcom
multiplikatiivinen-tapaus: tlak
paksu: hmus
olento: hyum
sade: myic
pinta-: pfas
pyhä: swis
heinäkuu: clim
kertomus: hfut
rannikko: pwas
tiedosto: hfif
olkapää: cwut
yllättynyt: kran
kuninkaallinen: klik
laulu: hkuf
mukavuus: kfaf
kukaan: nyic
ruoho: kcap
piirtää: cwik
aukko: cyic
kesäkuu: cwun
kalastaa: mlic
pääoma: klin
rinta: cyut
lumi: hcif
koulutus: tlik
terävä: tcaf
sääli: hdam
kulu: fyas
sinun: hmuc
miljoona: mlun
väsynyt: tcik
tappaa: ksam
varjo: cwap
paino: plas
massa-: mlas
vakiintunut: tlip
rohkea: pyam
ohut: plic
vakuuttunut: srat
tarkistaa: kcik
hyve: hdet
kansallinen: nyaf
jumalallinen: swin
laakso: clak
arvaus: kwam
keinotteleva-mieliala: hken
keltainen: clas
jäännökset: mwac
taipunut: nlac
laatikko: pwak
kausi: tsim
tiede: slas
porausreikä: kcuc
setä: hmuk
lista: lyit
elokuu: ksut
suosittu: hlup
tuntematon: fyit
tuttu: flak
tuttu-ilmoittautua: krit
lukija: tsut
lähestyä: pcuc
kahdesti: tsap
henkinen: tfik
todella: tsam
pappi: pcis
haavoittunut: fran
suru: hpom
palatsi: kfas
lyödä: clap
eh?: hnec
typerys: myuk
reuna: pfac
yhdeksän: nwun
räjähtää: psut
kärsiä: tfas
melu: hcus
kirjallisuus: lyic
neuvot: swas
tyhjä: kcuk
arvo: psik
myrsky: tcut
tasku-: kyip
mielikuvitus: nlin
tuomita: cwas
marraskuu: nwap
joulukuu: tsip
poissaolo: psic
kiittää: ryak
osoite: tyis
lintu: pyuc
omistaja: mlik
takki: kwut
valmistella: tyip
suhteet: lwan
polttaa-tupakkaa: htum
tammikuu: nwak
kone: clic
pitoisuus: nyik
hampaat: tlis
häpeä: hcet
lahti: kcaf
aivot: pyuk
rengas: klic
lauseke-merkki: frak
neliö-: ksap
hedelmä: fyut
tee: tsic
selittää: slam
Tervetuloa: cwam
runous: pwis
ostaa: klam
luotettava: hdic
jännitys: hcen
neljäkymmentä: klis
huhtikuu: pyip
ystävällisesti: kfit
lokakuu: kfap
katkera: kyuc
orja: tlaf
löysä: hluk
teksti: tsus
luotto: cyip
viisitoista: pfit
julma: kcim
liittyä-seuraan: cluc
käsitellä-asiaa: hpif
rikollisuus: kyaf
pöly: tsuc
käytännön: plik
väri: nlak
tuhota: nyuc
lisätä: lyas
nenä: hnus
myöntää: tyim
eilen: kfac
hesternal-jännittynyt: tlen
epäonnistua: slap
jatkaa: tcim
pitää-päällä: pwam
sokea: nlit
tusina: tsun
lentää: fyap
kehua: cwin
paholainen: cwaf
vähitellen: twic
uhrata: kyif
liikunta: cyis
omatunto: tfin
teoria: tlic
ministeri: myis
vihata: hnet
järvi: cwic
keskusta: syun
heikko: pfic
järkevä-sukupuoli: hron
varovainen: fwac
nauttia: nlam
palvonta: pwap
tavarat: twap
iho: twaf
katto: tlut
kruunu: gyan
linna: klap
valtaistuin: tcus
liitteenä: nlaf
maili: mlim
äärimmäinen: krim
vankila: fyis
kuppi: kcip
jäsen: mlam
siviili-: syim
kaikkialla: tsaf
ilmeinen: tfic
pari: pwaf
tilavuus: clam
asiakassuhde: ksaf
keula-: ksun
puku: slut
liha: mwak
maito: hluc
kasviperäistä-sukupuoli: hwen
visio: slic
harvinainen: nlap
serkku: ksic
silta: pwut
suojella: pfak
suolaa: swam
viaton: hwus
kuningatar: kwim
laskea: kcus
uteliaisuus: hras
tanssi: tyus
hotelli: clut
täyttää: flin
vanki: psun
myymälä: hjan
portaat: sric
kerjätä: hmen
hiekka: sran
väkivaltainen: hgit
syyskuu: hsem
lähtö: prac
pilata: crin
taito: krin
nautakarja: hwec
laitteet: hwip
keittiö: hkon
myydä: hbak
nopeus: hsot
johtopäätös: clon
tietokone: hkot
ikuinen: hsen
rajallinen: mrit
kirjasto: hbek
pohja: hbac
sekaannus: hrun
loistava: cris
samoin: hjic
pelästynyt: hbic
onneton: prin
artikla: hrek
kokki: kfin
bändi: hbat
aavikko: hget
suudella: hbun
pallo: hbot
tikku: hpot
perustelu: hrut
tarkkailla: nrak
siunaus-mieliala: hbim
huomiota-herättävä: hrim
syyllinen: hdis
ase: hgin
valvoa: plis
piilottaa: hzan
retkikunta: srin
oppimaton: nrin
antelias: drac
pilvi: blan
jätteet: htek
helmikuu: frif
tauti: hren
viettää: bwan
lähde: sron
aloite-tapaus: hnok
täti: hbam
viive: dlic
myöhässä-pakottava: hlip
raportoitu-todistusarvo: prat
keskiyö: dyit
sankari: nrac
filosofia: hfof
sormi: hjit
mukava: hzat
jonnekin: hmoc
lehdistö: bran
henkilöstö: hraf
palkinto: rwan
syyttää: dlac
kurjuus: krat
otsa: htec
ilmoitus: glan
enkeli: htet
yksikkö-määrä: hgam
valjeta: hbon
kaupallinen: krak
antaa-anteeksi: pran
lammas: hcec
kärsivällisyys: hpen
maatila: crac
viite: hrec
maissi: mran
avain: kcif
enemmistö: hmot
heikkous: hdut
ilmapiiri: traf
huokaus: tcoc
ihmiskunta: mlis
vastustus: pric
levy: hdik
yksinäinen: hket
taiteilija: nrat
ritari: cwis
viehätys: tran
päätös: drin
kuvernööri: gran
haara: rwac
luonteenlaatu: hsoc
innostusta: tsum
induktiivinen-mieliala: hdum
yhteisö: hmum
öljy: hyen
putki: hbap
painaa: trat
Oi: dyoc
esitelmä-konteksti: hros
vocative-tapaus: hwok
hytti: ksen
hälytys: plam
hermostunut: hnes
pysyvä: hset
veitsi: ksuk
silkki: slik
ylenkatse: grin
helvetti: nrik
erotetaan: plen
vakavasti: mrat
sekoitettu: mrik
puinen: mrak
mieluummin: hpet
varoitus: trin
kehotus-mieliala: htom
impulssi: hmos
kunnianhimo: mrac
kieltää: hnek
perustuslaki: swic
väline: srit
jatkuva-näkökohta: hnip
vuorovesi: hgas
college: klen
pyrstö: hkek
sukupolvi: nric
kissa: blat
suoraan-todistusarvo: hret
hylätty: trac
yksitoista: hyec
vaisto: nlik
ominainen: trit
heimo: hgik
levoton-mieliala: pcim
suoja: crat
töykeä: hruc
ratsastus: hris
ravistaa: hmon
teollisuus: hdot
ammatti: hres
lamppu: hdap
kahvi: kfif
totella: htot
pohjoinen: nrit
sairaanhoitaja: nris
vakuuttaa: hjat
ketju: ryin
opetus: cric
kengät: hgut
piha: mram
epämääräinen: hmec
muualla: hlet
huoneisto: pret
toimintaa: twot
lauantai: cram
auringonpaiste: hduc
leski: hwuc
elementti: hlem
heijastus: hfen
organisaatio: hgis
tähti: tram
tapaus: hgon
vieras: hgip
baari: brap
pullo: hbet
siunata: blak
herättää: crak
sisempi: trik
korjata: krik
johtua: prit
ontto: hcot
maakunta: hpos
sivistys: srac
ripustaa: hgak
järkyttää: crok
poikkeus: swap
rasitus: tren
standardi: ryan
ajo-: dran
eroon: hruk
vannoa: kses
aarre: zran
siemen: hbis
torni: tras
suosikki: fwit
äskettäin: hcem
viimeaikainen-ohi-jännittynyt: hrot
hereillä: srik
huonekalut: mrin
köysi: hkos
seikkailu: hdas
royalty: ryit
juhla: dyat
kuvata: dras
kuusikymmentä: hses
asteikko: hkem
seremonia: srec
metsästys: clik
kuiskaus: psus
enimmäkseen: ryat
kristinusko: ksim
lakimies: hwif
yksityiskohta: drit
prinsessa: hrus
alttari: dlat
verkko: hwes
violetti: brin
kerätä: hkoc
vaalit: hben
käsitys: kren
humalassa: crik
kaataa: brac
hissi: hlif
ele: hjis
hoitaa: rwin
vaihtaa-keskenään: tcen
selvä-artikla: hdek
keisari: mras
kauko-: hroc
ruma: clup
harmiton: cras
rulla: hrof
tuuma: nlic
sanomalehti: grat
parta: dric
repiä: srim
komissio: kson
kun-taas: grak
ylitys: kcoc
itsenäisyys: htes
haju: hwon
kahdeksantoista: hdec
historiallinen: tris
brutto: krut
juuri: hrok
muta: hbik
morsian: dlan
huntu: pras
teatteri: tret
vertailu: kras
kilpailija: rwis
saldo: slen
valmentaja: kron
huumori: hnum
romaani: rwas
kosto: hbaf
mustasukkainen: ryut
pyörä: hlok
palanut: glat
salama: flac
luoda: hkec
konflikti: hnot
kirous: hlos
imprecatory-mieliala: pram
avuton: hces
positiivinen: hzit
maila: klup
tulva: nras
jyvä: gwan
välinpitämättömyys: hdun
horisontti: crim
assumptive-mieliala: hsom
jyrkkä: htop
harmonia: mron
ukkonen: hgot
lapsuus: htok
polvi: hgun
ohjelmisto: pwen
vahinko: kram
kuitti: ryis
mahdollistaa: nlim
protasis: hpoc
lipsahdus: slok
vallankumous: hrif
maanviljelijä: hjim
tahti: trak
foorumi: hpof
sanansaattaja: hmes
etuoikeus: hpek
järjestäytynyt: hyot
opiskelija-: clen
luola: hgec
perinne: rwat
tragedia: tses
jäähyväiset: hjap
kritiikki: ryik
puuvilla: krap
sairaala: slot
vuokrata: kris
kaasu: hges
väistämätön: pwic
tappava: hgim
lehti: glit
julkaisu: plun
vihamielinen: tsup
käännös: dwan
hautajaiset: jran
jauhot: mrun
kirjeenvaihto: ryon
romanttinen: hrom
kota: clun
ehdottaa: psot
miiminen: hmet
dollari: dlon
päivänvalo: hjac
kuusitoista: hsos
kokoonpano: hzac
siirtomaa: klon
siipi: gyin
leijona: hles
kulttuuri: klut
sarake: hkom
ovela: glak
draama: dram
vitsi: hjuc
sumu: hdus
lääketiede: dwas
neljätoista: hkes
happo: sram
nimittäin: hyet
tulo: hmok
piispa: hbip
oranssi: tron
kylpy: byan
primitiivinen: rwit
kori: ksek
sihteeri: sris
olki: prak
kärsimätön: pfif
pelastus: slon
hodiernal-jännittynyt: dlin
aikovat: zrin
höyry: tcip
myrkyttää: hwoc
lahjakkuus: tlon
ilmasto: lwim
tehokas: fric
erottaa: tcif
pestä: dwac
tunnustus: kfis
järjettömyys: hjas
kivihiili: kyon
kanootti: kwon
väliaikainen: tric
delimitative-näkökohta: hdip
luu: hcos
maanantai: nwic
tiistai: glac
keskiviikko: bwac
liittovaltion-: frin
toivottava: hzic
edustaja: ryic
liinavaatteet: lwin
pesuallas: swuk
veljenpoika: bwin
verinen: kric
piiritys: cren
vatsa: hpem
messinki: pcon
huippukokous: hzik
viides: pfik
halpa: brat
yksinomainen-henkilö: kwen
takavarikoida: zrat
aita: hzas
patsas: tfam
tykistö: tlep
omaksua: mrap
ympäröivä: sren
tiukasti: srot
peura: hluf
pensas: hbuc
rautatie: hrep
päästö: hduk
perillinen: mris
tammi-: blun
epämiellyttävä: pren
keksintö: hgic
piano: pyon
suostutella: swen
näkymätön: gric
tunnettu: ryun
julmuus: kluk
houkutus: hyoc
telic-näkökohta: hlep
taloudellinen: kfik
kansainvälinen: troc
häiritä: tcek
filosofi: flif
tyylikäs: gyit
hyvinvointi: kyen
kalastus: mlak
varastaa: truc
huuli: hloc
jäädä-eläkkeelle: ryac
venyttää: sras
galleria: glen
yhdensuuntainen: zlan
atelic-näkökohta: htep
maanosa: trap
ehkäisevä-mieliala: nrim
solmio: dwat
solu: slep
muna: dyan
keinotekoinen: jrat
sillä-välin: nwis
kriisi: ksot
kohtelias: sloc
lounas: lyon
mänty: pwon
Työnnä: hcef
liitto: lyen
vyötärö: hkop
ihme: hmek
merimies: slis
puhtaus: prut
tasavalta: hguk
puhelin: tfen
ruoska: krip
paita: cyim
esitellä: ryas
sohva: hsof
lakaista: hsup
varas: ksif
säilyttää: nrec
kanava: kcen
persoonallisuus: klim
uudistaa: kfam
uhkaava: hzim
palmu: plim
kaiutin: hzak
kynnys: dwic
aiheuttaa: pris
keihäs: bzak
siisti: syec
istunto: cwen
kiduttaa: crot
kostea: tcum
harjanne: grit
matkustaja: hyek
mylly: mwik
kartta: jrac
kaulus: klok
korvata: klif
tarkoituksella: drat
olut: hbif
sametti: hwem
painovoima: gwit
saarna: hpum
väärinkäyttö: glas
parvi: hgen
kolmetoista: tres
perustella: jyit
perjantai: crum
harjata: broc
download: dlas
kerma: krem
rantakallio: klaf
tuomaristo: jrin
hirviö: ksos
jäädytetty: hgoc
pannu: pfot
penni: psen
vaatia: srut
omena: hpep
pohtia: drak
tausta: prun
litteroida: trim
ajoittainen: prik
viihde: nren
virus: bris
lapsellinen: blit
heijastaa: flit
muuntaa: kcet
ääriviivat: kluc
ooppera: hpop
hyväksyminen: nron
pettää: rwak
rangaista: hzen
kyynärpää: kcon
liite: tcet
korjaus: hrop
epäilyttävä: cyec
seitsemänkymmentä: swet
kirjoitusten: srip
kuoppa: grac
häiriö: dlak
binaarinen: byin
luostarikirkko: bjan
nuoli: tcec
yleensä: trec
kehittää: frat
uskollisuus: hlot
kolikko: syip
vapista: tcem
maanpakolaisuus: gwin
mekaaninen: myim
ansa: crap
kakku: kyek
sir: cyes
epäröidä: sret
seitsemäntoista: syet
hunaja: myon
panos: dzat
askelma: hjam
tiili: brit
kahdeksankymmentä: hpes
valitettavasti: pcen
konsultoida: kcot
legenda: lwen
sato: hfos
edistäminen: pfon
liesi: hsop
kapinallinen: bric
vanhanaikainen: hnom
turvota: cron
suo: swot
pukeutuminen: hdes
askeettinen: pces
johtaja: mren
kertosäe: cros
järkevä: tson
jalostus: pson
susi: blaf
matto: hgap
antiikin: hjak
hedelmällinen: frut
pilli: slif
juusto: twis
purra: byat
kutsu: jwan
katedraali: kyet
satama: brak
vaeltaa: djan
viljelykasvien: tsos
laivasto: nlen
naamio: mrok
lyijykynä: pses
vihannes: sroc
näyttely: hzet
housut: tlun
korruptio: hrup
kaappi: nram
keitto: srup
kirurgi: syon
avustus: tcot
vakooja: gyas
holtiton: hlec
juoru: gyic
symbolinen: hzon
abstrakti: srok
torstai: cwim
liikenne: ryaf
arkkitehtuuri: ryek
crack: rwaf
ornamentti: rwon
käänteinen: lwas
huvittaa: mwun
elpyminen: ksus
jalkakäytävä: plut
ratkaiseva: dyin
negatiivinen: nraf
festivaali: hfec
vähentää: hrum
maanpetos: zyan
metsästäjä: djin
käärme: syen
akku: bret
vaha: flam
etsivä: dlit
analyysi: nlis
painotus: hzot
uida: twen
kirjekuori: lwaf
kuka-tahansa: hgek
savuke: jrit
moottori: mrot
vapaaehtoinen: hwot
reaktio: ryif
matkatavarat: blam
kuuro: hboc
mehu: hjus
nöyryys: jlit
ministeriö: mret
seksuaalinen: hjon
halkaisija: dyam
kirves: blac
timantti-: dlam
vaihtoehtoinen: hlek
kaiku: hgus
rajoitus: swon
identiteetti: hdaf
kuvaruutu: krun
laiska: lwis
momentane-näkökohta: hmop
kompakti: kfot
ajelehtia: hdif
kadota: hgaf
säde: ryen
muste: mwic
massiivinen: mraf
kellari: dyac
mieleenpainuva: nrun
mulkoilla: klek
senaatti: slet
ruumisarkku: tfap
anteeksianto: frac
niellä: nlun
langeta: nlot
swing: swun
niitty: gram
monimutkainen: klos
eroaminen: hzis
nöyrä-ilmoittautua: nret
salaliitto: swim
pippuri: prip
poni: pron
ehdokas: hzam
kettu: flik
savupiippu: tcon
toimivalta: drik
maatalous: rwic
tarkkuus: tcuk
entinen-kuollut: brim
demokraattinen: mrek
nuppu: hbos
viltti: bwat
rakeet: hgep
sika: srus
muotoinen: krek
norsunluu: craf
klassinen: ksok
tarkkailija: nwet
norsu: lwit
kynnet: nwus
mehiläinen: hmif
haudata: dzan
näyttelijä: bzat
hiki: zwan
kiillottaa: ploc
illuusio: hlus
epävarmuus: pcet
toissijainen: syif
taittaa: tsot
maaseudun: grun
notkua: nyen
muistuttaa: slec
lainata: hzun
säkki: cyek
harmi: fren
neula: hjun
ohjattu: nroc
kana: truk
johdonmukainen: kwot
tynnyri: bras
tavanomainen-näkökohta: hcep
asiantuntija: ksec
tehdä-vaikutus: blin
oliivi-: zlin
pakettiauto: myen
este: bwak
nyökkäys: kcec
edistää: plaf
määritelmä: fyic
syntymäpäivä: gjin
vasara: hcof
tuoksuva: hfon
toisto: trun
triviaali: twut
potkia: hjik
kaivaa: kwaf
lemmikki-: plot
kallo: hcop
lainsäätäjä: dlik
kantapää: cruk
rypistää-otsaansa: crun
patentti-: plet
miljardi: blim
kemiallinen: fyik
lentäjä: pyot
jäljitellä: mlot
hame: kwet
epätavallisen: srap
viikoittain: jwik
tekninen: tfip
kasvillisuus: tset
varis: kraf
auringonnousu: sruc
elinikä: glin
myötävaikuttaa: hyom
koukku: hdok
tiikeri: blic
läpäistä: crut
hiha: slun
valtatie: jras
miliisi: mlip
oja: kroc
eheys: kret
yhdeksäntoista: dzin
orgaaninen: rwik
teologia: flic
kellua: flut
noita: byac
kyllästynyt: hwuk
diplomaattinen: dyik
studio: twos
ylittää: kcok
samppanja: cyen
innostaa: crif
lippu: hbes
avioero: lwon
pultti: hbut
suoni: jyan
passiivinen: psif
vaahto: hgum
sora: grik
esiliina: tyen
planeetta: gren
hylly: claf
tuuletin: flon
trooppinen: hjip
vaihe: fwas
mielivaltainen: rwen
lausua: kfun
elohopea: krok
