инфинитив: ni
цитат-образац: xu
усмен-именица: xlih
клаузула-реп: kluh
директан-објекат: rweh
ергативе-случај: gvih
на---језику: byih
локатив-случај: kwoh
прилошки-случај: vlah
коначни-честица: nluh
евитативе-случај: ve
посесиван-случај: kfih
номинализатион: mleh
запоседнут-случај: djah
помоћни-глагол: fyih
Примарна-објекат: myuh
антессиве-случај: nleh
анимирати-пол: xrih
субессиве-случај: bvih
возило-пол: vlih
минерал-пол: xwih
глагол---суфикс: kxeh
говернанце-радост: pfeh
промена-од-догађај: qrih
различит-догађај: txoh
свемир-пол: bjih
локалитет-пол: lyeh
истраживање-пол: txuh
уметнички-пол: s6
црастинал-напет: sl6h
апстрактан-пол: sruh
ексцентричних-случај: zrih
прелазан-глагол: tfoh
прошлост-свршен: tr6h
индиректан-говор: dyeh
други-језик: sr6h
колективан-именица: kxoh
абсолутиве-случај: bvuh
пацијент-окидач: pruh
сам-поверење: swuh
рефлексиван-глас: flah
безличан-глагол: pseh
модални-случај: dleh
нежив-пол: djih
узрочни: kruh
пропоситиве-расположење: pxoh
електрични-струја: breh
асоцијациони-случај: sloh
суперлатив-случај: sluh
планетарни-пол: pxeh
реципрочан-глас: syoh
језгро-бенефацтиве: kfeh
друго---ако: kyeh
узастопни-клаузула: lyoh
ускоро-будућност-напет: rwuh
апликативни-глас: pyuh
антипассиве-глас: ps6h
цонтинуативе-аспект: tfuh
нецесситативе-расположење: nr6h
сингл-акција-глагол: qyah
суперлатив-степен: tluh
егзистенцијални-клаузула: sy6h
поклон-партицип: vrah
светлосни-интензитет: kyuh
сингулативе-број: glih
пасиван-партицип: pfoh
прекомеран-трајање: kxuh
износ-од-супстанца: m6
постпоситионал-случај: pwoh
изборни-квантификатор: vwih
епентетски-морфема: p6
који-негира-квантификатор: gwah
везник-честица: qyih
даљински-будућност-напет: tl6h
учестали-аспект: f6
дистрибутиван-заменица: bzih
беседа-договор: ks6h
универзалан-квантификатор: xlah
флоатинг-поинт---број: fu
егзистенцијални-квантификатор: sweh
алтернатива-квантификатор: l6
прошлост-пасиван-партицип: xyih
локатив-усмерен-случај: kfoh
противчињенични-условни: fyoh
