क्रियाकासाधारण रूप: hnit
नियुक्तमामला: hnak
हवा: cwac
प्रकृति: nyit
मदद: mlat
पत्र: lyat
चार: ksat
आपटाइटिवमनोदशा: hpam
आग: hfak
इसलिये: hyif
समय: hcam
मुक्त: tyit
युद्ध: syat
किक्या: hsaf
कारण: kyan
यूनाइटेड: hnut
कॉल: hkuc
क्यों: hwam
खोया: hkut
हज़ार: tsas
परिवार: hfic
आत्मा: twam
सवाल: swac
ध्यान: kcan
realisमनोदशा: hlin
मतलब: mwit
क्षमतामनोदशा: hten
कीओर: cyan
allativeमामला: lwik
Anthropicलिंग: hrin
कम: kyut
योग्य: hyuk
जीना: hkip
विषय: hsek
वहीविषयनिशान: hcek
अलगविषय: hfek
उत्तर: tsat
समुद्र: mwat
डर: hcoc
समझना: pcat
कठिन: kyin
शर्तों: tyut
संदेह: hdac
dubitativeमनोदशा: twin
पूछना: psan
हथियार: tcas
काली: clis
लाना: tyat
खूबसूरत: ksis
अंधेरा: tcak
पकड़: psak
दस: htaf
प्रदर्शन: pyan
कहानी: hkif
सामान्य: kwan
किताब: hkup
इलेक्ट्रोनिक: lyin
बातचीत: plak
निशान: myac
ब्याज: nyis
लिखना: kcit
बिस्तर: pwat
ज़रूरी: syis
विचार: hwis
कला: klat
vialisमामला: hlas
भाई: pyak
कभीकभी: ksas
लाइन: lyan
तालिका: tlas
नदी: nwit
आंख: kyac
सूचना: fyin
अचानक: tfan
अजीब: hgan
गहरा: ksan
परिवर्तन: hrit
अनुभूति: nwac
मिलना: mlit
उद्देश्य: htuc
खुश: hcuc
प्रतीत: syit
खून: cyac
गुलाब: kwas
दक्षिण: swan
ठंड: tlat
आगे: myik
स्थिति: psis
देरसे: tyam
खड़ा: syan
मानलीजिए: nlas
बेटी: pyit
मेरा: myan
कमी: hkim
प्रतिलिपि: hfap
पति: hgat
छक्का: hlis
याद: twat
प्रभाव: hyaf
पड़ना: htuk
सिवाय: hsip
बाल: hpaf
पास: pyas
Copyright: pcit
सेना: cyit
रन: kcak
घोड़ा: kcas
भविष्य: hwic
पश्चिम: pcak
वेतन: plit
लाल: hyun
सोना: tcun
इच्छा: hdan
प्ले: plin
स्वामी: mwas
कार्यालय: hfus
सरकार: syak
चर्च: kyas
लंबाई: hlen
कंपनी: ksin
कागज़: kyis
संभावना: hbin
विशेषरूपसे: cyas
भालू: pcas
खिड़की: cyak
समझौता: hgac
सुंदरता: syac
कर्तव्य: tfac
भेजना: fyan
दूरी: htif
चुप्पी: slan
पैर: fyat
जंगली: kyik
मरना: myam
बचाना: pfan
ग्रीन: kcin
मुसीबत: mlan
मुस्कान: myak
गलत: clat
विभिन्न: pcin
नींद: slit
quotativeमामला: kwik
शुरू: cwan
कार्य: kfan
यात्रा: fwat
अनुसरण: nlan
कोशिश: tcis
उपस्थिति: psit
मीठा: tlit
धनी: tcin
दुश्मन: tcam
पोत: hcip
शर्त: kyit
शामिल: hkum
सम्मिलितव्यक्ति: hlon
गुप्त: kwit
precativeमनोदशा: pwim
सभ्यरजिस्टर: hbit
बुराई: pwac
मार्च: myas
जोकुछ: kwac
रहना: hlam
बजाय: plat
नीला: plan
असंभव: psap
स्कूल: hsuk
अवसर: ksac
विवाहित: nwat
भोजन: hcuk
बीस: tsis
शांत: tcit
आसानीसे: hnis
भावीपहलू: hrap
भाषा: lyac
अभिव्यक्ति: syas
सप्ताह: hsus
हॉल: hcum
खतरा: kcic
संपत्ति: myit
जन्म: nyan
कोर्ट: kcut
आमतौरपर: tyap
सूक्तिकापहलू: hmip
लायक: tyas
सरल: syap
पेड़: pyic
लड़ाई: pyap
दीवार: twit
स्वर्ग: cwak
इब्तिदाईपहलू: htip
jussiveमनोदशा: hjin
लहजा: twun
सम्मान: klan
अपेक्षित: pcik
माह: hmaf
अनुभव: nyap
पूरीतरहसे: nyac
ताज़ा: tsac
शासक: hnuk
कवर: kwak
सीमा: hyim
पूर्व: tyuk
पत्थर: pwan
कुछहदतक: kfat
दिशा: tlac
कुरसी: kwis
समर्थन: syut
तारीख: tyic
गाँव: klac
क्षेत्र: clit
अनुमति: nwin
अनुमोदकमनोदशा: hmom
सफलता: slak
उचित: hric
पहाड़ी: clin
संगीत: ksik
बाहरकाठोस: hdat
दोपहर: htup
रोना: hyuc
आदर: hnaf
सात: swit
प्राइवेट: pfat
समाचार: nwas
स्थल: slac
उद्यान: cyam
दौड़: htus
बांटनेवालामामला: twak
सीखना: clan
राजनीतिक: syik
झूठ: kcun
डालना: tsak
खाना: kcam
मंज़िल: hlaf
बीमार: pwin
मूल: mlin
गर्मी: kyam
धर्म: tlam
चित्र: ksit
पलायन: plap
लेखक: hlut
भूरा: pyun
चुनागया: htem
दर्द: hdon
वसंत: psin
सदी: syic
मुलायम: mwan
कोना: kyun
उत्पादितकरें: psas
हंसी: cyaf
भूलना: flat
यूरोप: hyup
आठ: lwat
पोशाक: lwac
भयानक: cyap
सांस: syaf
वार: hbas
मालिकानानिशान: srak
स्मृति: myin
आधुनिक: fwan
स्थान: tcap
वृद्धि: hyus
ब्रेक: pyik
पचास: hfis
द्वीप: tlap
स्पर्श: hsuc
वादा: pcam
commissiveमनोदशा: mwin
उपाधि: tfat
योजना: plac
आचरण: nyak
अचरज: cran
मिनट: hmun
शॉट: hwut
बदतर: pcap
कांच: klak
उदाहरण: tlin
सुरक्षित: hsif
चिकित्सक: tsit
शेषपहलू: hmep
दोहराया: tyun
सैन्य: slin
गरम: nyam
पेय: pfin
प्रशन: pcaf
क्रोध: nran
सीधे: tyik
टोपी: hcup
कुत्ता: kwap
नौकर: hnuc
अभिमान: hram
भीड़: tcuc
गाड़ी: nyin
नैतिक: myut
जुड़े: kyim
दर्ज: fyak
नियम: nyas
तलवार: cwat
आक्रमण: kfak
स्वास्थ्य: clac
अनुच्छेद: pyaf
सामाजिक: hsum
धनकीवापसी: tfit
खेद: hpec
साहस: krac
अनुग्रह: hnen
आधिकारिक: hfaf
प्रदानकी: tsik
प्रार्थना: pwit
झलक: klas
आंदोलन: hyon
उम्मीद: cwit
सामने: psam
बारह: tyaf
व्यस्त: nyut
वाइन: hwun
स्वाद: swut
लोहा: fyac
वितरितकरना: syin
व्यापार: myap
लाभ: twac
कपड़े: kfip
जज: fwak
अंतर: tfaf
चिंतित: kcis
कप्तान: kwin
समाप्त: nlat
समाप्तिपहलू: hsep
जिज्ञासु: kyic
विदेशी: kwic
intensifier: hnif
महत्त्व: myun
अंतमें: hfim
बिल: fwin
साबितकरना: hpuk
रोकना: flan
गरदन: cyun
कानूनी: hfik
सूखा: swak
कीसेवा: syam
खोना: pcut
सबूत: pyut
प्रत्यक्षमामला: hdak
प्रगति: pyis
इमारत: klit
खोज: syuc
उदास: hrac
पाप: psip
तीस: tfis
ईमानदार: tsin
बंद: kyap
बैंक: pcun
भाग्य: cyik
वन: hfun
माप: mlac
अन्यथा: htoc
धारा: lyam
रोटी: hpup
अतिरिक्त: tfak
चुनना: twas
जानवर: nwam
Zoicलिंग: hzin
eventiveमनोदशा: hwim
वहीघटनानिशान: hcom
गुणकमामला: tlak
मोटा: hmus
प्राणी: hyum
बारिश: myic
सतह: pfas
पवित्र: swis
जुलाई: clim
रिपोर्ट: hfut
तट: pwas
फ़ाइल: hfif
कंधा: cwut
हैरान: kran
राजकीय: klik
गीत: hkuf
आराम: kfaf
किसीकोभी: nyic
घास: kcap
खींचना: cwik
प्रारंभिक: cyic
जून: cwun
मछली: mlic
राजधानी: klin
स्तन: cyut
हिमपात: hcif
शिक्षा: tlik
तेज़: tcaf
दया: hdam
व्यय: fyas
तुम्हारा: hmuc
दसलाख: mlun
थका: tcik
हत्या: ksam
छाया: cwap
भार: plas
सामूहिक: mlas
स्थापित: tlip
बहादुर: pyam
पतला: plic
संतुष्ट: srat
चेक: kcik
सदाचार: hdet
राष्ट्रीय: nyaf
दिव्य: swin
घाटी: clak
अनुमान: kwam
काल्पनिकमनोदशा: hken
पीला: clas
अवशेष: mwac
तुलाहुआ: nlac
डिब्बा: pwak
ऋतु: tsim
विज्ञान: slas
छेद: kcuc
चाचा: hmuk
सूची: lyit
अगस्त: ksut
लोकप्रिय: hlup
अज्ञात: fyit
परिचित: flak
परिचितरजिस्टर: krit
पाठक: tsut
पहुंच: pcuc
दोबार: tsap
बौद्धिक: tfik
वास्तवमें: tsam
पुरोहित: pcis
घायल: fran
गम: hpom
महल: kfas
हराना: clap
ना?: hnec
मूर्ख: myuk
धार: pfac
नौ: nwun
विस्फोट: psut
भुगतना: tfas
शोर: hcus
साहित्य: lyic
सलाह: swas
खाली: kcuk
पद: psik
आंधी: tcut
जेब: kyip
कल्पना: nlin
वाक्य: cwas
नवंबर: nwap
दिसंबर: tsip
अनुपस्थिति: psic
धन्यवाद: ryak
पता: tyis
पक्षी: pyuc
मालिक: mlik
कोट: kwut
तैयारकरना: tyip
संबंधों: lwan
धुआं: htum
जनवरी: nwak
मशीन: clic
सामग्री: nyik
दांत: tlis
शर्मकीबात है: hcet
खाड़ी: kcaf
दिमाग: pyuk
अंगूठी: klic
मुहावरानिशान: frak
वर्ग: ksap
फल: fyut
चाय: tsic
समझाना: slam
स्वागत: cwam
कविता: pwis
खरीदनेकेलिए: klam
श्रद्धालु: hdic
उत्तेजना: hcen
चालीस: klis
अप्रैल: pyip
कृपया: kfit
अक्टूबर: kfap
कड़वा: kyuc
दास: tlaf
ढीला: hluk
टेक्स्ट: tsus
श्रेय: cyip
पंद्रह: pfit
निर्दयी: kcim
शामिलहो: cluc
प्रक्रिया: hpif
अपराध: kyaf
धूल: tsuc
व्यावहारिक: plik
रंग: nlak
नष्ट: nyuc
बढ़ना: lyas
नाक: hnus
स्वीकारकरना: tyim
कल: kfac
hesternalकाल: tlen
असफल: slap
जारीरखनेके लिए: tcim
पहनना: pwam
अंधा: nlit
दर्जन: tsun
उड़ना: fyap
प्रशंसा: cwin
शैतान: cwaf
धीरे-धीरे: twic
त्याग: kyif
व्यायाम: cyis
अंतरात्माकीआवाज: tfin
सिद्धांत: tlic
मंत्री: myis
नफ़रत: hnet
झील: cwic
केंद्र: syun
बेहोश: pfic
तर्कसंगतलिंग: hron
सावधान: fwac
आनंद: nlam
पूजा: pwap
माल: twap
त्वचा: twaf
छत: tlut
ताज: gyan
गढ़: klap
सिंहासन: tcus
संलग्न: nlaf
मील: mlim
चरम: krim
जेल: fyis
कप: kcip
सदस्य: mlam
नागरिक: syim
हरजगह: tsaf
प्रत्यक्ष: tfic
युगल: pwaf
आयतन: clam
रिवाज: ksaf
धनुष: ksun
सूट: slut
मांस: mwak
दूध: hluc
वनस्पतिकलिंग: hwen
दृष्टि: slic
दुर्लभ: nlap
चचेराभाई: ksic
पुल: pwut
रक्षाकरना: pfak
नमक: swam
मासूम: hwus
रानी: kwim
गिनती: kcus
जिज्ञासा: hras
नृत्य: tyus
होटल: clut
भरना: flin
बंदी: psun
दुकान: hjan
सीढ़ियों: sric
मानलेना: hmen
रेत: sran
हिंसात्मक: hgit
सितंबर: hsem
प्रस्थान: prac
विनाश: crin
कौशल: krin
मवेशी: hwec
उपकरण: hwip
रसोई: hkon
बेचना: hbak
गति: hsot
निष्कर्ष: clon
कंप्यूटर: hkot
सनातन: hsen
सीमित: mrit
पुस्तकालय: hbek
आधार: hbac
भ्रमकीस्थिति: hrun
यशस्वी: cris
इसीतरह: hjic
भयभीत: hbic
अप्रसन्न: prin
लेख: hrek
पकाना: kfin
बैंड: hbat
रेगिस्तान: hget
चुंबन: hbun
गेंद: hbot
छड़ी: hpot
तर्क: hrut
निरीक्षण: nrak
आशीर्वादमनोदशा: hbim
हड़ताली: hrim
दोषी: hdis
बंदूक: hgin
पुलिस: plis
छिपाना: hzan
अभियान: srin
अनजान: nrin
उदार: drac
बादल: blan
बेकार: htek
फरवरी: frif
रोग: hren
बिताना: bwan
स्रोत: sron
पहलमामला: hnok
चाची: hbam
विलंब: dlic
विलंबितअनिवार्य: hlip
कीसूचनादी प्रत्यक्ष: prat
आधीरात: dyit
नायक: nrac
दर्शन: hfof
उंगली: hjit
आरामदायक: hzat
कहींनकहीं: hmoc
दबाएँ: bran
स्टाफ़: hraf
इनाम: rwan
दोष: dlac
कष्ट: krat
माथा: htec
विज्ञापन: glan
देवदूत: htet
विलक्षणसंख्या: hgam
भोर: hbon
व्यावसायिक: krak
माफकरदो: pran
भेड़: hcec
धैर्य: hpen
खेत: crac
referential: hrec
मक्का: mran
कुंजी: kcif
बहुमत: hmot
दुर्बलता: hdut
वातावरण: traf
झोंका: tcoc
मानवता: mlis
विरोध: pric
डिस्क: hdik
अकेला: hket
कलाकार: nrat
शूरवीर: cwis
आकर्षण: tran
निर्णय: drin
राज्यपाल: gran
शाखा: rwac
स्वभाव: hsoc
उत्साह: tsum
अधिष्ठापनकामनोदशा: hdum
समुदाय: hmum
तेल: hyen
पाइप: hbap
छाप: trat
ओह: dyoc
प्रवचनप्रसंग: hros
सम्बोधनमामला: hwok
केबिन: ksen
अलार्म: plam
परेशान: hnes
स्थायी: hset
चाकू: ksuk
रेशम: slik
घृणा: grin
नरक: nrik
अलग: plen
गंभीरतासे: mrat
मिश्रित: mrik
लकड़ीका: mrak
पसंदकरतेहैं: hpet
चेतावनी: trin
चेतावनीमनोदशा: htom
आवेग: hmos
महत्वाकांक्षा: mrac
इनकार: hnek
संविधान: swic
साधन: srit
निरंतरपहलू: hnip
ज्वार: hgas
कॉलेज: klen
पूंछ: hkek
पीढ़ी: nric
बिल्ली: blat
प्रत्यक्षप्रत्यक्ष: hret
छोड़दिया: trac
ग्यारह: hyec
स्वाभाविक: nlik
विशेषता: trit
जनजाति: hgik
भयभीतमनोदशा: pcim
आश्रय: crat
अशिष्ट: hruc
सवारी: hris
मंथन: hmon
उद्योग: hdot
व्यवसाय: hres
दीपक: hdap
कॉफ़ी: kfif
आज्ञाकापालन: htot
उत्तरी: nrit
नर्स: nris
विश्वासदिलाताहूं: hjat
श्रृंखला: ryin
शिक्षण: cric
जूते: hgut
यार्ड: mram
अस्पष्ट: hmec
अन्यत्र: hlet
फ्लैट: pret
गतिविधि: twot
शनिवार: cram
धूप: hduc
विधवा: hwuc
तत्त्व: hlem
प्रतिबिंब: hfen
संगठन: hgis
तारा: tram
घटना: hgon
अतिथि: hgip
बार: brap
बोतल: hbet
भलाकरे: blak
हलचल: crak
आंतरिक: trik
कोठीक: krik
निकालेजातेहैं: prit
खोखला: hcot
प्रांत: hpos
सभ्यता: srac
लटकना: hgak
झटका: crok
अपवाद: swap
तनाव: tren
मानक: ryan
ड्राइव: dran
छुटकारा: hruk
कसमसे: kses
खजाना: zran
बीज: hbis
मीनार: tras
पसंदीदा: fwit
हालहीमें: hcem
हालकाअतीत काल: hrot
सचेत: srik
फर्नीचर: mrin
रस्सी: hkos
साहसिककार्य: hdas
रॉयल्टी: ryit
दावत: dyat
वर्णन: dras
साठ: hses
स्केल: hkem
समारोह: srec
शिकार: clik
फुसफुसाना: psus
काफीहदतक: ryat
ईसाईधर्म: ksim
वकील: hwif
विस्तार: drit
राजकुमारी: hrus
वेदी: dlat
वेब: hwes
बैंगनी: brin
इकट्ठा: hkoc
चुनाव: hben
धारणा: kren
शराबी: crik
बहना: brac
लिफ़्ट: hlif
इशारा: hjis
प्रबंधन: rwin
विनिमय: tcen
निश्चितलेख: hdek
सम्राट: mras
दूरस्थ: hroc
कुरूप: clup
हानिरहित: cras
रोल: hrof
इंच: nlic
समाचारपत्र: grat
दाढ़ी: dric
आंसू: srim
आयोग: kson
जबकि: grak
चौराहा: kcoc
स्वतंत्रता: htes
गंध: hwon
अठारह: hdec
ऐतिहासिक: tris
कुल: krut
जड़: hrok
कीचड़: hbik
दुल्हन: dlan
परदा: pras
थिएटर: tret
तुलना: kras
प्रतिद्वंद्वी: rwis
संतुलन: slen
कोच: kron
हास्य: hnum
उपन्यास: rwas
बदला: hbaf
ईर्ष्यालु: ryut
पहिया: hlok
जलादिया: glat
फ़्लैश: flac
बनाने: hkec
संघर्ष: hnot
अभिशाप: hlos
फटकारकामनोदशा: pram
असहाय: hces
सकारात्मक: hzit
क्लब: klup
बाढ़: nras
अनाज: gwan
उदासीनता: hdun
क्षितिज: crim
स्वीकृतमनोदशा: hsom
खड़ी: htop
सामंजस्य: mron
गड़गड़ाहट: hgot
बचपन: htok
घुटना: hgun
सॉफ्टवेयर: pwen
चोट: kram
रसीद: ryis
सक्षम: nlim
नाटककापहला भाग: hpoc
सरक: slok
क्रांति: hrif
किसान: hjim
स्ट्रोक: trak
मंच: hpof
मैसेंजर: hmes
विशेषाधिकार: hpek
संगठित: hyot
छात्र: clen
गुफा: hgec
परंपरा: rwat
त्रासदी: tses
बिदाई: hjap
आलोचना: ryik
कपास: krap
अस्पताल: slot
किराया: kris
गैस: hges
अपरिहार्य: pwic
घातक: hgim
पत्ती: glit
प्रकाशन: plun
शत्रुतापूर्ण: tsup
अनुवाद: dwan
अंतिमसंस्कार: jran
आटा: mrun
पत्र-व्यवहार: ryon
रोमानी: hrom
कुटिया: clun
प्रस्ताव: psot
अनुकरणकरनेवाला: hmet
डॉलर: dlon
दिनकाप्रकाश: hjac
सोलह: hsos
सभा: hzac
कालोनी: klon
विंग: gyin
शेर: hles
संस्कृति: klut
स्तंभ: hkom
चालाक: glak
नाटक: dram
परिहास: hjuc
धुंध: hdus
दवा: dwas
चौदह: hkes
अम्ल: sram
यानी: hyet
आमदनी: hmok
बिशप: hbip
नारंगी: tron
स्नान: byan
आदिम: rwit
टोकरी: ksek
सचिव: sris
पुआल: prak
अधीर: pfif
मोक्ष: slon
अव्तनकाल: dlin
इरादा: zrin
भाप: tcip
विष: hwoc
प्रतिभा: tlon
जलवायु: lwim
प्रभावी: fric
भेद: tcif
धुलाई: dwac
स्वीकारोक्ति: kfis
बकवास: hjas
कोयला: kyon
डोंगी: kwon
अस्थायी: tric
delimitativeपहलू: hdip
हड्डी: hcos
सोमवार: nwic
मंगलवार: glac
बुधवार: bwac
संघीय: frin
वांछनीय: hzic
प्रतिनिधि: ryic
लिनन: lwin
सिंक: swuk
भतीजा: bwin
रक्तरंजित: kric
घेराबंदी: cren
पेट: hpem
पीतल: pcon
शिखर: hzik
पांचवां: pfik
सस्ता: brat
अनन्यव्यक्ति: kwen
पकड़ना: zrat
बाड़: hzas
प्रतिमा: tfam
तोपें: tlep
आलिंगन: mrap
आसपासके: sren
सख्ती: srot
मृग: hluf
झाड़ी: hbuc
रेल: hrep
मुक्ति: hduk
वारिस: mris
बलूत: blun
अप्रिय: pren
आविष्कार: hgic
पियानो: pyon
मनाना: swen
अदृश्य: gric
श्रुत: ryun
क्रूरता: kluk
प्रलोभन: hyoc
TELICपहलू: hlep
आर्थिक: kfik
अंतरराष्ट्रीय: troc
हस्तक्षेप: tcek
दार्शनिक: flif
शिष्ट: gyit
कल्याण: kyen
मछलीपकड़ना: mlak
चुराना: truc
ओंठ: hloc
रिटायर: ryac
खिंचाव: sras
गेलरी: glen
समानांतर: zlan
atelicपहलू: htep
महाद्वीप: trap
निषेधात्मकमनोदशा: nrim
टाई: dwat
सेल: slep
अंडा: dyan
कृत्रिम: jrat
इसबीच: nwis
संकट: ksot
सभ्य: sloc
लंच: lyon
देवदार: pwon
धक्कादें: hcef
गठबंधन: lyen
कमर: hkop
चमत्कार: hmek
नाविक: slis
पवित्रता: prut
गणतंत्र: hguk
टेलीफोन: tfen
कोड़ा: krip
कमीज: cyim
परिचयकराना: ryas
सोफ़ा: hsof
घुमाव: hsup
चोर: ksif
बनाएरखनेके: nrec
चैनल: kcen
व्यक्तित्व: klim
सुधार: kfam
धमकी: hzim
हथेली: plim
वक्ता: hzak
डेवढ़ी: dwic
प्रेरितकरना: pris
भाला: bzak
स्वच्छ: syec
अधिवेशन: cwen
यंत्रणा: crot
नम: tcum
चोटी: grit
यात्री: hyek
चक्की: mwik
नक्शा: jrac
कॉलर: klok
कीजगह: klif
जान-बूझकर: drat
बीयर: hbif
मख़मली: hwem
गंभीरता: gwit
उपदेश: hpum
गाली: glas
झुण्ड: hgen
तेरह: tres
औचित्यसाबित: jyit
शुक्रवार: crum
ब्रश: broc
डाउनलोड: dlas
क्रीम: krem
चट्टान: klaf
जूरी: jrin
राक्षस: ksos
जमेहुए: hgoc
पॉट: pfot
पैसे: psen
जोर: srut
सेब: hpep
परचर्चा: drak
पृष्ठभूमि: prun
टाइपकरना: trim
सामयिक: prik
मनोरंजन: nren
वाइरस: bris
बचकाना: blit
प्रतिबिंबित: flit
बदलना: kcet
रूपरेखा: kluc
ओपेरा: hpop
अनुमोदन: nron
प्रकटकरना: rwak
सज़ादेना: hzen
कोहनी: kcon
आसक्ति: tcet
मरम्मत: hrop
संदेहजनक: cyec
सत्तर: swet
इंजील: srip
गड्ढा: grac
विकार: dlak
बाइनरी: byin
ऐबी: bjan
तीर: tcec
करतेहैं: trec
विस्तृत: frat
निष्ठा: hlot
सिक्का: syip
सिहरना: tcem
निर्वासन: gwin
मशीनी: myim
फंदा: crap
केक: kyek
महोदय: cyes
संकोच: sret
सत्रह: syet
मधु: myon
दाँव: dzat
चाल: hjam
ईंट: brit
अस्सी: hpes
दुर्भाग्यसे: pcen
परामर्शकरना: kcot
किंवदंती: lwen
फ़सल: hfos
पदोन्नति: pfon
स्टोव: hsop
विद्रोही: bric
पुरानेढंगका: hnom
महातरंग: cron
दलदल: swot
ड्रेसिंग: hdes
तपस्वी: pces
प्रबंधक: mren
सहगान: cros
तर्कसंगत: tson
प्रसंस्करण: pson
भेड़िया: blaf
गलीचा: hgap
प्राचीनकाल: hjak
उपजाऊ: frut
सीटी: slif
पनीर: twis
काटना: byat
आमंत्रण: jwan
कैथेड्रल: kyet
बन्दरगाह: brak
भटकना: djan
फसलों: tsos
नौसेना: nlen
मुखौटा: mrok
पेंसिल: pses
सब्ज़ी: sroc
एक्ज़िबिट: hzet
पतलून: tlun
दूषण: hrup
मंत्रिमंडल: nram
सूप: srup
सर्जन: syon
भत्ता: tcot
जासूस: gyas
लापरवाह: hlec
गपशप: gyic
टोकन: hzon
अमूर्त: srok
गुरूवार: cwim
यातायात: ryaf
आर्किटेक्चर: ryek
दरार: rwaf
आभूषण: rwon
उलटा: lwas
मनबहलाना: mwun
वसूली: ksus
फुटपाथ: plut
निर्णयात्मक: dyin
नकारात्मक: nraf
त्यौहार: hfec
कमहो: hrum
राज-द्रोह: zyan
शिकारी: djin
साँप: syen
बैटरी: bret
मोम: flam
जासूसी: dlit
विश्लेषण: nlis
ज़ोर: hzot
तैरना: twen
लिफ़ाफ़ा: lwaf
जोकोई: hgek
सिगरेट: jrit
मोटर: mrot
स्वयंसेवक: hwot
प्रतिक्रिया: ryif
सामान: blam
बहरा: hboc
रस: hjus
विनम्रता: jlit
मंत्रालय: mret
यौन: hjon
व्यास: dyam
कुल्हाड़ी: blac
हीरा: dlam
वैकल्पिक: hlek
गूंज: hgus
संयम: swon
पहचान: hdaf
स्क्रीन: krun
आलसी: lwis
momentaneपहलू: hmop
सघन: kfot
अभिप्राय: hdif
गायब: hgaf
रे: ryen
स्याही: mwic
बड़ा: mraf
तहख़ाना: dyac
अविस्मरणीय: nrun
चमक: klek
सिनेट: slet
ताबूत: tfap
माफी: frac
निगलना: nlun
