инфинитив: ni
subessive-дело: bvih
средство-передвижения-Пол: vlih
минеральная-Пол: xwih
глагол---суффиксов: kxeh
чуткими-радость: pfeh
изменение-из-мероприятие: qrih
другой-мероприятие: txoh
вселенная-Пол: bjih
местонахождение-Пол: lyeh
исследование-Пол: txuh
художественный-Пол: s6
crastinal-напряженный: sl6h
Абстрактные-Пол: sruh
экзоцентричный-дело: zrih
переходный-глагол: tfoh
мимо-совершенный: tr6h
непрямой-речь: dyeh
второй-язык: sr6h
коллектив-имя-существительное: kxoh
абсолютива-дело: bvuh
пациент-вызывать: pruh
само-уверенность: swuh
возвратный-голос: flah
безличный-глагол: pseh
модальный-дело: dleh
неодушевленный-Пол: djih
причинный: kruh
propositive-настроение: pxoh
электрический-текущий: breh
ассоциативный-дело: sloh
превосходный-дело: sluh
планетарный-Пол: pxeh
взаимная-голос: syoh
ядро-благословляющий: kfeh
еще---если: kyeh
последующий-пункт: lyoh
скоро-будущее-напряженный: rwuh
аппликативны-голос: pyuh
antipassive-голос: ps6h
continuative-аспект: tfuh
necessitative-настроение: nr6h
Один-действие-глагол: qyah
превосходный-степень: tluh
экзистенциальный-пункт: sy6h
настоящее-время-причастие: vrah
светящийся-интенсивность: kyuh
singulative-номер: glih
пассивный-причастие: pfoh
чрезмерное-продолжительность: kxuh
количество-из-вещество: m6
послелоги-дело: pwoh
факультативный-квантификатором: vwih
вставной-морфема: p6
негативный-квантификатором: gwah
соединительный-частица: qyih
дистанционный-пульт-будущее напряженный: tl6h
многократный-аспект: f6
дистрибутивный-местоимение: bzih
назидательная-речь-соглашение: ks6h
универсальный-квантификатором: xlah
с-плавающей-точкой номер: fu
экзистенциальный-квантификатором: sweh
альтернатива-квантификатором: l6
мимо-пассивный-причастие: xyih
местный-направленный-дело: kfoh
контрфактическое-условный: fyoh
