infinitivo: hnit
o-suficiente: kyat
em-breve: hpuc
cheio: hcun
quarto: hfac
quase: hlap
não-podes: nyat
água: hwik
desiderativa-humor: hdin
claro: lyak
nem: hnun
palavra: slat
porta: tyan
uso: hpus
manhã: hsap
terminativo-caso: twik
poder: hkuk
si-mesmos: hmis
presente: hyin
voz: hwas
branco: hpis
dinheiro: tlan
Próximo: kyak
pobre: hyis
morte: hmut
Formato: hfam
inessive-caso: nwik
tipo: tyac
frequentemente: tsan
ano: nwan
amigos: myat
ordem: hyut
imperativo-humor: hpim
volta: hcut
acreditar: hban
público: hpin
Estado-contexto: hsas
filho: psat
cem: hmas
crianças: hcis
assim: tyak
esperança: hcap
acima: hyip
Prezada: pyin
ler: pyac
cidade: hsic
já: hpic
fato: hfat
factive-comprobatório: hfit
ouvir: hsun
mínimo: hmim
possivelmente: pyat
aberto: kcat
corpo: tcic
ar: cwac
natureza: nyit
Socorro: mlat
carta: lyat
quatro: ksat
optativo-humor: hpam
fogo: hfak
portanto: hyif
hora: hcam
livre: tyit
guerra: syat
se: hsaf
razão: kyan
unido: hnut
ligar: hkuc
porque: hwam
perdido: hkut
mil: tsas
família: hfic
alma: twam
questão: swac
cuidado: kcan
realis-humor: hlin
significar: mwit
potencial-humor: hten
em-direção: cyan
alativo-caso: lwik
antrópico-gênero: hrin
baixo: kyut
capaz: hyuk
ao-vivo: hkip
assunto: hsek
mesmo-sujeito-marcador: hcek
diferente-sujeito: hfek
responda: tsat
mar: mwat
medo: hcoc
compreender: pcat
difícil: kyin
condições: tyut
dúvida: hdac
dubitativo-humor: twin
perguntar: psan
braços: tcas
preto: clis
trazer: tyat
bela: ksis
escuro: tcak
aguarde: psak
dez: htaf
mostra: pyan
história: hkif
comum: kwan
reservar: hkup
eletrônico: lyin
conversa: plak
marca: myac
interesse: nyis
Escreva: kcit
cama: pwat
necessário: syis
idéia: hwis
arte: klat
Vialis-caso: hlas
irmão: pyak
às-vezes: ksas
linha: lyan
mesa: tlas
rio: nwit
olho: kyac
informação: fyin
de-repente: tfan
estranho: hgan
profundo: ksan
alterar: hrit
sentindo-me: nwac
Conheçer: mlit
propósito: htuc
feliz: hcuc
parecer: syit
sangue: cyac
rosa: kwas
sul: swan
frio: tlat
para-a-frente: myik
posição: psis
atrasado: tyam
ficar-de-pé: syan
supor: nlas
filha: pyit
meu: myan
cortar: hkim
cópia: hfap
marido: hgat
seis: hlis
lembrar: twat
efeito: hyaf
cair: htuk
exceto: hsip
cabelo: hpaf
passar: pyas
direitos-autorais: pcit
exército: cyit
corre: kcak
cavalo: kcas
futuro: hwic
oeste: pcak
pagamento: plit
vermelho: hyun
ouro: tcun
desejo: hdan
Toque: plin
dominar: mwas
escritório: hfus
governo: syak
Igreja: kyas
comprimento: hlen
companhia: ksin
papel: kyis
probabilidade: hbin
especialmente: cyas
Urso: pcas
janela: cyak
acordo: hgac
beleza: syac
dever: tfac
mandar: fyan
distância: htif
silêncio: slan
pé: fyat
selvagem: kyik
morrer: myam
Guardar: pfan
verde: kcin
problema: mlan
sorrir: myak
errado: clat
vários: pcin
dorme: slit
quotative-caso: kwik
começo: cwan
açao: kfan
visita: fwat
Segue: nlan
experimentar: tcis
presença: psit
doce: tlit
rico: tcin
inimigo: tcam
navio: hcip
condição: kyit
Incluindo: hkum
inclusivo-pessoa: hlon
segredo: kwit
precative-humor: pwim
educado-registrar: hbit
mal: pwac
Março: myas
tanto-faz: kwac
fique: hlam
ao-invés: plat
azul: plan
impossível: psap
escola: hsuk
ocasião: ksac
casado: nwat
Comida: hcuk
vinte: tsis
quieto: tcit
facilmente: hnis
em-perspectiva-aspecto: hrap
idioma: lyac
expressão: syas
semana: hsus
corredor: hcum
perigo: kcic
propriedade: myit
nascermos: nyan
quadra: kcut
geralmente: tyap
sentencioso-aspecto: hmip
que-vale-a pena: tyas
simples: syap
árvore: pyic
luta: pyap
parede: twit
céu: cwak
incoativo-aspecto: htip
jussivo-humor: hjin
tom: twun
consideração: klan
esperado: pcik
mês: hmaf
experiência: nyap
inteiramente: nyac
fresco: tsac
duque: hnuk
coberto: kwak
limite: hyim
leste: tyuk
pedra: pwan
um-pouco: kfat
direção: tlac
cadeira: kwis
apoio: syut
encontro: tyic
aldeia: klac
campo: clit
permissão: nwin
permissivo-humor: hmom
sucesso: slak
adequado: hric
monte: clin
música: ksik
distal-demonstrativo: hdat
tarde: htup
chora: hyuc
honra: hnaf
Sete: swit
particular: pfat
notícia: nwas
cena: slac
jardim: cyam
corrida: htus
distributivo-caso: twak
aprender: clan
político: syik
mentira: kcun
elenco: tsak
comer: kcam
andar: hlaf
doente: pwin
original: mlin
verão: kyam
religião: tlam
fotografia: ksit
escapar: plap
autor: hlut
Castanho: pyun
determinado: htem
dor: hdon
Primavera: psin
século: syic
suave: mwan
canto: kyun
produzir: psas
rir: cyaf
esqueço: flat
Europa: hyup
oito: lwat
vestido: lwac
terrível: cyap
respiração: syaf
sábio: hbas
possessivo-marcador: srak
memória: myin
moderno: fwan
local: tcap
ascensão: hyus
parar: pyik
cinquenta: hfis
ilha: tlap
tocar: hsuc
promessa: pcam
comissiva-humor: mwin
grau: tfat
plano: plac
conduta: nyak
surpresa: cran
minuto: hmun
tiro: hwut
pior: pcap
vidro: klak
exemplo: tlin
seguro: hsif
médico: tsit
completivo-aspecto: hmep
repetiu: tyun
militares: slin
caloroso: nyam
bebe: pfin
questões: pcaf
raiva: nran
diretamente: tyik
chapéu: hcup
cão: kwap
servo: hnuc
orgulho: hram
multidão: tcuc
trem: nyin
moral: myut
associado: kyim
entrar: fyak
regra: nyas
espada: cwat
ataque: kfak
saúde: clac
parágrafo: pyaf
social: hsum
restituição: tfit
desculpa: hpec
coragem: krac
graça: hnen
oficial: hfaf
forneceram: tsik
pedido: pwit
relance: klas
movimento: hyon
esperar: cwit
oposto: psam
doze: tyaf
contratado: nyut
vinho: hwun
gosto: swut
ferro: fyac
distribuir: syin
comércio: myap
vantagem: twac
roupas: kfip
juiz: fwak
diferença: tfaf
ansioso: kcis
capitão: kwin
acabado: nlat
cessação-aspecto: hsep
curioso: kyic
estrangeiro: kwic
intensificador: hnif
importância: myun
finalmente: hfim
conta: fwin
provar: hpuk
evita: flan
pescoço: cyun
legal: hfik
seco: swak
servir: syam
perder: pcut
evidência: pyut
comprobatório-caso: hdak
progresso: pyis
construção: klit
pesquisa: syuc
triste: hrac
pecado: psip
trinta: tfis
honesto: tsin
fechar: kyap
banco: pcun
destino: cyik
floresta: hfun
medida: mlac
caso-contrário: htoc
corrente: lyam
pão: hpup
adicional: tfak
escolher: twas
animal: nwam
zóico-gênero: hzin
Eventive-humor: hwim
mesmo-evento-marcador: hcom
multiplicativo-caso: tlak
espesso: hmus
criatura: hyum
chuva: myic
superfície: pfas
piedosos: swis
julho: clim
relatório: hfut
costa: pwas
arquivo: hfif
ombro: cwut
surpreso: kran
real: klik
canção: hkuf
conforto: kfaf
alguém: nyic
grama: kcap
desenhar: cwik
abertura: cyic
junho: cwun
peixe: mlic
capital: klin
mama: cyut
neve: hcif
educação: tlik
afiado: tcaf
pena: hdam
despesa: fyas
Sua: hmuc
milhão: mlun
cansado: tcik
matar: ksam
sombra: cwap
peso: plas
massa: mlas
estabelecido: tlip
bravo: pyam
fino: plic
satisfeito: srat
Verifica: kcik
virtude: hdet
nacional: nyaf
divino: swin
vale: clak
adivinhar: kwam
especulativo-humor: hken
amarelo: clas
permanece: mwac
dobrado: nlac
caixa: pwak
estação: tsim
ciência: slas
perfuração: kcuc
tio: hmuk
Lista: lyit
agosto: ksut
popular: hlup
desconhecido: fyit
familiar: flak
familiar-registrar: krit
leitor: tsut
abordagem: pcuc
duas-vezes: tsap
intelectual: tfik
verdadeiramente: tsam
sacerdote: pcis
feridos: fran
tristeza: hpom
palácio: kfas
batida: clap
Eh?: hnec
enganar: myuk
borda: pfac
nove: nwun
explosão: psut
sofrer: tfas
barulho: hcus
literatura: lyic
conselho: swas
vazio: kcuk
categoria: psik
tempestade: tcut
bolso: kyip
imaginação: nlin
frase: cwas
novembro: nwap
dezembro: tsip
ausência: psic
obrigado: ryak
endereço: tyis
pássaro: pyuc
proprietário: mlik
casaco: kwut
preparar: tyip
relações: lwan
fumaça: htum
janeiro: nwak
máquina: clic
conteúdo: nyik
dentes: tlis
vergonha: hcet
baía: kcaf
cérebro: pyuk
anel: klic
frase-marcador: frak
Praça: ksap
fruta: fyut
chá: tsic
explicar: slam
bem-vindo: cwam
poesia: pwis
comprar: klam
fiel: hdic
excitação: hcen
quarenta: klis
abril: pyip
amavelmente: kfit
outubro: kfap
amargo: kyuc
escravo: tlaf
solto: hluk
texto: tsus
crédito: cyip
quinze: pfit
cruel: kcim
Junte-se: cluc
processo: hpif
crime: kyaf
poeira: tsuc
prático: plik
cor: nlak
destruir: nyuc
aumentar: lyas
nariz: hnus
Admitem: tyim
ontem: kfac
hesternal-tenso: tlen
falhou: slap
continuar: tcim
usar: pwam
cego: nlit
dúzia: tsun
mosca: fyap
louvor: cwin
diabo: cwaf
gradualmente: twic
sacrifício: kyif
exercício: cyis
consciência: tfin
teoria: tlic
ministro: myis
ódio: hnet
lago: cwic
centro: syun
desmaiar: pfic
racional-gênero: hron
cuidadoso: fwac
apreciar: nlam
adoração: pwap
bens: twap
pele: twaf
cobertura: tlut
coroa: gyan
castelo: klap
trono: tcus
anexado: nlaf
milha: mlim
extremo: krim
prisão: fyis
copo: kcip
membro: mlam
civil: syim
em-toda-parte: tsaf
evidente: tfic
casal: pwaf
volume: clam
personalizadas: ksaf
curva: ksun
terno: slut
eu-no: mwak
leite: hluc
vegetal-gênero: hwen
visão: slic
raro: nlap
prima: ksic
ponte: pwut
proteger: pfak
sal: swam
inocente: hwus
rainha: kwim
contagem: kcus
curiosidade: hras
dança: tyus
hotel: clut
preencher: flin
prisioneiro: psun
loja: hjan
escada: sric
implorar: hmen
areia: sran
violento: hgit
setembro: hsem
saída: prac
ruína: crin
habilidade: krin
gado: hwec
equipamento: hwip
cozinha: hkon
vender: hbak
velocidade: hsot
conclusão: clon
computador: hkot
eterno: hsen
limitado: mrit
biblioteca: hbek
base: hbac
confusão: hrun
glorioso: cris
Da-mesma-forma: hjic
amedrontado: hbic
infeliz: prin
artigo: hrek
cozinhar: kfin
banda: hbat
deserto: hget
beijo: hbun
bola: hbot
bastão: hpot
argumento: hrut
observar: nrak
bênção-humor: hbim
impressionante: hrim
culpado: hdis
pistola: hgin
polícia: plis
esconder: hzan
expedição: srin
ignorante: nrin
generoso: drac
nuvem: blan
desperdício: htek
fevereiro: frif
doença: hren
gastar: bwan
fonte: sron
iniciativa-caso: hnok
tia: hbam
demora: dlic
atrasado-imperativo: hlip
relatado-comprobatório: prat
meia-noite: dyit
herói: nrac
filosofia: hfof
dedo: hjit
confortável: hzat
em-algum-lugar: hmoc
pressione: bran
funcionários: hraf
recompensa: rwan
culpa: dlac
miséria: krat
testa: htec
de-Anúncios: glan
anjo: htet
singular-número: hgam
alvorecer: hbon
comercial: krak
perdoar: pran
ovelha: hcec
paciência: hpen
Fazenda: crac
referencial: hrec
milho: mran
chave: kcif
maioria: hmot
fraqueza: hdut
atmosfera: traf
suspiro: tcoc
humanidade: mlis
oposição: pric
disco: hdik
solitário: hket
artista: nrat
cavaleiro: cwis
charme: tran
decisão: drin
governador: gran
filial: rwac
disposição: hsoc
entusiasmo: tsum
indutivo-humor: hdum
comunidade: hmum
óleo: hyen
cachimbo: hbap
imprimir: trat
ó: dyoc
discurso-contexto: hros
vocativo-caso: hwok
cabine: ksen
alarme: plam
nervoso: hnes
permanente: hset
faca: ksuk
seda: slik
desprezo: grin
inferno: nrik
separado: plen
a-sério: mrat
misturado: mrik
de-madeira: mrak
preferir: hpet
aviso: trin
admoestação-humor: htom
impulso: hmos
ambição: mrac
negar: hnek
constituição: swic
instrumento: srit
contínuo-aspecto: hnip
maré: hgas
escola-Superior: klen
cauda: hkek
geração: nric
gato: blat
direto-comprobatório: hret
abandonado: trac
onze: hyec
instinto: nlik
característica: trit
tribo: hgik
apreensivo-humor: pcim
abrigo: crat
grosseiro: hruc
equitação: hris
agitar: hmon
indústria: hdot
profissão: hres
lâmpada: hdap
café: kfif
obedecer: htot
norte: nrit
enfermeira: nris
assegurar: hjat
cadeia: ryin
ensino: cric
sapatos: hgut
jarda: mram
vago: hmec
em-outro-lugar: hlet
apartamento: pret
atividade: twot
sábado: cram
luz-do-sol: hduc
viúva: hwuc
elemento: hlem
reflexão: hfen
organização: hgis
estrela: tram
incidente: hgon
hóspede: hgip
Barra: brap
garrafa: hbet
abençoar: blak
mexer: crak
interior: trik
consertar: krik
derivar: prit
oco: hcot
província: hpos
civilização: srac
aguentar: hgak
choque: crok
exceção: swap
cepa: tren
padrão: ryan
dirigindo: dran
livrar: hruk
jurar: kses
tesouro: zran
semente: hbis
torre: tras
favorito: fwit
recentemente: hcem
recente-passado-tenso: hrot
acordado: srik
mobiliário: mrin
corda: hkos
aventura: hdas
realeza: ryit
festa: dyat
descrever: dras
sessenta: hses
escala: hkem
cerimônia: srec
caça: clik
sussurro: psus
largamente: ryat
cristandade: ksim
advogado: hwif
detalhe: drit
Princesa: hrus
altar: dlat
rede: hwes
roxo: brin
reunir: hkoc
eleição: hben
concepção: kren
bêbado: crik
derramar: brac
elevador: hlif
gesto: hjis
gerir: rwin
intercâmbio: tcen
definido-artigo: hdek
imperador: mras
controlo-remoto: hroc
feio: clup
inofensivo: cras
rolo: hrof
polegada: nlic
jornal: grat
barba: dric
lágrima: srim
comissão: kson
enquanto-que: grak
cruzamento: kcoc
independência: htes
cheiro: hwon
dezoito: hdec
histórico: tris
bruto: krut
raiz: hrok
lama: hbik
noiva: dlan
véu: pras
teatro: tret
comparação: kras
rival: rwis
equilibrar: slen
treinador: kron
humor: hnum
romance: rwas
vingança: hbaf
ciumento: ryut
roda: hlok
queimado: glat
Flash: flac
crio: hkec
conflito: hnot
maldição: hlos
imprecatório-humor: pram
desamparado: hces
positivo: hzit
clube: klup
inundar: nras
grão: gwan
indiferença: hdun
horizonte: crim
pretensioso-humor: hsom
íngreme: htop
harmonia: mron
trovão: hgot
infância: htok
joelho: hgun
Programas: pwen
ferimento: kram
recibo: ryis
habilitar: nlim
prótase: hpoc
deslize: slok
revolução: hrif
agricultor: hjim
golpe: trak
plataforma: hpof
mensageiro: hmes
privilégio: hpek
organizado: hyot
aluna: clen
caverna: hgec
tradição: rwat
tragédia: tses
despedida: hjap
crítica: ryik
algodão: krap
hospital: slot
arrendar: kris
gás: hges
inevitável: pwic
mortal: hgim
folha: glit
publicação: plun
hostil: tsup
tradução: dwan
funeral: jran
farinha: mrun
correspondência: ryon
romântico: hrom
cabana: clun
propor: psot
mimético: hmet
dólar: dlon
luz-do-dia: hjac
dezesseis: hsos
montagem: hzac
colônia: klon
asa: gyin
leão: hles
cultura: klut
coluna: hkom
destreza: glak
drama: dram
gracejo: hjuc
névoa: hdus
medicamento: dwas
catorze: hkes
ácido: sram
nomeadamente: hyet
renda: hmok
bispo: hbip
laranja: tron
banho: byan
primitivo: rwit
cesta: ksek
secretário: sris
palha: prak
impaciente: pfif
salvação: slon
hodierno-tenso: dlin
pretender: zrin
vapor: tcip
veneno: hwoc
talento: tlon
clima: lwim
eficaz: fric
distinguir: tcif
lavagem: dwac
confissão: kfis
absurdo: hjas
carvão: kyon
canoa: kwon
temporário: tric
delimitative-aspecto: hdip
osso: hcos
Segunda-feira: nwic
terça-feira: glac
quarta-feira: bwac
federal: frin
desejável: hzic
representante: ryic
linho: lwin
lavatório: swuk
sobrinho: bwin
sangrento: kric
cerco: cren
estômago: hpem
bronze: pcon
cimeira: hzik
quinto: pfik
barato: brat
exclusivo-pessoa: kwen
apreender: zrat
cerca: hzas
estátua: tfam
artilharia: tlep
abraço: mrap
em-torno-da: sren
estritamente: srot
cervo: hluf
arbusto: hbuc
estrada-de-ferro: hrep
descarga: hduk
herdeiro: mris
carvalho: blun
desagradável: pren
invenção: hgic
piano: pyon
persuadir: swen
invisível: gric
bem-conhecido: ryun
crueldade: kluk
tentação: hyoc
telic-aspecto: hlep
econômico: kfik
internacional: troc
interferir: tcek
filósofo: flif
elegante: gyit
bem-estar: kyen
pescaria: mlak
roubar: truc
lábio: hloc
aposentar: ryac
alongamento: sras
galeria: glen
paralelo: zlan
atelic-aspecto: htep
continente: trap
proibitivo-humor: nrim
gravata: dwat
célula: slep
ovo: dyan
artificial: jrat
Enquanto-isso: nwis
crise: ksot
educado: sloc
almoço: lyon
pinho: pwon
empurrar: hcef
aliança: lyen
cintura: hkop
milagre: hmek
marinheiro: slis
pureza: prut
república: hguk
telefone: tfen
chicote: krip
camisa: cyim
introduzir: ryas
sofá: hsof
varrer: hsup
ladrao: ksif
reter: nrec
canal: kcen
personalidade: klim
reforma: kfam
ameaçador: hzim
palma: plim
alto-falante: hzak
limiar: dwic
induzir: pris
lança: bzak
arrumado: syec
sessão: cwen
tortura: crot
úmido: tcum
cume: grit
viajante: hyek
moinho: mwik
mapa: jrac
colarinho: klok
substituir: klif
deliberadamente: drat
cerveja: hbif
veludo: hwem
gravidade: gwit
sermão: hpum
Abuso: glas
rebanho: hgen
treze: tres
justificar: jyit
Sexta-feira: crum
escova: broc
baixar: dlas
creme: krem
penhasco: klaf
júri: jrin
monstro: ksos
congeladas: hgoc
pote: pfot
centavo: psen
insistir: srut
maçã: hpep
discutir: drak
Antecedentes: prun
transcrever: trim
periódico: prik
diversão: nren
vírus: bris
infantil: blit
refletir: flit
converter: kcet
esboço: kluc
ópera: hpop
aprovação: nron
trair: rwak
punir: hzen
cotovelo: kcon
acessório: tcet
reparar: hrop
suspeito: cyec
setenta: swet
Bíblia: srip
cova: grac
desordem: dlak
binário: byin
abadia: bjan
flecha: tcec
tender: trec
elaborar: frat
fidelidade: hlot
moeda: syip
tremer: tcem
exílio: gwin
mecânico: myim
armadilha: crap
bolo: kyek
senhor: cyes
hesitar: sret
dezessete: syet
mel: myon
estaca: dzat
piso: hjam
tijolo: brit
oitenta: hpes
infelizmente: pcen
consultar: kcot
lenda: lwen
colheita: hfos
promoção: pfon
fogão: hsop
rebelde: bric
antiquado: hnom
inchar: cron
pântano: swot
curativo: hdes
ascético: pces
Gerente: mren
coro: cros
racional: tson
em-processamento: pson
lobo: blaf
tapete: hgap
antiguidade: hjak
fértil: frut
apito: slif
queijo: twis
mordida: byat
convite: jwan
catedral: kyet
porto: brak
vaguear: djan
cultivo: tsos
marinha: nlen
máscara: mrok
lápis: pses
vegetal: sroc
exposição: hzet
calças: tlun
corrupção: hrup
armário: nram
sopa: srup
cirurgião: syon
abono: tcot
espião: gyas
imprudente: hlec
bisbilhotice: gyic
símbolo: hzon
abstrato: srok
quinta-feira: cwim
tráfego: ryaf
arquitetura: ryek
fenda: rwaf
ornamento: rwon
reverso: lwas
divertir: mwun
recuperação: ksus
calçada: plut
decisivo: dyin
negativo: nraf
festival: hfec
reduzir: hrum
traição: zyan
caçador: djin
serpente: syen
bateria: bret
cera: flam
detetive: dlit
análise: nlis
ênfase: hzot
nadar: twen
envelope: lwaf
quem-quer-que: hgek
cigarro: jrit
motor: mrot
voluntário: hwot
reação: ryif
Bagagem: blam
surdo: hboc
suco: hjus
humildade: jlit
ministério: mret
sexual: hjon
diâmetro: dyam
machado: blac
diamante: dlam
alternar: hlek
eco: hgus
limitação: swon
identidade: hdaf
tela: krun
preguiçoso: lwis
momentané-aspecto: hmop
compactar: kfot
deriva: hdif
desaparecer: hgaf
raio: ryen
tinta: mwic
maciço: mraf
adega: dyac
memorável: nrun
brilho-intenso: klek
senado: slet
caixão: tfap
perdão: frac
andorinha: nlun
saciar: nlot
balanço: swun
prado: gram
complexo: klos
renúncia: hzis
humilde-registrar: nret
conspiração: swim
Pimenta: prip
pónei: pron
candidato: hzam
Raposa: flik
chaminé: tcon
jurisdição: drik
agricultura: rwic
precisão: tcuk
antigo-falecido: brim
democrático: mrek
broto: hbos
cobertor: bwat
saudar: hgep
porco: srus
em-forma-de: krek
marfim: craf
clássico: ksok
observador: nwet
elefante: lwit
unhas: nwus
abelha: hmif
enterrar: dzan
ator: bzat
suor: zwan
polonês: ploc
ilusão: hlus
incerteza: pcet
secundário: syif
dobra: tsot
rural: grun
gemido: nyen
assemelhar: slec
citar: hzun
saco: cyek
aborrecimento: fren
agulha: hjun
controlada: nroc
frango: truk
consistente: kwot
barril: bras
habitual-aspecto: hcep
especialista: ksec
impressionar: blin
azeitona: zlin
van: myen
obstáculo: bwak
aceno-com-a cabeça: kcec
adotivo: plaf
definição: fyic
aniversário: gjin
martelo: hcof
perfumado: hfon
repetição: trun
trivial: twut
pontapé: hjik
escavação: kwaf
animal-de-estimação: plot
crânio: hcop
legislatura: dlik
salto: cruk
carranca: crun
patente: plet
bilhão: blim
químico: fyik
piloto: pyot
imitar: mlot
saia: kwet
incomumente: srap
semanal: jwik
técnico: tfip
vegetação: tset
Corvo: kraf
nascer-do-sol: sruc
tempo-de-vida: glin
contribuir: hyom
gancho: hdok
tigre: blic
penetrar: crut
manga: slun
auto-estrada: jras
milícia: mlip
vala: kroc
integridade: kret
dezenove: dzin
orgânico: rwik
teologia: flic
flutuador: flut
bruxa: byac
furado: hwuk
diplomático: dyik
estúdio: twos
ultrapassarem: kcok
champanhe: cyen
inspirar: crif
bandeira: hbes
divórcio: lwon
parafuso: hbut
veia: jyan
passiva: psif
espuma: hgum
cascalho: grik
avental: tyen
planeta: gren
prateleira: claf
ventilador: flon
tropical: hjip
fase: fwas
arbitrário: rwen
pronunciar: kfun
mercúrio: krok
rastejar: hrem
suicídio: tcos
repórter: prot
privar: hpok
hábil: klun
varanda: blik
Forquilha: fras
empregado: mlek
empregador: myot
largura: jrak
irritada: djit
acusar: klot
pensão: pyen
verbo: kres
macaco: mwon
aceitável: hwek
assinatura: tlim
ortodoxo: rwos
ironia: fron
berçário: nrap
relutância: jlan
importar: tyot
tocha: croc
gramática: gjak
depósito: gyat
colonial: plon
iate: jyat
conseqüente: kwec
cúpula: kwun
espessura: hfot
teimoso: cyon
músculo: hmup
magnitude: ryam
esfregar: ryos
covardemente: rwam
arreios: gwac
torrada: tros
rato: myus
sílaba: slim
pancadinha: prap
diálogo: dlaf
neutro: nrot
diligência: dwin
contradição: trot
alcançar: kfic
cabra: byak
florescer: hfet
impor: mlon
anônimo: nwim
formal-registrar: frit
bezerro: hbof
manual: mwut
fundição: hjec
excluir: flas
guarda-chuva: gras
bota: bzut
mineral: mrim
trégua: crus
Pato: hbok
planejamento: pfam
sabão: hsuf
boneca: gwak
esqueleto: klet
vila: blis
de-costura: jlin
conciliar: dyak
chaleira: kset
maduro: mruc
Coelho: kruc
condutor: nwot
dependência: djat
jogador: jlic
inseto: pset
restaurante: cret
coruja: lwun
radical: djik
residente: zwin
Dragão: dron
auditivo-comprobatório: drot
com-sede: kyos
demorar: dren
cálculo: glun
regulamento: ryim
prefeito: mlap
minoria: mric
aquisição: dwon
veterano: bren
orquestra: ryes
bacon: bjin
desvantagem: zwat
tecido: frap
músico: gzik
mentalmente: hnep
conjunção: nyon
insuficiente: nrip
arquiteto: tsek
limão: nyim
tosse: kcos
dor-de-cabeça: crek
inquilino: ryet
fertilidade: srun
curar: hfoc
noventa: nwon
acaso: hbec
colher: kcek
balão: blon
giz: hfip
inferencial-comprobatório: nlet
editor: pcot
vinagre: sruk
cinza: fyec
expletivo: slek
reviver: nrut
suscetível: kfim
túnel: tfun
quebra-cabeça: hpef
mecanismo: mwim
matemática: gzit
desvanecer: frun
fígado: jwin
Sublative-caso: bwik
mergulho: dris
unidade: twim
monopólio: hnop
jogos-de-azar: hgup
submarino: bzin
terremoto: hbem
laboratório: brot
cortiça: kruk
auto-ao-controle: syot
Buda: hbus
tricotar: bjat
embaixada: blas
o-mais-distante: sres
declarativo-humor: drim
estímulo: tyuc
chocolate: clot
coincidência: tyon
luva: gwat
ajoelhar: hjek
geografia: hjif
investimento: nwes
verbal: mrec
analogia: nlip
secular: srek
falcão: blap
psicologia: nloc
prender: gjan
fragmento: krep
Função: cyum
dose: hdos
salmão: slom
pudim: pwun
magnético: gyik
bomba: pcom
oxigênio: ksip
certificado: tfot
medalha: hmem
retórica: trok
raspar: rwap
remo: dyas
telescópio: trip
colar: clek
soletração: prif
uísque: hwos
salgueiro: hwof
camelo: hlum
amador: myet
Saída: crec
biografia: brif
asno: gzac
mensal: mwis
ignorar: nruk
férias: byit
clique: lyik
oval: twon
elástico: lyet
dicionário: kfon
presunto: gzam
arco-Iris: rwun
consumir: kcum
cuspir: tcup
tanque: trek
colega: clok
borboleta: trif
gráfico: graf
gêmeo: jwat
independentemente: trem
bambu: hbum
negociante: jlat
acumulação: kles
inspetor: nyet
bocado: hyos
pesadelo: hbom
geléia: gjam
museu: mrem
alfabeto: lwam
espalhar: zras
incursão: crip
divulgar: clus
podridão: fraf
agressivo: gris
