Infinitiv: ni
nicht-Mensch: n6
abschwäche: nyuh
multal-Nummer: mloh
trans-Ziffer: ts6h
Galaxis-Geschlecht: gjah
Tschüss: jwah
Abessiv-Fall: bvah
Adessiv-Fall: dvih
zu-Fall: kxah
Agens-Fall: dveh
Agent-auslösen: greh
Darsteller-Rolle: nruh
verbreitet-Geschlecht: k6
Begleiter: kloh
passiv-Stimme: pyoh
Star-Geschlecht: qrah
Zitat-bilden: xu
verbal-Substantiv: xlih
Klausel--tail: kluh
direkt-Objekt: rweh
ergative-Fall: gvih
in---Sprache: byih
Lokativ-Fall: kwoh
adverbial-Fall: vlah
Finale-Teilchen: nluh
evitative-Fall: ve
besitzergreifend-Fall: kfih
Substantivierung: mleh
besessen-Fall: djah
Hilfs--Verb: fyih
primär-Objekt: myuh
antessive-Fall: nleh
animieren-Geschlecht: xrih
subessive-Fall: bvih
Fahrzeug-Geschlecht: vlih
Mineral-Geschlecht: xwih
Verb---Endung: kxeh
einfühlsam-Freude: pfeh
Veränderung-von-Event: qrih
anders-Event: txoh
Universum-Geschlecht: bjih
Gegend-Geschlecht: lyeh
Forschung-Geschlecht: txuh
künstlerisch-Geschlecht: s6
crastinal-Tempus: sl6h
abstrakt-Geschlecht: sruh
exocentric-Fall: zrih
transitiv-Verb: tfoh
Vergangenheit-perfektiv: tr6h
indirekt-Rede: dyeh
zweite-Sprache: sr6h
Kollektiv-Substantiv: kxoh
absolutive-Fall: bvuh
geduldig-auslösen: pruh
selbst-Vertrauen: swuh
reflexiv-Stimme: flah
unpersönlich-Verb: pseh
modal-Fall: dleh
unbelebt-Geschlecht: djih
kausativ: kruh
propositive-Stimmung: pxoh
elektrisch-Strom: breh
assoziativ-Fall: sloh
Superlativ-Fall: sluh
Planeten--Geschlecht: pxeh
reziprok-Stimme: syoh
Ader-benefactive: kfeh
else-if: kyeh
aufeinanderfolgende-Klausel: lyoh
bald-Zukunft-Tempus: rwuh
applicative-Stimme: pyuh
Antipassiv-Stimme: ps6h
weiter-Aspekt: tfuh
necessitative-Stimmung: nr6h
Single-Aktion-Verb: qyah
Superlativ-Grad: tluh
Existenz-Klausel: sy6h
Geschenk-Partizip: vrah
leuchtend-Intensität: kyuh
singulative-Nummer: glih
passiv-Partizip: pfoh
übertrieben-Dauer: kxuh
Menge-von-Substanz: m6
postpositional-Fall: pwoh
Wahl--Quantor: vwih
epenthetic-Morphem: p6
negatory-Quantor: gwah
verbindend-Teilchen: qyih
entfernt-Zukunft-Tempus: tl6h
frequentative-Aspekt: f6
distributive-Pronomen: bzih
Ansprache-Zustimmung: ks6h
Universal--Quantor: xlah
Floating-Point---Zahl: fu
existentielle-Quantor: sweh
Alternative-Quantor: l6
Vergangenheit-passiv-Partizip: xyih
Lokativ-Richtungs--Fall: kfoh
kontra-bedingt: fyoh
