infinitiv: hnit
råd: swas
tömma: kcuk
rang: psik
storm: tcut
ficka: kyip
fantasi: nlin
mening: cwas
november: nwap
december: tsip
frånvaro: psic
tacka: ryak
adress: tyis
fågel: pyuc
ägare: mlik
täcka: kwut
förbereda: tyip
relationer: lwan
rök: htum
januari: nwak
maskin: clic
innehåll: nyik
tänder: tlis
skam: hcet
bukt: kcaf
hjärna: pyuk
ringa: klic
fras-markör: frak
fyrkant: ksap
frukt: fyut
te: tsic
förklara: slam
välkomna: cwam
poesi: pwis
köpa: klam
trogen: hdic
spänning: hcen
fyrtio: klis
april: pyip
vänligt: kfit
oktober: kfap
bitter: kyuc
slav: tlaf
lösa: hluk
text: tsus
kreditera: cyip
femton: pfit
grym: kcim
ansluta-sig: cluc
behandla: hpif
brottslighet: kyaf
damm: tsuc
praktisk: plik
färg: nlak
förstöra: nyuc
öka: lyas
näsa: hnus
erkänna: tyim
i-går: kfac
hesternal-spänd: tlen
misslyckas: slap
Fortsätt: tcim
Bär: pwam
blind: nlit
dussin: tsun
flyga: fyap
beröm: cwin
jäkel: cwaf
gradvis: twic
offra: kyif
träning: cyis
samvete: tfin
teori: tlic
minister: myis
hat: hnet
sjö: cwic
centrum: syun
svag: pfic
rationell-kön: hron
försiktig: fwac
njut-av: nlam
dyrkan: pwap
gods: twap
hud: twaf
tak: tlut
krona: gyan
slott: klap
tron: tcus
bifogad: nlaf
mile: mlim
extrem: krim
fängelse: fyis
kopp: kcip
medlem: mlam
civil: syim
överallt: tsaf
uppenbar: tfic
par: pwaf
volym: clam
beställnings-: ksaf
rosett: ksun
kostym: slut
kött: mwak
mjölk: hluc
vegetal-kön: hwen
vision: slic
sällsynt: nlap
kusin: ksic
bro: pwut
skydda: pfak
salt-: swam
oskyldig: hwus
drottning: kwim
räkna: kcus
nyfikenhet: hras
dansa: tyus
hotell: clut
fylla: flin
fånge: psun
handla: hjan
trappa: sric
tigga: hmen
sand: sran
våldsam: hgit
september: hsem
avresa: prac
ruin: crin
skicklighet: krin
nötkreatur: hwec
utrustning: hwip
kök: hkon
sälja: hbak
fart: hsot
slutsats: clon
dator: hkot
evig: hsen
begränsad: mrit
bibliotek: hbek
bas: hbac
förvirring: hrun
härlig: cris
likaledes: hjic
skrämd: hbic
olycklig: prin
artikel: hrek
kock: kfin
band: hbat
öken-: hget
kyss: hbun
boll: hbot
pinne: hpot
argument: hrut
observera: nrak
välsignelse-humör: hbim
slående: hrim
skyldig: hdis
pistol: hgin
polis: plis
dölja: hzan
expedition: srin
okunnig: nrin
generös: drac
moln: blan
avfall: htek
februari: frif
sjukdom: hren
spendera: bwan
källa: sron
initiativ-fall: hnok
moster: hbam
dröjsmål: dlic
försenad-nödvändigt: hlip
rapporterad-bevis: prat
midnatt: dyit
hjälte: nrac
filosofi: hfof
finger: hjit
bekväm: hzat
någonstans: hmoc
Tryck: bran
personal: hraf
belöning: rwan
skylla-på: dlac
elände: krat
panna: htec
a.d: glan
ängel: htet
singularis-antal: hgam
gryning: hbon
kommersiell: krak
förlåta: pran
får: hcec
tålamod: hpen
odla: crac
referential: hrec
majs: mran
nyckel-: kcif
majoritet: hmot
svaghet: hdut
atmosfär: traf
suck: tcoc
humanitet: mlis
opposition: pric
disk: hdik
ensam: hket
konstnär: nrat
riddare: cwis
charm: tran
beslut: drin
guvernör: gran
gren: rwac
disposition: hsoc
entusiasm: tsum
induktiv-humör: hdum
gemenskap: hmum
olja: hyen
rör: hbap
skriva-ut: trat
åh: dyoc
samtala-sammanhang: hros
vokativ-fall: hwok
stuga: ksen
larm: plam
nervös: hnes
permanent: hset
kniv: ksuk
silke: slik
förakt: grin
Helvete: nrik
separerat: plen
allvarligt: mrat
blandad: mrik
trä-: mrak
föredra: hpet
varning: trin
förmaning-humör: htom
impuls: hmos
ambition: mrac
förneka: hnek
konstitution: swic
instrument: srit
kontinuerlig-aspekt: hnip
tidvatten: hgas
college: klen
svans: hkek
generation: nric
katt: blat
direkt-bevis: hret
övergiven: trac
elva: hyec
instinkt: nlik
karakteristisk: trit
stam: hgik
orolig-humör: pcim
skydd: crat
ohyfsad: hruc
ridning: hris
skaka: hmon
industri: hdot
yrke: hres
lampa: hdap
kaffe: kfif
lyda: htot
norra: nrit
sjuksköterska: nris
försäkra: hjat
kedja: ryin
undervisning: cric
skor: hgut
gård: mram
vag: hmec
någon-annanstans: hlet
lägenhet: pret
aktivitet: twot
lördag: cram
solsken: hduc
änka: hwuc
element: hlem
reflexion: hfen
organisation: hgis
stjärna: tram
incident: hgon
gäst: hgip
bar: brap
flaska: hbet
välsigna: blak
uppståndelse: crak
inre: trik
fixera: krik
härleda: prit
ihålig: hcot
provins: hpos
civilisation: srac
hänga: hgak
chock: crok
undantag: swap
anstränga: tren
standard-: ryan
körning: dran
befria: hruk
svära: kses
skatt: zran
utsäde: hbis
torn: tras
favorit: fwit
nyligen: hcem
nyligen-dåtid-spänd: hrot
vaken: srik
Möbler: mrin
rep: hkos
äventyr: hdas
royalty: ryit
fest: dyat
beskriva: dras
sextio: hses
skala: hkem
ceremoni: srec
jakt: clik
viska: psus
i-stora-drag: ryat
kristendom: ksim
advokat: hwif
detalj: drit
prinsessa: hrus
altare: dlat
web: hwes
lila: brin
samla: hkoc
val: hben
uppfattning: kren
berusad: crik
Häll-i: brac
hiss: hlif
gest: hjis
hantera: rwin
utbyta: tcen
bestämd-artikel: hdek
kejsare: mras
avlägsen: hroc
ful: clup
ofarlig: cras
rulla: hrof
tum: nlic
tidning: grat
skägg: dric
riva: srim
provision: kson
medan: grak
korsning: kcoc
oberoende: htes
lukt: hwon
arton: hdec
historisk: tris
brutto: krut
rot: hrok
lera: hbik
brud: dlan
slöja: pras
teater: tret
jämförelse: kras
rival: rwis
balansera: slen
tränare: kron
humör: hnum
roman: rwas
hämnd: hbaf
svartsjuk: ryut
hjul: hlok
bränd: glat
flash: flac
skapa: hkec
konflikt: hnot
förbannelse: hlos
FÖRBANNANDE-humör: pram
hjälplös: hces
positiv: hzit
klubb: klup
översvämning: nras
spannmål: gwan
likgiltighet: hdun
horisont: crim
assumptive-humör: hsom
brant: htop
harmoni: mron
åska: hgot
barndom: htok
knä: hgun
programvara: pwen
skada: kram
mottagande: ryis
gör-det-möjligt: nlim
Protasis: hpoc
glida: slok
rotation: hrif
jordbrukare: hjim
stroke: trak
plattform: hpof
budbärare: hmes
privilegium: hpek
organiserad: hyot
student: clen
grotta: hgec
tradition: rwat
tragedi: tses
farväl: hjap
kritik: ryik
bomull: krap
sjukhus: slot
hyra: kris
gas: hges
oundviklig: pwic
dödligt: hgim
blad: glit
offentliggörande: plun
fientlig: tsup
översättning: dwan
begravning: jran
mjöl: mrun
korrespondens: ryon
romantisk: hrom
hydda: clun
föreslå: psot
mimetiska: hmet
dollar: dlon
dagsljus: hjac
sexton: hsos
montering: hzac
koloni: klon
vinge: gyin
lejon: hles
kultur: klut
kolumn: hkom
listig: glak
drama: dram
skämt: hjuc
dimma: hdus
medicin: dwas
fjorton: hkes
syra: sram
nämligen: hyet
inkomst: hmok
biskop: hbip
orange: tron
bad: byan
primitiv: rwit
korg: ksek
sekreterare: sris
halm-: prak
otålig: pfif
frälsning: slon
hodiernal-spänd: dlin
avsikt: zrin
ånga: tcip
förgifta: hwoc
talang: tlon
klimat: lwim
effektiv: fric
skilja: tcif
tvätta: dwac
bekännelse: kfis
dumheter: hjas
kol: kyon
kanot: kwon
tillfällig: tric
delimitative-aspekt: hdip
ben: hcos
måndag: nwic
tisdag: glac
onsdag: bwac
federal: frin
önskvärd: hzic
representant: ryic
linne-: lwin
sjunka: swuk
brorson: bwin
blodig: kric
belägring: cren
mage: hpem
mässing: pcon
toppmöte: hzik
femte: pfik
billig: brat
exklusiv-person: kwen
ta-vara-på: zrat
staket: hzas
staty: tfam
artilleri: tlep
omfamning: mrap
omgivande: sren
strikt: srot
rådjur: hluf
buske: hbuc
järnväg: hrep
ansvarsfrihet: hduk
arvinge: mris
ek: blun
obehaglig: pren
uppfinning: hgic
piano: pyon
övertyga,-övertala: swen
osynlig: gric
välkänd: ryun
grymhet: kluk
frestelse: hyoc
Telic-aspekt: hlep
ekonomisk: kfik
internationell: troc
blanda-sig-i: tcek
filosof: flif
elegant: gyit
välfärd: kyen
fiske: mlak
stjäla: truc
läpp: hloc
gå-i-pension: ryac
sträcka: sras
galleri: glen
parallell: zlan
atelic-aspekt: htep
kontinent: trap
hindrande-humör: nrim
slips: dwat
cell: slep
ägg: dyan
artificiell: jrat
under-tiden: nwis
kris: ksot
artig: sloc
lunch: lyon
tall: pwon
skjuta-på: hcef
allians: lyen
midja: hkop
mirakel: hmek
sjöman: slis
renhet: prut
republik: hguk
telefon: tfen
piska: krip
skjorta: cyim
införa: ryas
soffa: hsof
sopa: hsup
tjuv: ksif
behålla: nrec
kanalisera: kcen
personlighet: klim
reformera: kfam
hotfull: hzim
palm: plim
högtalare: hzak
tröskel: dwic
inducera: pris
spjut: bzak
propert: syec
session: cwen
tortyr: crot
fuktig: tcum
ås: grit
resande: hyek
kvarn: mwik
Karta: jrac
krage: klok
byta-ut: klif
avsiktligt: drat
öl: hbif
sammet: hwem
allvar: gwit
predikan: hpum
missbruk: glas
flock: hgen
tretton: tres
rättfärdiga: jyit
fredag: crum
borsta: broc
ladda-ner: dlas
grädde: krem
klippa: klaf
jury: jrin
monster: ksos
frusen: hgoc
pott: pfot
penny: psen
insistera: srut
äpple: hpep
diskutera: drak
bakgrund: prun
transkribera: trim
periodisk: prik
underhållning: nren
virus: bris
barnslig: blit
reflektera: flit
konvertera: kcet
översikt: kluc
opera: hpop
godkännande: nron
förråda: rwak
straffa: hzen
armbåge: kcon
fastsättning: tcet
reparera: hrop
misstänksam: cyec
sjuttio: swet
skriften: srip
grop: grac
oordning: dlak
binär: byin
kloster: bjan
pil: tcec
tendera: trec
utveckla: frat
lojalitet: hlot
mynt: syip
darra: tcem
exil: gwin
mekanisk: myim
fälla: crap
tårta: kyek
sir: cyes
tveka: sret
sjutton: syet
honung: myon
insats: dzat
trampa: hjam
tegel: brit
åttio: hpes
tyvärr: pcen
rådfråga: kcot
legend: lwen
skörda: hfos
främjande: pfon
spis: hsop
rebell: bric
gammaldags: hnom
svälla: cron
träsk: swot
klä-på-sig: hdes
asket: pces
chef: mren
kör: cros
rationell: tson
bearbetning: pson
varg: blaf
matta: hgap
antiken: hjak
bördig: frut
vissla: slif
ost: twis
bita: byat
inbjudan: jwan
katedral: kyet
hamn: brak
vandra: djan
gröda: tsos
marin: nlen
mask: mrok
penna: pses
vegetabilisk: sroc
utställning: hzet
byxor: tlun
korruption: hrup
skåp: nram
soppa: srup
kirurg: syon
ersättning: tcot
spionera: gyas
hänsynslös: hlec
skvaller: gyic
tecken: hzon
abstrakt: srok
torsdag: cwim
trafik: ryaf
arkitektur: ryek
spricka: rwaf
prydnad: rwon
omvänd: lwas
roa: mwun
återhämtning: ksus
trottoar: plut
avgörande: dyin
negativ: nraf
festival: hfec
minska: hrum
förräderi: zyan
jägare: djin
orm: syen
batteri: bret
vax-: flam
detektiv-: dlit
analys: nlis
betoning: hzot
simma: twen
kuvert: lwaf
vem-som-än: hgek
cigarett: jrit
motor-: mrot
volontär-: hwot
reaktion: ryif
bagage: blam
döv: hboc
juice: hjus
ödmjukhet: jlit
departement: mret
sexuell: hjon
diameter: dyam
yxa: blac
diamant-: dlam
alternativ: hlek
eko: hgus
återhållsamhet: swon
identitet: hdaf
skärm: krun
lat: lwis
momentane-aspekt: hmop
kompakt: kfot
drift: hdif
försvinna: hgaf
stråle: ryen
bläck: mwic
massiv: mraf
källare: dyac
minnesvärd: nrun
lysa-skarpt: klek
senat: slet
kista: tfap
förlåtelse: frac
svälja: nlun
unna-sig: nlot
svänga: swun
äng: gram
komplex: klos
resignation: hzis
ödmjuk-registrera: nret
konspiration: swim
peppar: prip
ponny: pron
kandidat: hzam
räv: flik
skorsten: tcon
jurisdiktion: drik
lantbruk: rwic
noggrannhet: tcuk
före-detta-den avlidne: brim
demokratisk: mrek
knopp: hbos
filt: bwat
hagel: hgep
gris: srus
formad: krek
elfenben: craf
klassisk: ksok
observatör: nwet
elefant: lwit
naglar: nwus
bi: hmif
begrava: dzan
skådespelare: bzat
svettas: zwan
polska: ploc
illusion: hlus
osäkerhet: pcet
sekundär: syif
vika-ihop: tsot
lantlig: grun
stöna: nyen
likna: slec
citationstecken: hzun
säck: cyek
irritation: fren
nål: hjun
kontrollerade: nroc
kyckling: truk
konsekvent: kwot
fat: bras
vanlig-aspekt: hcep
expert-: ksec
imponera-på: blin
oliv: zlin
skåpbil: myen
hinder: bwak
nicka: kcec
främja: plaf
definition: fyic
födelsedag: gjin
hammare: hcof
doftande: hfon
upprepning: trun
trivial: twut
sparka: hjik
gräva: kwaf
sällskapsdjur: plot
kranium: hcop
lagstiftande-församling: dlik
häl: cruk
rynka-pannan: crun
patent: plet
miljard: blim
kemisk: fyik
pilot: pyot
imitera: mlot
kjol: kwet
ovanligt: srap
varje-vecka: jwik
teknisk: tfip
vegetation: tset
gala: kraf
soluppgång: sruc
livstid: glin
bidra: hyom
krok: hdok
tiger: blic
penetrera: crut
ärm: slun
motorväg: jras
milis: mlip
dike: kroc
integritet: kret
nitton: dzin
organisk: rwik
teologi: flic
flyta: flut
häxa: byac
uttråkad: hwuk
diplomatisk: dyik
studio: twos
överstiga: kcok
champagne: cyen
inspirera: crif
baner: hbes
äktenskapsskillnad: lwon
bult: hbut
ven: jyan
passiv: psif
skumma: hgum
grus: grik
förkläde: tyen
planet: gren
hylla: claf
Fan: flon
tropisk: hjip
fas: fwas
godtycklig: rwen
uttala: kfun
kvicksilver: krok
krypa: hrem
självmord: tcos
reporter: prot
beröva: hpok
skicklig: klun
balkong: blik
gaffel: fras
anställd: mlek
arbetsgivare: myot
bredd: jrak
irriterad: djit
anklaga: klot
pension: pyen
verb: kres
apa: mwon
godtagbar: hwek
signatur: tlim
ortodox: rwos
ironi: fron
barnkammare: nrap
motvillighet: jlan
importera: tyot
fackla: croc
grammatik: gjak
deposition: gyat
kolonial: plon
yacht: jyat
följd: kwec
kupol: kwun
tjocklek: hfot
envis: cyon
muskel: hmup
magnitud: ryam
gnugga: ryos
feg: rwam
sele: gwac
rostat-bröd: tros
mus: myus
stavelse: slim
klappa: prap
dialog: dlaf
neutral: nrot
flit: dwin
motsägelse: trot
uppnå: kfic
get: byak
frodas: hfet
förelägga: mlon
anonym: nwim
formell-registrera: frit
kalv: hbof
manuell: mwut
smälta: hjec
radera: flas
paraply: gras
känga: bzut
mineral-: mrim
stillestånd: crus
anka: hbok
planering: pfam
tvål: hsuf
docka: gwak
skelett: klet
villa: blis
sömnad: jlin
förena: dyak
vattenkokare: kset
mogna: mruc
kanin: kruc
dirigent: nwot
beroende: djat
spelare: jlic
insekt: pset
restaurang: cret
uggla: lwun
radikal: djik
bosatt: zwin
drake: dron
auditiv-bevis: drot
törstig: kyos
dröja-kvar: dren
beräkning: glun
reglering: ryim
borgmästare: mlap
minoritet: mric
förvärv: dwon
veteran-: bren
orkester: ryes
bacon: bjin
nackdel: zwat
tyg: frap
musiker: gzik
mentalt: hnep
samband: nyon
otillräcklig: nrip
arkitekt: tsek
citron-: nyim
hosta: kcos
huvudvärk: crek
hyresgäst: ryet
fertilitet: srun
läka: hfoc
nittio: nwon
slumpmässig: hbec
sked: kcek
ballong: blon
krita: hfip
inferential-bevis: nlet
utgivare: pcot
vinäger: sruk
aska: fyec
svordom: slek
återuppliva: nrut
mottaglig: kfim
tunnel: tfun
pussel: hpef
mekanism: mwim
matematik: gzit
blekna: frun
lever: jwin
sublative-fall: bwik
doppa: dris
enhet: twim
monopol: hnop
spelande: hgup
u-båt: bzin
jordbävning: hbem
laboratorium: brot
kork: kruk
själv-kontrollera: syot
buddha: hbus
sticka: bjat
ambassad: blas
längst: sres
deklarativ-humör: drim
stimulans: tyuc
choklad: clot
tillfällighet: tyon
handske: gwat
knäböja: hjek
geografi: hjif
investering: nwes
verbal: mrec
analogi: nlip
sekulär: srek
hök: blap
psykologi: nloc
fästa: gjan
skrot: krep
roll: cyum
dos: hdos
lax: slom
pudding: pwun
magnetisk: gyik
pump: pcom
syre: ksip
certifikat: tfot
medalj: hmem
retorik: trok
skrapa: rwap
åra: dyas
teleskop: trip
halsband: clek
stavning: prif
whisky: hwos
vide: hwof
kamel: hlum
amatör-: myet
går-ut: crec
biografi: brif
åsna: gzac
en-gång-i månaden: mwis
bortse-från: nruk
semester: byit
klick: lyik
oval: twon
elastisk: lyet
lexikon: kfon
skinka: gzam
regnbåge: rwun
konsumera: kcum
spotta: tcup
tank: trek
kollega: clok
fjäril: trif
Diagram: graf
tvilling-: jwat
oberoende-av: trem
bambu: hbum
-handlare: jlat
ackumulation: kles
inspektör: nyet
munsbit: hyos
mardröm: hbom
sylt: gjam
museum: mrem
alfabet: lwam
sprida-ut: zras
räd: crip
avslöja: clus
ruttna: fraf
aggressiv: gris
friktion: mroc
