infinitivo: hnit
curso: hkus
hembra: hfin
suficiente: kyat
En-Poco-Tiempo: hpuc
completo: hcun
cuarto: hfac
casi: hlap
no-poder: nyat
agua: hwik
desiderativo-estado-animico: hdin
luz: lyak
ni: hnun
palabra: slat
puerta: tyan
usar: hpus
Mañana: hsap
terminative-caso: twik
energía: hkuk
sí-mismos: hmis
presente: hyin
voz: hwas
blanco: hpis
dinero: tlan
el-siguiente: kyak
pobre: hyis
muerte: hmut
formar: hfam
inesivo-caso: nwik
amable: tyac
a-menudo: tsan
año: nwan
amigo: myat
orden: hyut
imperativo-estado-animico: hpim
ronda: hcut
creer: hban
público: hpin
estado-contexto: hsas
hijo: psat
cien: hmas
niños: hcis
así: tyak
esperanza: hcap
arriba: hyip
Estimado: pyin
leer: pyac
ciudad: hsic
ya: hpic
hecho: hfat
Factive-probatorio: hfit
escuchar: hsun
menos: hmim
quizás: pyat
abierto: kcat
cuerpo: tcic
aire: cwac
naturaleza: nyit
ayuda: mlat
carta: lyat
cuatro: ksat
optativo-estado-animico: hpam
fuego: hfak
por-lo-tanto: hyif
hora: hcam
gratis: tyit
guerra: syat
si: hsaf
razón: kyan
unido: hnut
llamada: hkuc
por-qué: hwam
perdido: hkut
mil: tsas
familia: hfic
alma: twam
pregunta: swac
cuidado: kcan
realis-estado-animico: hlin
media: mwit
potencial-estado-animico: hten
hacia: cyan
allativo-caso: lwik
antrópico-género: hrin
corto: kyut
capaz: hyuk
vivir: hkip
sujeto: hsek
mismo-tema-marcador: hcek
diferente-tema: hfek
responder: tsat
mar: mwat
miedo: hcoc
comprender: pcat
difícil: kyin
condiciones: tyut
duda: hdac
dubitativo-estado-animico: twin
pedir: psan
brazos: tcas
negro: clis
traer: tyat
hermosa: ksis
oscuro: tcak
mantener: psak
diez: htaf
espectáculo: pyan
cuento: hkif
común: kwan
libro: hkup
electrónico: lyin
hablar: plak
Marcos: myac
interesar: nyis
escribe: kcit
cama: pwat
necesario: syis
idea: hwis
arte: klat
vialis-caso: hlas
hermano: pyak
a-veces: ksas
línea: lyan
mesa: tlas
río: nwit
ojo: kyac
información: fyin
de-golpe: tfan
extraño: hgan
profundo: ksan
cambiar: hrit
sensación: nwac
reunirse: mlit
propósito: htuc
feliz: hcuc
parecer: syit
sangre: cyac
Rosa: kwas
sur: swan
frío: tlat
reenviar: myik
posición: psis
tarde: tyam
estar: syan
suponer: nlas
hija: pyit
mía: myan
Corte: hkim
copia: hfap
esposo: hgat
seis: hlis
recuerda: twat
efecto: hyaf
caer: htuk
excepto: hsip
cabello: hpaf
pasar: pyas
derechos-de-autor: pcit
ejército: cyit
carrera: kcak
caballo: kcas
futuro: hwic
Oeste: pcak
paga: plit
rojo: hyun
oro: tcun
deseo: hdan
jugar: plin
dominar: mwas
oficina: hfus
gobierno: syak
Iglesia: kyas
largo: hlen
compañía: ksin
papel: kyis
probabilidad: hbin
especialmente: cyas
oso: pcas
ventana: cyak
acuerdo: hgac
belleza: syac
deber: tfac
enviar: fyan
distancia: htif
silencio: slan
pie: fyat
salvaje: kyik
morir: myam
ahorrar: pfan
verde: kcin
problema: mlan
sonrisa: myak
incorrecto: clat
varios: pcin
dormir: slit
de-citación-caso: kwik
comenzando: cwan
acción: kfan
visita: fwat
seguir: nlan
probar: tcis
presencia: psit
dulce: tlit
Rico: tcin
enemigo: tcam
enviar: hcip
condición: kyit
incluso: hkum
inclusivo-la-persona: hlon
secreto: kwit
precative-estado-animico: pwim
Cortés-registro: hbit
mal: pwac
marzo: myas
lo-que-sea: kwac
permanecer: hlam
en-lugar: plat
azul: plan
imposible: psap
colegio: hsuk
ocasión: ksac
casado: nwat
comida: hcuk
20: tsis
tranquilo: tcit
fácilmente: hnis
futuro-aspecto: hrap
idioma: lyac
expresión: syas
semana: hsus
pasillo: hcum
Peligro: kcic
propiedad: myit
Nació: nyan
la-Corte: kcut
en-general: tyap
gnomic-aspecto: hmip
valor: tyas
sencillo: syap
árbol: pyic
pelea: pyap
pared: twit
cielo: cwak
incoativo-aspecto: htip
yusivo-estado-animico: hjin
tono: twun
considerar: klan
esperado: pcik
mes: hmaf
experiencia: nyap
enteramente: nyac
fresco: tsac
duque: hnuk
cubierto: kwak
ligado: hyim
este: tyuk
piedra: pwan
algo: kfat
dirección: tlac
silla: kwis
apoyo: syut
fecha: tyic
pueblo: klac
campo: clit
permiso: nwin
permisivo-estado-animico: hmom
éxito: slak
apropiado: hric
colina: clin
música: ksik
distal-demostrativo: hdat
tarde: htup
llorar: hyuc
honor: hnaf
siete: swit
privado: pfat
Noticias: nwas
escena: slac
jardín: cyam
carrera: htus
distributivo-caso: twak
aprender: clan
político: syik
mentira: kcun
elenco: tsak
comer: kcam
planta: hlaf
enfermo: pwin
original: mlin
el-verano: kyam
religión: tlam
cuadro: ksit
escapar: plap
autor: hlut
marrón: pyun
determinado: htem
dolor: hdon
primavera: psin
siglo: syic
suave: mwan
esquina: kyun
Produce: psas
risa: cyaf
olvidar: flat
Europa: hyup
ocho: lwat
vestido: lwac
terrible: cyap
aliento: syaf
sabio: hbas
posesivo-marcador: srak
memoria: myin
moderno: fwan
lugar: tcap
aumento: hyus
descanso: pyik
cincuenta: hfis
isla: tlap
toque: hsuc
promesa: pcam
comisivos-estado-animico: mwin
grado: tfat
plan: plac
conducta: nyak
sorpresa: cran
minuto: hmun
Disparo: hwut
peor: pcap
vaso: klak
ejemplo: tlin
a-salvo: hsif
doctor: tsit
definitivo-aspecto: hmep
repetido: tyun
militar: slin
calentar: nyam
bebida: pfin
preguntas: pcaf
enfado: nran
directamente: tyik
sombrero: hcup
perro: kwap
servidor: hnuc
orgullo: hram
multitud: tcuc
entrenar: nyin
moral: myut
asociado: kyim
entrar: fyak
regla: nyas
espada: cwat
ataque: kfak
salud: clac
párrafo: pyaf
social: hsum
reembolso: tfit
lo-lamento: hpec
valor: krac
gracia: hnen
oficial: hfaf
siempre-que: tsik
petición: pwit
vistazo: klas
movimiento: hyon
esperar: cwit
opuesto: psam
doce: tyaf
comprometido: nyut
Vino: hwun
sabor: swut
hierro: fyac
distribuir: syin
comercio: myap
ventaja: twac
ropa: kfip
juez: fwak
diferencia: tfaf
ansioso: kcis
capitán: kwin
terminado: nlat
cesación-aspecto: hsep
curioso: kyic
exterior: kwic
intensificador: hnif
importancia: myun
finalmente: hfim
cuenta: fwin
probar: hpuk
evitar: flan
cuello: cyun
legal: hfik
seco: swak
servir: syam
perder: pcut
evidencia: pyut
probatorio-caso: hdak
Progreso: pyis
edificio: klit
buscar: syuc
triste: hrac
pecado: psip
treinta: tfis
honesto: tsin
cerrar: kyap
banco: pcun
destino: cyik
bosque: hfun
la-medida: mlac
de-otra-manera: htoc
corriente: lyam
pan-de-molde: hpup
adicional: tfak
elegir: twas
animal: nwam
zoico-género: hzin
eventivo-estado-animico: hwim
mismo-evento-marcador: hcom
multiplicativo-caso: tlak
grueso: hmus
criatura: hyum
lluvia: myic
superficie: pfas
santo: swis
julio: clim
informe: hfut
costa: pwas
archivo: hfif
hombro: cwut
sorprendido: kran
real: klik
canción: hkuf
comodidad: kfaf
nadie: nyic
césped: kcap
dibujar: cwik
apertura: cyic
junio: cwun
pescado: mlic
capital: klin
pecho: cyut
nieve: hcif
educación: tlik
agudo: tcaf
lástima: hdam
gastos: fyas
tuya: hmuc
millón: mlun
cansado: tcik
matar: ksam
sombra: cwap
peso: plas
masa: mlas
establecido: tlip
valiente: pyam
delgada: plic
satisfecho: srat
comprobar: kcik
virtud: hdet
nacional: nyaf
adivinar: swin
Valle: clak
adivinar: kwam
especulativo-estado-animico: hken
amarillo: clas
permanece: mwac
doblado: nlac
encajonar: pwak
temporada: tsim
ciencia: slas
aburrir: kcuc
tío: hmuk
lista: lyit
agosto: ksut
popular: hlup
desconocido: fyit
familiar: flak
familiar-registro: krit
lector: tsut
enfoque: pcuc
dos-veces: tsap
intelectual: tfik
verdaderamente: tsam
sacerdote: pcis
herido: fran
dolor: hpom
palacio: kfas
golpear: clap
¿eh?: hnec
engañar: myuk
borde: pfac
nueve: nwun
ráfaga: psut
sufrir: tfas
ruido: hcus
literatura: lyic
Consejo: swas
vacío: kcuk
rango: psik
tormenta: tcut
bolsillo: kyip
imaginación: nlin
frase: cwas
noviembre: nwap
diciembre: tsip
ausencia: psic
gracias: ryak
dirección: tyis
pájaro: pyuc
propietario: mlik
capa: kwut
preparar: tyip
relaciones: lwan
humo: htum
enero: nwak
la-maquina: clic
contenido: nyik
dientes: tlis
vergüenza: hcet
bahía: kcaf
cerebro: pyuk
anillo: klic
frase-marcador: frak
cuadrado: ksap
Fruta: fyut
té: tsic
explicar: slam
bienvenida: cwam
poesía: pwis
comprar: klam
fiel: hdic
emoción: hcen
cuarenta: klis
abril: pyip
amablemente: kfit
octubre: kfap
amargo: kyuc
esclavo: tlaf
suelto: hluk
texto: tsus
crédito: cyip
quince: pfit
cruel: kcim
unirse: cluc
proceso: hpif
crimen: kyaf
polvo: tsuc
práctico: plik
color: nlak
destruir: nyuc
aumentar: lyas
nariz: hnus
admitir: tyim
ayer: kfac
hesternal-tiempo: tlen
fallar: slap
continuar: tcim
vestir: pwam
ciego: nlit
docena: tsun
mosca: fyap
alabanza: cwin
diablo: cwaf
gradualmente: twic
sacrificio: kyif
ejercicio: cyis
conciencia: tfin
teoría: tlic
ministro: myis
odio: hnet
lago: cwic
centrar: syun
débil: pfic
racional-género: hron
cuidadoso: fwac
disfrutar: nlam
rendir-culto: pwap
bienes: twap
piel: twaf
techo: tlut
corona: gyan
castillo: klap
trono: tcus
adjunto: nlaf
milla: mlim
extremo: krim
prisión: fyis
taza: kcip
miembro: mlam
civil: syim
en-todos-lados: tsaf
evidente: tfic
par: pwaf
volumen: clam
personalizado: ksaf
arco: ksun
traje: slut
carne: mwak
leche: hluc
vegetal-género: hwen
visión: slic
raro: nlap
primo: ksic
puente: pwut
proteger: pfak
sal: swam
inocente: hwus
reina: kwim
contar: kcus
curiosidad: hras
baile: tyus
hotel: clut
llenar: flin
prisionero: psun
Tienda: hjan
escalera: sric
mendigar: hmen
arena: sran
violento: hgit
septiembre: hsem
salida: prac
ruina: crin
habilidad: krin
ganado: hwec
equipo: hwip
cocina: hkon
vender: hbak
velocidad: hsot
conclusión: clon
computadora: hkot
eterno: hsen
limitado: mrit
biblioteca: hbek
base: hbac
confusión: hrun
glorioso: cris
igualmente: hjic
asustado: hbic
infeliz: prin
artículo: hrek
cocinar: kfin
banda: hbat
Desierto: hget
Beso: hbun
bola: hbot
palo: hpot
argumento: hrut
observar: nrak
bendición-estado-animico: hbim
llamativo: hrim
culpable: hdis
pistola: hgin
policía: plis
esconder: hzan
expedición: srin
ignorante: nrin
generoso: drac
nube: blan
residuos: htek
febrero: frif
enfermedad: hren
gastar: bwan
fuente: sron
iniciativa-caso: hnok
tía: hbam
retrasar: dlic
retrasado-imperativo: hlip
reportado-probatorio: prat
doce-de-la noche: dyit
héroe: nrac
filosofía: hfof
dedo: hjit
cómodo: hzat
algun-lado: hmoc
oprima: bran
personal: hraf
recompensa: rwan
culpa: dlac
miseria: krat
frente: htec
anuncio: glan
ángel: htet
singular-número: hgam
amanecer: hbon
comercial: krak
perdonar: pran
oveja: hcec
paciencia: hpen
granja: crac
referencial: hrec
maíz: mran
clave: kcif
mayoría: hmot
debilidad: hdut
atmósfera: traf
suspiro: tcoc
humanidad: mlis
oposición: pric
disco: hdik
solitaria: hket
artista: nrat
caballero: cwis
encanto: tran
decisión: drin
gobernador: gran
rama: rwac
disposición: hsoc
entusiasmo: tsum
inductivo-estado-animico: hdum
comunidad: hmum
aceite: hyen
tubo: hbap
impresión: trat
Oh: dyoc
discurso-contexto: hros
vocativo-caso: hwok
cabina: ksen
alarma: plam
nervioso: hnes
permanente: hset
cuchillo: ksuk
seda: slik
desprecio: grin
infierno: nrik
apartado: plen
seriamente: mrat
mezclado: mrik
de-madera: mrak
preferir: hpet
advertencia: trin
amonestación-estado-animico: htom
impulso: hmos
ambición: mrac
negar: hnek
constitución: swic
instrumento: srit
continuo-aspecto: hnip
marea: hgas
Universidad: klen
cola: hkek
generación: nric
gato: blat
directo-probatorio: hret
abandonado: trac
once: hyec
instinto: nlik
característica: trit
tribu: hgik
aprensivo-estado-animico: pcim
abrigo: crat
grosero: hruc
equitación: hris
sacudir: hmon
industria: hdot
profesión: hres
lámpara: hdap
café: kfif
obedecer: htot
del-Norte: nrit
enfermera: nris
asegurar: hjat
cadena: ryin
enseñanza: cric
Zapatos: hgut
yarda: mram
vago: hmec
en-otra-parte: hlet
apartamento: pret
actividad: twot
sábado: cram
luz-del-sol: hduc
viuda: hwuc
elemento: hlem
reflexión: hfen
organización: hgis
estrella: tram
incidente: hgon
huésped: hgip
bar: brap
botella: hbet
bendecir: blak
remover: crak
interior: trik
fijar: krik
derivar: prit
hueco: hcot
provincia: hpos
civilización: srac
colgar: hgak
choque: crok
excepción: swap
tensión: tren
estándar: ryan
conducción: dran
eliminar: hruk
jurar: kses
tesoro: zran
semilla: hbis
torre: tras
favorito: fwit
hace-poco: hcem
reciente-pasado-tiempo: hrot
despierto: srik
mueble: mrin
cuerda: hkos
aventuras: hdas
realeza: ryit
banquete: dyat
describir: dras
sesenta: hses
escala: hkem
ceremonia: srec
caza: clik
susurro: psus
en-gran-parte: ryat
cristianismo: ksim
abogado: hwif
detalle: drit
princesa: hrus
altar: dlat
web: hwes
morado: brin
reunir: hkoc
elección: hben
concepción: kren
bebido: crik
verter: brac
ascensor: hlif
gesto: hjis
administrar: rwin
intercambiar: tcen
definido-artículo: hdek
emperador: mras
remoto: hroc
feo: clup
inofensivo: cras
rodar: hrof
pulgada: nlic
periódico: grat
barba: dric
lágrima: srim
comisión: kson
mientras: grak
cruce: kcoc
independencia: htes
olor: hwon
Dieciocho: hdec
histórico: tris
bruto: krut
raíz: hrok
barro: hbik
novia: dlan
velo: pras
el-teatro: tret
comparación: kras
rival: rwis
equilibrar: slen
entrenador: kron
humor: hnum
novela: rwas
venganza: hbaf
celoso: ryut
rueda: hlok
quemada: glat
destello: flac
crear: hkec
conflicto: hnot
maldición: hlos
imprecatorio-estado-animico: pram
indefenso: hces
positivo: hzit
club: klup
inundar: nras
grano: gwan
indiferencia: hdun
horizonte: crim
assumptive-estado-animico: hsom
escarpado: htop
armonía: mron
trueno: hgot
infancia: htok
rodilla: hgun
software: pwen
lesión: kram
recepción: ryis
habilitar: nlim
protasis: hpoc
resbalón: slok
revolución: hrif
agricultor: hjim
carrera: trak
plataforma: hpof
mensajero: hmes
privilegio: hpek
organizado: hyot
estudiante: clen
cueva: hgec
tradición: rwat
tragedia: tses
despedida: hjap
crítica: ryik
algodón: krap
hospital: slot
alquiler: kris
gas: hges
inevitable: pwic
mortal: hgim
hoja: glit
publicación: plun
hostil: tsup
traducción: dwan
funeral: jran
harina: mrun
correspondencia: ryon
romántico: hrom
choza: clun
proponer: psot
mimético: hmet
dólar: dlon
luz: hjac
dieciséis: hsos
Asamblea: hzac
colonia: klon
ala: gyin
león: hles
cultura: klut
columna: hkom
astuto: glak
drama: dram
broma: hjuc
niebla: hdus
medicina: dwas
catorce: hkes
ácido: sram
a-saber: hyet
ingresos: hmok
obispo: hbip
naranja: tron
bañera: byan
primitivo: rwit
cesta: ksek
secretario: sris
paja: prak
impaciente: pfif
salvación: slon
hodierno-tiempo: dlin
intentar: zrin
vapor: tcip
veneno: hwoc
talento: tlon
clima: lwim
eficaz: fric
distinguir: tcif
lavar: dwac
confesión: kfis
disparates: hjas
carbón: kyon
canoa: kwon
temporal: tric
delimitative-aspecto: hdip
hueso: hcos
lunes: nwic
martes: glac
miércoles: bwac
federal: frin
deseable: hzic
representante: ryic
lino: lwin
lavabo: swuk
sobrino: bwin
sangriento: kric
cerco: cren
estómago: hpem
latón: pcon
cumbre: hzik
quinto: pfik
barato: brat
exclusivo-la-persona: kwen
aprovechar: zrat
cerca: hzas
estatua: tfam
artillería: tlep
abrazo: mrap
circundante: sren
estrictamente: srot
ciervo: hluf
arbusto: hbuc
ferrocarril: hrep
descarga: hduk
heredero: mris
roble: blun
desagradable: pren
invención: hgic
piano: pyon
persuadir: swen
invisible: gric
bien-conocido: ryun
crueldad: kluk
tentación: hyoc
télica-aspecto: hlep
económico: kfik
internacional: troc
interferir: tcek
filósofo: flif
elegante: gyit
bienestar: kyen
pesca: mlak
robar: truc
labio: hloc
retirarse: ryac
tramo: sras
galería: glen
paralelo: zlan
atelic-aspecto: htep
continente: trap
prohibitivo-estado-animico: nrim
corbata: dwat
celda: slep
huevo: dyan
artificial: jrat
mientras-tanto: nwis
crisis: ksot
Cortés: sloc
almuerzo: lyon
pino: pwon
empujar: hcef
alianza: lyen
cintura: hkop
milagro: hmek
marinero: slis
pureza: prut
república: hguk
teléfono: tfen
látigo: krip
camisa: cyim
introducir: ryas
sofá: hsof
barrer: hsup
ladrón: ksif
conservar: nrec
canal: kcen
personalidad: klim
reforma: kfam
amenazante: hzim
palma: plim
altavoz: hzak
límite: dwic
inducir: pris
lanza: bzak
ordenado: syec
sesión: cwen
tortura: crot
húmedo: tcum
cresta: grit
viajero: hyek
molino: mwik
mapa: jrac
collar: klok
reemplazar: klif
deliberadamente: drat
cerveza: hbif
terciopelo: hwem
gravedad: gwit
sermón: hpum
abuso: glas
rebaño: hgen
trece: tres
justificar: jyit
viernes: crum
cepillo: broc
descargar: dlas
crema: krem
acantilado: klaf
jurado: jrin
monstruo: ksos
congelado: hgoc
maceta: pfot
centavo: psen
insistir: srut
manzana: hpep
discutir: drak
fondo: prun
transcribir: trim
periódico: prik
entretenimiento: nren
virus: bris
infantil: blit
reflejar: flit
convertir: kcet
contorno: kluc
ópera: hpop
aprobación: nron
traicionar: rwak
castigar: hzen
codo: kcon
adjunto-archivo: tcet
reparar: hrop
suspicaz: cyec
setenta: swet
Sagrada-Escritura: srip
pozo: grac
trastorno: dlak
binario: byin
abadía: bjan
flecha: tcec
tender: trec
elaborar: frat
lealtad: hlot
acuñar: syip
temblar: tcem
exilio: gwin
mecánico: myim
trampa: crap
pastel: kyek
señor: cyes
vacilar: sret
diecisiete: syet
la-miel: myon
estaca: dzat
pisada: hjam
ladrillo: brit
ochenta: hpes
Desafortunadamente: pcen
consultar: kcot
leyenda: lwen
cosecha: hfos
promoción: pfon
estufa: hsop
rebelde: bric
pasado-de-moda: hnom
hinchar: cron
pantano: swot
vendaje: hdes
ascético: pces
gerente: mren
coro: cros
racional: tson
tratamiento: pson
lobo: blaf
alfombra: hgap
antigüedad: hjak
fértil: frut
silbar: slif
queso: twis
mordedura: byat
invitación: jwan
catedral: kyet
puerto: brak
vagar: djan
cultivos: tsos
marina-de-guerra: nlen
máscara: mrok
lápiz: pses
vegetal: sroc
exposición: hzet
pantalones: tlun
corrupción: hrup
armario: nram
sopa: srup
cirujano: syon
tolerancia: tcot
espiar: gyas
temerario: hlec
chismes: gyic
simbólico: hzon
abstracto: srok
jueves: cwim
tráfico: ryaf
arquitectura: ryek
grieta: rwaf
ornamento: rwon
marcha-atrás: lwas
divertir: mwun
recuperación: ksus
acera: plut
decisivo: dyin
negativo: nraf
festival: hfec
reducir: hrum
traición: zyan
cazador: djin
serpiente: syen
batería: bret
cera: flam
detective: dlit
análisis: nlis
énfasis: hzot
nadar: twen
sobre: lwaf
quien: hgek
cigarrillo: jrit
motor: mrot
voluntario: hwot
reacción: ryif
equipaje: blam
sordo: hboc
jugo: hjus
humildad: jlit
ministerio: mret
sexual: hjon
diámetro: dyam
hacha: blac
diamante: dlam
alterno: hlek
eco: hgus
restricción: swon
identidad: hdaf
pantalla: krun
perezoso: lwis
momentane-aspecto: hmop
compacto: kfot
deriva: hdif
desaparecer: hgaf
rayo: ryen
tinta: mwic
macizo: mraf
bodega: dyac
memorable: nrun
deslumbramiento: klek
senado: slet
ataúd: tfap
perdón: frac
golondrina: nlun
complacer: nlot
oscilación: swun
prado: gram
complejo: klos
renuncia: hzis
humilde-registro: nret
conspiración: swim
pimienta: prip
poni: pron
candidato: hzam
zorro: flik
tubo-de-lámpara: tcon
jurisdicción: drik
agricultura: rwic
exactitud: tcuk
ex-fallecido: brim
democrático: mrek
brote: hbos
cobija: bwat
granizo: hgep
cerdo: srus
conformado: krek
marfil: craf
clásico: ksok
observador: nwet
elefante: lwit
clavos: nwus
abeja: hmif
enterrar: dzan
actor: bzat
sudor: zwan
polaco: ploc
espejismo: hlus
incertidumbre: pcet
secundario: syif
doblez: tsot
rural: grun
gemido: nyen
parecerse-a: slec
citar: hzun
saco: cyek
molestia: fren
aguja: hjun
revisado: nroc
pollo: truk
consistente: kwot
barril: bras
habitual-aspecto: hcep
experto: ksec
impresionar: blin
aceituna: zlin
camioneta: myen
obstáculo: bwak
asentir: kcec
fomentar: plaf
definición: fyic
cumpleaños: gjin
martillo: hcof
fragante: hfon
repetición: trun
trivial: twut
patada: hjik
cavar: kwaf
mascota: plot
cráneo: hcop
legislatura: dlik
tacón: cruk
fruncir-el-ceño: crun
patentar: plet
millones: blim
químico: fyik
piloto: pyot
imitar: mlot
falda: kwet
extraordinariamente: srap
cada-semana: jwik
técnico: tfip
vegetación: tset
cuervo: kraf
amanecer: sruc
toda-la-vida: glin
contribuir: hyom
gancho: hdok
Tigre: blic
penetrar: crut
manga: slun
autopista: jras
milicia: mlip
zanja: kroc
integridad: kret
diecinueve: dzin
orgánico: rwik
teología: flic
flotador: flut
bruja: byac
aburrida: hwuk
diplomático: dyik
estudio: twos
exceder: kcok
champán: cyen
inspirar: crif
bandera: hbes
divorcio: lwon
tornillo: hbut
vena: jyan
pasivo: psif
espuma: hgum
grava: grik
delantal: tyen
planeta: gren
estante: claf
abanico: flon
tropical: hjip
fase: fwas
arbitrario: rwen
pronunciar: kfun
mercurio: krok
arrastrarse: hrem
suicidio: tcos
reportero: prot
privar: hpok
experto: klun
balcón: blik
tenedor: fras
empleado: mlek
empleador: myot
anchura: jrak
irritado: djit
acusar: klot
pensión: pyen
verbo: kres
mono: mwon
aceptable: hwek
firma: tlim
ortodoxo: rwos
ironía: fron
guardería: nrap
reluctancia: jlan
importar: tyot
antorcha: croc
gramática: gjak
depositar: gyat
colonial: plon
yate: jyat
consecuente: kwec
cúpula: kwun
espesor: hfot
obstinado: cyon
músculo: hmup
magnitud: ryam
frotar: ryos
cobardemente: rwam
aprovechar: gwac
brindis: tros
ratón: myus
sílaba: slim
palmadita: prap
diálogo: dlaf
neutral: nrot
diligencia: dwin
contradicción: trot
lograr: kfic
cabra: byak
florecer: hfet
imponer: mlon
anónimo: nwim
formal-registro: frit
becerro: hbof
manual: mwut
derretir: hjec
borrar: flas
paraguas: gras
bota: bzut
mineral: mrim
tregua: crus
pato: hbok
planificación: pfam
jabón: hsuf
muñeca: gwak
esqueleto: klet
villa: blis
de-coser: jlin
conciliar: dyak
tetera: kset
maduro: mruc
conejo: kruc
conductor: nwot
dependencia: djat
jugador: jlic
insecto: pset
restaurante: cret
búho: lwun
radical: djik
residente: zwin
dragón: dron
auditivo-probatorio: drot
sediento: kyos
persistir: dren
cálculo: glun
regulación: ryim
alcalde: mlap
minoría: mric
adquisición: dwon
veterano: bren
orquesta: ryes
tocino: bjin
desventaja: zwat
tela: frap
músico: gzik
mentalmente: hnep
conjunción: nyon
inadecuado: nrip
arquitecto: tsek
limón: nyim
tos: kcos
dolor-de-cabeza: crek
inquilino: ryet
fertilidad: srun
sanar: hfoc
noventa: nwon
al-azar: hbec
cuchara: kcek
globo: blon
tiza: hfip
inferencial-probatorio: nlet
editor: pcot
vinagre: sruk
ceniza: fyec
expletivo: slek
reanimar: nrut
susceptible: kfim
túnel: tfun
rompecabezas: hpef
mecanismo: mwim
matemáticas: gzit
descolorarse: frun
hígado: jwin
Sublative-caso: bwik
inmersión: dris
unidad: twim
monopolio: hnop
juego: hgup
submarino: bzin
terremoto: hbem
laboratorio: brot
corcho: kruk
yo-controlar: syot
Buda: hbus
tejer: bjat
embajada: blas
más-lejano: sres
declarativo-estado-animico: drim
estímulo: tyuc
chocolate: clot
coincidencia: tyon
guante: gwat
arrodillarse: hjek
geografía: hjif
inversión: nwes
verbal: mrec
analogía: nlip
secular: srek
halcón: blap
psicología: nloc
sujetar: gjan
chatarra: krep
papel: cyum
dosis: hdos
salmón: slom
pudín: pwun
magnético: gyik
bomba: pcom
oxígeno: ksip
certificado: tfot
medalla: hmem
retórica: trok
raspar: rwap
remo: dyas
telescopio: trip
collar: clek
deletreando: prif
whisky: hwos
sauce: hwof
camello: hlum
aficionado: myet
salida: crec
biografía: brif
el-burro: gzac
mensual: mwis
ignorar: nruk
vacaciones: byit
hacer-clic: lyik
oval: twon
elástico: lyet
diccionario: kfon
jamón: gzam
arco-iris: rwun
consumir: kcum
escupir: tcup
tanque: trek
colega: clok
mariposa: trif
gráfico: graf
gemelo: jwat
independientemente: trem
bambú: hbum
comerciante: jlat
acumulación: kles
inspector: nyet
