berfenw: ni
ymadrodd-marciwr: fyah
ffyddlon: cyih
cyffro: tyeh
hesternal-amser: tleh
casineb: tyih
rhesymegol-rhyw: tlih
eithafol: kreh
vegetal-rhyw: slih
chwilfrydedd: kyih
ofnus: kcuh
erthygl: myah
bendith-hwyliau: bwih
yn-euog: dlih
anwybodus: nrih
hael: drah
menter-achos: twoh
oedi-hanfodol: ji
adroddwyd-tystiolaethol: psah
bai: dlah
diflastod: kfah
unigol-rhif: gu
maddau: pfah
amynedd: je
cyfeiriadol: freh
unig: kyoh
swyn: croh
brwdfrydedd: tsuh
anwythol-hwyliau: tcuh
disgwrs-cyd-destun: ye
vocative-achos: bo
ddirmyg: grih
admonition-hwyliau: tyuh
uchelgais: bwah
parhaus-agwedd: nyeh
uniongyrchol-tystiolaethol: troh
bryderus-hwyliau: pcoh
sioc: cruh
diweddar-gorffennol-amser: clih
pendant-erthygl: klih
genfigennus: ryuh
imprecatory-hwyliau: mrih
difaterwch: du
assumptive-hwyliau: syih
anaf: kroh
protasis: rwoh
gelyniaethus: cyuh
mimetic: mreh
sef: gwih
hodiernal-amser: dloh
delimitative-agwedd: dweh
exclusive-person: kwuh
Telic-agwedd: tfeh
atelic-agwedd: tsoh
waharddol-hwyliau: jrih
artaith: nroh
teyrngarwch: nloh
momentane-agwedd: myeh
maddeuant: jrah
ostyngedig-gofrestru: myih
cyn-ymadawedig: frih
quote: wu
annifyrrwch: zrah
arferol-agwedd: bu
ganlyniadol: kseh
diwydrwydd: dyih
ffurfiol-gofrestru: sreh
clywedol-tystiolaethol: creh
cyd: ksoh
casgliadol-tystiolaethol: flih
expletive: sleh
sublative-achos: swoh
declarative-hwyliau: ksuh
llafar: kceh
gadarnhaol-hwyliau: fwah
anfodlonrwydd: dyah
idiophone: dyoh
gormodol-achos: zwah
irrealis-hwyliau: ze
swildod: cyoh
addasu: pyih
rhagenw-marciwr: ryeh
orthrymu: zroh
equanimity: jyah
pegative-achos: pweh
prosecutive-achos: pwuh
pwyslais-mawr: byah
rhangymeriad: pfih
bell-gorffennol-amser: dzah
hanesyddol-amser: sroh
hysteria: syeh
deuol-rhif: dluh
synhwyraidd-tystiolaethol-hwyliau: xi
cynnig-i-fyny'r allt: ryoh
ôl-weithredol: txih
cynnig-i-lawr y rhiw: myoh
ffurfdroëdig: blih
superessive-achos: psuh
transitive: t6
rhwystredigaeth: xrah
cynnig-fyny'r-afon: truh
cynnig-lawr-yr afon: txah
datgysylltiad: xo
disgynneb: tloh
ar-hyn-o bryd perthnasedd marciwr: xa
acronym: qi
initialism: nl6h
gerund: ge
preterite: preh
aorist: broh
partitive-achos: pxih
Ystwyll: pf6h
cynyddol: xe
ffobia: xyoh
determiner: txeh
predicative: plih
prolative-achos: pxah
veridical: vyih
gwerth-deuaidd: vrih
cyfyngedig-ferf: vi
treial-rhif: pc6h
pro-dedfryd: r6
cyfeillgarwch: va
gnomic-hwyliau: kxih
ganolog-achos: dreh
cyn-hodiernal: x6
claf-achos: qa
oblique-achos: bwoh
canol-llais: tyoh
adnabyddadwy: xyah
nod-sbardun: groh
lative-achos: dvah
nad-ydynt-yn dynol: n6
attenuative: nyuh
multal-rhif: mloh
trans-rhifolyn: ts6h
galaeth-rhyw: gjah
Hwyl-fawr: jwah
abessive-achos: bvah
adessive-achos: dvih
i-achos: kxah
agentive-achos: dveh
asiant-sbardun: greh
actor-rôl: nruh
cyffredin-rhyw: k6
deithydd: kloh
goddefol-llais: pyoh
seren-rhyw: qrah
dyfyniad-ffurflen: xu
llafar-noun: xlih
cymal---gynffon: kluh
uniongyrchol-gwrthrych: rweh
ergative-achos: gvih
yn---iaith: byih
locative-achos: kwoh
adferfol-achos: vlah
terfynol-gronynnau: nluh
evitative-achos: ve
meddiannol-achos: kfih
nominaleiddiad: mleh
meddu-achos: djah
ategol-ferf: fyih
cynradd-gwrthrych: myuh
antessive-achos: nleh
animeiddio-rhyw: xrih
subessive-achos: bvih
cerbyd-rhyw: vlih
mwynau-rhyw: xwih
berf---ddodiad: kxeh
empathetig-llawenydd: pfeh
newid-o-digwyddiad: qrih
gwahanol-digwyddiad: txoh
bydysawd-rhyw: bjih
ardal-rhyw: lyeh
ymchwil-rhyw: txuh
artistig-rhyw: s6
crastinal-amser: sl6h
haniaethol-rhyw: sruh
exocentric-achos: zrih
transitive-ferf: tfoh
gorffennol-perfective: tr6h
anuniongyrchol-lleferydd: dyeh
ail-iaith: sr6h
ar-y-cyd noun: kxoh
absolutive-achos: bvuh
claf-sbardun: pruh
hunan-hyder: swuh
atblygol-llais: flah
amhersonol-ferf: pseh
foddol-achos: dleh
difywyd-rhyw: djih
causative: kruh
propositive-hwyliau: pxoh
trydan-ar-hyn o bryd: breh
cysylltiadol-achos: sloh
radd-eithaf-achos: sluh
planedol-rhyw: pxeh
cilyddol-llais: syoh
craidd-benefactive: kfeh
arall---os: kyeh
olynol-cymal: lyoh
cyn-bo-hir dyfodol amser: rwuh
applicative-llais: pyuh
antipassive-llais: ps6h
continuative-agwedd: tfuh
necessitative-hwyliau: nr6h
sengl-gweithredu-ferf: qyah
radd-eithaf-radd: tluh
dirfodol-cymal: sy6h
yn-bresennol-rhangymeriad: vrah
luminous-dwysedd: kyuh
singulative-rhif: glih
goddefol-rhangymeriad: pfoh
gormodol-hyd: kxuh
swm-o-sylweddau: m6
postpositional-achos: pwoh
dewisol-quantifier: vwih
epenthetic-morpheme: p6
negyddu-quantifier: gwah
cysylltiol-gronynnau: qyih
bell-dyfodol-amser: tl6h
frequentative-agwedd: f6
dosbarthol-rhagenw: bzih
allocution-cytundeb: ks6h
cyffredinol-quantifier: xlah
fel-y-bo'r angen - pwynt- rif: fu
dirfodol-quantifier: sweh
amgen-quantifier: l6
gorffennol-goddefol-rhangymeriad: xyih
locative-cyfeiriadol-achos: kfoh
gwrthffeithiol-amodol: fyoh
