动词不定式: hnit
弹簧: psin
世纪: syic
柔软的: mwan
角: kyun
生产: psas
笑: cyaf
忘记: flat
欧洲: hyup
八: lwat
连衣裙: lwac
可怕: cyap
气息: syaf
明智: hbas
所有格标记: srak
记忆: myin
现代: fwan
点: tcap
上升: hyus
打破: pyik
五十: hfis
岛: tlap
触摸: hsuc
承诺: pcam
承诺性心情: mwin
度: tfat
计划: plac
进行: nyak
惊: cran
分钟: hmun
射击: hwut
更坏: pcap
玻璃: klak
例: tlin
安全: hsif
医生: tsit
completive方面: hmep
反复: tyun
军事: slin
暖: nyam
喝: pfin
问题: pcaf
愤怒: nran
直: tyik
帽子: hcup
狗: kwap
仆人: hnuc
自豪: hram
人群: tcuc
培养: nyin
道德: myut
关联: kyim
输入: fyak
规则: nyas
剑: cwat
攻击: kfak
健康: clac
段: pyaf
社会: hsum
退: tfit
抱歉: hpec
勇气: krac
恩典: hnen
官方: hfaf
提供: tsik
请求: pwit
一瞥: klas
运动: hyon
期望: cwit
对面: psam
十二: tyaf
订婚: nyut
葡萄酒: hwun
味道: swut
铁: fyac
分发: syin
贸易: myap
优点: twac
衣服: kfip
法官: fwak
差分: tfaf
急: kcis
队长: kwin
完: nlat
戒烟方面: hsep
好奇: kyic
国外: kwic
增强: hnif
重要性: myun
最后: hfim
法案: fwin
证明: hpuk
防止: flan
颈部: cyun
法律: hfik
干: swak
服务: syam
失去: pcut
证据: pyut
证据外壳: hdak
进展: pyis
建造: klit
搜索: syuc
伤心: hrac
罪: psip
三十: tfis
诚实: tsin
关闭: kyap
银行: pcun
命运: cyik
森林: hfun
测量: mlac
除此以外: htoc
流: lyam
面包: hpup
额外: tfak
选择: twas
动物: nwam
宙性别: hzin
eventive心情: hwim
相同事件标记: hcom
乘法外壳: tlak
厚: hmus
生物: hyum
雨: myic
表面: pfas
圣: swis
七月: clim
报告: hfut
滨: pwas
文件: hfif
肩: cwut
感到惊讶: kran
王室的: klik
歌曲: hkuf
安慰: kfaf
任何人: nyic
草: kcap
绘制: cwik
开盘: cyic
六月: cwun
鱼: mlic
资本: klin
乳房: cyut
雪: hcif
教育: tlik
尖锐: tcaf
怜悯: hdam
费用: fyas
你的: hmuc
百万: mlun
累: tcik
杀: ksam
阴影: cwap
重量: plas
质量: mlas
既定: tlip
勇敢: pyam
薄: plic
满意: srat
查: kcik
美德: hdet
国民: nyaf
神圣: swin
谷: clak
猜测: kwam
投机心情: hken
黄色: clas
遗迹: mwac
弯曲: nlac
框: pwak
季节: tsim
科学: slas
孔: kcuc
叔叔: hmuk
名单: lyit
八月: ksut
流行: hlup
未知: fyit
熟: flak
熟寄存器: krit
读者: tsut
途径: pcuc
两次: tsap
知识分子: tfik
真: tsam
牧师: pcis
负伤: fran
悲哀: hpom
宫殿: kfas
击败: clap
是吗？: hnec
傻子: myuk
边缘: pfac
九: nwun
爆裂: psut
遭受: tfas
噪声: hcus
文学: lyic
忠告: swas
空: kcuk
秩: psik
风暴: tcut
口袋: kyip
想像力: nlin
句子: cwas
十一月: nwap
十二月: tsip
缺席: psic
感谢: ryak
地址: tyis
鸟: pyuc
所有者: mlik
涂层: kwut
准备: tyip
关系: lwan
抽烟: htum
一月: nwak
机: clic
内容: nyik
牙齿: tlis
耻辱: hcet
湾: kcaf
脑: pyuk
环: klic
短语标记: frak
广场: ksap
水果: fyut
茶: tsic
说明: slam
欢迎: cwam
诗: pwis
购买: klam
可信: hdic
激动: hcen
四十: klis
四月: pyip
和蔼: kfit
十月: kfap
苦: kyuc
奴隶: tlaf
松: hluk
文本: tsus
信用: cyip
十五: pfit
残忍: kcim
加入: cluc
处理: hpif
犯罪: kyaf
灰尘: tsuc
实用: plik
颜色: nlak
破坏: nyuc
增加: lyas
鼻子: hnus
承认: tyim
昨天: kfac
hesternal紧张: tlen
失败: slap
继续: tcim
穿: pwam
盲: nlit
打: tsun
飞: fyap
赞美: cwin
魔鬼: cwaf
逐渐: twic
牺牲: kyif
行使: cyis
良心: tfin
理论: tlic
部长: myis
讨厌: hnet
湖: cwic
中央: syun
晕: pfic
合理的性别: hron
小心: fwac
享受: nlam
崇拜: pwap
产品: twap
皮肤: twaf
屋顶: tlut
冠: gyan
城堡: klap
王座: tcus
附: nlaf
英里: mlim
极端: krim
监狱: fyis
杯: kcip
会员: mlam
国内: syim
到处: tsaf
明显: tfic
一对: pwaf
卷: clam
习俗: ksaf
弓: ksun
适合: slut
肉: mwak
牛奶: hluc
植物性性别: hwen
视力: slic
罕见: nlap
表姐: ksic
桥: pwut
保护: pfak
盐: swam
无辜: hwus
女王: kwim
计数: kcus
好奇心: hras
舞蹈: tyus
饭店: clut
填: flin
囚犯: psun
店: hjan
楼梯: sric
求: hmen
砂: sran
暴力: hgit
九月: hsem
离开: prac
废墟: crin
技能: krin
黄牛: hwec
设备: hwip
厨房: hkon
卖: hbak
速度: hsot
结论: clon
计算机: hkot
永恒: hsen
有限: mrit
图书馆: hbek
基础: hbac
混乱: hrun
辉煌: cris
同样: hjic
受惊: hbic
不快乐: prin
文章: hrek
厨师: kfin
带: hbat
沙漠: hget
吻: hbun
球: hbot
棒: hpot
论据: hrut
守: nrak
祝福心情: hbim
引人注目: hrim
有罪: hdis
枪: hgin
警察: plis
隐藏: hzan
远征: srin
无知: nrin
慷慨: drac
云: blan
浪费: htek
二月: frif
疾病: hren
花: bwan
资源: sron
倡议外壳: hnok
姨妈: hbam
延迟: dlic
延迟势在必行: hlip
报道证据: prat
午夜: dyit
英雄: nrac
哲学: hfof
手指: hjit
自在: hzat
某处: hmoc
按: bran
员工: hraf
奖励: rwan
怪: dlac
苦难: krat
前额: htec
广告: glan
天使: htet
单数数: hgam
黎明: hbon
商业的: krak
原谅: pran
羊: hcec
忍耐: hpen
农场: crac
参考: hrec
玉米: mran
键: kcif
多数: hmot
弱点: hdut
大气: traf
叹: tcoc
人类: mlis
反对: pric
磁盘: hdik
孤独: hket
艺术家: nrat
骑士: cwis
魅力: tran
决定: drin
州长: gran
科: rwac
性格: hsoc
热情: tsum
归纳的心情: hdum
社区: hmum
油: hyen
管: hbap
打印: trat
哦: dyoc
演讲背景: hros
呼外壳: hwok
舱: ksen
报警: plam
紧张: hnes
常驻: hset
刀: ksuk
丝: slik
鄙视: grin
地狱: nrik
分离: plen
认真地: mrat
杂: mrik
木: mrak
比较喜欢: hpet
警告: trin
警告心情: htom
冲动: hmos
志向: mrac
拒绝: hnek
宪法: swic
仪器: srit
连续方面: hnip
潮: hgas
学院: klen
尾: hkek
代: nric
猫: blat
直接证据: hret
弃: trac
十一: hyec
本能: nlik
特性: trit
部落: hgik
忧虑心情: pcim
庇护: crat
无礼: hruc
骑术: hris
摇: hmon
行业: hdot
职业: hres
灯: hdap
咖啡: kfif
服从: htot
北方: nrit
护士: nris
保证: hjat
链: ryin
教学: cric
鞋: hgut
码: mram
模糊: hmec
别处: hlet
公寓: pret
活动: twot
星期六: cram
阳光: hduc
寡妇: hwuc
元件: hlem
反射: hfen
组织: hgis
星: tram
事件: hgon
来宾: hgip
酒吧: brap
瓶: hbet
保佑: blak
搅拌: crak
内: trik
固定: krik
派生: prit
空洞: hcot
省: hpos
文明: srac
挂: hgak
休克: crok
例外: swap
应变: tren
标准: ryan
主动: dran
RID: hruk
发誓: kses
宝: zran
种子: hbis
塔: tras
喜爱: fwit
最近: hcem
最近过去紧张: hrot
醒: srik
家具: mrin
绳: hkos
冒险: hdas
王权: ryit
盛宴: dyat
描述: dras
六十: hses
规模: hkem
仪式: srec
狩猎: clik
耳语: psus
主要是: ryat
基督教: ksim
律师: hwif
详情: drit
公主: hrus
坛: dlat
卷筒纸: hwes
紫色: brin
收集: hkoc
选举: hben
概念: kren
醉: crik
倒: brac
电梯: hlif
手势: hjis
管理: rwin
交换: tcen
定文章: hdek
皇帝: mras
远程: hroc
丑陋: clup
无害: cras
滚: hrof
英寸: nlic
报纸: grat
胡子: dric
撕: srim
佣金: kson
而: grak
路口: kcoc
独立: htes
闻: hwon
十八: hdec
历史的: tris
毛: krut
根: hrok
泥: hbik
新娘: dlan
面纱: pras
剧院: tret
对照: kras
对手: rwis
平衡: slen
教练: kron
幽默: hnum
小说: rwas
复仇: hbaf
妒: ryut
轮: hlok
焦: glat
闪: flac
创建: hkec
冲突: hnot
诅咒: hlos
咒诅心情: pram
无助: hces
正: hzit
俱乐部: klup
洪水: nras
粮食: gwan
漠不关心: hdun
地平线: crim
憍心情: hsom
陡: htop
和谐: mron
雷: hgot
童年: htok
膝盖: hgun
软件: pwen
伤: kram
收据: ryis
启用: nlim
条件从句: hpoc
滑: slok
革命: hrif
农民: hjim
行程: trak
平台: hpof
信使: hmes
特权: hpek
有组织的: hyot
学生: clen
洞穴: hgec
传统: rwat
悲剧: tses
告别: hjap
批评: ryik
棉: krap
医院: slot
出租: kris
气体: hges
必然: pwic
致命: hgim
叶: glit
发布: plun
敌对: tsup
翻译: dwan
葬礼: jran
面粉: mrun
对应: ryon
浪漫: hrom
棚屋: clun
提出: psot
模仿的: hmet
美元: dlon
日光: hjac
十六: hsos
部件: hzac
殖民地: klon
翼: gyin
狮子: hles
文化: klut
柱: hkom
狡猾: glak
戏剧: dram
开玩笑: hjuc
薄雾: hdus
医学: dwas
十四: hkes
酸: sram
亦即: hyet
收入: hmok
主教: hbip
橙: tron
浴: byan
原始: rwit
篮: ksek
秘书: sris
稻草: prak
不耐烦: pfif
救恩: slon
hodiernal紧张: dlin
打算: zrin
蒸汽: tcip
毒: hwoc
天赋: tlon
气候: lwim
有效: fric
区分: tcif
洗: dwac
自白书: kfis
废话: hjas
煤炭: kyon
独木舟: kwon
临时: tric
定界方面: hdip
骨: hcos
星期一: nwic
星期二: glac
星期三: bwac
联邦: frin
合意: hzic
代表: ryic
麻布: lwin
水槽: swuk
外甥: bwin
血腥: kric
围城: cren
胃: hpem
黄铜: pcon
首脑: hzik
第五: pfik
廉价: brat
独家人: kwen
抢占: zrat
篱笆: hzas
雕像: tfam
炮兵: tlep
拥抱: mrap
周围: sren
严格: srot
鹿: hluf
衬套: hbuc
铁路: hrep
卸货: hduk
继承者: mris
橡木: blun
不愉快: pren
发明: hgic
钢琴: pyon
说服: swen
无形: gric
知名: ryun
残酷: kluk
诱惑: hyoc
TELIC方面: hlep
经济: kfik
国际: troc
干扰: tcek
哲学家: flif
优雅: gyit
福利: kyen
钓鱼: mlak
偷: truc
唇: hloc
退休: ryac
伸展: sras
画廊: glen
平行: zlan
atelic方面: htep
大陆: trap
令人望而却步心情: nrim
领带: dwat
细胞: slep
蛋: dyan
人造: jrat
与此同时: nwis
危机: ksot
有礼貌: sloc
午餐: lyon
松树: pwon
推: hcef
联盟: lyen
腰部: hkop
奇迹: hmek
水手: slis
纯度: prut
共和国: hguk
电话: tfen
鞭: krip
衬衫: cyim
介绍: ryas
沙发: hsof
扫: hsup
贼: ksif
保留: nrec
渠道: kcen
个性: klim
改革: kfam
危险的: hzim
棕榈: plim
扬声器: hzak
阈: dwic
促使: pris
矛: bzak
整齐: syec
会议: cwen
拷打: crot
潮湿: tcum
岭: grit
游客: hyek
磨: mwik
地图: jrac
领: klok
更换: klif
故意: drat
啤酒: hbif
丝绒: hwem
重力: gwit
讲道: hpum
滥用: glas
群: hgen
十三: tres
辩解: jyit
星期五: crum
刷: broc
下载: dlas
奶油: krem
悬崖: klaf
陪审团: jrin
怪物: ksos
冻结的: hgoc
锅: pfot
一分钱: psen
咬定: srut
苹果: hpep
讨论: drak
背景: prun
录制: trim
定期: prik
娱乐: nren
病毒: bris
幼稚: blit
反映: flit
兑换: kcet
轮廓: kluc
歌剧: hpop
赞同: nron
背叛: rwak
惩治: hzen
弯头: kcon
附件: tcet
修复: hrop
可疑: cyec
七十: swet
圣经: srip
坑: grac
紊乱: dlak
二进制: byin
僧院: bjan
箭头: tcec
趋向: trec
阐述: frat
忠诚: hlot
硬币: syip
颤抖: tcem
流亡: gwin
机械: myim
陷阱: crap
蛋糕: kyek
先生: cyes
迟疑: sret
十七: syet
蜂蜜: myon
赌注: dzat
踏: hjam
砖: brit
八十: hpes
不幸: pcen
请教: kcot
传说: lwen
收成: hfos
提升: pfon
火炉: hsop
反叛: bric
过时: hnom
膨胀: cron
沼泽: swot
敷料: hdes
苦行者: pces
经理: mren
合唱: cros
有理: tson
处理: pson
狼: blaf
地毯: hgap
古代: hjak
沃: frut
哨: slif
起司: twis
咬: byat
邀请: jwan
大教堂: kyet
港口: brak
漫步: djan
作物: tsos
海军: nlen
面具: mrok
铅笔: pses
蔬菜: sroc
展示: hzet
长裤: tlun
腐败: hrup
内阁: nram
汤: srup
外科医生: syon
津贴: tcot
间谍: gyas
鲁莽: hlec
闲话: gyic
象征: hzon
抽象: srok
星期四: cwim
交通: ryaf
建筑: ryek
裂纹: rwaf
装饰: rwon
相反: lwas
游玩: mwun
复苏: ksus
路面: plut
决定性: dyin
负: nraf
节: hfec
减少: hrum
叛逆: zyan
猎人: djin
蛇: syen
电池: bret
蜡: flam
侦探: dlit
分析: nlis
重点: hzot
游泳: twen
信封: lwaf
谁: hgek
卷烟: jrit
马达: mrot
志愿者: hwot
反应: ryif
行李: blam
聋: hboc
汁: hjus
谦逊: jlit
部: mret
有性: hjon
直径: dyam
斧头: blac
钻石: dlam
备用: hlek
回声: hgus
克制: swon
身分: hdaf
屏幕: krun
懒: lwis
momentane方面: hmop
紧凑: kfot
漂移: hdif
消失: hgaf
射线: ryen
墨水: mwic
大规模的: mraf
地窖: dyac
难忘: nrun
强光: klek
参议院: slet
棺材: tfap
饶恕: frac
吞: nlun
放纵: nlot
摆动: swun
草地: gram
复杂: klos
辞职: hzis
谦卑寄存器: nret
阴谋: swim
胡椒: prip
小马: pron
候选人: hzam
狐狸: flik
烟囱: tcon
管辖权: drik
农业: rwic
准确性: tcuk
前任的死者: brim
民主的: mrek
芽: hbos
毯: bwat
冰雹: hgep
猪: srus
成形: krek
象牙: craf
古典: ksok
观察者: nwet
象: lwit
钉子: nwus
蜜蜂: hmif
埋葬: dzan
演员: bzat
汗: zwan
抛光: ploc
错觉: hlus
不确定: pcet
次要: syif
折: tsot
乡村: grun
呻吟: nyen
类似: slec
引用: hzun
解雇: cyek
烦恼: fren
针: hjun
受控: nroc
鸡: truk
一贯: kwot
桶: bras
惯常的方面: hcep
专家: ksec
印: blin
橄: zlin
面包车: myen
障碍: bwak
点头: kcec
培育: plaf
定义: fyic
生日: gjin
锤: hcof
香: hfon
重: trun
不重要的: twut
踢: hjik
挖: kwaf
宠物: plot
头骨: hcop
立法机关: dlik
脚跟: cruk
皱眉: crun
专利: plet
十亿: blim
化学: fyik
飞行员: pyot
模拟: mlot
短裙: kwet
异常: srap
每周: jwik
技术: tfip
植被: tset
乌鸦: kraf
日出: sruc
一生: glin
有助于: hyom
钩: hdok
虎: blic
穿透: crut
袖: slun
公路: jras
民兵: mlip
沟: kroc
廉正: kret
十九: dzin
有机: rwik
神学: flic
浮动: flut
巫婆: byac
无聊: hwuk
外交: dyik
工作室: twos
超过: kcok
香槟酒: cyen
启发: crif
旗帜: hbes
离婚: lwon
螺栓: hbut
静脉: jyan
被动: psif
泡沫: hgum
碎石: grik
围裙: tyen
行星: gren
架: claf
风扇: flon
热带: hjip
相: fwas
随意: rwen
发音: kfun
汞: krok
爬行: hrem
自杀: tcos
记者: prot
剥夺: hpok
熟练: klun
阳台: blik
叉: fras
雇员: mlek
雇主: myot
宽度: jrak
恼怒的: djit
控: klot
养老金: pyen
动词: kres
猴: mwon
接受: hwek
签名: tlim
正统: rwos
讽刺: fron
苗圃: nrap
不情愿: jlan
进口: tyot
火炬: croc
语法: gjak
存款: gyat
殖民: plon
游艇: jyat
后果: kwec
拱顶: kwun
厚度: hfot
顽固: cyon
肌肉: hmup
大小: ryam
擦: ryos
胆小: rwam
马具: gwac
烤面包: tros
鼠标: myus
音节: slim
拍: prap
对话: dlaf
中性: nrot
勤勉: dwin
矛盾: trot
实现: kfic
山羊: byak
繁荣: hfet
强加: mlon
匿名: nwim
正式寄存器: frit
小牛: hbof
手册: mwut
熔化: hjec
删除: flas
伞: gras
靴: bzut
矿物: mrim
休战: crus
鸭: hbok
规划: pfam
肥皂: hsuf
娃娃: gwak
骨架: klet
别墅: blis
针线活: jlin
调和: dyak
水壶: kset
成熟: mruc
兔子: kruc
导体: nwot
依赖: djat
播放机: jlic
昆虫: pset
餐厅: cret
猫头鹰: lwun
激进: djik
居民: zwin
龙: dron
听觉证据: drot
渴: kyos
萦绕: dren
计算: glun
规: ryim
市长: mlap
少数民族: mric
获得: dwon
老将: bren
乐队: ryes
熏肉: bjin
坏处: zwat
布: frap
音乐家: gzik
精神上: hnep
连词: nyon
不足: nrip
建筑师: tsek
柠檬: nyim
咳嗽: kcos
头痛: crek
承租人: ryet
生育能力: srun
愈合: hfoc
九十: nwon
随机: hbec
勺: kcek
气球: blon
粉笔: hfip
推理证据: nlet
出版者: pcot
醋: sruk
灰: fyec
脏话: slek
复活: nrut
易感: kfim
隧道: tfun
难题: hpef
机制: mwim
数学: gzit
褪色: frun
肝: jwin
至格外壳: bwik
蘸: dris
单元: twim
垄断: hnop
赌博: hgup
潜艇: bzin
地震: hbem
实验室: brot
软木: kruk
自控制: syot
佛: hbus
针织: bjat
大使馆: blas
最远: sres
陈述心情: drim
刺激物: tyuc
巧克力: clot
巧合: tyon
手套: gwat
下跪: hjek
地理: hjif
投资: nwes
口头: mrec
类比: nlip
世俗: srek
鹰: blap
心理学: nloc
系: gjan
废料: krep
角色: cyum
剂量: hdos
三文鱼: slom
布丁: pwun
磁性: gyik
泵: pcom
氧: ksip
证书: tfot
勋章: hmem
修辞: trok
刮: rwap
桨: dyas
望远镜: trip
项链: clek
拼字: prif
威士忌酒: hwos
柳: hwof
骆驼: hlum
业余: myet
出口: crec
传: brif
驴: gzac
每月一次: mwis
忽略: nruk
假期: byit
点击: lyik
椭圆: twon
弹: lyet
字典: kfon
火腿: gzam
彩虹: rwun
消耗: kcum
吐: tcup
坦克: trek
同事: clok
蝴蝶: trif
图表: graf
双: jwat
独立地: trem
竹: hbum
零售商: jlat
积累: kles
检查员: nyet
一口: hyos
恶梦: hbom
果酱: gjam
博物馆: mrem
字母: lwam
分散: zras
袭击: crip
透露: clus
腐烂: fraf
侵略性: gris
摩擦: mroc
码头: gyac
蜘蛛: brik
土豆: trut
调整: cwon
贪心: jlac
过早: ryot
乘: gzan
纺: pcip
统计: tsok
日历: klem
提名: nwen
兆: tlos
阁楼: tlok
肯定心情: rwim
应用: pfen
公称: nlon
不满: sraf
感染: hfok
投手: krot
耸: cyok
先锋: gzin
省略: nlif
卷心菜: glic
竞技: tlet
酒醉: mrut
idiophone: hdof
杠杆: lwek
参议员: syem
鸢尾花: nrif
蚂蚁: mwam
错误: hbop
孕: grim
沉淀: hjet
踝: tcok
分类: glik
变量: prim
包: ryap
卷曲: krec
硫: hsef
听写: dwik
出现: brun
青蛙: fram
过多外壳: twek
海绵: hjen
恼人的: djon
松鼠: slip
研磨: zyin
非现实心情: flim
火山: glam
在室内: gron
利用: kloc
地质: jlik
护照: psop
不道德: mlet
饼干: hbuk
合作: kros
片剂: tlot
松弛: kces
原子: trom
艾滋病: hzip
金字塔: psim
周期: swok
盹: hnup
非法的: hjaf
爪子: pfap
害羞: crom
蚀: klip
琵琶: lwap
扫帚: srum
面板: mwen
天文学: tcom
迷宫: blen
奖学金: bwit
龟: kfuc
顾问: dwak
纤维: fwic
蟋蟀: jrik
鸽子: ksom
适应: dyon
三角形: tfon
出纳员: tsen
氢: jron
脆弱: hfuk
打印机: pyet
呛: tcof
慢性: gzon
应付: slaf
困境: dlim
工程: jyin
相机: hkef
道歉: pluc
舔: lwet
舞蹈家: dret
迁移: mres
网球: tces
脊柱: clip
炒: zrac
织布机: tfuc
刺: twuc
密码: psaf
半球: praf
战略: zrit
石英: krus
剪刀: jris
巡逻: proc
冰川: lwic
半: dwam
备忘录: mwap
锥体: kwuc
对称: hzut
生产厂家: zrak
被告: fwik
清真寺: djis
棋: cres
收费: htof
樱桃: tref
广泛: kfen
绊倒: tfok
卡车: ryok
芥末: mros
百分: pfet
拍卖: jlam
筛: srif
不稳定: swoc
磁铁: gjat
吮吸: syus
伊斯兰教: slum
脚尖: twip
膜: mlen
刮胡子: clet
吉他: gjit
闪亮: bzan
榆树: hyem
翱翔: kcom
代词标记: ryec
钉书针: pcus
香料: zlat
保释: jlas
支架: zyac
振动: bron
逗: trus
犁: hlom
生理: zlik
排水沟: hgok
彗星: cyet
中世纪: dyic
麻雀: grec
补偿: twet
塑料: psuk
脚注: cyot
轨道: rwot
节俭: twum
高尔夫球: hgof
零: zrun
芯片: tcep
压迫: prok
打哈欠: gjac
不等式: gwas
痣: tloc
陶器: frik
家庭主妇: hgif
黑麦: rwem
违: hyes
宽容: glon
胎: brec
矿工: jren
鼓掌: zlac
酵母: lyim
额外费用: pfim
李子: plem
破产: byas
灌溉: rwif
薄荷: nyun
资本家: glis
弹性: hlef
鲨鱼: gyak
招: drut
存储: zren
现实主义: cles
姜: djic
