bendratis: ni
Liepiamoji-nuotaika: jwih
liberalus-nuotaika: mwah
tinkamas: kcih
distalinės-demonstratyvus: tseh
skirstomasis-atvejis: nwah
Atkaklus: treh
skausmas: droh
protingas: ja
savininkiškas-žymeklis: srah
commissive-nuotaika: mu
staigmena: crah
Kompletywny-aspektas: kweh
pyktis: nrah
pasididžiavimas: brah
atsiprašau: pceh
drąsa: krah
malonė: nreh
judėjimas: mroh
neramus: cwih
nutraukimas-aspektas: za
stiprinimo: tfih
pagrįstas-įrodymu-atvejis: ryah
liūdnas: syah
kitaip: tyah
geologinƳ-lytis: zo
eventive-nuotaika: nwoh
tas-pats-renginys žymeklis: cwoh
dauginamasis-atvejis: plah
nustebino: prah
gailestis: lyah
masė: mlih
patenkintas: srih
dorybė: be
spekuliacinis-nuotaika: po
susipažinęs-registruotis: krih
sužeistas: frah
liūdesys: proh
eh?: nyah
dėkoti: kyah
gėda: ru
frazė-žymeklis: fyah
ištikimas: cyih
sujaudinimas: tyeh
hesternal-įtempti: tleh
nekęsti: tyih
racionalus-lytis: tlih
kraštutinis: kreh
augalinis-lytis: slih
smalsumas: kyih
išsigandęs: kcuh
straipsnis: myah
palaiminimas-nuotaika: bwih
kaltas: dlih
neišmanantis: nrih
dosnus: drah
iniciatyva-atvejis: twoh
atidėtas-imperatyvas: ji
pranešė-pagrįstas-įrodymu: psah
kaltė: dlah
vargas: kfah
vienaskaitos-skaičius: gu
atleisti: pfah
kantrybė: je
referuoto: freh
vienišas: kyoh
žavesys: croh
entuziazmas: tsuh
indukcinis-nuotaika: tcuh
diskursas-kontekstas: ye
šauksmininko-atvejis: bo
panieka: grih
perspėjimas-nuotaika: tyuh
ambicija: bwah
nepertraukiamas-aspektas: nyeh
tiesioginis-pagrįstas-įrodymu: troh
sumanus-nuotaika: pcoh
šokas: cruh
naujas-praeitis-įtempti: clih
neabejotinas-straipsnis: klih
pavydus: ryuh
prakeikiantis-nuotaika: mrih
abejingumas: du
arogantiškas-nuotaika: syih
sužalojimas: kroh
Protasis: rwoh
priešiškas: cyuh
mimezinis: mreh
būtent: gwih
hodiernal-įtempti: dloh
delimitative-aspektas: dweh
išskirtinis-asmuo: kwuh
TELIC-aspektas: tfeh
atelic-aspektas: tsoh
neįperkamas-nuotaika: jrih
kankinimas: nroh
lojalumas: nloh
momentane-aspektas: myeh
atleidimas: jrah
nuolankus-registruotis: myih
buvęs-velionis: frih
citata: wu
susierzinimas: zrah
įprastas-aspektas: bu
logiškai: kseh
darbštumas: dyih
formalus-registruotis: sreh
girdimasis-pagrįstas-įrodymu: creh
jungtukas: ksoh
Netiesiogiai-pagrįstas-įrodymu: flih
užpildantis: sleh
sublative-atvejis: swoh
deklaratyvus-nuotaika: ksuh
žodinis: kceh
teigiamas-nuotaika: fwah
nepasitenkinimas: dyah
saviskambių: dyoh
perdėtas-atvejis: zwah
irrealis-nuotaika: ze
drovumas: cyoh
pritaikymas: pyih
įvardis-žymeklis: ryeh
engti: zroh
šaltakraujiškumas: jyah
pegative-atvejis: pweh
prosecutive-atvejis: pwuh
susirūpinimas: byah
dalyvis: pfih
Nuotolinis-praeitis-įtempti: dzah
istorinis-įtempti: sroh
isterija: syeh
dvigubas-skaičius: dluh
sensorinis-pagrįstas-įrodymu nuotaika: xi
judėjimas-į-kalną: ryoh
retrospektyvus: txih
judėjimas-žemyn: myoh
fleksyjnych: blih
superessive-atvejis: psuh
pereinamas: t6
nusivylimas: xrah
judėjimas-Prieš-srovę: truh
judėjimas-srovę: txah
Padalijimas: xo
atoslūgis: tloh
dabartinis-aktualumas-žymeklis: xa
akronimas: qi
Sukurti: nl6h
gerundijus: ge
būtasis-laikas: preh
aoristas: broh
dalijamasis-atvejis: pxih
Trys-karaliai: pf6h
patobulintus: xe
fobija: xyoh
nulėmėjas: txeh
predikatinis: plih
prolative-atvejis: pxah
Teisingą: vyih
dvejetainis-vertė: vrih
baigtinis-veiksmažodis: vi
bandomasis-skaičius: pc6h
už-sakinys: r6
draugystė: va
Gnomiczny-nuotaika: kxih
orientuotas-atvejis: dreh
prieš-hodiernal: x6
pacientas-atvejis: qa
įstrižas-atvejis: bwoh
vidurys-balsas: tyoh
atpažįstami: xyah
tikslas-gaidukas: groh
liacinės-atvejis: dvah
ne-žmogaus: n6
attenuative: nyuh
multal-skaičius: mloh
Trans-skaitvardis: ts6h
galaktika-lytis: gjah
iki: jwah
abessive-atvejis: bvah
adessive-atvejis: dvih
į-atvejis: kxah
agentive-atvejis: dveh
agentas-gaidukas: greh
aktorius-vaidmuo: nruh
bendras-lytis: k6
accompanier: kloh
pasyvus-balsas: pyoh
žvaigždė-lytis: qrah
citata-forma: xu
žodinis-daiktavardis: xlih
sąlyga-uodegą: kluh
tiesioginis-objektas: rweh
ergatyvinis-atvejis: gvih
in--kalba: byih
vietininkas-atvejis: kwoh
prieveiksminis-atvejis: vlah
galutinis-dalelė: nluh
evitative-atvejis: ve
savininkiškas-atvejis: kfih
nominalization: mleh
apsėstas-atvejis: djah
pagalbinis-veiksmažodis: fyih
pagrindinis-objektas: myuh
antessive-atvejis: nleh
pagyvinti-lytis: xrih
subessive-atvejis: bvih
transporto-priemonė-lytis: vlih
mineralinis-lytis: xwih
veiksmažodžio-priesaga--: kxeh
empatiškas-džiaugsmas: pfeh
pokytis-iš-renginys: qrih
kitoks-renginys: txoh
visata-lytis: bjih
vietovė-lytis: lyeh
tyrimas-lytis: txuh
meninis-lytis: s6
crastinal-įtempti: sl6h
abstraktus-lytis: sruh
exocentric-atvejis: zrih
pereinamas-veiksmažodis: tfoh
praeitis-Tobulas: tr6h
netiesioginis-kalbos: dyeh
antra-kalba: sr6h
kolektyvas-daiktavardis: kxoh
absolutive-atvejis: bvuh
pacientas-gaidukas: pruh
savarankiškai-pasitikėjimas: swuh
sangrąžinis-balsas: flah
beasmenis-veiksmažodis: pseh
modalinis-atvejis: dleh
negyvas-lytis: djih
priežastinis: kruh
propositive-nuotaika: pxoh
elektros-dabartinis: breh
asociatyvus-atvejis: sloh
aukščiausias-atvejis: sluh
planetinis-lytis: pxeh
abipusis-balsas: syoh
šerdis-benefactive: kfeh
dar---jei: kyeh
nuoseklus-išlyga: lyoh
greitai-ateitis-įtempti: rwuh
TAIKOMOSIOS-balsas: pyuh
antipassive-balsas: ps6h
Continuative-aspektas: tfuh
necessitative-nuotaika: nr6h
vienas-veiksmas-veiksmažodis: qyah
aukščiausias-laipsnis: tluh
egzistencinis-išlyga: sy6h
dovana-dalyvis: vrah
šviečiantis-intensyvumas: kyuh
singulative-skaičius: glih
pasyvus-dalyvis: pfoh
perdėtas-trukmė: kxuh
suma-iš-medžiaga: m6
postpositional-atvejis: pwoh
pasirenkamas-quantifier: vwih
epentetinis-morpheme: p6
Neigiamai-quantifier: gwah
jungiamasis-dalelė: qyih
Nuotolinis-ateitis-įtempti: tl6h
dažninis-aspektas: f6
skirstomasis-įvardis: bzih
Kreipimasis-susitarimas: ks6h
universalus-quantifier: xlah
slankaus-kablelio-numeris: fu
egzistencinis-quantifier: sweh
alternatyva-quantifier: l6
praeitis-pasyvus-dalyvis: xyih
vietininkas-krypties-atvejis: kfoh
priešingos-sąlyginis: fyoh
