infinitif: hnit
information: fyin
soudainement: tfan
étrange: hgan
profond: ksan
changement: hrit
sentiment: nwac
rencontrer: mlit
objectif: htuc
content: hcuc
sembler: syit
du-sang: cyac
se-leva: kwas
Sud: swan
du-froid: tlat
vers-l'avant: myik
position: psis
en-retard: tyam
se-mettre-debout: syan
supposer: nlas
fille: pyit
mien: myan
Couper: hkim
copie: hfap
mari: hgat
six: hlis
rappel-toi: twat
effet: hyaf
tombe: htuk
mis-à-part: hsip
cheveux: hpaf
passer: pyas
droits-d'auteur: pcit
armée: cyit
courir: kcak
cheval: kcas
avenir: hwic
Ouest: pcak
Payer: plit
rouge: hyun
or: tcun
désir: hdan
joue: plin
maîtriser: mwas
Bureau: hfus
gouvernement: syak
église: kyas
longueur: hlen
compagnie: ksin
papier: kyis
probabilité: hbin
notamment: cyas
ours: pcas
fenêtre: cyak
une-entente: hgac
beauté: syac
devoir: tfac
envoyer: fyan
distance: htif
le-silence: slan
le-pied: fyat
sauvage: kyik
mourir: myam
enregistrer: pfan
vert: kcin
difficulté: mlan
sourire: myak
faux: clat
divers: pcin
dormir: slit
quotative-cas: kwik
début: cwan
action: kfan
visite: fwat
suivre: nlan
Essai: tcis
présence: psit
sucré: tlit
riches: tcin
ennemi: tcam
navire: hcip
condition: kyit
y-compris: hkum
compris-la-personne: hlon
secret: kwit
precative-humeur: pwim
poli-registre: hbit
mal: pwac
Mars: myas
peu-importe: kwac
rester: hlam
au-lieu: plat
bleu: plan
impossible: psap
L'école: hsuk
occasion: ksac
marié: nwat
aliments: hcuk
vingt: tsis
silencieux: tcit
facilement: hnis
éventuel-aspect: hrap
la-langue: lyac
expression: syas
semaine: hsus
salle: hcum
danger: kcic
propriété: myit
né: nyan
tribunal: kcut
généralement: tyap
gnomique-aspect: hmip
valeur: tyas
facile: syap
arbre: pyic
bataille: pyap
mur: twit
cieux: cwak
inchoative-aspect: htip
jussif-humeur: hjin
Ton: twun
considérer: klan
attendu: pcik
mois: hmaf
de-l'expérience: nyap
entièrement: nyac
Frais: tsac
Duc: hnuk
couvert: kwak
lié: hyim
l'est: tyuk
pierre: pwan
quelque-peu: kfat
direction: tlac
chaise: kwis
aider: syut
rendez-vous-amoureux: tyic
village: klac
champ: clit
autorisation: nwin
permissif-humeur: hmom
Succès: slak
correct: hric
colline: clin
la-musique: ksik
distale-démonstratif: hdat
après-midi: htup
cri: hyuc
honneur: hnaf
Sept: swit
privé: pfat
des-nouvelles: nwas
scène: slac
jardin: cyam
course: htus
distributif-cas: twak
apprendre: clan
politique: syik
mensonge: kcun
jeter: tsak
manger: kcam
plancher: hlaf
mauvais: pwin
original: mlin
l'été: kyam
la-religion: tlam
image: ksit
échapper: plap
auteur: hlut
brun: pyun
déterminé: htem
douleur: hdon
le-printemps: psin
siècle: syic
doux: mwan
coin: kyun
produire: psas
rire: cyaf
oublier: flat
Europe: hyup
huit: lwat
robe: lwac
terrible: cyap
souffle: syaf
sage: hbas
possessif-marqueur: srak
Mémoire: myin
moderne: fwan
endroit: tcap
monter: hyus
briser: pyik
cinquante: hfis
île: tlap
touche: hsuc
promesse: pcam
commissive-humeur: mwin
degré: tfat
plan: plac
conduite: nyak
surprise: cran
minute: hmun
coup: hwut
pire: pcap
verre: klak
exemple: tlin
sûr: hsif
docteur: tsit
complétif-aspect: hmep
répété: tyun
militaire: slin
chaleureux: nyam
boire: pfin
les-questions: pcaf
colère: nran
directement: tyik
chapeau: hcup
chien: kwap
serviteur: hnuc
fierté: hram
foule: tcuc
entrainer: nyin
moral: myut
associé: kyim
Entrer: fyak
Règle: nyas
épée: cwat
attaque: kfak
la-santé: clac
paragraphe: pyaf
social: hsum
remboursement: tfit
Pardon: hpec
courage: krac
la-grâce: hnen
officiel: hfaf
fourni: tsik
demande: pwit
coup-d'œil: klas
mouvement: hyon
attendre: cwit
contraire: psam
douze: tyaf
engagé: nyut
du-vin: hwun
goût: swut
fer-à-repasser: fyac
distribuer: syin
Commerce: myap
avantage: twac
vêtements: kfip
juge: fwak
différence: tfaf
anxieux: kcis
capitaine: kwin
fini: nlat
cessation-aspect: hsep
curieuse: kyic
étranger: kwic
intensificateur: hnif
importance: myun
enfin: hfim
facture: fwin
prouver: hpuk
empêcher: flan
cou: cyun
juridique: hfik
sec: swak
servez: syam
perdre: pcut
preuve: pyut
évident-cas: hdak
progrès: pyis
bâtiment: klit
chercher: syuc
triste: hrac
péché: psip
30: tfis
honnête: tsin
fermer: kyap
banque: pcun
le-sort: cyik
forêt: hfun
mesure: mlac
autrement: htoc
courant: lyam
pain: hpup
supplémentaire: tfak
choisir: twas
animal: nwam
zoic-le-genre: hzin
eventive-humeur: hwim
même-un-événement marqueur: hcom
multiplicatif-cas: tlak
épais: hmus
créature: hyum
pluie: myic
surface: pfas
saint: swis
juillet: clim
rapport: hfut
côte: pwas
dossier: hfif
épaule: cwut
surpris: kran
royal: klik
chanson: hkuf
confort: kfaf
n'importe-qui: nyic
herbe: kcap
dessiner: cwik
ouverture: cyic
juin: cwun
poisson: mlic
capital: klin
Sein: cyut
neige: hcif
éducation: tlik
pointu: tcaf
pitié: hdam
frais: fyas
la-tienne: hmuc
million: mlun
fatigué: tcik
tuer: ksam
ombre: cwap
poids: plas
Masse: mlas
a-mis-en place: tlip
courageux: pyam
mince: plic
satisfait: srat
vérifier: kcik
la-vertu: hdet
nationale: nyaf
Divin: swin
vallée: clak
Devine: kwam
spéculatif-humeur: hken
jaune: clas
restes: mwac
courbé: nlac
boîte: pwak
saison: tsim
la-science: slas
ennuyer: kcuc
oncle: hmuk
liste: lyit
août: ksut
populaire: hlup
inconnu: fyit
familier: flak
familier-registre: krit
lecteur: tsut
approche: pcuc
deux-fois: tsap
intellectuel: tfik
vraiment: tsam
prêtre: pcis
blessés: fran
chagrin: hpom
palais: kfas
battre: clap
hein?: hnec
fou: myuk
bord: pfac
neuf: nwun
éclater: psut
souffrir: tfas
bruit: hcus
Littérature: lyic
Conseil: swas
vide: kcuk
rang: psik
tempête: tcut
poche: kyip
imagination: nlin
phrase: cwas
novembre: nwap
décembre: tsip
absence: psic
remercier: ryak
adresse: tyis
oiseau: pyuc
propriétaire: mlik
manteau: kwut
préparer: tyip
rapports: lwan
fumée: htum
janvier: nwak
machine: clic
contenu: nyik
dents: tlis
honte: hcet
baie: kcaf
cerveau: pyuk
bague: klic
phrase-marqueur: frak
carré: ksap
fruit: fyut
thé: tsic
Explique: slam
Bienvenue: cwam
poésie: pwis
Acheter: klam
fidèle: hdic
excitation: hcen
quarante: klis
avril: pyip
gentiment: kfit
octobre: kfap
amer: kyuc
esclave: tlaf
en-vrac: hluk
envoyer-des-textos: tsus
crédit: cyip
quinze: pfit
cruel: kcim
Joindre: cluc
processus: hpif
la-criminalité: kyaf
poussière: tsuc
pratique: plik
Couleur: nlak
détruire: nyuc
augmentation: lyas
nez: hnus
admettre: tyim
hier: kfac
hesternal-tendu: tlen
échouer: slap
Continue: tcim
porter: pwam
aveugle: nlit
douzaine: tsun
Voler: fyap
louange: cwin
diable: cwaf
au-fur-et à mesur: twic
sacrifice: kyif
exercice: cyis
conscience: tfin
théorie: tlic
ministre: myis
haine: hnet
Lac: cwic
centre: syun
perdre-connaissance: pfic
rationnel-le-genre: hron
prudent: fwac
prendre-plaisir: nlam
culte: pwap
des-biens: twap
la-peau: twaf
toit: tlut
couronne: gyan
Château: klap
trône: tcus
attaché: nlaf
mile: mlim
extrême: krim
prison: fyis
gobelet: kcip
membre: mlam
civil: syim
partout: tsaf
évident: tfic
couple: pwaf
le-volume: clam
coutume: ksaf
arc: ksun
costume: slut
viande: mwak
lait: hluc
végétal-le-genre: hwen
la-vision: slic
peu-fréquent: nlap
cousin: ksic
pont: pwut
protéger: pfak
du-sel: swam
innocent: hwus
reine: kwim
compter: kcus
curiosité: hras
danse: tyus
hôtel: clut
remplir: flin
prisonnier: psun
boutique: hjan
escaliers: sric
mendier: hmen
le-sable: sran
violent: hgit
septembre: hsem
Départ: prac
se-ruiner: crin
compétence: krin
bovins: hwec
équipement: hwip
cuisine: hkon
vendre: hbak
la-rapidité: hsot
conclusion: clon
l'ordinateur: hkot
éternel: hsen
limité: mrit
bibliothèque: hbek
base: hbac
confusion: hrun
glorieux: cris
également: hjic
effrayé: hbic
malheureux: prin
article: hrek
cuire: kfin
bande: hbat
désert: hget
baiser: hbun
balle: hbot
bâton: hpot
argument: hrut
observer: nrak
bénédiction-humeur: hbim
frappant: hrim
coupable: hdis
pistolet: hgin
police: plis
cacher: hzan
expédition: srin
ignorant: nrin
généreux: drac
nuage: blan
déchets: htek
février: frif
maladie: hren
dépenser: bwan
la-source: sron
initiative-cas: hnok
tante: hbam
retard: dlic
différé-impératif: hlip
signalé-évident: prat
minuit: dyit
héros: nrac
philosophie: hfof
doigt: hjit
confortable: hzat
quelque-part: hmoc
Appuyez: bran
employés: hraf
récompense: rwan
faire-des-reproches: dlac
la-misère: krat
front: htec
un-d: glan
l'ange: htet
singulier-nombre: hgam
aube: hbon
commercial: krak
pardonner: pran
le-mouton: hcec
la-patience: hpen
ferme: crac
référentielle: hrec
blé: mran
clé: kcif
majorité: hmot
la-faiblesse: hdut
atmosphère: traf
soupir: tcoc
humanité: mlis
opposition: pric
disque: hdik
solitaire: hket
artiste: nrat
Chevalier: cwis
charme: tran
décision: drin
gouverneur: gran
branche: rwac
disposition: hsoc
enthousiasme: tsum
inductif-humeur: hdum
Communauté: hmum
huile: hyen
tuyau: hbap
impression: trat
Oh: dyoc
discours-le-contexte: hros
vocatif-cas: hwok
cabine: ksen
alarme: plam
nerveux: hnes
permanent: hset
couteau: ksuk
soie: slik
mépris: grin
enfer: nrik
séparé: plen
sérieusement: mrat
mixte: mrik
en-bois: mrak
préfère: hpet
avertissement: trin
admonition-humeur: htom
impulsion: hmos
ambition: mrac
nier: hnek
constitution: swic
instrument: srit
continu-aspect: hnip
marée: hgas
Université: klen
queue: hkek
génération: nric
chat: blat
direct-évident: hret
abandonné: trac
onze: hyec
instinct: nlik
caractéristiques: trit
tribu: hgik
inquiet-humeur: pcim
abri: crat
grossier: hruc
équitation: hris
secouer: hmon
industrie: hdot
métier: hres
lampe: hdap
café: kfif
obéit: htot
nord: nrit
infirmière: nris
assurer: hjat
chaîne: ryin
enseignement: cric
chaussures: hgut
cour: mram
vague: hmec
ailleurs: hlet
appartement: pret
activité: twot
samedi: cram
ensoleillement: hduc
veuve: hwuc
élément: hlem
réflexion: hfen
organisation: hgis
la-vedette: tram
incident: hgon
client: hgip
bar: brap
bouteille: hbet
bénir: blak
mélanger: crak
interne: trik
réparer: krik
dériver: prit
creux: hcot
Province: hpos
civilisation: srac
Accrocher: hgak
choc: crok
exception: swap
fatigue: tren
Standard: ryan
au-volant: dran
débarrasser: hruk
jurer: kses
trésor: zran
graine: hbis
la-tour: tras
préféré: fwit
récemment: hcem
récent-passé-tendu: hrot
éveillé: srik
meubles: mrin
corde: hkos
aventure: hdas
royauté: ryit
le-banquet: dyat
décrire: dras
soixante: hses
échelle: hkem
cérémonie: srec
chasse: clik
chuchotement: psus
en-grande-partie: ryat
christianisme: ksim
avocat: hwif
détail: drit
Princesse: hrus
autel: dlat
toile: hwes
mauve: brin
recueillir: hkoc
élection: hben
conception: kren
ivre: crik
verser: brac
ascenseur: hlif
geste: hjis
gérer: rwin
échange: tcen
précis-article: hdek
empereur: mras
éloigné: hroc
laid: clup
inoffensif: cras
rouleau: hrof
pouce: nlic
journal: grat
barbe: dric
larme: srim
commission: kson
alors-que: grak
Traversée: kcoc
indépendance: htes
odeur: hwon
dix-huit: hdec
historique: tris
brut: krut
racine: hrok
boue: hbik
la-mariée: dlan
voile: pras
le-théâtre: tret
comparaison: kras
rival: rwis
équilibre: slen
entraîneur: kron
humour: hnum
roman: rwas
vengeance: hbaf
jaloux: ryut
la-roue: hlok
brûlé: glat
flash: flac
Créer: hkec
conflit: hnot
malédiction: hlos
imprecatory-humeur: pram
sans-défense: hces
positif: hzit
club: klup
inonder: nras
grain: gwan
indifférence: hdun
horizon: crim
présumé-humeur: hsom
raide: htop
harmonie: mron
tonnerre: hgot
enfance: htok
le-genou: hgun
logiciel: pwen
blessure: kram
le-reçu: ryis
activer: nlim
protase: hpoc
glisser: slok
révolution: hrif
fermier: hjim
accident-vasculaire-cérébral: trak
Plate-forme: hpof
Messager: hmes
privilège: hpek
organisé: hyot
élève: clen
la-grotte: hgec
tradition: rwat
la-tragédie: tses
adieu: hjap
la-critique: ryik
coton: krap
hôpital: slot
location: kris
gaz: hges
inévitable: pwic
mortel: hgim
feuille: glit
publication: plun
hostile: tsup
Traduction: dwan
funérailles: jran
farine: mrun
correspondance: ryon
romantique: hrom
cabane: clun
proposer: psot
mimétique: hmet
dollar: dlon
la-lumière-du jour: hjac
seize: hsos
Assemblée: hzac
colonie: klon
aile: gyin
Lion: hles
Culture: klut
colonne: hkom
ruse: glak
comédie-dramatique: dram
blague: hjuc
brouillard: hdus
médicament: dwas
quatorze: hkes
acide: sram
à-savoir: hyet
Revenu: hmok
évêque: hbip
Orange: tron
bain: byan
primitif: rwit
panier: ksek
un-secrétaire: sris
paille: prak
Je-suis-patient: pfif
salut: slon
hodiernal-tendu: dlin
avoir-l'intention: zrin
vapeur: tcip
poison: hwoc
Talent: tlon
climat: lwim
efficace: fric
distinguer: tcif
lavage: dwac
confession: kfis
absurdité: hjas
charbon: kyon
canoë: kwon
temporaire: tric
delimitative-aspect: hdip
OS: hcos
Lundi: nwic
Mardi: glac
Mercredi: bwac
fédéral: frin
souhaitable: hzic
représentant: ryic
lin: lwin
lavabo: swuk
neveu: bwin
sanglant: kric
siège: cren
estomac: hpem
laiton: pcon
sommet: hzik
cinquième: pfik
bon-marché: brat
exclusif-la-personne: kwen
s'emparer-de: zrat
clôture: hzas
statue: tfam
artillerie: tlep
embrasse: mrap
environnant: sren
strictement: srot
cerf: hluf
buisson: hbuc
chemin-de-fer: hrep
décharge: hduk
héritier: mris
chêne: blun
désagréable: pren
invention: hgic
piano: pyon
persuader: swen
invisible: gric
bien-connu: ryun
cruauté: kluk
tentation: hyoc
télique-aspect: hlep
économique: kfik
international: troc
interférer: tcek
philosophe: flif
élégant: gyit
aide-sociale: kyen
faire-de-la pêche: mlak
voler: truc
lèvre: hloc
se-retirer: ryac
étendue: sras
Galerie: glen
parallèle: zlan
atélique-aspect: htep
continent: trap
prohibitif-humeur: nrim
cravate: dwat
cellule: slep
œuf: dyan
artificiel: jrat
pendant-ce-temps: nwis
crise: ksot
poli: sloc
déjeuner: lyon
pin: pwon
pousser: hcef
alliance: lyen
taille: hkop
miracle: hmek
marin: slis
pureté: prut
république: hguk
téléphone: tfen
fouet: krip
chemise: cyim
présenter: ryas
canapé: hsof
balayage: hsup
voleur: ksif
conserver: nrec
canal: kcen
personnalité: klim
réforme: kfam
menaçant: hzim
paume: plim
des-enceintes: hzak
au-seuil: dwic
induire: pris
lance: bzak
soigné: syec
session: cwen
torture: crot
humide: tcum
crête: grit
voyageur: hyek
moulin: mwik
carte: jrac
collier: klok
remplacer: klif
délibérément: drat
bière: hbif
en-velours: hwem
la-gravité: gwit
sermon: hpum
abuser-de: glas
troupeau: hgen
treize: tres
justifier: jyit
Vendredi: crum
brosse: broc
Télécharger: dlas
crème: krem
falaise: klaf
jury: jrin
monstre: ksos
congelé: hgoc
pot: pfot
penny: psen
insister: srut
pomme: hpep
discuter: drak
arrière-plan: prun
transcrire: trim
périodique: prik
Divertissement: nren
virus: bris
puéril: blit
réfléchir: flit
convertir: kcet
contour: kluc
opéra: hpop
approbation: nron
trahir: rwak
punir: hzen
coude: kcon
attachement: tcet
réparation: hrop
méfiant: cyec
soixante-dix: swet
écriture: srip
fosse: grac
trouble: dlak
binaire: byin
une-abbaye: bjan
flèche: tcec
avoir-tendance: trec
élaborer: frat
fidélité: hlot
pièce-de-monnaie: syip
trembler: tcem
exilé: gwin
mécanique: myim
piège: crap
gâteau: kyek
Monsieur: cyes
hésiter: sret
dix-sept: syet
miel: myon
enjeu: dzat
bande-de-roulement: hjam
brique: brit
quatre-vingts: hpes
malheureusement: pcen
consulter: kcot
légende: lwen
récolte: hfos
promotion: pfon
poêle: hsop
rebelle: bric
démodé: hnom
se-gonfler: cron
marécage: swot
pansement: hdes
ascétique: pces
gérante: mren
Chorus: cros
rationnel: tson
En-traitement: pson
loup: blaf
tapis: hgap
antiquité: hjak
fertile: frut
sifflet: slif
du-fromage: twis
mordre: byat
Invitez: jwan
Cathédrale: kyet
port: brak
errer: djan
cultures: tsos
marine: nlen
masque: mrok
crayon: pses
légume: sroc
exposition: hzet
pantalon: tlun
la-corruption: hrup
cabinet: nram
le-potage: srup
chirurgien: syon
allocation: tcot
espion: gyas
téméraire: hlec
potins: gyic
jeton: hzon
abstrait: srok
Jeudi: cwim
circulation: ryaf
architecture: ryek
fissure: rwaf
ornement: rwon
inverser: lwas
amuser: mwun
la-récupération: ksus
chaussée: plut
décisif: dyin
négatif: nraf
Festival: hfec
réduire: hrum
trahison: zyan
chasseur: djin
serpent: syen
la-batterie: bret
la-cire: flam
détective: dlit
une-analyse: nlis
Accentuation: hzot
baignade: twen
enveloppe: lwaf
quiconque: hgek
cigarette: jrit
moteur: mrot
bénévole: hwot
réaction: ryif
bagages: blam
sourd: hboc
jus: hjus
humilité: jlit
ministère: mret
sexuel: hjon
diamètre: dyam
hache: blac
diamant: dlam
alterner: hlek
faire-écho: hgus
retenue: swon
identité: hdaf
écran: krun
paresseux: lwis
momentane-aspect: hmop
compact: kfot
dérive: hdif
disparaître: hgaf
rayon: ryen
encre: mwic
massif: mraf
cave: dyac
mémorable: nrun
éblouissement: klek
sénat: slet
cercueil: tfap
le-pardon: frac
avaler: nlun
gâter: nlot
balançoire: swun
pré: gram
complexe: klos
démission: hzis
humble-registre: nret
conspiration: swim
poivre: prip
poney: pron
candidat: hzam
Renard: flik
la-cheminée: tcon
juridiction: drik
agriculture: rwic
précision: tcuk
ancien-décédé: brim
démocratique: mrek
bourgeon: hbos
couverture: bwat
saluer: hgep
cochon: srus
en-forme-de: krek
ivoire: craf
classique: ksok
observateur: nwet
l'éléphant: lwit
ongles: nwus
abeille: hmif
enterrer: dzan
acteur: bzat
transpiration: zwan
polonais: ploc
illusion: hlus
incertitude: pcet
secondaire: syif
plier: tsot
rural: grun
gémissement: nyen
ressembler: slec
citation: hzun
sac: cyek
ennui: fren
aiguille: hjun
contrôlée: nroc
poulet: truk
cohérent: kwot
baril: bras
habituel-aspect: hcep
expert: ksec
impressionner: blin
olive: zlin
van: myen
obstacle: bwak
hocher-la-tête: kcec
favoriser: plaf
définition: fyic
anniversaire: gjin
marteau: hcof
parfumé: hfon
répétition: trun
banal: twut
coup-de-pied: hjik
creuser: kwaf
animal-de-compagnie: plot
crâne: hcop
corps-législatif: dlik
talon: cruk
froncer-les-sourcils: crun
brevet: plet
milliard: blim
chimique: fyik
pilote: pyot
imiter: mlot
jupe: kwet
exceptionnellement: srap
hebdomadaire: jwik
technique: tfip
végétation: tset
corbeau: kraf
lever-du-soleil: sruc
durée-de-vie: glin
contribuer: hyom
crochet: hdok
tigre: blic
pénétrer: crut
manche: slun
Autoroute: jras
milice: mlip
fossé: kroc
intégrité: kret
dix-neuf: dzin
organique: rwik
théologie: flic
flotte: flut
sorcière: byac
ennuyé: hwuk
diplomatique: dyik
studio: twos
dépasser: kcok
Champagne: cyen
inspirer: crif
bannière: hbes
divorce: lwon
boulon: hbut
veine: jyan
passif: psif
mousse: hgum
gravier: grik
tablier: tyen
planète: gren
étagère: claf
ventilateur: flon
tropical: hjip
phase: fwas
arbitraire: rwen
prononcer: kfun
le-mercure: krok
se-glisser: hrem
suicide: tcos
journaliste: prot
priver: hpok
qualifié: klun
balcon: blik
fourchette: fras
employé: mlek
employeur: myot
largeur: jrak
irrité: djit
accuser: klot
Pension: pyen
verbe: kres
singe: mwon
acceptable: hwek
Signature: tlim
orthodoxe: rwos
ironie: fron
garderie: nrap
réluctance: jlan
importer: tyot
torche: croc
grammaire: gjak
dépôt: gyat
colonial: plon
yacht: jyat
consécutif: kwec
dôme: kwun
épaisseur: hfot
tête-de-mule: cyon
muscle: hmup
ordre-de-grandeur: ryam
frotter: ryos
lâche: rwam
harnais: gwac
pain-grillé: tros
une-souris: myus
syllabe: slim
tapoter: prap
dialogue: dlaf
neutre: nrot
diligence: dwin
contradiction: trot
accomplir: kfic
chèvre: byak
fleurir: hfet
imposer: mlon
anonyme: nwim
formel-registre: frit
veau: hbof
Manuel: mwut
faire-fondre: hjec
effacer: flas
parapluie: gras
botte: bzut
minéral: mrim
trêve: crus
canard: hbok
Planification: pfam
du-savon: hsuf
poupée: gwak
squelette: klet
villa: blis
couture: jlin
réconcilier: dyak
bouilloire: kset
mature: mruc
lapin: kruc
conducteur: nwot
dépendance: djat
joueur: jlic
insecte: pset
restaurant: cret
chouette: lwun
radical: djik
résident: zwin
dragon: dron
auditif-évident: drot
assoiffé: kyos
traîner: dren
calcul: glun
règlement: ryim
maire: mlap
minorité: mric
acquisition: dwon
ancien-combattant: bren
orchestre: ryes
Bacon: bjin
désavantage: zwat
en-tissu: frap
musicien: gzik
mentalement: hnep
conjonction: nyon
inadéquat: nrip
architecte: tsek
citron: nyim
la-toux: kcos
mal-de-tête: crek
locataire: ryet
la-fertilité: srun
guérir: hfoc
quatre-vingt-dix: nwon
aléatoire: hbec
cuillère: kcek
ballon: blon
craie: hfip
inférence-évident: nlet
éditeur: pcot
le-vinaigre: sruk
cendre: fyec
explétif: slek
relancer: nrut
sensible: kfim
tunnel: tfun
casse-tête: hpef
mécanisme: mwim
mathématiques: gzit
fondu: frun
foie: jwin
sublative-cas: bwik
tremper: dris
unité: twim
monopole: hnop
jeux-d'argent: hgup
sous-marin: bzin
séisme: hbem
laboratoire: brot
liège: kruk
soi-contrôle: syot
Bouddha: hbus
tricoter: bjat
ambassade: blas
le-plus-éloigné: sres
déclaratif-humeur: drim
stimulus: tyuc
le-chocolat: clot
coïncidence: tyon
gant: gwat
s'agenouiller: hjek
géographie: hjif
investissement: nwes
verbal: mrec
analogie: nlip
laïque: srek
faucon: blap
psychologie: nloc
fixer: gjan
ferraille: krep
rôle: cyum
dose: hdos
saumon: slom
pudding: pwun
magnétique: gyik
pompe: pcom
oxygène: ksip
certificat: tfot
médaille: hmem
rhétorique: trok
gratter: rwap
rame: dyas
lunette-astronomique: trip
Collier: clek
orthographe: prif
whisky: hwos
saule: hwof
chameau: hlum
amateur: myet
Sortie: crec
biographie: brif
âne: gzac
mensuel: mwis
ignorer: nruk
vacances: byit
clic: lyik
ovale: twon
élastique: lyet
dictionnaire: kfon
jambon: gzam
arc-en-ciel: rwun
consommer: kcum
cracher: tcup
réservoir: trek
collègue: clok
papillon: trif
graphique: graf
jumelle: jwat
de-façon-autonome: trem
