infinitiv: ni
induktiv-humör: tcuh
samtala-sammanhang: ye
vokativ-fall: bo
förakt: grih
förmaning-humör: tyuh
ambition: bwah
kontinuerlig-aspekt: nyeh
direkt-bevis: troh
orolig-humör: pcoh
chock: cruh
nyligen-dåtid-spänd: clih
bestämd-artikel: klih
svartsjuk: ryuh
FÖRBANNANDE-humör: mrih
likgiltighet: du
assumptive-humör: syih
skada: kroh
Protasis: rwoh
fientlig: cyuh
mimetiska: mreh
nämligen: gwih
hodiernal-spänd: dloh
delimitative-aspekt: dweh
exklusiv-person: kwuh
Telic-aspekt: tfeh
atelic-aspekt: tsoh
hindrande-humör: jrih
tortyr: nroh
lojalitet: nloh
momentane-aspekt: myeh
förlåtelse: jrah
ödmjuk-registrera: myih
före-detta-den avlidne: frih
citationstecken: wu
irritation: zrah
vanlig-aspekt: bu
följd: kseh
flit: dyih
formell-registrera: sreh
auditiv-bevis: creh
samband: ksoh
inferential-bevis: flih
svordom: sleh
sublative-fall: swoh
deklarativ-humör: ksuh
verbal: kceh
jakande-humör: fwah
missnöje: dyah
idiofoner: dyoh
överdriven-fall: zwah
irrealis-humör: ze
blyghet: cyoh
anpassning: pyih
pronomen-markör: ryeh
förtrycka: zroh
jämnmod: jyah
pegative-fall: pweh
prosecutive-fall: pwuh
upptagenhet: byah
particip: pfih
avlägsen-dåtid-spänd: dzah
historisk-spänd: sroh
hysteri: syeh
dubbel-antal: dluh
sensorisk-bevis-humör: xi
rörelse-uppför: ryoh
retrospektiv: txih
rörelse-utför: myoh
varierad-lutning: blih
superessive-fall: psuh
transitiv: t6
frustration: xrah
rörelse-uppför-floden: truh
rörelse-nedströms: txah
åtskiljande: xo
anticlimax: tloh
nuvarande-relevans-markör: xa
akronym: qi
Förkortning: nl6h
gerundium: ge
preteritum: preh
aorist: broh
partitiv-fall: pxih
uppenbarelse: pf6h
augmentative: xe
fobi: xyoh
bestämmare: txeh
predicative: plih
prolative-fall: pxah
veridical: vyih
binary--värde: vrih
ändlig-verb: vi
rättegång-antal: pc6h
pro-mening: r6
vänskap: va
gnomic-humör: kxih
centrerad-fall: dreh
pre-hodiernal: x6
patient-fall: qa
sned-fall: bwoh
mitten-röst: tyoh
identifierbar: xyah
mål-avtryckare: groh
mulativa-fall: dvah
icke-mänsklig: n6
attenuative: nyuh
multal-antal: mloh
trans-siffra: ts6h
galax-kön: gjah
hejdå: jwah
abessive-fall: bvah
adessive-fall: dvih
till-fall: kxah
agentive-fall: dveh
ombud-avtryckare: greh
skådespelare-roll: nruh
gemensam-kön: k6
accompanier: kloh
passiv-röst: pyoh
stjärna-kön: qrah
citat-form: xu
verbal-substantiv: xlih
klausul--tail: kluh
direkt-objekt: rweh
ergative-fall: gvih
i---språk: byih
locative-fall: kwoh
adverbial-fall: vlah
slutlig-partikel: nluh
evitative-fall: ve
possessiv-fall: kfih
nominalization: mleh
besatt-fall: djah
extra-verb: fyih
primär-objekt: myuh
antessive-fall: nleh
animera-kön: xrih
subessive-fall: bvih
fordon-kön: vlih
mineral--kön: xwih
verb---suffix: kxeh
empathetic-glädje: pfeh
ändra-av-händelse: qrih
olik-händelse: txoh
universum-kön: bjih
lokalitet-kön: lyeh
forskning-kön: txuh
konstnärlig-kön: s6
crastinal-spänd: sl6h
abstrakt-kön: sruh
exocentric-fall: zrih
transitiv-verb: tfoh
dåtid-perfektiv: tr6h
indirekt-tal: dyeh
andra-språk: sr6h
kollektiv-substantiv: kxoh
absolutive-fall: bvuh
patient-avtryckare: pruh
själv-förtroende: swuh
reflexiv-röst: flah
opersonlig-verb: pseh
modal-fall: dleh
livlös-kön: djih
orsakande: kruh
propositive-humör: pxoh
elektrisk-nuvarande: breh
associativ-fall: sloh
superlativ-fall: sluh
planet-kön: pxeh
ömsesidig-röst: syoh
kärna-benefactive: kfeh
Else--om: kyeh
på-varandra-följande klausul: lyoh
snart-framtida-spänd: rwuh
applikativ-röst: pyuh
antipassive-röst: ps6h
continuative-aspekt: tfuh
necessitative-humör: nr6h
enda-handling-verb: qyah
superlativ-grad: tluh
existentiell-klausul: sy6h
presentera-particip: vrah
lysande-intensitet: kyuh
singulative-antal: glih
passiv-particip: pfoh
överdriven-varaktighet: kxuh
belopp-av-ämne: m6
postpositional-fall: pwoh
valfri-kvantifierare: vwih
epenthetic-morfem: p6
Negatory-kvantifierare: gwah
connective-partikel: qyih
avlägsen-framtida-spänd: tl6h
frequentative-aspekt: f6
distributiv-pronomen: bzih
allocution-avtal: ks6h
universell-kvantifierare: xlah
flyttal--nummer: fu
existentiell-kvantifierare: sweh
alternativ-kvantifierare: l6
dåtid-passiv-particip: xyih
locative-riktnings-fall: kfoh
kontra-villkorlig: fyoh
