ﺭﺪﺼﻣ: ni
ﻖﺸﻋ: pyah
paucal-ﺩﺪﻋ: ploh
ﺍﺮﯾﺯ: yo
ﯽﺒﺒﺳ-ﺩﺭﻮﻣ: ksih
ﻡﺎﻧ: gi
ﺐﺳﺎﻨﻣ-ﻢﺳﺍ: tsah
ﺰﯿﻣﺍ-ﺖﺤﯿﺼﻧ: re
ﺖﯾﻭﺭ-ﻞﺑﺎﻗ-ﯽﮐﺭﺪﻣ: crih
desiderative-ﺖﻟﺎﺣ: dwah
ﯽﻌﻄﻗ-ﺩﺭﻮﻣ: twih
inessive-ﺩﺭﻮﻣ: nweh
ﯼﺭﻭﺮﺿ-ﯼﺮﻣﺍ-ﺖﻟﺎﺣ: prih
ﻦﺘﺷﺍﺩ-ﺩﺎﻘﺘﻋﺍ: kcah
ﺖﻟﺎﺣ-ﻪﻨﯿﻣﺯ: ga
ﺪﯿﻣﺍ: cwah
factive-ﯽﮐﺭﺪﻣ: fwih
ﯽﯾﺎﻨﻤﺗ-ﺖﻟﺎﺣ: pcih
REALIS-ﺖﻟﺎﺣ: le
ﻩﻮﻘﻟﺎﺑ-ﺖﻟﺎﺣ: tlah
allative-ﺩﺭﻮﻣ: lweh
ﮏﯿﭘﻭﺮﺘﻧﺁ-ﺲﻨﺟ: fi
ﻉﻮﺿﻮﻣ: wo
ﻥﺎﺴﮑﯾ-ﻉﻮﺿﻮﻣ-ﺮﮕﻧﺎﺸﻧ: cyah
ﻒﻠﺘﺨﻣ-ﻉﻮﺿﻮﻣ: fe
ﺱﺮﺗ: ko
ﻥﺩﺮﻛ-ﻚﺷ: cu
dubitative-ﺖﻟﺎﺣ: tweh
ﻪﻗﻼ﻿ﻋ: nyih
Vialis-ﺎﻫ-ﺩﺭﻮﻣ: wi
ﺐﻳﺮﻏ-ﻭ-ﺐﻴﺠﻋ: trih
ﻥﺩﺍﺩ-ﺮﯿﯿﻐﺗ: ryih
ﻝﺎﺤﺷﻮﺧ: clah
ﺰﺠﺑ: swah
ﻦﺘﺷﺍﺩ-ﻞﻳﺎﻤﺗ: kwah
ﻝﻮﻃ: lo
ﻝﺎﻤﺘﺣﺍ: bi
ﯼﺭﺎﮑﻤﻫ-ﺩﺍﺩﺭﺍﺮﻗ: grah
ﻞﮑﺸﻣ: mlah
quotative-ﺩﺭﻮﻣ: kwih
ﻞﻣﺎﺷ-ﺺﺨﺷ: lwoh
precative-ﺖﻟﺎﺣ: rwah
ﺏﺩﺍ-ﺎﺑ-ﻡﺎﻧ ﺖﺒﺛ: brih
ﺮﮕﻧ-ﻩﺪﻨﯾﺁ-ﻪﺒﻨﺟ: tfah
ﯽﻠﺜﻤﻟﺍ-ﺏﺮﺿ-ﻪﺒﻨﺟ: go
inchoative-ﻪﺒﻨﺟ: zi
ﯼﺮﻣﺍ-ءﻪﻤﻠﮐ-ﺖﻟﺎﺣ: jwih
ﺯﺎﺠﻣ-ﺖﻟﺎﺣ: mwah
ﺐﺳﺎﻨﻣ: kcih
ﻝﺎﺘﺴﯾﺩ-ﯽﺸﯾﺎﻤﻧ: tseh
ﯽﻌﯾﺯﻮﺗ-ﺩﺭﻮﻣ: nwah
ﺺﺨﺸﻣ: treh
ﺩﺭﺩ: droh
ﺎﻧﺍﺩ: ja
ﻪﯿﻟﺎﻓﺎﻀﻣ-ﺮﮕﻧﺎﺸﻧ: srah
commissive-ﺖﻟﺎﺣ: mu
ﻥﺩﺮﮐ-ﺮﯿﮕﻠﻓﺎﻏ: crah
completive-ﻪﺒﻨﺟ: kweh
ﻢﺸﺧ: nrah
ﺭﻭﺮﻏ: brah
ﻒﺳﺎﺘﻣ: pceh
ﺖﻋﺎﺠﺷ: krah
ﺖﻓﺍﺮﻇ: nreh
ﯽﯾﺎﺠﺑﺎﺟ: mroh
ﺲﭘﺍﻮﻟﺩ: cwih
ﻒﻗﻮﺗ-ﻪﺒﻨﺟ: za
ﻩﺪﻨﻨﮐﺪﯾﺪﺸﺗ: tfih
ﯽﮐﺭﺪﻣ-ﺩﺭﻮﻣ: ryah
ﻦﯿﮕﻤﻏ: syah
ﺕﺭﻮﺻ-ﻦﯾﺍ-ﺮﯿﻏ ﺭﺩ: tyah
zoic-ﺲﻨﺟ: zo
eventive-ﺖﻟﺎﺣ: nwoh
ﻥﺎﺴﮑﯾ-ﻪﻌﻗﺍﻭ-ﺮﮕﻧﺎﺸﻧ: cwoh
ﯽﺑﺮﺿ-ﺩﺭﻮﻣ: plah
ﻥﺪﺷ-ﺮﯿﮕﻠﻓﺎﻏ: prah
ﻢﺣﺮﺗ: lyah
ﻡﺮﺟ: mlih
ﯽﺿﺍﺭ: srih
ﺍﻮﻘﺗ: be
ﯼﺮﮑﻔﺗ-ﺖﻟﺎﺣ: po
ﺎﻨﺷﺁ-ﻡﺎﻧ-ﺖﺒﺛ: krih
ﺡﻭﺮﺠﻣ: frah
ﻩﻭﺪﻧﺍ-ﻭ-ﻢﻏ: proh
؟ﯽﻤﯾﻼ﻿ﻣ-ﺪﻨﮔﻮﺳ: nyah
ﺮﮑﺸﺗ: kyah
ﻡﺮﺷ: ru
ﺕﺭﺎﺒﻋ-ﺮﮕﻧﺎﺸﻧ: fyah
ﻥﺎﻤﯾﺍ-ﺎﺑ: cyih
ﻥﺎﺠﯿﻫ: tyeh
hesternal-ﺖﻔﺳ: tleh
ﺕﺮﻔﻧ: tyih
ﯽﻘﻄﻨﻣ-ﺲﻨﺟ: tlih
ﻁﺮﻔﻣ: kreh
ﯽﻫﺎﯿﮔ-ﺲﻨﺟ: slih
ﯼﻭﺎﮑﺠﻨﮐ-ﺲﺣ: kyih
ﻩﺩﺯ-ﺖﺸﺣﻭ: kcuh
ﻪﻟﺎﻘﻣ: myah
ﺶﯾﺎﯿﻧ-ﺖﻟﺎﺣ: bwih
ﺭﺎﮑﻫﺎﻨﮔ: dlih
ﻥﺍﺩﺎﻧ: nrih
ﻩﺪﻨﺸﺨﺑ: drah
ﺭﺎﮑﺘﺑﺍ-ﺩﺭﻮﻣ: twoh
ﺮﯿﺧﺎﺗ-ﺎﺑ-ﯼﺭﻭﺮﺿ ﯼﺮﻣﺍ: ji
ﺵﺭﺍﺰﮔ-ﯽﮐﺭﺪﻣ: psah
ﺶﻧﺯﺮﺳ: dlah
ﯽﺘﺨﺑﺪﺑ: kfah
ﺩﺮﻔﻣ-ﺩﺪﻋ: gu
ﺶﺨﺒﺑ: pfah
ﺮﺒﺻ: je
ﯽﻋﺎﺟﺭﺍ: freh
ﺎﻬﻨﺗ: kyoh
ﻥﻮﺴﻓﺍ: croh
ﻕﺎﯿﺘﺷﺍ: tsuh
ﯽﺋﺎﻘﻟﺍ-ﺖﻟﺎﺣ: tcuh
ﻦﺨﺳ-ﻪﻨﯿﻣﺯ: ye
ﯽﯾﺍﺪﻧ-ﺩﺭﻮﻣ: bo
ﺮﯿﻘﺤﺗ: grih
ﺮﮐﺬﺗ-ﺖﻟﺎﺣ: tyuh
ﯽﺒﻠﻃ-ﻩﺎﺟ: bwah
ﻡﻭﺍﺪﻣ-ﻪﺒﻨﺟ: nyeh
ﻢﯿﻘﺘﺴﻣ-ﯽﮐﺭﺪﻣ: troh
ﻥﺍﺮﮕﻧ-ﺖﻟﺎﺣ: pcoh
ﻥﺪﺷ-ﻪﮐﻮﺷ: cruh
ﺮﯿﺧﺍ-ﻪﺘﺷﺬﮔ-ﺖﻔﺳ: clih
ﯽﻌﻄﻗ-ﻪﻟﺎﻘﻣ: klih
ﺩﻮﺴﺣ: ryuh
ﺰﯿﻣﺍ-ﺖﻨﻌﻟ-ﺖﻟﺎﺣ: mrih
ﯽﮕﻗﻼ﻿ﻋ-ﯽﺑ: du
ﯽﺿﺮﻓ-ﺖﻟﺎﺣ: syih
ﯽﮔﺪﯾﺩ-ﺐﯿﺳﺁ: kroh
ﯽﻣﻭﺭ-ﻢﯾﺪﻗ-ﻡﺍﺭﺩ ﺖﻤﺴﻗ ﻦﯿﺘﺴﺨﻧ: rwoh
ﻢﺻﺎﺨﺘﻣ: cyuh
ﺪﯿﻠﻘﺗ-ﻪﺑ-ﻪﺘﺴﺑﺍﻭ: mreh
ﯽﻨﻌﯾ: gwih
hodiernal-ﺖﻔﺳ: dloh
delimitative-ﻪﺒﻨﺟ: dweh
ﯼﺭﺎﺼﺤﻧﺍ-ﺺﺨﺷ: kwuh
ﯽﯾﺎﻬﻧ-ﻑﺪﻫ-ﯼﺍﺭﺍﺩ ﻪﺒﻨﺟ: tfeh
atelic-ﻪﺒﻨﺟ: tsoh
ﻥﺍﺮﮔ-ﺖﻟﺎﺣ: jrih
ﻪﺠﻨﮑﺷ: nroh
ﯼﺭﺍﺩﺎﻓﻭ: nloh
momentane-ﻪﺒﻨﺟ: myeh
ﺶﺸﺨﺑ: jrah
ﻦﺗﻭﺮﻓ-ﻡﺎﻧ-ﺖﺒﺛ: myih
ﻖﺑﺎﺳ-ﻩﺪﺷ-ﺕﻮﻓ: frih
ﻝﻮﻗ-ﻞﻘﻧ: wu
ﯼﺭﻮﺨﻟﺩ: zrah
ﯽﮕﺸﯿﻤﻫ-ﻪﺒﻨﺟ: bu
ﻢﻬﻣ: kseh
ﯽﺷﻮﮐ-ﺖﺨﺳ: dyih
ﯽﻤﺳﺭ-ﻡﺎﻧ-ﺖﺒﺛ: sreh
ﯽﻌﻤﺳ-ﯽﮐﺭﺪﻣ: creh
ﯽﮕﺘﺳﻮﯿﭘ: ksoh
ﯽﻃﺎﺒﻨﺘﺳﺍ-ﯽﮐﺭﺪﻣ: flih
ﺮﯿﮕﯾﺎﺟ: sleh
sublative-ﺩﺭﻮﻣ: swoh
ﯽﻧﻼ﻿ﻋﺍ-ﺖﻟﺎﺣ: ksuh
ﯽﻫﺎﻔﺷ: kceh
ﺖﺒﺜﻣ-ﺖﻟﺎﺣ: fwah
ﯽﺘﯾﺎﺿﺭﺎﻧ: dyah
ﺎﻫﺍﺪﺻﺩﻮﺧ: dyoh
ﻩﺯﺍﺪﻧﺍ-ﺯﺍ-ﺶﯿﺑ ﺩﺭﻮﻣ: zwah
irrealis-ﺖﻟﺎﺣ: ze
ﯽﯾﻭﺮﻤﮐ: cyoh
ﻕﺎﺒﻄﻧﺍ: pyih
ﺮﯿﻤﺿ-ﺮﮕﻧﺎﺸﻧ: ryeh
ﻥﺩﺮﮐ-ﻢﺘﺳ: zroh
ﺖﻧﺎﺘﻣ: jyah
pegative-ﺩﺭﻮﻣ: pweh
prosecutive-ﺩﺭﻮﻣ: pwuh
ﯽﮕﺘﻔﯿﺷ: byah
ﯽﻔﺻﻭ-ﻪﺟﻭ: pfih
ﺭﻭﺩ-ﻩﺍﺭ-ﺯﺍ ﻪﺘﺷﺬﮔ ﺖﻔﺳ: dzah
ﯽﺨﯾﺭﺎﺗ-ﺖﻔﺳ: sroh
ﯼﺮﺘﺴﯿﻫ: syeh
ﯽﯾﺎﺗﻭﺩ-ﺩﺪﻋ: dluh
ﯽﺴﺣ-ﯽﮐﺭﺪﻣ-ﺖﻟﺎﺣ: xi
ﺖﮐﺮﺣ-ﺭﺍﻮﺷﺩ: ryoh
ﺮﮕﻧ-ﻪﺘﺷﺬﮔ: txih
ﺖﮐﺮﺣ-ﯽﺒﯿﺷﺍﺮﺳ: myoh
ﻑﺮﺻ: blih
superessive-ﺩﺭﻮﻣ: psuh
ﯼﺪﻌﺘﻣ: t6
ﯼﺪﯿﻣﺍ-ﺎﻧ: xrah
ﺖﮐﺮﺣ-ﻪﻧﺎﺧﺩﻭﺭ-ﯼﻻ﻿ﺎﺑ: truh
ﺖﮐﺮﺣ-ﻪﻧﺎﺧﺩﻭﺭ: txah
ﯽﯾﺍﺪﺟ: xo
ﺝﻭﺍﺩﺎﭘ: tloh
ﯼﺭﺎﺟ-ﻁﺎﺒﺗﺭﺍ-ﺮﮕﻧﺎﺸﻧ: xa
ﻒﻔﺨﻣ: qi
initialism: nl6h
ﺭﺪﺼﻣ-ﻢﺳﺍ: ge
preterite: preh
aorist: broh
ءﺰﺟ-ﻪﺑ-ﻪﺘﺴﺑﺍﻭ ﺩﺭﻮﻣ: pxih
ﯽﺴﯿﻋ-ﯽﻠﺠﺗ-ﻭ ﺭﻮﻬﻇ: pf6h
ﻩﺪﻧﻮﺷ-ﻢﮐﺍﺮﺘﻣ: xe
ﺭﺎﺟﺰﻧﺍ: xyoh
ﻩﺪﻧﺮﯿﮔ-ﻢﯿﻤﺼﺗ: txeh
ﯼﺪﻨﺴﻣ: plih
prolative-ﺩﺭﻮﻣ: pxah
ﺺﻟﺎﺧ: vyih
ﺵﺯﺭﺍ-ﯽﯾﻭﺩﻭﺩ: vrih
ﺩﻭﺪﺤﻣ-ﻞﻌﻓ: vi
ﺶﯾﺎﻣﺯﺁ-ﺩﺪﻋ: pc6h
ﺭﺍﺰﻓﺍ-ﻡﺮﻧ-ﻪﻠﻤﺟ: r6
ﯽﺘﺳﻭﺩ: va
ﯽﻠﺜﻤﻟﺍ-ﺏﺮﺿ-ﺖﻟﺎﺣ: kxih
ﯽﻧﺎﯿﻣ-ﺩﺭﻮﻣ: dreh
hodiernal-ﺶﯿﭘ: x6
ﺭﻮﺒﺻ-ﺩﺭﻮﻣ: qa
ﺏﺭﻮﻣ-ﺩﺭﻮﻣ: bwoh
ﻂﺳﻭ-ﺍﺪﺻ: tyoh
ﯽﯾﺎﺳﺎﻨﺷ-ﻞﺑﺎﻗ: xyah
ﻑﺪﻫ-ﻪﺷﺎﻣ: groh
lative-ﺩﺭﻮﻣ: dvah
ﺮﯿﻏ-ﻥﺎﺴﻧﺍ: n6
attenuative: nyuh
multal-ﺩﺪﻋ: mloh
ﺲﻧﺍﺮﺗ-ﯼﺩﺪﻋ: ts6h
ﻥﺎﺸﮑﻬﮐ-ﺲﻨﺟ: gjah
ﻆﻓﺎﺣﺍﺪﺧ: jwah
abessive-ﺩﺭﻮﻣ: bvah
adessive-ﺩﺭﻮﻣ: dvih
ﻪﺑ-ﺩﺭﻮﻣ: kxah
agentive-ﺩﺭﻮﻣ: dveh
ﻞﻣﺎﻋ-ﻪﺷﺎﻣ: greh
ﺮﮕﯾﺯﺎﺑ-ﺶﻘﻧ: nruh
ﮎﺮﺘﺸﻣ-ﺲﻨﺟ: k6
accompanier: kloh
ﻝﺎﻌﻓ-ﺮﯿﻏ-ﺍﺪﺻ: pyoh
ﻩﺭﺎﺘﺳ-ﺲﻨﺟ: qrah
ﻝﻮﻗ-ﻞﻘﻧ-ﻡﺮﻓ: xu
ﯽﻫﺎﻔﺷ-ﻢﺳﺍ: xlih
ﻡﺩ-ﺪﻨﺑ: kluh
ﻢﯿﻘﺘﺴﻣ-ﻑﺪﻫ: rweh
ergative-ﺩﺭﻮﻣ: gvih
ﻥﺎﺑﺯ-ﺭﺩ: byih
ﯽﻧﺎﮑﻣ-ﺩﺭﻮﻣ: kwoh
ﯼﺪﯿﻗ-ﺩﺭﻮﻣ: vlah
ﯽﯾﺎﻬﻧ-ﻩﺭﺫ: nluh
evitative-ﺩﺭﻮﻣ: ve
ﻪﯿﻟﺎﻓﺎﻀﻣ-ﺩﺭﻮﻣ: kfih
nominalization: mleh
ﺏﻭﺬﺠﻣ-ﺩﺭﻮﻣ: djah
ﯽﮑﻤﮐ-ﻞﻌﻓ: fyih
ﻪﯿﻟﻭﺍ-ﻑﺪﻫ: myuh
antessive-ﺩﺭﻮﻣ: nleh
ﻥﺩﺮﮐ-ﻊﯿﺠﺸﺗ-ﻭ ﮏﯾﺮﺤﺗ ﺲﻨﺟ: xrih
subessive-ﺩﺭﻮﻣ: bvih
ﻪﯿﻠﻘﻧ-ﻪﻠﯿﺳﻭ-ﺲﻨﺟ: vlih
ﯽﻧﺪﻌﻣ-ﺲﻨﺟ: xwih
ﺪﻧﻮﺴﭘ-ﻞﻌﻓ: kxeh
ﻪﻧﻻ﻿ﺪﻤﻫ-ﺕﺬﻟ: pfeh
ﻥﺩﺍﺩ-ﺮﯿﯿﻐﺗ-ﺯﺍ ﻪﻌﻗﺍﻭ: qrih
ﻥﺎﺴﻤﻫﺎﻧ-ﻪﻌﻗﺍﻭ: txoh
ﻥﺎﻬﺟ-ﺲﻨﺟ: bjih
ﻞﺤﻣ-ﺲﻨﺟ: lyeh
ﺶﻫﻭﮋﭘ-ﺲﻨﺟ: txuh
ﻪﻧﺍﺪﻨﻣﺮﻨﻫ-ﺲﻨﺟ: s6
crastinal-ﺖﻔﺳ: sl6h
ﻩﺪﯿﮑﭼ-ﺲﻨﺟ: sruh
exocentric-ﺩﺭﻮﻣ: zrih
ﯼﺪﻌﺘﻣ-ﻞﻌﻓ: tfoh
ﻪﺘﺷﺬﮔ-perfective: tr6h
ﻢﯿﻘﺘﺴﻣ-ﺮﯿﻏ-ﯽﻧﺍﺮﻨﺨﺳ: dyeh
ﻦﯿﻣﻭﺩ-ﻥﺎﺑﺯ: sr6h
ﯽﻌﻤﺟ-ﻢﺳﺍ: kxoh
absolutive-ﺩﺭﻮﻣ: bvuh
ﺭﻮﺒﺻ-ﻪﺷﺎﻣ: pruh
ﺩﻮﺧ-ﺲﻔﻧ-ﻪﺑ ﺩﺎﻤﺘﻋﺍ: swuh
ﯽﺑﺎﺗﺯﺎﺑ-ﺍﺪﺻ: flah
ﯽﺼﺨﺷﺮﯿﻏ-ﻞﻌﻓ: pseh
ﯽﺘﯿﻔﯿﮐ-ﺩﺭﻮﻣ: dleh
ﻥﺎﺟ-ﯽﺑ-ﺲﻨﺟ: djih
ﻩﺪﻧﻮﺷ-ﺐﺒﺳ: kruh
propositive-ﺖﻟﺎﺣ: pxoh
ﯽﻗﺮﺑ-ﯼﺭﺎﺟ: breh
ﯽﻨﻤﺠﻧﺍ-ﺩﺭﻮﻣ: sloh
ﯽﻟﺎﻋ-ﺩﺭﻮﻣ: sluh
ﯽﻧﺎﻬﺟ-ﺲﻨﺟ: pxeh
ﻞﺑﺎﻘﺘﻣ-ﺍﺪﺻ: syoh
ﻪﺘﺴﻫ-benefactive: kfeh
ﯼﺮﮕﯾﺩ-ﺮﮔﺍ: kyeh
ﯽﭘ-ﺭﺩ-ﯽﭘ ﺪﻨﺑ: lyoh
ﯼﺩﻭﺯ-ﻪﺑ-ﻩﺪﻨﯾﺁ ﺖﻔﺳ: rwuh
ﯽﻠﻤﻋ-ﺍﺪﺻ: pyuh
antipassive-ﺍﺪﺻ: ps6h
ﻡﻭﺍﺪﺗ-ﻪﺒﻨﺟ: tfuh
necessitative-ﺖﻟﺎﺣ: nr6h
ﺎﻬﻨﺗ-ﻞﻤﻋ-ﻞﻌﻓ: qyah
ﯽﻟﺎﻋ-ﻪﺟﺭﺩ: tluh
ﯼﺩﻮﺟﻭ-ﺪﻨﺑ: sy6h
ﺮﺿﺎﺣ-ﯽﻔﺻﻭ-ﻪﺟﻭ: vrah
ﻥﺎﺸﺧﺭﺩ-ﺕﺪﺷ: kyuh
ﺩﺮﻔﻨﻣ-ﺩﺪﻋ: glih
ﻝﺎﻌﻓ-ﺮﯿﻏ-ﯽﻔﺻﻭ ﻪﺟﻭ: pfoh
ﻩﺯﺍﺪﻧﺍ-ﺯﺍ-ﺶﯿﺑ ﻥﺎﻣﺯ ﺕﺪﻣ: kxuh
ﻥﺍﺰﯿﻣ-ﺯﺍ-ﻩﺩﺎﻣ: m6
postpositional-ﺩﺭﻮﻣ: pwoh
ﯽﺑﺎﺨﺘﻧﺍ-ﺞﻨﺳ-ﺖﯿﻤﮐ: vwih
epenthetic-ﮎﮊﺍﻭ: p6
ﻩﺪﻨﻨﮐ-ﯽﺜﻨﺧ-ﺞﻨﺳ ﺖﯿﻤﮐ: gwah
ﯼﺪﻧﻮﯿﭘ-ﻩﺭﺫ: qyih
ﺭﻭﺩ-ﻩﺍﺭ-ﺯﺍ ﻩﺪﻨﯾﺁ ﺖﻔﺳ: tl6h
ﺭﺮﮑﻣ-ﻪﺒﻨﺟ: f6
ﯽﻌﯾﺯﻮﺗ-ﺮﯿﻤﺿ: bzih
ﻪﺑﺎﻄﺧ-ﻖﻓﺍﻮﺗ: ks6h
ﯽﻧﺎﻬﺟ-ﺞﻨﺳ-ﺖﯿﻤﮐ: xlah
ﻩﺭﺎﻤﺷ-ﺭﻭﺎﻨﺷ-ﺰﯿﻤﻣ: fu
ﯼﺩﻮﺟﻭ-ﺞﻨﺳ-ﺖﯿﻤﮐ: sweh
ﻦﯾﺰﮕﯾﺎﺟ-ﺞﻨﺳ-ﺖﯿﻤﮐ: l6
ﻪﺘﺷﺬﮔ-ﻝﺎﻌﻓ-ﺮﯿﻏ ﯽﻔﺻﻭ ﻪﺟﻭ: xyih
ﯽﻧﺎﮑﻣ-ﯽﺘﯾﺍﺪﻫ-ﺩﺭﻮﻣ: kfoh
ﻑﻼ﻿ﺧ-ﻁﻭﺮﺸﻣ: fyoh
