ﺭﺪﺼﻣ: hnit
ﺎﺠﻧﺁ: hkac
ﻁﻭﺮﺸﻣ-ﺖﻟﺎﺣ: hcan
ﺶﯿﺑ: hdoc
ﺝﺭﺎﺧ: htac
ﯽﻠﯿﻣﺎﻓ-ﺖﺒﺴﻧ-ﺩﺭﻮﻣ: hrik
ﯽﻃﺎﺒﻨﺘﺳﺍ-ﺩﺭﻮﻣ: hlik
ﻡﺎﺠﻧﺍ: hkas
ﺩﻮﻤﻨﻫﺭ-ﺖﻟﺎﺣ: hden
deontic-ﺖﻟﺎﺣ: hdim
ﻝﺍﻮﺳ-ﻪﻤﻠﮐ: hwac
ﻂﺑﺍﺭ-ﻮﻀﻋ: hkok
ﺺﺨﺷ: hpon
ﺮﻧ: hman
ﺖﺳﺍ-ﻪﺘﺴﻧﺍﻮﺗ: kwat
ﺮﮕﯾﺩ: hcon
ﺩﺪﻋ: hnoc
ﺭﺎﯿﺴﺑ: tcac
ﻥﺎﻣﺯ: htim
ﻥﺎﻣﺯ-ﻪﻨﯿﻣﺯ: htos
ﯽﻧﺎﻣﺯ-ﺩﺭﻮﻣ: hmak
ﻩﺭﺎﺑ-ﺭﺩ: hkam
ﯽﺘﻓﺮﻌﻣ-ﺖﻟﺎﺣ: hsim
ﻂﻘﻓ: htun
ﯽﻤﮐ-ﺭﺍﺪﻘﻣ: hcak
ﻊﻗﻮﻣ-ﻥﻭﺍ: pcan
ﺰﯿﻣﺍ-ﺖﺤﯿﺼﻧ-ﺖﻟﺎﺣ: hton
ﺮﮕﻧ-ﻪﺘﺷﺬﮔ-ﻪﺒﻨﺟ: hrip
ﯽﻟﺎﻋ: hcat
volitive-ﺖﻟﺎﺣ: hlim
ﺯﺍ-ﻞﺒﻗ: hsec
ﺪﯾﺎﺑ: pcic
ﻭﺩ: htut
ﻥﺪﯾﺩ: tcan
ﻦﺘﺴﻧﺍﺩ: hsat
ﻦﯿﯾﺎﭘ: hcin
ﺯﺍ-ﺪﻌﺑ: hcas
ﻝﻭﺍ: hpas
ﺩﻮﺧ: hpun
ﻝﺎﻘﺘﻧﺍ-ﻞﺑﺎﻗ-ﻦﺘﺷﺍﺩ ﺭﺎﯿﺘﺧﺍ ﺭﺩ: hlic
ﺰﮔﺮﻫ: hnac
ﺍﺰﺠﺘﯾﻻ﻿-ﻦﺘﺷﺍﺩ-ﺭﺎﯿﺘﺧﺍ ﺭﺩ: hkic
ﯽﻤﯾﺪﻗ: hwat
ﯽﺗﺭﻮﺸﻣ-ﺖﻟﺎﺣ: hcim
ﺯﻭﺭ: htin
ﻪﮐ-ﯽﯾﺎﺟ: hnap
ﺎﯿﺑ: hlat
ﺮﯿﺴﻣ: hyas
ﺭﺎﮐ: hkaf
ﺭﺍﺩﺍﺪﺻ-ﻑﺮﺣ: hwaf
ﻦﺘﻓﺭ: hkun
perlative-ﺩﺭﻮﻣ: pwik
ﯽﻗﺮﺘﻣ-ﻪﺒﻨﺟ: hpip
ﯽﻧﻻ﻿ﻮﻃ: hlac
ﻦﺘﻔﮔ: hsac
ﻪﻧﻮﮕﭼ: hkin
ﯽﺘﺣ: hpit
ﺖﺸﮔﺯﺎﺑ: hwap
ﺎﺠﻨﯾﺍ: hcic
ﺮﮑﻓ: hcik
ﻥﺎﺴﮑﯾ: hsam
ﻪﺘﺷﺬﮔ: kcac
ﺭﻭﺩ: twan
ﺮﯾﺯ-ﻪﻨﯿﻣﺯ: hnas
ﻦﺘﻓﺮﮔ: htit
ﻩﺪﺷ-ﺍﺪﯿﭘ: hfan
ﺖﺳﺩ: cyat
ﻥﺍﻮﺟ: hyac
ﻪﭼﺮﮔ: hyap
ﻥﺩﺍﺩ: hkik
ﺍﺪﺧ: hmac
delative-ﺩﺭﻮﻣ: lwak
ﯽﭼ-ﭻﯿﻫ: hmin
ﺖﺳﺭﺩ: hyit
ﺭﺎﺑ-ﮏﯾ: hyam
semelfactive-ﻪﺒﻨﺟ: fwip
ﺶﺨﺑ: hpat
ﻩﺭﺍ: htic
ﻪﻧﺎﺧ: hfas
ﻥﺎﻬﺟ: tcat
ﺮﺳ: hcaf
ﻪﺳ: tyin
ﻮﺌﻧ: hnon
ﺰﮐﺮﻤﺗ: hcok
ﻖﺸﻋ: hpac
ﻪﺸﯿﻤﻫ: hsit
ﺐﺷ: hwit
ﮏﺗ-ﮏﺗ: hmit
ﻩﺎﺷﺩﺎﭘ: hyak
ﻦﯿﺑ: hsin
ﺐﻠﻗ: cyin
paucal-ﺩﺪﻋ: plom
ﺍﺮﯾﺯ: hyok
ﯽﺒﺒﺳ-ﺩﺭﻮﻣ: ksak
ﺰﯿﭼ: hkis
ﻢﯿﻈﻨﺗ: swat
ﻡﺎﻧ: hnem
ﺐﺳﺎﻨﻣ-ﻢﺳﺍ: hran
ﺰﯿﻣﺍ-ﺖﺤﯿﺼﻧ: hrat
ﺭﻮﺸﮐ: hlit
ﻪﺘﺳﺍﻮﺧ: hput
ﺖﯾﻭﺭ-ﻞﺑﺎﻗ-ﯽﮐﺭﺪﻣ: crit
ﺮﺘﻬﺑ: pcac
ﺖﻤﺳ: psac
ﻩﺭﻭﺩ: hkus
ﻥﺯ: hfin
ﯽﻓﺎﮐ: kyat
ﯼﺩﻭﺯ-ﻪﺑ: hpuc
ﻩﺪﺷ-ﺮﭘ: hcun
ﻕﺎﺗﺍ: hfac
ﺎﺒﯾﺮﻘﺗ: hlap
ﻥﺍﻮﺗ-ﯽﻤﻧ: nyat
ﺏﺍ: hwik
desiderative-ﺖﻟﺎﺣ: hdin
ﮏﺒﺳ: lyak
ﻪﻧ-ﻭ: hnun
ﻩﮊﺍﻭ: slat
ﺏﺭﺩ: tyan
ﻥﺩﺮﮐ-ﻩﺩﺎﻔﺘﺳﺍ: hpus
ﺢﺒﺻ: hsap
ﯽﻌﻄﻗ-ﺩﺭﻮﻣ: twik
ﺕﺭﺪﻗ: hkuk
ﻥﺎﺷﺩﻮﺧ: hmis
ﺮﺿﺎﺣ: hyin
ﺍﺪﺻ: hwas
ﺪﯿﻔﺳ: hpis
ﻝﻮﭘ: tlan
ﺪﻌﺑ: kyak
ﺮﯿﻘﻓ: hyis
ﮒﺮﻣ: hmut
ﻥﺪﺷ-ﻞﻴﻜﺸﺗ: hfam
inessive-ﺩﺭﻮﻣ: nwik
ﻉﻮﻧ: tyac
ﻊﻗﺍﻮﻣ-ﺮﺘﺸﯿﺑ: tsan
ﻝﺎﺳ: nwan
ﺖﺳﻭﺩ: myat
ﺐﯿﺗﺮﺗ: hyut
ﯼﺭﻭﺮﺿ-ﯼﺮﻣﺍ-ﺖﻟﺎﺣ: hpim
ﺩﺮﮔ: hcut
ﻦﺘﺷﺍﺩ-ﺩﺎﻘﺘﻋﺍ: hban
ﻡﺩﺮﻣ-ﻡﻮﻤﻋ: hpin
ﺖﻟﺎﺣ-ﻪﻨﯿﻣﺯ: hsas
ﺮﺴﭘ-ﺪﻧﺯﺮﻓ: psat
ﺪﺻ: hmas
ﺎﻫ-ﻪﭽﺑ: hcis
ﺐﯿﺗﺮﺗ-ﻦﯾﺪﺑ: tyak
ﺪﯿﻣﺍ: hcap
ﻻ﻿ﺎﺑ-ﺭﺩ: hyip
ﺰﯾﺰﻋ: pyin
ﻥﺪﻧﺍﻮﺧ: pyac
ﻥﺎﺘﺳﺮﻬﺷ: hsic
ﻼ﻿ﺒﻗ: hpic
ﺖﯿﻌﻗﺍﻭ: hfat
factive-ﯽﮐﺭﺪﻣ: hfit
ﻥﺪﯿﻨﺷ: hsun
ﻦﯾﺮﺘﻤﮐ: hmim
ﺪﯾﺎﺷ: pyat
ﻦﮐ-ﺯﺎﺑ: kcat
ﻥﺪﺑ: tcic
ﺍﻮﻫ: cwac
ﺖﻌﯿﺒﻃ: nyit
ﮏﻤﮐ: mlat
ﻪﻣﺎﻧ: lyat
ﺭﺎﻬﭼ: ksat
ﯽﯾﺎﻨﻤﺗ-ﺖﻟﺎﺣ: hpam
ﯼﺯﻮﺳ-ﺶﺗﺁ: hfak
ﻭﺭ-ﻦﯾﺍ-ﺯﺍ: hyif
ﺖﻋﺎﺳ: hcam
ﻥﺩﺮﮐ-ﺩﺍﺯﺁ: tyit
ﮓﻨﺟ: syat
ﻪﭼ: hsaf
ﻞﯿﻟﺩ: kyan
ﺪﺤﺘﻣ: hnut
ﻥﺩﺯ-ﮓﻧﺯ: hkuc
ﯽﭼ-ﻪﺳﺍﻭ: hwam
ﻩﺪﺷ-ﻢﮐ: hkut
ﺭﺍﺰﻫ: tsas
ﻩﺩﺍﻮﻧﺎﺧ: hfic
ﺡﻭﺭ: twam
ﻝﺍﻮﺳ: swac
ﻥﺩﺍﺩ-ﺖﻴﻤﻫﺍ: kcan
REALIS-ﺖﻟﺎﺣ: hlin
ﻦﺘﺷﺍﺩ-ﺭﻮﻈﻨﻣ: mwit
ﻩﻮﻘﻟﺎﺑ-ﺖﻟﺎﺣ: hten
ﯼﻮﺳ-ﻪﺑ: cyan
allative-ﺩﺭﻮﻣ: lwik
ﮏﯿﭘﻭﺮﺘﻧﺁ-ﺲﻨﺟ: hrin
ﻩﺎﺗﻮﮐ-ﺪﻗ: kyut
ﺭﺩﺎﻗ: hyuk
ﻩﺪﻧﺯ: hkip
ﻉﻮﺿﻮﻣ: hsek
ﻥﺎﺴﮑﯾ-ﻉﻮﺿﻮﻣ-ﺮﮕﻧﺎﺸﻧ: hcek
ﻒﻠﺘﺨﻣ-ﻉﻮﺿﻮﻣ: hfek
ﻩﺪﺑ-ﺏﺍﻮﺟ: tsat
ﺎﯾﺭﺩ: mwat
ﺱﺮﺗ: hcoc
ﻦﮐ-ﮎﺭﺩ: pcat
ﺖﺨﺳ: kyin
ﺕﺎﺣﻼ﻿ﻄﺻﺍ: tyut
ﻥﺩﺮﻛ-ﻚﺷ: hdac
dubitative-ﺖﻟﺎﺣ: twin
ﻥﺪﯿﺳﺮﭘ: psan
ﺡﻼ﻿ﺳ: tcas
ﻩﺎﯿﺳ: clis
ﺍﺭ: tyat
ﻞﮕﺷﻮﺧ: ksis
ﮏﯾﺭﺎﺗ: tcak
ﻦﺘﺷﺍﺩ-ﻪﮕﻧ: psak
ﻩﺩ: htaf
ﺶﯾﺎﻤﻧ: pyan
ﻥﺎﺘﺳﺍﺩ: hkif
ﺞﯾﺍﺭ: kwan
ﺏﺎﺘﮐ: hkup
ﮏﯿﻧﻭﺮﺘﮑﻟﺍ: lyin
ﺪﯿﻨﮐ-ﺖﺒﺤﺻ: plak
ﺖﻣﻼ﻿ﻋ: myac
ﻪﻗﻼ﻿ﻋ: nyis
ﻦﺘﺷﻮﻧ: kcit
ﺮﺘﺴﺑ: pwat
ﻡﺯﻻ﻿: syis
ﻪﺸﯾﺪﻧﺍ: hwis
ﺮﻨﻫ: klat
Vialis-ﺎﻫ-ﺩﺭﻮﻣ: hlas
ﺭﺩﺍﺮﺑ: pyak
ﺎﻬﺘﻗﻭ-ﯽﻀﻌﺑ: ksas
ﻂﺧ: lyan
ﺰﯿﻣ: tlas
ﻪﻧﺎﺧﺩﻭﺭ: nwit
ﻢﺸﭼ: kyac
ﺕﺎﻋﻼ﻿ﻃﺍ: fyin
ﻩﺭﺎﺒﮑﯾ-ﻪﺑ: tfan
ﺐﻳﺮﻏ-ﻭ-ﺐﻴﺠﻋ: hgan
ﻖﯿﻤﻋ: ksan
ﻥﺩﺍﺩ-ﺮﯿﯿﻐﺗ: hrit
ﺱﺎﺴﺣﺍ: nwac
ﺕﺎﻗﻼ﻿ﻣ: mlit
ﻑﺪﻫ: htuc
ﻝﺎﺤﺷﻮﺧ: hcuc
ﺪﺳﺭ-ﯽﻣ-ﺮﻈﻧ ﻪﺑ: syit
ﻥﻮﺧ: cyac
ﺥﺮﺳ-ﻞﮔ: kwas
ﺏﻮﻨﺟ: swan
ﺩﺮﺳ: tlat
ﻮﻠﺟ-ﻪﺑ: myik
ﺖﯿﻌﻗﻮﻣ: psis
ﺮﯾﺩ: tyam
ﻥﺩﺎﺘﺴﯾﺍ: syan
ﺪﯿﻨﮐ-ﺽﺮﻓ: nlas
ﺮﺘﺧﺩ-ﺪﻧﺯﺮﻓ: pyit
ﻡﺩﻮﺧ-ﻝﺎﻣ: myan
ﺵﺮﺑ: hkim
ﻪﺨﺴﻧ: hfap
ﺮﻫﻮﺷ: hgat
ﺶﺷ: hlis
ﻥﺩﺭﻭﺁ-ﺩﺎﻳ-ﻪﺑ: twat
ﺮﺛﺍ: hyaf
ﻁﻮﻘﺳ: htuk
ﺰﺠﺑ: hsip
ﻮﻣ: hpaf
ﻥﺩﺮﮐ-ﯽﻃ: pyas
ﺖﯾﺍﺭ-ﯽﭙﮐ: pcit
ﺶﺗﺭﺍ: cyit
ﻥﺪﯾﻭﺩ: kcak
ﺐﺳﺍ: kcas
ﻩﺪﻨﯾﺁ: hwic
ﺏﺮﻏ: pcak
ﺖﺧﺍﺩﺮﭘ: plit
ﺰﻣﺮﻗ: hyun
ﻼ﻿ﻃ: tcun
ﻦﺘﺷﺍﺩ-ﻞﻳﺎﻤﺗ: hdan
ﯼﺯﺎﺑ: plin
ﺩﺎﺘﺳﺍ: mwas
ﯼﺭﺍﺩﺍ-ﺮﺘﻓﺩ: hfus
ﺖﻟﻭﺩ: syak
ﺎﺴﯿﻠﮐ: kyas
ﻝﻮﻃ: hlen
ﺖﮐﺮﺷ: ksin
ﺬﻏﺎﮐ: kyis
ﻝﺎﻤﺘﺣﺍ: hbin
ﺹﻮﺼﺨﺑ: cyas
ﻞﻤﺤﺗ: pcas
ﻩﺮﺠﻨﭘ: cyak
ﯼﺭﺎﮑﻤﻫ-ﺩﺍﺩﺭﺍﺮﻗ: hgac
ﯽﯾﺎﺒﯾﺯ: syac
ﻪﻔﯿﻇﻭ: tfac
ﻝﺎﺳﺭﺍ: fyan
ﻪﻠﺻﺎﻓ: htif
ﺕﻮﮑﺳ: slan
ﺎﭘ: fyat
ﯽﺸﺣﻭ: kyik
ﻥﺩﺮﻣ: myam
ﯽﯾﻮﺟ-ﻪﻓﺮﺻ: pfan
ﺰﺒﺳ: kcin
ﻞﮑﺸﻣ: mlan
ﺪﻨﺨﺒﻟ: myak
ﻩﺎﺒﺘﺷﺍ: clat
ﻒﻠﺘﺨﻣ: pcin
ﺏﺍﻮﺧ: slit
quotative-ﺩﺭﻮﻣ: kwik
ﻉﻭﺮﺷ: cwan
ﻞﻤﻋ: kfan
ﺪﯾﺩﺯﺎﺑ: fwat
ﻥﺩﺮﮐ-ﻝﺎﺒﻧﺩ: nlan
ﻥﺩﺮﻛ-ﺵﻼ﻿ﺗ: tcis
ﺭﻮﻀﺣ: psit
ﻦﯾﺮﯿﺷ: tlit
ﺪﻨﻤﺗﻭﺮﺛ: tcin
ﻦﻤﺷﺩ: tcam
ﯽﺘﺸﮐ: hcip
ﺖﯿﻌﺿﻭ: kyit
ﻪﻠﻤﺟ-ﺯﺍ: hkum
ﻞﻣﺎﺷ-ﺺﺨﺷ: hlon
ﺯﺍﺭ: kwit
precative-ﺖﻟﺎﺣ: pwim
ﺏﺩﺍ-ﺎﺑ-ﻡﺎﻧ ﺖﺒﺛ: hbit
ﺪﺑ: pwac
ﺱﺭﺎﻣ: myas
ﻪﭼ-ﺮﻫ: kwac
ﻥﺩﺮﮐ-ﺖﻣﺎﻗﺍ: hlam
ﯼﺎﺠﺑ: plat
ﯽﺑﺁ: plan
ﻦﮑﻤﻣ-ﺮﯿﻏ: psap
ﻪﺳﺭﺪﻣ: hsuk
ﺖﺒﺳﺎﻨﻣ: ksac
ﻩﺩﺮﮐ-ﺝﺍﻭﺩﺯﺍ: nwat
ﺍﺬﻏ: hcuk
ﺖﺴﯿﺑ: tsis
ﻡﺍﺭﺁ: tcit
ﯽﻧﺎﺳﺁ-ﻪﺑ: hnis
ﺮﮕﻧ-ﻩﺪﻨﯾﺁ-ﻪﺒﻨﺟ: hrap
ﻥﺎﺑﺯ: lyac
ﻥﺎﯿﺑ: syas
ﻪﺘﻔﻫ: hsus
ﻦﻟﺎﺳ: hcum
ﺮﻄﺧ: kcic
ﯽﮔﮋﯾﻭ: myit
ﻥﺪﻣﺁ-ﺎﯿﻧﺪﺑ: nyan
ﻩﺎﮔﺩﺍﺩ: kcut
ﯽﻠﮐ-ﺭﻮﻄﺑ: tyap
ﯽﻠﺜﻤﻟﺍ-ﺏﺮﺿ-ﻪﺒﻨﺟ: hmip
ﺵﺯﺭﺍ: tyas
ﻩﺩﺎﺳ: syap
ﺖﺧﺭﺩ: pyic
ﻥﺩﺮﮐ-ﻩﺯﺭﺎﺒﻣ: pyap
ﺭﺍﻮﯾﺩ: twit
ﻥﺎﻤﺳﺁ: cwak
inchoative-ﻪﺒﻨﺟ: htip
ﯼﺮﻣﺍ-ءﻪﻤﻠﮐ-ﺖﻟﺎﺣ: hjin
ﻦﺤﻟ: twun
ﻪﺟﻮﺗ: klan
ﺩﻭﺭ-ﯽﻣ-ﺭﺎﻈﺘﻧﺍ: pcik
ﻩﺎﻣ: hmaf
ﻪﺑﺮﺠﺗ: nyap
ﻼ﻿ﻣﺎﮐ: nyac
ﺕﻭﺍﺮﻃ-ﺎﺑ: tsac
ﮎﻭﺩ: hnuk
ﻩﺪﺷ-ﻩﺩﺍﺩ-ﺶﺷﻮﭘ: kwak
ﻥﺍﺮﮐ: hyim
ﻕﺮﺷ: tyuk
ﮓﻨﺳ: pwan
ﯼﺪﺣﺎﺗ: kfat
ﺖﻬﺟ: tlac
ﯽﻟﺪﻨﺻ: kwis
ﻥﺩﺮﮐ-ﺖﯾﺎﻤﺣ: syut
ﺦﯾﺭﺎﺗ: tyic
ﻩﺪﮑﻫﺩ: klac
ﻩﺯﻮﺣ: clit
ﻩﺯﺎﺟﺍ: nwin
ﺯﺎﺠﻣ-ﺖﻟﺎﺣ: hmom
ﺖﯿﻘﻓﻮﻣ: slak
ﺐﺳﺎﻨﻣ: hric
ﻪﭙﺗ: clin
ﯽﻘﯿﺳﻮﻣ: ksik
ﻝﺎﺘﺴﯾﺩ-ﯽﺸﯾﺎﻤﻧ: hdat
ﺮﻬﻇ-ﺯﺍ-ﺪﻌﺑ: htup
ﻥﺩﺮﮐ-ﻪﯾﺮﮔ: hyuc
ﺭﺎﺨﺘﻓﺍ: hnaf
ﺖﻔﻫ: swit
ﯽﺻﻮﺼﺧ: pfat
ﺭﺎﺒﺧﺍ: nwas
ﻪﻨﺤﺻ: slac
ﻍﺎﺑ: cyam
ﻪﻘﺑﺎﺴﻣ: htus
ﯽﻌﯾﺯﻮﺗ-ﺩﺭﻮﻣ: twak
ﺮﯿﮕﺑ-ﺩﺎﯾ: clan
ﯽﺳﺎﯿﺳ: syik
ﻍﻭﺭﺩ: kcun
ﺐﻟﺎﻗ: tsak
ﻥﺩﺭﻮﺧ: kcam
ﻪﻘﺒﻃ: hlaf
ﺭﺎﻤﯿﺑ: pwin
ﯽﻠﺻﺍ: mlin
ﻥﺎﺘﺴﺑﺎﺗ: kyam
ﻦﯾﺩ: tlam
ﺮﯾﻮﺼﺗ: ksit
ﻦﺘﻓﺭ-ﺭﺩ: plap
ﻩﺪﻨﺴﯾﻮﻧ: hlut
ﻱﺍ-ﻩﻮﻬﻗ: pyun
ﺺﺨﺸﻣ: htem
ﺩﺭﺩ: hdon
ﺭﺎﻬﺑ: psin
ﻥﺮﻗ: syic
ﻡﺮﻧ: mwan
ﻪﺷﻮﮔ: kyun
ﻥﺩﺮﮐ-ﺪﯿﻟﻮﺗ: psas
ﻩﺪﻨﺧ: cyaf
ﻥﺩﺮﮐ-ﺵﻮﻣﺍﺮﻓ: flat
ﺎﭘﻭﺭﺍ: hyup
ﺖﺸﻫ: lwat
ﺱﺎﺒﻟ: lwac
ﮎﺎﻨﺘﺸﺣﻭ: cyap
ﺲﻔﻧ: syaf
ﺎﻧﺍﺩ: hbas
ﻪﯿﻟﺎﻓﺎﻀﻣ-ﺮﮕﻧﺎﺸﻧ: srak
ﻪﻈﻓﺎﺣ: myin
ﻥﺭﺪﻣ: fwan
ﻪﻄﻘﻧ: tcap
ﻥﺪﻣﺁ-ﻻ﻿ﺎﺑ: hyus
ﺢﻳﺮﻔﺗ-ﮓﻧﺯ: pyik
ﻩﺎﺠﻨﭘ: hfis
ﻩﺮﯾﺰﺟ: tlap
ﻪﺑ-ﻥﺩﺯ-ﺖﺳﺩ: hsuc
ﻩﺪﻋﻭ: pcam
commissive-ﺖﻟﺎﺣ: mwin
ﻪﺟﺭﺩ: tfat
ﺡﺮﻃ: plac
ﺭﺎﺘﻓﺭ: nyak
ﻥﺩﺮﮐ-ﺮﯿﮕﻠﻓﺎﻏ: cran
ﻪﻘﯿﻗﺩ: hmun
ﺲﮑﻋ: hwut
ﺮﺗﺪﺑ: pcap
ﻪﺸﯿﺷ: klak
ﻝﺎﺜﻣ: tlin
ﺮﻄﺧ-ﯽﺑ: hsif
ﺮﺘﮐﺩ: tsit
completive-ﻪﺒﻨﺟ: hmep
ﺭﺮﮑﻣ: tyun
ﯽﻣﺎﻈﻧ: slin
ﻡﺮﮔ: nyam
ﻥﺪﯿﺷﻮﻧ: pfin
ﺶﺳﺮﭘ: pcaf
ﻢﺸﺧ: nran
ﻢﯿﻘﺘﺴﻣ-ﺭﻮﻃ-ﻪﺑ: tyik
ﻩﻼ﻿ﮐ: hcup
ﮓﺳ: kwap
ﺭﺍﺰﮕﺘﻣﺪﺧ: hnuc
ﺭﻭﺮﻏ: hram
ﺖﯿﻌﻤﺟ: tcuc
ﺭﺎﻄﻗ: nyin
ﯽﻗﻼ﻿ﺧﺍ: myut
ﻩﺍﺮﻤﻫ: kyim
ﻥﺪﺷ-ﻞﺧﺍﺩ: fyak
ﻥﻮﻧﺎﻗ: nyas
ﺮﯿﺸﻤﺷ: cwat
ﻪﻠﻤﺣ: kfak
ﺖﻣﻼ﻿ﺳ: clac
ﺪﻨﺑ: pyaf
ﯽﻋﺎﻤﺘﺟﺍ: hsum
ﺩﺍﺩﺮﺘﺳﺍ: tfit
ﻒﺳﺎﺘﻣ: hpec
ﺖﻋﺎﺠﺷ: krac
ﺖﻓﺍﺮﻇ: hnen
ﯽﻤﺳﺭ: hfaf
ﻩﺪﺷ-ﻪﺋﺍﺭﺍ: tsik
ﻥﺩﺮﮐ-ﺎﺿﺎﻘﺗ: pwit
ﻩﺎﮕﻧ: klas
ﯽﯾﺎﺠﺑﺎﺟ: hyon
ﺭﺎﻈﺘﻧﺍ: cwit
ﻞﺑﺎﻘﻣ: psam
ﻩﺩﺯﺍﻭﺩ: tyaf
ﻝﻮﻐﺸﻣ: nyut
ﺏﺍﺮﺷ: hwun
ﻢﻌﻃ: swut
ﻥﺪﯿﺸﮐ-ﻮﺗﺍ: fyac
ﻊﯾﺯﻮﺗ: syin
ﺕﺭﺎﺠﺗ: myap
ﺖﯾﺰﻣ: twac
ﺎﻫ-ﺱﺎﺒﻟ: kfip
ﯽﺿﺎﻗ: fwak
ﺕﻭﺎﻔﺗ: tfaf
ﺲﭘﺍﻮﻟﺩ: kcis
ﻥﺍﻭﺮﺳ: kwin
ﺪﯿﺳﺭ-ﻥﺎﯾﺎﭘ-ﻪﺑ: nlat
ﻒﻗﻮﺗ-ﻪﺒﻨﺟ: hsep
ﻭﺎﮑﺠﻨﮐ: kyic
ﯽﺟﺭﺎﺧ: kwic
ﻩﺪﻨﻨﮐﺪﯾﺪﺸﺗ: hnif
ﺖﯿﻤﻫﺍ: myun
ﺖﯾﺎﻬﻧ-ﺭﺩ: hfim
ﻪﺤﯾﻻ﻿: fwin
ﻥﺩﺮﻛ-ﺖﺑﺎﺛ: hpuk
ﻥﺩﺮﮐ-ﯼﺮﯿﮔﻮﻠﺟ: flan
ﻥﺩﺮﮔ: cyun
ﯽﻧﻮﻧﺎﻗ: hfik
ﮏﺸﺧ: swak
ﺖﻣﺪﺧ: syam
ﻥﺩﺍﺩ-ﺖﺳﺩ-ﺯﺍ: pcut
ﮎﺭﺪﻣ: pyut
ﯽﮐﺭﺪﻣ-ﺩﺭﻮﻣ: hdak
ﻦﺘﻓﺭ-ﺶﯿﭘ: pyis
ﺎﻨﺑ: klit
ﻥﺩﺮﮐ-ﻮﺠﺘﺴﺟ: syuc
ﻦﯿﮕﻤﻏ: hrac
ﻩﺎﻨﮔ: psip
ﯽﺳ: tfis
ﻕﺩﺎﺻ: tsin
ﻪﺘﺴﺑ: kyap
ﮏﻧﺎﺑ: pcun
ﺖﺷﻮﻧﺮﺳ: cyik
ﻞﮕﻨﺟ: hfun
ﻦﺘﻓﺮﮔ-ﻩﺯﺍﺪﻧﺍ: mlac
ﺕﺭﻮﺻ-ﻦﯾﺍ-ﺮﯿﻏ ﺭﺩ: htoc
