bezokolicznik: hnit
król: hyak
między: hsin
serce: cyin
paucal-numer: plom
bo: hyok
przyczynowy-sprawa: ksak
rzecz: hkis
zestaw: swat
imię: hnem
właściwy-rzeczownik: hran
hortative: hrat
kraj: hlit
spytał: hput
widoczny-dowodowy: crit
lepiej: pcac
bok: psac
kurs: hkus
Płeć-żeńska: hfin
wystarczy: kyat
już-wkrótce: hpuc
pełny: hcun
pokój: hfac
prawie: hlap
nie-mogą: nyat
woda: hwik
desiderative-humor: hdin
jasny: lyak
ani: hnun
słowo: slat
drzwi: tyan
posługiwać-się: hpus
ranek: hsap
terminative-sprawa: twik
moc: hkuk
sami: hmis
obecny: hyin
głos: hwas
biały: hpis
pieniądze: tlan
Dalej: kyak
ubogi: hyis
śmierć: hmut
forma: hfam
inessive-sprawa: nwik
dobry: tyac
często: tsan
rok: nwan
przyjaciel: myat
zamówienie: hyut
tryb-rozkazujący-humor: hpim
okrągły: hcut
uwierzyć: hban
publiczny: hpin
stan-kontekst: hsas
syn: psat
sto: hmas
dzieci: hcis
a-zatem: tyak
nadzieja: hcap
nad: hyip
drogi: pyin
czytać: pyac
miasto: hsic
już: hpic
fakt: hfat
factive-dowodowy: hfit
słyszeć: hsun
najmniej: hmim
może: pyat
Otwarte: kcat
ciało: tcic
powietrze: cwac
Natura: nyit
Pomoc: mlat
list: lyat
cztery: ksat
życzący-humor: hpam
ogień: hfak
dlatego: hyif
godzina: hcam
darmowy: tyit
wojna: syat
czy: hsaf
powód: kyan
zjednoczony: hnut
połączenie: hkuc
czemu: hwam
zagubiony: hkut
tysiąc: tsas
rodzina: hfic
dusza: twam
pytanie: swac
opieka: kcan
realis-humor: hlin
oznaczać: mwit
potencjał-humor: hten
w-kierunku: cyan
Allativus-sprawa: lwik
antropiczny-płeć: hrin
krótki: kyut
w-stanie: hyuk
relacja-na-żywo: hkip
Przedmiot: hsek
takie-same-Przedmiot znacznik: hcek
inny-Przedmiot: hfek
odpowiadać: tsat
morze: mwat
strach: hcoc
rozumiesz: pcat
trudny: kyin
Warunki: tyut
wątpić: hdac
dubitative-humor: twin
pytać-się: psan
ramiona: tcas
czarny: clis
przynieść: tyat
Pięknie: ksis
ciemny: tcak
trzymać: psak
dziesięć: htaf
pokaz: pyan
fabuła: hkif
pospolity: kwan
książka: hkup
elektroniczny: lyin
gadanie: plak
ocena-w-szkole: myac
zainteresowanie: nyis
pisać: kcit
łóżko: pwat
konieczny: syis
pomysł: hwis
sztuka: klat
Vialis-sprawa: hlas
brat: pyak
czasami: ksas
linia: lyan
stół: tlas
rzeka: nwit
oko: kyac
Informacja: fyin
nagle: tfan
dziwne: hgan
głęboki: ksan
zmiana: hrit
uczucie: nwac
poznać-się: mlit
cel: htuc
szczęśliwy: hcuc
wydać-się: syit
krew: cyac
róża: kwas
południe: swan
zimno: tlat
Naprzód: myik
pozycja: psis
późno: tyam
stoisko: syan
przypuszczać: nlas
córka: pyit
kopalnia: myan
ciąć: hkim
Kopiuj: hfap
mąż: hgat
sześć: hlis
pamiętać: twat
efekt: hyaf
spadek: htuk
oprócz: hsip
włosy: hpaf
przechodzić: pyas
Prawo-autorskie: pcit
armia: cyit
bieg: kcak
koń: kcas
przyszłość: hwic
zachód: pcak
zapłacić: plit
Rudy: hyun
złoto: tcun
pragnienie: hdan
bawić-się: plin
opanować: mwas
Biuro: hfus
rząd: syak
kościół: kyas
długość: hlen
firma: ksin
papier: kyis
prawdopodobieństwo: hbin
zwłaszcza: cyas
Niedźwiedź: pcas
okno: cyak
umowa: hgac
piękno: syac
obowiązek: tfac
wysłać: fyan
dystans: htif
cisza: slan
stopa: fyat
dziki: kyik
umierać: myam
ratować: pfan
zielony: kcin
problem: mlan
uśmiech: myak
źle: clat
różnorodny: pcin
sen: slit
quotative-sprawa: kwik
początek: cwan
akcja: kfan
odwiedzić: fwat
kierować-się: nlan
próba: tcis
obecność: psit
słodki: tlit
bogaty: tcin
wróg: tcam
statek: hcip
stan: kyit
w-tym: hkum
włącznie-osoba: hlon
sekret: kwit
precative-humor: pwim
uprzejmy-zarejestrować: hbit
zło: pwac
Marsz: myas
cokolwiek: kwac
pobyt: hlam
w-zamian: plat
niebieski: plan
niemożliwy: psap
szkoła: hsuk
okazja: ksac
żonaty: nwat
jedzenie: hcuk
20: tsis
cicho: tcit
z-łatwością: hnis
spodziewany-aspekt: hrap
język: lyac
wyrażenie: syas
tydzień: hsus
sala: hcum
niebezpieczeństwo: kcic
nieruchomość: myit
urodzony: nyan
boisko: kcut
ogólnie: tyap
gnomiczny-aspekt: hmip
wartość: tyas
proste: syap
drzewo: pyic
bić-się: pyap
Ściana: twit
niebo: cwak
inchoative-aspekt: htip
jussive-humor: hjin
ton: twun
wzgląd: klan
spodziewany: pcik
miesiąc: hmaf
doświadczenie: nyap
całkowicie: nyac
świeży: tsac
książę: hnuk
pokryty: kwak
granica: hyim
Wschód: tyuk
kamień: pwan
nieco: kfat
kierunek: tlac
krzesło: kwis
wsparcie: syut
data: tyic
wieś: klac
pole: clit
pozwolenie: nwin
dozwalający-humor: hmom
sukces: slak
właściwy: hric
wzgórze: clin
muzyka: ksik
dystalnej-wskazujący: hdat
popołudnie: htup
płakać: hyuc
honor: hnaf
siedem: swit
prywatny: pfat
aktualności: nwas
scena: slac
ogród: cyam
wyścig: htus
dystrybucyjny-sprawa: twak
uczyć-się: clan
polityczny: syik
kłamstwo: kcun
odlew: tsak
jeść: kcam
piętro: hlaf
chory: pwin
oryginalny: mlin
lato: kyam
religia: tlam
obraz: ksit
ucieczka: plap
autor: hlut
brązowy: pyun
zdecydowany: htem
ból: hdon
wiosna: psin
wiek: syic
miękki: mwan
kąt: kyun
wytwarzać: psas
śmiać-się: cyaf
zapomnieć: flat
Europa: hyup
osiem: lwat
sukienka: lwac
straszny: cyap
oddech: syaf
mądry: hbas
zaborczy-znacznik: srak
pamięć: myin
nowoczesny: fwan
miejsce: tcap
powstanie: hyus
złamać: pyik
pięćdziesiąt: hfis
wyspa: tlap
dotknąć: hsuc
obietnica: pcam
commissive-humor: mwin
stopień: tfat
plan: plac
postępek: nyak
niespodzianka: cran
chwila: hmun
strzał: hwut
gorzej: pcap
szkło: klak
instancja: tlin
bezpieczne: hsif
lekarz: tsit
dopełniający-aspekt: hmep
powtarzający-się: tyun
wojskowy: slin
ciepło: nyam
drink: pfin
pytania: pcaf
gniew: nran
bezpośrednio: tyik
kapelusz: hcup
pies: kwap
sługa: hnuc
duma: hram
tłum: tcuc
pociąg: nyin
morał: myut
związane: kyim
wchodzić: fyak
reguła: nyas
miecz: cwat
atak: kfak
zdrowie: clac
ustęp: pyaf
społeczny: hsum
zwrot: tfit
Przepraszam: hpec
odwaga: krac
łaska: hnen
urzędnik: hfaf
opatrzony: tsik
prośba: pwit
spojrzenie: klas
ruch: hyon
oczekiwać: cwit
naprzeciwko: psam
dwanaście: tyaf
zajęty: nyut
wino: hwun
smak: swut
żelazo: fyac
rozprowadzać: syin
handel: myap
przewaga: twac
odzież: kfip
sędzia: fwak
różnica: tfaf
niespokojny: kcis
kapitan: kwin
gotowe: nlat
zaprzestanie-aspekt: hsep
ciekawy: kyic
obcy: kwic
wzmacniacz: hnif
znaczenie: myun
wreszcie: hfim
rachunek: fwin
okazać-się: hpuk
zapobiec: flan
szyja: cyun
prawny: hfik
suchy: swak
obsługiwać: syam
stracić: pcut
dowód: pyut
dowodowy-sprawa: hdak
postęp: pyis
budynek: klit
Wyszukaj: syuc
smutny: hrac
grzech: psip
30: tfis
szczery: tsin
zamknąć: kyap
bank: pcun
los: cyik
las: hfun
zmierzyć: mlac
inaczej: htoc
strumień: lyam
chleb: hpup
dodatkowy: tfak
wybierać: twas
zwierzę: nwam
zoic-płeć: hzin
eventive-humor: hwim
takie-same-zdarzenie znacznik: hcom
mnożny-sprawa: tlak
gruby: hmus
istota: hyum
deszcz: myic
powierzchnia: pfas
święty: swis
lipiec: clim
raport: hfut
Wybrzeże: pwas
plik: hfif
ramię: cwut
zaskoczony: kran
królewski: klik
piosenka: hkuf
komfort: kfaf
kogokolwiek: nyic
trawa: kcap
rysować: cwik
otwarcie: cyic
czerwiec: cwun
ryba: mlic
kapitał: klin
pierś: cyut
śnieg: hcif
edukacja: tlik
ostry: tcaf
litość: hdam
koszt: fyas
Twój: hmuc
milion: mlun
zmęczony: tcik
zabić: ksam
cień: cwap
waga: plas
masa: mlas
ustanowiony: tlip
odważny: pyam
chudy: plic
zadowolona: srat
czek: kcik
cnota: hdet
krajowy: nyaf
boski: swin
dolina: clak
domyśl-się: kwam
spekulacyjny-humor: hken
żółty: clas
szczątki: mwac
zgięty: nlac
pudełko: pwak
pora-roku: tsim
nauka: slas
nudziarz: kcuc
wujek: hmuk
lista: lyit
sierpień: ksut
popularny: hlup
nieznany: fyit
znajomy: flak
znajomy-zarejestrować: krit
czytelnik: tsut
podejście: pcuc
dwa-razy: tsap
intelektualny: tfik
naprawdę: tsam
kapłan: pcis
ranny: fran
smutek: hpom
pałac: kfas
pokonać: clap
co?: hnec
oszukać: myuk
krawędź: pfac
dziewięć: nwun
rozerwanie: psut
ponieść: tfas
hałas: hcus
literatura: lyic
Rada: swas
pusty: kcuk
ranga: psik
burza: tcut
kieszeń: kyip
wyobraźnia: nlin
wyrok: cwas
listopad: nwap
grudzień: tsip
brak: psic
podziękować: ryak
adres: tyis
ptak: pyuc
właściciel: mlik
płaszcz: kwut
przygotować: tyip
kontakty: lwan
palić: htum
styczeń: nwak
maszyna: clic
treść: nyik
zęby: tlis
wstyd: hcet
zatoka: kcaf
mózg: pyuk
dzwonić: klic
wyrażenie-znacznik: frak
kwadrat: ksap
owoc: fyut
herbata: tsic
wyjaśniać: slam
Witaj: cwam
poezja: pwis
kupować: klam
wierny: hdic
podniecenie: hcen
czterdzieści: klis
kwiecień: pyip
uprzejmie: kfit
październik: kfap
gorzki: kyuc
niewolnik: tlaf
luźny: hluk
tekst: tsus
kredyt: cyip
piętnaście: pfit
okrutny: kcim
dołączyć-do: cluc
proces: hpif
przestępstwo: kyaf
kurz: tsuc
praktyczny: plik
kolor: nlak
zniszczyć: nyuc
wzrost: lyas
nos: hnus
przyznać: tyim
wczoraj: kfac
hesternal-czas: tlen
zawieść: slap
kontynułuj: tcim
mieć-na-sobie: pwam
ślepy: nlit
tuzin: tsun
latać: fyap
pochwała: cwin
diabeł: cwaf
stopniowo: twic
ofiara: kyif
poćwiczyć: cyis
sumienie: tfin
teoria: tlic
minister: myis
nienawidzić: hnet
jezioro: cwic
centrum: syun
słaby: pfic
racjonalny-płeć: hron
ostrożny: fwac
cieszyć-się: nlam
kult: pwap
towary: twap
skóra: twaf
dach: tlut
korona: gyan
zamek: klap
tron: tcus
przywiązany: nlaf
mila: mlim
skrajny: krim
więzienie: fyis
filiżanka: kcip
członek: mlam
cywilny: syim
wszędzie: tsaf
oczywisty: tfic
para: pwaf
Tom: clam
zwyczaj: ksaf
kokarda: ksun
garnitur: slut
mięso: mwak
mleko: hluc
roślinny-płeć: hwen
wizja: slic
rzadki: nlap
kuzyn: ksic
most: pwut
chronić: pfak
sól: swam
niewinny: hwus
królowa: kwim
liczyć: kcus
ciekawość: hras
taniec: tyus
hotel: clut
wypełniać: flin
więzień: psun
robić-zakupy: hjan
schody: sric
błagać: hmen
piasek: sran
gwałtowny: hgit
wrzesień: hsem
wyjazd: prac
ruina: crin
umiejętność: krin
bydło: hwec
sprzęt: hwip
kuchnia: hkon
sprzedać: hbak
prędkość: hsot
wniosek: clon
komputer: hkot
wieczny: hsen
ograniczony: mrit
biblioteka: hbek
opierać: hbac
zamieszanie: hrun
wspaniały: cris
również: hjic
przestraszony: hbic
nieszczęśliwy: prin
artykuł: hrek
gotować: kfin
pasmo: hbat
pustynia: hget
pocałunek: hbun
piłka: hbot
kij: hpot
sprzeczka: hrut
przestrzegać: nrak
błogosławieństwo-humor: hbim
uderzający: hrim
winny: hdis
pistolet: hgin
policja: plis
chować: hzan
wyprawa: srin
nieświadomy: nrin
hojny: drac
chmura: blan
odpady: htek
luty: frif
choroba: hren
spędzić: bwan
źródło: sron
inicjatywa-sprawa: hnok
ciocia: hbam
opóźnienie: dlic
opóźniony-tryb-rozkazujący: hlip
Podawane-dowodowy: prat
północ: dyit
bohater: nrac
filozofia: hfof
palec: hjit
wygodna: hzat
gdzieś: hmoc
naciśnij: bran
personel: hraf
nagroda: rwan
winić: dlac
nieszczęście: krat
czoło: htec
ogłoszenie: glan
anioł: htet
pojedynczy-numer: hgam
świt: hbon
handlowy: krak
przebaczyć: pran
owca: hcec
cierpliwość: hpen
gospodarstwo: crac
referencyjny: hrec
kukurydza: mran
klawisz: kcif
większość: hmot
słaba-strona: hdut
atmosfera: traf
westchnienie: tcoc
ludzkość: mlis
sprzeciw: pric
dysk: hdik
samotny: hket
artysta: nrat
rycerz: cwis
urok: tran
decyzja: drin
gubernator: gran
gałąź: rwac
usposobienie: hsoc
entuzjazm: tsum
indukcyjny-humor: hdum
społeczność: hmum
olej: hyen
rura: hbap
wydrukować: trat
O: dyoc
rozprawiać-kontekst: hros
wołacz-sprawa: hwok
kabina: ksen
alarm: plam
nerwowy: hnes
stały: hset
nóż: ksuk
jedwab: slik
pogarda: grin
piekło: nrik
rozdzielony: plen
na-poważnie: mrat
mieszany: mrik
drewniany: mrak
woleć: hpet
ostrzeżenie: trin
napomnienie-humor: htom
impuls: hmos
ambicja: mrac
zaprzeczać: hnek
konstytucja: swic
instrument: srit
ciągły-aspekt: hnip
fala: hgas
Szkoła-Wyższa: klen
ogon: hkek
generacja: nric
kot: blat
bezpośredni-dowodowy: hret
opuszczony: trac
jedenaście: hyec
instynkt: nlik
cecha-charakterystyczna: trit
plemię: hgik
lękliwy-humor: pcim
schronisko: crat
niegrzeczny: hruc
jazda-konna: hris
potrząsnąć: hmon
przemysł: hdot
zawód: hres
lampa: hdap
kawa: kfif
słuchać: htot
północny: nrit
pielęgniarka: nris
gwarantować: hjat
łańcuch: ryin
nauczanie: cric
buty: hgut
dziedziniec: mram
niejasny: hmec
gdzie-indziej: hlet
apartament: pret
czynność: twot
sobota: cram
światło-słoneczne: hduc
wdowa: hwuc
element: hlem
odbicie: hfen
organizacja: hgis
gwiazda: tram
incydent: hgon
Gość: hgip
bar: brap
butelka: hbet
błogosławić: blak
wymieszać: crak
wewnętrzny: trik
naprawić: krik
czerpać: prit
wydrążony: hcot
województwo: hpos
cywilizacja: srac
zawiesić: hgak
zaszokować: crok
wyjątek: swap
odcedzić: tren
standard: ryan
napędowy: dran
pozbyć-się: hruk
przysięgać: kses
skarb: zran
nasienie: hbis
wieża: tras
ulubiony: fwit
ostatnimi-czasy: hcem
niedawny-przeszłość-czas: hrot
obudzić: srik
meble: mrin
lina: hkos
przygoda: hdas
rodzina-królewska: ryit
uczta: dyat
opisać: dras
sześćdziesiąt: hses
skala: hkem
ceremonia: srec
polowanie: clik
szept: psus
w-dużej-mierze: ryat
chrześcijaństwo: ksim
prawnik: hwif
szczegół: drit
księżniczka: hrus
ołtarz: dlat
sieć: hwes
fioletowy: brin
gromadzić: hkoc
wybór: hben
koncepcja: kren
pijany: crik
wlać: brac
winda: hlif
gest: hjis
kierować: rwin
wymiana: tcen
konkretny-artykuł: hdek
cesarz: mras
zdalny: hroc
brzydki: clup
nieszkodliwy: cras
bułka: hrof
cal: nlic
gazeta: grat
zarost: dric
łza: srim
komisja: kson
natomiast: grak
przejście: kcoc
niezależność: htes
zapach: hwon
osiemnaście: hdec
historyczny: tris
brutto: krut
korzeń: hrok
błoto: hbik
panna-młoda: dlan
welon: pras
teatr: tret
porównanie: kras
rywalizować: rwis
saldo: slen
trener: kron
humor: hnum
powieść: rwas
zemsta: hbaf
zazdrosny: ryut
koło: hlok
spalony: glat
migać: flac
Stwórz: hkec
konflikt: hnot
przekleństwo: hlos
imprecatory-humor: pram
bezradny: hces
pozytywny: hzit
Klub: klup
powódź: nras
ziarno: gwan
obojętność: hdun
horyzont: crim
zarozumiały-humor: hsom
stromy: htop
harmonia: mron
grzmot: hgot
dzieciństwo: htok
kolano: hgun
oprogramowanie: pwen
zranienie: kram
paragon: ryis
umożliwiać: nlim
Protasis: hpoc
poślizg: slok
rewolucja: hrif
rolnik: hjim
uderzenie: trak
peron: hpof
posłaniec: hmes
przywilej: hpek
zorganizowany: hyot
student: clen
jaskinia: hgec
tradycja: rwat
tragedia: tses
pożegnanie: hjap
krytyka: ryik
bawełna: krap
szpital: slot
wynajem: kris
gaz: hges
nieunikniony: pwic
śmiertelnie: hgim
liść: glit
publikacja: plun
wrogi: tsup
tłumaczenie: dwan
pogrzeb: jran
mąka: mrun
korespondencja: ryon
romantyczny: hrom
Chata: clun
zaproponować: psot
mimetyczny: hmet
dolar: dlon
światło-dzienne: hjac
szesnaście: hsos
montaż: hzac
kolonia: klon
skrzydło: gyin
lew: hles
kultura: klut
kolumna: hkom
przebiegły: glak
dramat: dram
żart: hjuc
mgła: hdus
lekarstwo: dwas
czternaście: hkes
kwas: sram
mianowicie: hyet
dochód: hmok
biskup: hbip
pomarańczowy: tron
łazienka: byan
prymitywny: rwit
kosz: ksek
sekretarz: sris
słoma: prak
Jestem-cierpliwy: pfif
zbawienie: slon
hodiernal-czas: dlin
zamierzać: zrin
parowy: tcip
zatruć: hwoc
talent: tlon
klimat: lwim
skuteczny: fric
rozróżniać: tcif
myć-się: dwac
wyznanie: kfis
nonsens: hjas
węgiel: kyon
kajak: kwon
chwilowy: tric
delimitative-aspekt: hdip
kość: hcos
poniedziałek: nwic
wtorek: glac
środa: bwac
federalny: frin
pożądany: hzic
przedstawiciel: ryic
bielizna: lwin
umywalka: swuk
bratanek: bwin
krwawy: kric
oblężenie: cren
brzuch: hpem
mosiądz: pcon
szczyt: hzik
piąty: pfik
tani: brat
Ekskluzywny-osoba: kwen
chwycić: zrat
płot: hzas
statua: tfam
artyleria: tlep
uścisk: mrap
otaczający: sren
rygorystycznie: srot
jeleń: hluf
krzak: hbuc
popędzać: hrep
rozładować-się: hduk
dziedzic: mris
dąb: blun
nieprzyjemny: pren
wynalazek: hgic
fortepian: pyon
namawiać: swen
niewidzialny: gric
dobrze-znane: ryun
okrucieństwo: kluk
pokusa: hyoc
TELIC-aspekt: hlep
gospodarczy: kfik
międzynarodowy: troc
kolidować: tcek
filozof: flif
elegancki: gyit
dobrobyt: kyen
Wędkarstwo: mlak
ukraść: truc
warga: hloc
iść-na-emeryturę: ryac
rozciągać: sras
Galeria: glen
równolegle: zlan
atelic-aspekt: htep
kontynent: trap
prohibicyjny-humor: nrim
krawat: dwat
komórka: slep
jajko: dyan
sztuczny: jrat
W-międzyczasie: nwis
kryzys: ksot
uprzejmy: sloc
lunch: lyon
sosna: pwon
naciskać: hcef
Sojusz: lyen
talia: hkop
cud: hmek
marynarz: slis
czystość: prut
republika: hguk
telefon: tfen
bat: krip
koszula: cyim
przedstawiać: ryas
sofa: hsof
zamiatać: hsup
złodziej: ksif
zachować: nrec
kanał: kcen
osobowość: klim
reforma: kfam
groźny: hzim
Palma: plim
głośnik: hzak
próg: dwic
spowodować: pris
włócznia: bzak
schludny: syec
sesja: cwen
torturować: crot
wilgoć: tcum
grzbiet: grit
podróżny: hyek
młyn: mwik
mapa: jrac
kołnierz: klok
zastąpić: klif
celowo: drat
piwo: hbif
aksamit: hwem
powaga: gwit
kazanie: hpum
nadużycie: glas
trzoda: hgen
trzynaście: tres
uzasadniać: jyit
piątek: crum
szczotka: broc
pobieranie: dlas
krem: krem
klif: klaf
jury: jrin
potwór: ksos
mrożony: hgoc
garnek: pfot
grosz: psen
obstawać: srut
jabłko: hpep
dyskutować: drak
tło: prun
rozpisać: trim
okresowy: prik
zabawa: nren
wirus: bris
dziecinny: blit
odzwierciedlić: flit
konwertować: kcet
zarys: kluc
opera: hpop
zatwierdzenie: nron
zdradzać: rwak
karać: hzen
łokieć: kcon
Załącznik: tcet
naprawa: hrop
podejrzany: cyec
siedemdziesiąt: swet
pismo: srip
dół: grac
nieład: dlak
dwójkowy: byin
opactwo: bjan
strzałka: tcec
zmierzać: trec
opracować: frat
lojalność: hlot
moneta: syip
drżenie: tcem
wygnanie: gwin
mechaniczny: myim
pułapka: crap
ciasto: kyek
Pan: cyes
wahać-się: sret
siedemnaście: syet
miodu: myon
stawka: dzat
stąpać: hjam
cegła: brit
osiemdziesiąt: hpes
na-nieszczęście: pcen
konsultować: kcot
legenda: lwen
żniwa: hfos
promocja: pfon
kuchenka: hsop
Buntownik: bric
staromodny: hnom
puchnąć: cron
bagno: swot
ubieranie-się: hdes
ascetyczny: pces
menedżer: mren
chór: cros
racjonalny: tson
przetwarzanie: pson
Wilk: blaf
wykładzina-podłogowa: hgap
antyk: hjak
płodny: frut
gwizdać: slif
ser: twis
gryźć: byat
Zapraszam: jwan
katedra: kyet
port: brak
zbłądzić: djan
rośliny: tsos
marynarka-wojenna: nlen
maska: mrok
ołówek: pses
warzywo: sroc
wystawa: hzet
spodnie: tlun
korupcja: hrup
gabinet: nram
zupa: srup
chirurg: syon
dodatek: tcot
szpieg: gyas
lekkomyślny: hlec
plotka: gyic
znak: hzon
abstrakcyjny: srok
czwartek: cwim
ruch-drogowy: ryaf
architektura: ryek
pęknięcie: rwaf
ornament: rwon
rewers: lwas
bawić: mwun
poprawa: ksus
bruk: plut
decydujący: dyin
negatywny: nraf
festiwal: hfec
zredukować: hrum
zdrada: zyan
Łowca: djin
wąż: syen
bateria: bret
wosk: flam
detektyw: dlit
analiza: nlis
nacisk: hzot
pływać: twen
koperta: lwaf
ktokolwiek: hgek
papieros: jrit
silnik: mrot
wolontariusz: hwot
reakcja: ryif
bagaż: blam
głuchy: hboc
sok: hjus
pokora: jlit
ministerstwo: mret
seksualny: hjon
średnica: dyam
topór: blac
diament: dlam
alternatywny: hlek
echo: hgus
powściągliwość: swon
tożsamość: hdaf
ekran: krun
leniwy: lwis
momentane-aspekt: hmop
kompaktowy: kfot
dryf: hdif
znikam: hgaf
promień: ryen
atrament: mwic
masywny: mraf
piwnica: dyac
niezapomniany: nrun
blask: klek
senat: slet
trumna: tfap
przebaczenie: frac
łyk: nlun
pobłażać: nlot
huśtawka: swun
łąka: gram
kompleks: klos
rezygnacja: hzis
pokorny-zarejestrować: nret
spisek: swim
pieprz: prip
kucyk: pron
kandydat: hzam
lis: flik
komin: tcon
jurysdykcja: drik
rolnictwo: rwic
dokładność: tcuk
były-zmarły: brim
demokratyczny: mrek
pączek: hbos
koc: bwat
grad: hgep
świnia: srus
kształcie: krek
kość-słoniowa: craf
klasyczny: ksok
obserwator: nwet
słoń: lwit
paznokcie: nwus
pszczoła: hmif
pogrzebać: dzan
aktor: bzat
pocić-się: zwan
Polskie: ploc
iluzja: hlus
niepewność: pcet
wtórny: syif
zagięcie: tsot
wiejski: grun
jęk: nyen
być-podobnym: slec
zacytować: hzun
worek: cyek
kłopot: fren
igła: hjun
kontrolowanych: nroc
kurczak: truk
zgodny: kwot
beczka: bras
zwykły-aspekt: hcep
ekspert: ksec
piętno: blin
oliwka: zlin
awangarda: myen
przeszkoda: bwak
ukłon: kcec
sprzyjać: plaf
definicja: fyic
urodziny: gjin
młot: hcof
pachnący: hfon
powtórzenie: trun
trywialny: twut
rzut: hjik
kopać: kwaf
zwierzę-domowe: plot
czaszka: hcop
legislatura: dlik
obcas: cruk
marszczyć-brwi: crun
patent: plet
miliard: blim
chemiczny: fyik
pilot: pyot
naśladować: mlot
Spódnica: kwet
niezwykle: srap
co-tydzień: jwik
techniczny: tfip
roślinność: tset
wrona: kraf
wschód-słońca: sruc
życie: glin
przyczyniać-się: hyom
hak: hdok
Tygrys: blic
przenikać: crut
rękaw: slun
Autostrada: jras
milicja: mlip
rów: kroc
integralność: kret
dziewiętnaście: dzin
organiczny: rwik
teologia: flic
pływak: flut
czarownica: byac
znudzony: hwuk
dyplomatyczny: dyik
studio: twos
przekraczać: kcok
szampan: cyen
inspirować: crif
transparent: hbes
rozwód: lwon
śruba: hbut
żyła: jyan
pasywny: psif
piana: hgum
żwir: grik
Fartuch: tyen
planeta: gren
półka: claf
wentylator: flon
tropikalny: hjip
faza: fwas
arbitralny: rwen
wymawiać: kfun
Merkury: krok
pełzanie: hrem
samobójstwo: tcos
reporter: prot
pozbawiać: hpok
wykwalifikowany: klun
balkon: blik
widelec: fras
pracownik: mlek
pracodawca: myot
szerokość: jrak
podrażniona: djit
oskarżać: klot
pensjonat: pyen
czasownik: kres
małpa: mwon
do-przyjęcia: hwek
podpis: tlim
prawosławny: rwos
ironia: fron
żłobek: nrap
niechęć: jlan
import: tyot
latarka: croc
gramatyka: gjak
zdeponować: gyat
kolonialny: plon
jacht: jyat
wynikający: kwec
kopuła: kwun
grubość: hfot
uparty: cyon
mięsień: hmup
wielkość: ryam
pocierać: ryos
tchórzliwy: rwam
uprząż: gwac
toast: tros
mysz: myus
sylaba: slim
poklepać: prap
dialog: dlaf
neutralny: nrot
