infinitive: hnit
visible-evidential: crit
better: pcac
side: psac
course: hkus
female: hfin
enough: kyat
soon: hpuc
full: hcun
room: hfac
almost: hlap
cannot: nyat
water: hwik
desiderative-mood: hdin
light: lyak
nor: hnun
word: slat
door: tyan
use: hpus
morning: hsap
terminative-case: twik
power: hkuk
themselves: hmis
present: hyin
voice: hwas
white: hpis
money: tlan
next: kyak
poor: hyis
death: hmut
form: hfam
inessive-case: nwik
kind: tyac
often: tsan
year: nwan
friend: myat
order: hyut
imperative-mood: hpim
round: hcut
believe: hban
public: hpin
state-context: hsas
son: psat
hundred: hmas
children: hcis
thus: tyak
hope: hcap
above: hyip
dear: pyin
read: pyac
city: hsic
already: hpic
fact: hfat
factive-evidential: hfit
hear: hsun
least: hmim
perhaps: pyat
open: kcat
body: tcic
air: cwac
nature: nyit
help: mlat
letter: lyat
four: ksat
optative-mood: hpam
fire: hfak
therefore: hyif
hour: hcam
free: tyit
war: syat
whether: hsaf
reason: kyan
united: hnut
call: hkuc
why: hwam
lost: hkut
thousand: tsas
family: hfic
soul: twam
question: swac
care: kcan
realis-mood: hlin
mean: mwit
potential-mood: hten
towards: cyan
allative-case: lwik
anthropic-gender: hrin
short: kyut
able: hyuk
live: hkip
subject: hsek
same-subject-marker: hcek
different-subject: hfek
answer: tsat
sea: mwat
fear: hcoc
understand: pcat
hard: kyin
terms: tyut
doubt: hdac
dubitative-mood: twin
ask: psan
arms: tcas
black: clis
bring: tyat
beautiful: ksis
dark: tcak
hold: psak
ten: htaf
show: pyan
story: hkif
common: kwan
book: hkup
electronic: lyin
talk: plak
mark: myac
interest: nyis
write: kcit
bed: pwat
necessary: syis
idea: hwis
art: klat
vialis-case: hlas
brother: pyak
sometimes: ksas
line: lyan
table: tlas
river: nwit
eye: kyac
information: fyin
suddenly: tfan
strange: hgan
deep: ksan
change: hrit
feeling: nwac
meet: mlit
purpose: htuc
happy: hcuc
seem: syit
blood: cyac
rose: kwas
south: swan
cold: tlat
forward: myik
position: psis
late: tyam
stand: syan
suppose: nlas
daughter: pyit
mine: myan
cut: hkim
copy: hfap
husband: hgat
six: hlis
remember: twat
effect: hyaf
fall: htuk
except: hsip
hair: hpaf
pass: pyas
copyright: pcit
army: cyit
run: kcak
horse: kcas
future: hwic
west: pcak
pay: plit
red: hyun
gold: tcun
desire: hdan
play: plin
master: mwas
office: hfus
government: syak
church: kyas
length: hlen
company: ksin
paper: kyis
probability: hbin
especially: cyas
bear: pcas
window: cyak
agreement: hgac
beauty: syac
duty: tfac
send: fyan
distance: htif
silence: slan
foot: fyat
wild: kyik
die: myam
save: pfan
green: kcin
trouble: mlan
smile: myak
wrong: clat
various: pcin
sleep: slit
quotative-case: kwik
beginning: cwan
action: kfan
visit: fwat
follow: nlan
try: tcis
presence: psit
sweet: tlit
rich: tcin
enemy: tcam
ship: hcip
condition: kyit
including: hkum
inclusive-person: hlon
secret: kwit
precative-mood: pwim
polite-register: hbit
evil: pwac
march: myas
whatever: kwac
stay: hlam
instead: plat
blue: plan
impossible: psap
school: hsuk
occasion: ksac
married: nwat
food: hcuk
twenty: tsis
quiet: tcit
easily: hnis
prospective-aspect: hrap
language: lyac
expression: syas
week: hsus
hall: hcum
danger: kcic
property: myit
born: nyan
court: kcut
generally: tyap
gnomic-aspect: hmip
worth: tyas
simple: syap
tree: pyic
fight: pyap
wall: twit
heaven: cwak
inchoative-aspect: htip
jussive-mood: hjin
tone: twun
regard: klan
expected: pcik
month: hmaf
experience: nyap
entirely: nyac
fresh: tsac
duke: hnuk
covered: kwak
bound: hyim
east: tyuk
stone: pwan
somewhat: kfat
direction: tlac
chair: kwis
support: syut
date: tyic
village: klac
field: clit
permission: nwin
permissive-mood: hmom
success: slak
proper: hric
hill: clin
music: ksik
distal-demonstrative: hdat
afternoon: htup
cry: hyuc
honour: hnaf
seven: swit
private: pfat
news: nwas
scene: slac
garden: cyam
race: htus
distributive-case: twak
learn: clan
political: syik
lie: kcun
cast: tsak
eat: kcam
floor: hlaf
ill: pwin
original: mlin
summer: kyam
religion: tlam
picture: ksit
escape: plap
author: hlut
brown: pyun
determined: htem
pain: hdon
spring: psin
century: syic
soft: mwan
corner: kyun
produce: psas
laugh: cyaf
forget: flat
europe: hyup
eight: lwat
dress: lwac
terrible: cyap
breath: syaf
wise: hbas
possessive-marker: srak
memory: myin
modern: fwan
spot: tcap
rise: hyus
break: pyik
fifty: hfis
island: tlap
touch: hsuc
promise: pcam
commissive-mood: mwin
degree: tfat
plan: plac
conduct: nyak
surprise: cran
minute: hmun
shot: hwut
worse: pcap
glass: klak
instance: tlin
safe: hsif
doctor: tsit
completive-aspect: hmep
repeated: tyun
military: slin
warm: nyam
drink: pfin
questions: pcaf
anger: nran
directly: tyik
hat: hcup
dog: kwap
servant: hnuc
pride: hram
crowd: tcuc
train: nyin
moral: myut
associated: kyim
enter: fyak
rule: nyas
sword: cwat
attack: kfak
health: clac
paragraph: pyaf
social: hsum
refund: tfit
sorry: hpec
courage: krac
grace: hnen
official: hfaf
provided: tsik
request: pwit
glance: klas
movement: hyon
expect: cwit
opposite: psam
twelve: tyaf
engaged: nyut
wine: hwun
taste: swut
iron: fyac
distribute: syin
trade: myap
advantage: twac
clothes: kfip
judge: fwak
difference: tfaf
anxious: kcis
captain: kwin
finished: nlat
cessative-aspect: hsep
curious: kyic
foreign: kwic
intensifier: hnif
importance: myun
finally: hfim
bill: fwin
prove: hpuk
prevent: flan
neck: cyun
legal: hfik
dry: swak
serve: syam
lose: pcut
evidence: pyut
evidential-case: hdak
progress: pyis
building: klit
search: syuc
sad: hrac
sin: psip
thirty: tfis
honest: tsin
shut: kyap
bank: pcun
fate: cyik
forest: hfun
measure: mlac
otherwise: htoc
stream: lyam
bread: hpup
additional: tfak
choose: twas
animal: nwam
zoic-gender: hzin
eventive-mood: hwim
same-event-marker: hcom
multiplicative-case: tlak
thick: hmus
creature: hyum
rain: myic
surface: pfas
holy: swis
july: clim
report: hfut
coast: pwas
file: hfif
shoulder: cwut
surprised: kran
royal: klik
song: hkuf
comfort: kfaf
anyone: nyic
grass: kcap
draw: cwik
opening: cyic
june: cwun
fish: mlic
capital: klin
breast: cyut
snow: hcif
education: tlik
sharp: tcaf
pity: hdam
expense: fyas
yours: hmuc
million: mlun
tired: tcik
kill: ksam
shadow: cwap
weight: plas
mass: mlas
established: tlip
brave: pyam
thin: plic
satisfied: srat
check: kcik
virtue: hdet
national: nyaf
divine: swin
valley: clak
guess: kwam
speculative-mood: hken
yellow: clas
remains: mwac
bent: nlac
box: pwak
season: tsim
science: slas
bore: kcuc
uncle: hmuk
list: lyit
august: ksut
popular: hlup
unknown: fyit
familiar: flak
familiar-register: krit
reader: tsut
approach: pcuc
twice: tsap
intellectual: tfik
truly: tsam
priest: pcis
wounded: fran
sorrow: hpom
palace: kfas
beat: clap
eh?: hnec
fool: myuk
edge: pfac
nine: nwun
burst: psut
suffer: tfas
noise: hcus
literature: lyic
advice: swas
empty: kcuk
rank: psik
storm: tcut
pocket: kyip
imagination: nlin
sentence: cwas
november: nwap
december: tsip
absence: psic
thank: ryak
address: tyis
bird: pyuc
owner: mlik
coat: kwut
prepare: tyip
relations: lwan
smoke: htum
january: nwak
machine: clic
content: nyik
teeth: tlis
shame: hcet
bay: kcaf
brain: pyuk
ring: klic
phrase-marker: frak
square: ksap
fruit: fyut
tea: tsic
explain: slam
welcome: cwam
poetry: pwis
buy: klam
faithful: hdic
excitement: hcen
forty: klis
april: pyip
kindly: kfit
october: kfap
bitter: kyuc
slave: tlaf
loose: hluk
text: tsus
credit: cyip
fifteen: pfit
cruel: kcim
join: cluc
process: hpif
crime: kyaf
dust: tsuc
practical: plik
colour: nlak
destroy: nyuc
increase: lyas
nose: hnus
admit: tyim
yesterday: kfac
hesternal-tense: tlen
fail: slap
continue: tcim
wear: pwam
blind: nlit
dozen: tsun
fly: fyap
praise: cwin
devil: cwaf
gradually: twic
sacrifice: kyif
exercise: cyis
conscience: tfin
theory: tlic
minister: myis
hate: hnet
lake: cwic
centre: syun
faint: pfic
rational-gender: hron
careful: fwac
enjoy: nlam
worship: pwap
goods: twap
skin: twaf
roof: tlut
crown: gyan
castle: klap
throne: tcus
attached: nlaf
mile: mlim
extreme: krim
prison: fyis
cup: kcip
member: mlam
civil: syim
everywhere: tsaf
evident: tfic
couple: pwaf
volume: clam
custom: ksaf
bow: ksun
suit: slut
meat: mwak
milk: hluc
vegetal-gender: hwen
vision: slic
rare: nlap
cousin: ksic
bridge: pwut
protect: pfak
salt: swam
innocent: hwus
queen: kwim
count: kcus
curiosity: hras
dance: tyus
hotel: clut
fill: flin
prisoner: psun
shop: hjan
stairs: sric
beg: hmen
sand: sran
violent: hgit
september: hsem
departure: prac
ruin: crin
skill: krin
cattle: hwec
equipment: hwip
kitchen: hkon
sell: hbak
speed: hsot
conclusion: clon
computer: hkot
eternal: hsen
limited: mrit
library: hbek
base: hbac
confusion: hrun
glorious: cris
likewise: hjic
frightened: hbic
unhappy: prin
article: hrek
cook: kfin
band: hbat
desert: hget
kiss: hbun
ball: hbot
stick: hpot
argument: hrut
observe: nrak
benedictive-mood: hbim
striking: hrim
guilty: hdis
gun: hgin
police: plis
hide: hzan
expedition: srin
ignorant: nrin
generous: drac
cloud: blan
waste: htek
february: frif
disease: hren
spend: bwan
source: sron
initiative-case: hnok
aunt: hbam
delay: dlic
delayed-imperative: hlip
reported-evidential: prat
midnight: dyit
hero: nrac
philosophy: hfof
finger: hjit
comfortable: hzat
somewhere: hmoc
press: bran
staff: hraf
reward: rwan
blame: dlac
misery: krat
forehead: htec
ad: glan
angel: htet
singular-number: hgam
dawn: hbon
commercial: krak
forgive: pran
sheep: hcec
patience: hpen
farm: crac
referential: hrec
corn: mran
key: kcif
majority: hmot
weakness: hdut
atmosphere: traf
sigh: tcoc
humanity: mlis
opposition: pric
disk: hdik
lonely: hket
artist: nrat
knight: cwis
charm: tran
decision: drin
governor: gran
branch: rwac
disposition: hsoc
enthusiasm: tsum
inductive-mood: hdum
community: hmum
oil: hyen
pipe: hbap
print: trat
oh: dyoc
discourse-context: hros
vocative-case: hwok
cabin: ksen
alarm: plam
nervous: hnes
permanent: hset
knife: ksuk
silk: slik
contempt: grin
hell: nrik
separated: plen
seriously: mrat
mixed: mrik
wooden: mrak
prefer: hpet
warning: trin
admonitive-mood: htom
impulse: hmos
ambition: mrac
deny: hnek
constitution: swic
instrument: srit
continuous-aspect: hnip
tide: hgas
college: klen
tail: hkek
generation: nric
cat: blat
direct-evidential: hret
abandoned: trac
eleven: hyec
instinct: nlik
characteristic: trit
tribe: hgik
apprehensive-mood: pcim
shelter: crat
rude: hruc
riding: hris
shake: hmon
industry: hdot
profession: hres
lamp: hdap
coffee: kfif
obey: htot
northern: nrit
nurse: nris
assure: hjat
chain: ryin
teaching: cric
shoes: hgut
yard: mram
vague: hmec
elsewhere: hlet
apartment: pret
activity: twot
saturday: cram
sunshine: hduc
widow: hwuc
element: hlem
reflection: hfen
organization: hgis
star: tram
incident: hgon
guest: hgip
bar: brap
bottle: hbet
bless: blak
stir: crak
inner: trik
fix: krik
derive: prit
hollow: hcot
province: hpos
civilization: srac
hang: hgak
shock: crok
exception: swap
strain: tren
standard: ryan
driving: dran
rid: hruk
swear: kses
treasure: zran
seed: hbis
tower: tras
favourite: fwit
recently: hcem
recent-past-tense: hrot
awake: srik
furniture: mrin
rope: hkos
adventure: hdas
royalty: ryit
feast: dyat
describe: dras
sixty: hses
scale: hkem
ceremony: srec
hunting: clik
whisper: psus
largely: ryat
christianity: ksim
lawyer: hwif
detail: drit
princess: hrus
altar: dlat
web: hwes
purple: brin
gather: hkoc
election: hben
conception: kren
drunk: crik
pour: brac
lift: hlif
gesture: hjis
manage: rwin
exchange: tcen
definite-article: hdek
emperor: mras
remote: hroc
ugly: clup
harmless: cras
roll: hrof
inch: nlic
newspaper: grat
beard: dric
tear: srim
commission: kson
whereas: grak
crossing: kcoc
independence: htes
smell: hwon
eighteen: hdec
historical: tris
gross: krut
root: hrok
mud: hbik
bride: dlan
veil: pras
theatre: tret
comparison: kras
rival: rwis
balance: slen
coach: kron
humour: hnum
novel: rwas
revenge: hbaf
jealous: ryut
wheel: hlok
burnt: glat
flash: flac
create: hkec
conflict: hnot
curse: hlos
imprecative-mood: pram
helpless: hces
positive: hzit
club: klup
flood: nras
grain: gwan
indifference: hdun
horizon: crim
assumptive-mood: hsom
steep: htop
harmony: mron
thunder: hgot
childhood: htok
knee: hgun
software: pwen
injury: kram
receipt: ryis
enable: nlim
protasis: hpoc
slip: slok
revolution: hrif
farmer: hjim
stroke: trak
platform: hpof
messenger: hmes
privilege: hpek
organized: hyot
student: clen
cave: hgec
tradition: rwat
tragedy: tses
farewell: hjap
criticism: ryik
cotton: krap
hospital: slot
rent: kris
gas: hges
inevitable: pwic
deadly: hgim
leaf: glit
publication: plun
hostile: tsup
translation: dwan
funeral: jran
flour: mrun
correspondence: ryon
romantic: hrom
hut: clun
propose: psot
mimetic: hmet
dollar: dlon
daylight: hjac
sixteen: hsos
assembly: hzac
colony: klon
wing: gyin
lion: hles
culture: klut
column: hkom
cunning: glak
drama: dram
joke: hjuc
mist: hdus
medicine: dwas
fourteen: hkes
acid: sram
namely: hyet
income: hmok
bishop: hbip
orange: tron
bath: byan
primitive: rwit
basket: ksek
secretary: sris
straw: prak
impatient: pfif
salvation: slon
hodiernal-tense: dlin
intend: zrin
steam: tcip
poison: hwoc
talent: tlon
climate: lwim
effective: fric
distinguish: tcif
wash: dwac
confession: kfis
nonsense: hjas
coal: kyon
canoe: kwon
temporary: tric
delimitative-aspect: hdip
bone: hcos
monday: nwic
tuesday: glac
wednesday: bwac
federal: frin
desirable: hzic
representative: ryic
linen: lwin
sink: swuk
nephew: bwin
bloody: kric
siege: cren
stomach: hpem
brass: pcon
summit: hzik
fifth: pfik
cheap: brat
exclusive-person: kwen
seize: zrat
fence: hzas
statue: tfam
artillery: tlep
embrace: mrap
surrounding: sren
strictly: srot
deer: hluf
bush: hbuc
railroad: hrep
discharge: hduk
heir: mris
oak: blun
unpleasant: pren
invention: hgic
piano: pyon
persuade: swen
invisible: gric
well-known: ryun
cruelty: kluk
temptation: hyoc
telic-aspect: hlep
economic: kfik
international: troc
interfere: tcek
philosopher: flif
elegant: gyit
welfare: kyen
fishing: mlak
steal: truc
lip: hloc
retire: ryac
stretch: sras
gallery: glen
parallel: zlan
atelic-aspect: htep
continent: trap
prohibitive-mood: nrim
tie: dwat
cell: slep
egg: dyan
artificial: jrat
meanwhile: nwis
crisis: ksot
polite: sloc
lunch: lyon
pine: pwon
push: hcef
alliance: lyen
waist: hkop
miracle: hmek
sailor: slis
purity: prut
republic: hguk
telephone: tfen
whip: krip
shirt: cyim
introduce: ryas
sofa: hsof
sweep: hsup
thief: ksif
retain: nrec
channel: kcen
personality: klim
reform: kfam
threatening: hzim
palm: plim
speaker: hzak
threshold: dwic
induce: pris
spear: bzak
neat: syec
session: cwen
torture: crot
damp: tcum
ridge: grit
traveller: hyek
mill: mwik
map: jrac
collar: klok
replace: klif
deliberately: drat
beer: hbif
velvet: hwem
gravity: gwit
sermon: hpum
abuse: glas
flock: hgen
thirteen: tres
justify: jyit
friday: crum
brush: broc
download: dlas
cream: krem
cliff: klaf
jury: jrin
monster: ksos
frozen: hgoc
pot: pfot
penny: psen
insist: srut
apple: hpep
discuss: drak
background: prun
transcribe: trim
periodic: prik
entertainment: nren
virus: bris
childish: blit
reflect: flit
convert: kcet
outline: kluc
opera: hpop
approval: nron
betray: rwak
punish: hzen
elbow: kcon
attachment: tcet
repair: hrop
suspicious: cyec
seventy: swet
scripture: srip
pit: grac
disorder: dlak
binary: byin
abbey: bjan
arrow: tcec
tend: trec
elaborate: frat
loyalty: hlot
coin: syip
tremble: tcem
exile: gwin
mechanical: myim
trap: crap
cake: kyek
sir: cyes
hesitate: sret
seventeen: syet
honey: myon
stake: dzat
tread: hjam
brick: brit
eighty: hpes
unfortunately: pcen
consult: kcot
legend: lwen
harvest: hfos
promotion: pfon
stove: hsop
rebel: bric
old-fashioned: hnom
swell: cron
swamp: swot
dressing: hdes
ascetic: pces
manager: mren
chorus: cros
rational: tson
processing: pson
wolf: blaf
carpet: hgap
antiquity: hjak
fertile: frut
whistle: slif
cheese: twis
bite: byat
invite: jwan
cathedral: kyet
harbor: brak
wander: djan
crops: tsos
navy: nlen
mask: mrok
pencil: pses
vegetable: sroc
exhibit: hzet
trousers: tlun
corruption: hrup
cabinet: nram
soup: srup
surgeon: syon
allowance: tcot
spy: gyas
reckless: hlec
gossip: gyic
token: hzon
abstract: srok
thursday: cwim
traffic: ryaf
architecture: ryek
crack: rwaf
ornament: rwon
reverse: lwas
amuse: mwun
recovery: ksus
pavement: plut
decisive: dyin
negative: nraf
festival: hfec
reduce: hrum
treason: zyan
hunter: djin
snake: syen
battery: bret
wax: flam
detective: dlit
analysis: nlis
emphasis: hzot
swim: twen
envelope: lwaf
whoever: hgek
cigarette: jrit
motor: mrot
volunteer: hwot
reaction: ryif
baggage: blam
deaf: hboc
juice: hjus
humility: jlit
ministry: mret
sexual: hjon
diameter: dyam
axe: blac
diamond: dlam
alternate: hlek
echo: hgus
restraint: swon
identity: hdaf
screen: krun
lazy: lwis
momentane-aspect: hmop
compact: kfot
drift: hdif
disappear: hgaf
ray: ryen
ink: mwic
massive: mraf
cellar: dyac
memorable: nrun
glare: klek
senate: slet
coffin: tfap
forgiveness: frac
swallow: nlun
indulge: nlot
swing: swun
meadow: gram
complex: klos
resignation: hzis
humble-register: nret
conspiracy: swim
pepper: prip
pony: pron
candidate: hzam
fox: flik
chimney: tcon
jurisdiction: drik
agriculture: rwic
accuracy: tcuk
former-deceased: brim
democratic: mrek
bud: hbos
blanket: bwat
hail: hgep
pig: srus
shaped: krek
ivory: craf
classical: ksok
observer: nwet
elephant: lwit
nails: nwus
bee: hmif
bury: dzan
actor: bzat
sweat: zwan
polish: ploc
illusion: hlus
uncertainty: pcet
secondary: syif
fold: tsot
rural: grun
groan: nyen
resemble: slec
quote: hzun
sack: cyek
annoyance: fren
needle: hjun
controlled: nroc
chicken: truk
consistent: kwot
barrel: bras
habitual-aspect: hcep
expert: ksec
impress: blin
olive: zlin
van: myen
obstacle: bwak
nod: kcec
foster: plaf
definition: fyic
birthday: gjin
hammer: hcof
fragrant: hfon
repetition: trun
trivial: twut
kick: hjik
dig: kwaf
pet: plot
skull: hcop
legislature: dlik
heel: cruk
frown: crun
patent: plet
billion: blim
chemical: fyik
pilot: pyot
imitate: mlot
skirt: kwet
unusually: srap
weekly: jwik
technical: tfip
vegetation: tset
crow: kraf
sunrise: sruc
lifetime: glin
contribute: hyom
hook: hdok
tiger: blic
penetrate: crut
sleeve: slun
highway: jras
militia: mlip
ditch: kroc
integrity: kret
nineteen: dzin
organic: rwik
theology: flic
float: flut
witch: byac
bored: hwuk
diplomatic: dyik
studio: twos
exceed: kcok
champagne: cyen
inspire: crif
banner: hbes
divorce: lwon
bolt: hbut
vein: jyan
passive: psif
foam: hgum
gravel: grik
apron: tyen
planet: gren
shelf: claf
fan: flon
tropical: hjip
phase: fwas
arbitrary: rwen
pronounce: kfun
mercury: krok
creep: hrem
suicide: tcos
reporter: prot
deprive: hpok
skilled: klun
balcony: blik
fork: fras
employee: mlek
employer: myot
width: jrak
irritated: djit
accuse: klot
pension: pyen
verb: kres
monkey: mwon
acceptable: hwek
signature: tlim
orthodox: rwos
irony: fron
nursery: nrap
reluctance: jlan
import: tyot
torch: croc
grammar: gjak
deposit: gyat
colonial: plon
yacht: jyat
consequential: kwec
dome: kwun
thickness: hfot
stubborn: cyon
muscle: hmup
magnitude: ryam
rub: ryos
cowardly: rwam
harness: gwac
toast: tros
mouse: myus
syllable: slim
pat: prap
dialogue: dlaf
neutral: nrot
diligence: dwin
contradiction: trot
achieve: kfic
goat: byak
flourish: hfet
impose: mlon
anonymous: nwim
formal-register: frit
calf: hbof
manual: mwut
melt: hjec
delete: flas
umbrella: gras
boot: bzut
mineral: mrim
truce: crus
duck: hbok
planning: pfam
soap: hsuf
doll: gwak
skeleton: klet
villa: blis
sewing: jlin
reconcile: dyak
kettle: kset
mature: mruc
rabbit: kruc
conductor: nwot
dependence: djat
player: jlic
insect: pset
restaurant: cret
owl: lwun
radical: djik
resident: zwin
dragon: dron
auditory-evidential: drot
thirsty: kyos
linger: dren
calculation: glun
regulation: ryim
mayor: mlap
minority: mric
acquisition: dwon
veteran: bren
orchestra: ryes
bacon: bjin
disadvantage: zwat
fabric: frap
musician: gzik
mentally: hnep
conjunction: nyon
inadequate: nrip
architect: tsek
lemon: nyim
cough: kcos
headache: crek
tenant: ryet
fertility: srun
heal: hfoc
ninety: nwon
random: hbec
spoon: kcek
balloon: blon
chalk: hfip
inferential-evidential: nlet
publisher: pcot
vinegar: sruk
ash: fyec
expletive: slek
revive: nrut
susceptible: kfim
tunnel: tfun
puzzle: hpef
mechanism: mwim
mathematics: gzit
fade: frun
liver: jwin
sublative-case: bwik
dip: dris
unit: twim
monopoly: hnop
gambling: hgup
submarine: bzin
earthquake: hbem
laboratory: brot
cork: kruk
self-control: syot
buddha: hbus
knit: bjat
embassy: blas
farthest: sres
declarative-mood: drim
stimulus: tyuc
chocolate: clot
coincidence: tyon
glove: gwat
kneel: hjek
geography: hjif
investment: nwes
verbal: mrec
analogy: nlip
secular: srek
hawk: blap
psychology: nloc
fasten: gjan
scrap: krep
role: cyum
dose: hdos
salmon: slom
pudding: pwun
magnetic: gyik
pump: pcom
oxygen: ksip
certificate: tfot
medal: hmem
rhetoric: trok
scrape: rwap
oar: dyas
telescope: trip
necklace: clek
spelling: prif
whiskey: hwos
willow: hwof
camel: hlum
amateur: myet
exit: crec
biography: brif
donkey: gzac
monthly: mwis
ignore: nruk
vacation: byit
click: lyik
oval: twon
elastic: lyet
dictionary: kfon
ham: gzam
rainbow: rwun
consume: kcum
spit: tcup
tank: trek
colleague: clok
butterfly: trif
chart: graf
twin: jwat
independently: trem
bamboo: hbum
dealer: jlat
accumulation: kles
inspector: nyet
morsel: hyos
nightmare: hbom
jam: gjam
museum: mrem
alphabet: lwam
scatter: zras
raid: crip
disclose: clus
rot: fraf
aggressive: gris
friction: mroc
pier: gyac
spider: brik
potato: trut
revision: cwon
greed: jlac
premature: ryot
multiply: gzan
spin: pcip
statistics: tsok
calendar: klem
nomination: nwen
trillion: tlos
attic: tlok
affirmative-mood: rwim
applications: pfen
nominal: nlon
dissatisfaction: sraf
infection: hfok
pitcher: krot
shrug: cyok
pioneer: gzin
omission: nlif
cabbage: glic
athletic: tlet
drunkenness: mrut
ideophone: hdof
lever: lwek
senator: syem
iris: nrif
ant: mwam
bug: hbop
pregnant: grim
precipitate: hjet
ankle: tcok
classification: glik
variable: prim
wrap: ryap
curly: krec
sulphur: hsef
dictate: dwik
emerge: brun
frog: fram
exessive-case: twek
sponge: hjen
annoying: djon
squirrel: slip
grind: zyin
irrealis-mood: flim
volcano: glam
indoors: gron
exploit: kloc
geological: jlik
passport: psop
immoral: mlet
biscuit: hbuk
cooperation: kros
tablet: tlot
relaxation: kces
atom: trom
aids: hzip
pyramid: psim
cycle: swok
nap: hnup
unlawful: hjaf
paw: pfap
shyness: crom
eclipse: klip
lute: lwap
broom: srum
panel: mwen
astronomy: tcom
maze: blen
scholarship: bwit
turtle: kfuc
adviser: dwak
fibre: fwic
cricket: jrik
pigeon: ksom
adaptation: dyon
triangle: tfon
treasurer: tsen
hydrogen: jron
fragile: hfuk
printer: pyet
choke: tcof
chronic: gzon
cope: slaf
dilemma: dlim
engineering: jyin
camera: hkef
apologize: pluc
lick: lwet
dancer: dret
migration: mres
tennis: tces
spine: clip
fry: zrac
loom: tfuc
stab: twuc
password: psaf
hemisphere: praf
strategy: zrit
quartz: krus
scissors: jris
patrol: proc
glacier: lwic
halfway: dwam
memorandum: mwap
cone: kwuc
symmetry: hzut
manufacturer: zrak
defendant: fwik
mosque: djis
chess: cres
toll: htof
cherry: tref
widespread: kfen
stumble: tfok
truck: ryok
mustard: mros
percent: pfet
auction: jlam
sieve: srif
unsteady: swoc
magnet: gjat
suck: syus
islam: slum
tiptoe: twip
membrane: mlen
shave: clet
guitar: gjit
shiny: bzan
elm: hyem
soar: kcom
pronoun-marker: ryec
staple: pcus
spice: zlat
bail: jlas
carrier: zyac
vibration: bron
tease: trus
plow: hlom
physiological: zlik
gutter: hgok
comet: cyet
medieval: dyic
sparrow: grec
compensate: twet
plastic: psuk
footnote: cyot
orbit: rwot
frugal: twum
golf: hgof
zero: zrun
chip: tcep
oppress: prok
yawn: gjac
inequality: gwas
mole: tloc
pottery: frik
housewife: hgif
rye: rwem
disobey: hyes
tolerant: glon
embryo: brec
miner: jren
applaud: zlac
yeast: lyim
premium: pfim
plum: plem
bankruptcy: byas
irrigation: rwif
mint: nyun
capitalist: glis
elasticity: hlef
shark: gyak
recruit: drut
storage: zren
realism: cles
ginger: djic
ambulance: blus
comparable: kwip
wallet: bjap
grimace: glim
scientist: gyis
gut: grot
equanimity: hwum
radio: href
irrelevant: zlit
bean: bwam
informal: frim
granddaughter: gyut
disagreement: dloc
steak: tfek
nitrogen: zron
razor: hjut
contrasting: krom
propaganda: pcoc
fireworks: fris
pop: pcop
undress: crop
furrow: cruc
harmful: hzaf
judaism: hjum
complement: pluk
lens: lyes
pegative-case: pwek
cancer: kfes
pawn: pyek
lecturer: zyat
