инфинитив: hnit
женски: hfin
dovoljno: kyat
ускоро: hpuc
пун: hcun
соба: hfac
скоро: hlap
не-могу: nyat
вода: hwik
десидеративе-расположење: hdin
светло: lyak
ни: hnun
реч: slat
врата: tyan
употреба: hpus
јутро: hsap
терминативе-случај: twik
снага: hkuk
себе: hmis
присутан: hyin
глас: hwas
бео: hpis
новац: tlan
следећи: kyak
слаб: hyis
смрт: hmut
образац: hfam
инессиве-случај: nwik
врста: tyac
често: tsan
година: nwan
пријатељ: myat
ред: hyut
императив-расположење: hpim
круг: hcut
веровати: hban
јавни: hpin
држава-контекст: hsas
син: psat
сто: hmas
деца: hcis
тако: tyak
nadati-se: hcap
изнад: hyip
драг: pyin
читати: pyac
град: hsic
већ: hpic
чињеница: hfat
фацтиве-доказни: hfit
чути: hsun
најмање: hmim
можда: pyat
отворено: kcat
тело: tcic
ваздух: cwac
природа: nyit
pomoć: mlat
писмо: lyat
четири: ksat
оптативан-расположење: hpam
ватра: hfak
дакле: hyif
сат: hcam
бесплатно: tyit
рат: syat
да-ли: hsaf
разлог: kyan
јединствен: hnut
позив: hkuc
zašto: hwam
изгубљен: hkut
hiljada: tsas
породица: hfic
душа: twam
питање: swac
нега: kcan
РЕАЛиС-расположење: hlin
значити: mwit
потенцијал-расположење: hten
за: cyan
аллативе-случај: lwik
антропичка-пол: hrin
кратак: kyut
u-mogucnosti: hyuk
живети: hkip
предмет: hsek
исти-тема-маркер: hcek
различит-тема: hfek
одговор: tsat
море: mwat
страх: hcoc
разумети: pcat
тврд: kyin
uslovi: tyut
сумња: hdac
дубитативе-расположење: twin
питати: psan
оружје: tcas
crn: clis
довести: tyat
lep: ksis
мрак: tcak
држати: psak
десет: htaf
шоу: pyan
прича: hkif
заједнички: kwan
књига: hkup
електронски: lyin
разговор: plak
ознака: myac
интерес: nyis
писати: kcit
кревет: pwat
неопходан: syis
идеја: hwis
уметност: klat
виалис-случај: hlas
брат: pyak
ponekad: ksas
линија: lyan
табела: tlas
река: nwit
око: kyac
информације: fyin
изненада: tfan
чудан: hgan
дубоко: ksan
промена: hrit
осећај: nwac
susret: mlit
сврха: htuc
срећан: hcuc
изгледати: syit
крв: cyac
ружа: kwas
југ: swan
хладан: tlat
напред: myik
положај: psis
касно: tyam
стајати: syan
претпоставити: nlas
ћерка: pyit
мина: myan
рез: hkim
копија: hfap
супруг: hgat
шест: hlis
запамтити: twat
ефект: hyaf
pasti: htuk
осим: hsip
коса: hpaf
проћи: pyas
Autorsko-pravo: pcit
војска: cyit
trcati: kcak
коњ: kcas
будућност: hwic
западно: pcak
платити: plit
црвен: hyun
злато: tcun
жеља: hdan
игра: plin
мајстор: mwas
канцеларија: hfus
влада: syak
црква: kyas
дужина: hlen
privredno-društvo: ksin
папир: kyis
вероватноћа: hbin
посебно: cyas
сносити: pcas
прозор: cyak
споразум: hgac
лепота: syac
дужност: tfac
послати: fyan
растојање: htif
тишина: slan
нога: fyat
дивљи: kyik
умрети: myam
спасити: pfan
zelen: kcin
проблем: mlan
осмех: myak
погрешно: clat
разноврстан: pcin
сан: slit
куотативе-случај: kwik
почетак: cwan
акција: kfan
посета: fwat
следити: nlan
покушати: tcis
присуство: psit
сладак: tlit
богат: tcin
непријатељ: tcam
брод: hcip
услов: kyit
uključujući: hkum
укључујући-лице: hlon
тајна: kwit
прецативе-расположење: pwim
учтив-регистровати: hbit
зло: pwac
марш: myas
šta-god: kwac
остати: hlam
уместо-тога: plat
плава: plan
немогућ: psap
школа: hsuk
прилика: ksac
u-braku: nwat
храна: hcuk
двадесет: tsis
миран: tcit
lako: hnis
Потенцијални-аспект: hrap
језик: lyac
израз: syas
недеља: hsus
сала: hcum
опасност: kcic
imovina: myit
рођен: nyan
суд: kcut
обично: tyap
гномски-аспект: hmip
вредност: tyas
једноставан: syap
дрво: pyic
борба: pyap
зид: twit
небо: cwak
који-започиње-аспект: htip
заповедни-расположење: hjin
тон: twun
обзир: klan
очекиван: pcik
месец: hmaf
искуство: nyap
потпуно: nyac
свеж: tsac
војвода: hnuk
покривен: kwak
граница: hyim
источно: tyuk
камен: pwan
нешто: kfat
правац: tlac
столица: kwis
подршка: syut
датум: tyic
село: klac
поље: clit
дозвола: nwin
попустљив-расположење: hmom
успех: slak
правилно: hric
брдо: clin
музика: ksik
дистални-демонстративан: hdat
поподневни: htup
плач: hyuc
част: hnaf
седам: swit
приватан: pfat
вести: nwas
сцена: slac
башта: cyam
rasa: htus
дистрибутиван-случај: twak
учити: clan
политички: syik
лаж: kcun
бацити: tsak
јести: kcam
pod: hlaf
болестан: pwin
оригиналан: mlin
лето: kyam
религија: tlam
слика: ksit
бекство: plap
аутор: hlut
браон: pyun
одлучан: htem
бол: hdon
пролеће: psin
век: syic
мек: mwan
угао: kyun
произвести: psas
смех: cyaf
заборавити: flat
Европа: hyup
осам: lwat
хаљина: lwac
страшан: cyap
дах: syaf
мудар: hbas
посесиван-маркер: srak
меморија: myin
модеран: fwan
место: tcap
расти: hyus
пауза: pyik
педесет: hfis
острво: tlap
додирнути: hsuc
обећање: pcam
цоммиссиве-расположење: mwin
степен: tfat
план: plac
понашање: nyak
изненађење: cran
минут: hmun
хитац: hwut
горе: pcap
стакло: klak
пример: tlin
безбедан: hsif
доктор: tsit
довршив-аспект: hmep
поновљен: tyun
војни: slin
топао: nyam
пиће: pfin
pitanja: pcaf
љутња: nran
директно: tyik
шешир: hcup
пас: kwap
слуга: hnuc
понос: hram
гомила: tcuc
воз: nyin
моралан: myut
повезан: kyim
унети: fyak
правило: nyas
мач: cwat
напад: kfak
здравља: clac
став: pyaf
друштвени: hsum
враћање-новца: tfit
извините: hpec
храброст: krac
милост: hnen
званичник: hfaf
обезбеђен: tsik
захтев: pwit
поглед: klas
покрет: hyon
очекивати: cwit
супротан: psam
дванаест: tyaf
ангажован: nyut
вино: hwun
укус: swut
гвожђе: fyac
делити: syin
трговина: myap
предност: twac
одећа: kfip
судија: fwak
разлика: tfaf
забринут: kcis
капетан: kwin
готов: nlat
престанак-аспект: hsep
радознао: kyic
страних: kwic
појачивач: hnif
значај: myun
коначно: hfim
рачун: fwin
доказати: hpuk
спречити: flan
врат: cyun
правни: hfik
суво: swak
служити: syam
изгубити: pcut
доказ: pyut
доказни-случај: hdak
напредак: pyis
зграда: klit
претраживање: syuc
тужан: hrac
грех: psip
тридесет: tfis
поштен: tsin
затворити: kyap
банка: pcun
судбина: cyik
шума: hfun
мерити: mlac
иначе: htoc
поток: lyam
хлеб: hpup
додатни: tfak
изабрати: twas
животиња: nwam
Зоиц-пол: hzin
евентиве-расположење: hwim
исти-догађај-маркер: hcom
мултипликативни-случај: tlak
дебео: hmus
створење: hyum
киша: myic
површина: pfas
свети: swis
Јули: clim
извештај: hfut
обала: pwas
фајл: hfif
раме: cwut
iznenađen: kran
краљевски: klik
песма: hkuf
удобност: kfaf
bilo-ko: nyic
трава: kcap
нацртати: cwik
отварање: cyic
јун: cwun
риба: mlic
капитал: klin
груди: cyut
снег: hcif
образовање: tlik
оштар: tcaf
штета: hdam
трошак: fyas
твој: hmuc
милион: mlun
уморан: tcik
убити: ksam
сенка: cwap
тежина: plas
маса: mlas
утврђен: tlip
храбар: pyam
танак: plic
задовољан: srat
проверавати: kcik
врлина: hdet
државни: nyaf
божански: swin
долина: clak
Претпостављам: kwam
спекулативан-расположење: hken
жут: clas
остаци: mwac
савијен: nlac
кутија: pwak
сезона: tsim
Nauka: slas
бушотина: kcuc
стриц: hmuk
листа: lyit
август: ksut
популаран: hlup
непознат: fyit
упознат: flak
упознат-регистровати: krit
читач: tsut
приступ: pcuc
dva-puta: tsap
интелектуалац: tfik
заиста: tsam
свештеник: pcis
рањен: fran
туга: hpom
палата: kfas
победити: clap
зар-не?: hnec
будала: myuk
ивица: pfac
девет: nwun
прасак: psut
патити: tfas
бука: hcus
литература: lyic
савет: swas
празан: kcuk
ранг: psik
олуја: tcut
џеп: kyip
машта: nlin
реченица: cwas
новембар: nwap
децембар: tsip
одсуство: psic
захвалити: ryak
адреса: tyis
птица: pyuc
власник: mlik
капут: kwut
pripremiti: tyip
везе: lwan
дим: htum
јануар: nwak
машина: clic
садржина: nyik
зуби: tlis
срамота: hcet
залив: kcaf
мозак: pyuk
прстен: klic
фраза-маркер: frak
квадратни: ksap
воће: fyut
чај: tsic
објаснити: slam
Dobrodošao: cwam
поезија: pwis
купити: klam
веран: hdic
узбуђење: hcen
четрдесет: klis
април: pyip
љубазно: kfit
октобар: kfap
горак: kyuc
роб: tlaf
лабав: hluk
текст: tsus
кредит: cyip
петнаест: pfit
окрутан: kcim
придружити: cluc
процес: hpif
злочин: kyaf
прашина: tsuc
практичан: plik
боја: nlak
уништити: nyuc
povećati: lyas
нос: hnus
признати: tyim
јуче: kfac
хестернал-напет: tlen
изневерити: slap
наставити: tcim
nositi: pwam
слеп: nlit
туце: tsun
летети: fyap
похвала: cwin
ђаво: cwaf
постепено: twic
жртвовање: kyif
вежба: cyis
савест: tfin
теорија: tlic
министар: myis
мрзети: hnet
језеро: cwic
центар: syun
несвестица: pfic
рационалан-пол: hron
пажљив: fwac
уживати: nlam
обожавање: pwap
роба: twap
кожа: twaf
кров: tlut
круна: gyan
замак: klap
трон: tcus
привржен: nlaf
миља: mlim
екстреман: krim
затвор: fyis
шоља: kcip
члан: mlam
грађански: syim
свуда: tsaf
очигледан: tfic
пар: pwaf
обим: clam
обичај: ksaf
лук: ksun
odelo: slut
месо: mwak
млеко: hluc
биљни-пол: hwen
визија: slic
редак: nlap
рођак: ksic
мост: pwut
заштитити: pfak
со: swam
невин: hwus
краљица: kwim
рачунати: kcus
радозналост: hras
плес: tyus
хотел: clut
попунити: flin
затвореник: psun
продавница: hjan
степенице: sric
moliti: hmen
песак: sran
насилан: hgit
септембар: hsem
одлазак: prac
рушевина: crin
вештина: krin
стока: hwec
опрема: hwip
кухиња: hkon
продати: hbak
брзина: hsot
закључак: clon
рачунар: hkot
вечан: hsen
ограничен: mrit
библиотека: hbek
база: hbac
забуна: hrun
славан: cris
исто-тако: hjic
уплашен: hbic
несрећан: prin
чланак: hrek
кувар: kfin
група: hbat
пустиња: hget
пољубац: hbun
лопта: hbot
штап: hpot
расправа: hrut
посматрати: nrak
благослов-расположење: hbim
упечатљив: hrim
крив: hdis
топ: hgin
полиција: plis
сакрити: hzan
експедиција: srin
неук: nrin
великодушан: drac
облак: blan
отпадни: htek
фебруар: frif
болест: hren
провести: bwan
извор: sron
иницијатива-случај: hnok
тетка: hbam
кашњење: dlic
одложен-императив: hlip
пријавио-доказни: prat
поноћ: dyit
херој: nrac
философија: hfof
прст: hjit
комфоран: hzat
негде: hmoc
преса: bran
особље: hraf
nagrada: rwan
кривица: dlac
беда: krat
чело: htec
оглас: glan
анђео: htet
једнина-број: hgam
зора: hbon
трговачки: krak
опростити: pran
овца: hcec
стрпљење: hpen
фарма: crac
референтна: hrec
кукуруз: mran
кључ: kcif
већина: hmot
слабост: hdut
атмосфера: traf
уздах: tcoc
хуманост: mlis
опозиција: pric
диск: hdik
усамљен: hket
уметник: nrat
витез: cwis
шарм: tran
одлука: drin
гувернер: gran
грана: rwac
распоред: hsoc
ентузијазам: tsum
индуктиван-расположење: hdum
заједница: hmum
уље: hyen
цев: hbap
штампа: trat
ох: dyoc
дискурс-контекст: hros
вокатив-случај: hwok
кабина: ksen
алармни: plam
нервозан: hnes
трајан: hset
нож: ksuk
свила: slik
презир: grin
пакао: nrik
одвојен: plen
озбиљно: mrat
помешан: mrik
дрвен: mrak
више-волети: hpet
упозорење: trin
укор-расположење: htom
импулс: hmos
амбиција: mrac
порећи: hnek
устав: swic
инструмент: srit
непрекидан-аспект: hnip
талас: hgas
колеџ: klen
реп: hkek
генерација: nric
мачка: blat
директан-доказни: hret
напуштен: trac
једанаест: hyec
инстинкт: nlik
карактеристика: trit
племе: hgik
престрашен-расположење: pcim
склониште: crat
непристојан: hruc
јахање: hris
трести: hmon
индустрија: hdot
професија: hres
лампа: hdap
кафа: kfif
слушати: htot
северни: nrit
медицинска-сестра: nris
осигурати: hjat
ланац: ryin
настава: cric
ципеле: hgut
двориште: mram
нејасан: hmec
другде: hlet
стан: pret
активност: twot
субота: cram
sunce: hduc
удовица: hwuc
елемент: hlem
одраз: hfen
организација: hgis
звезда: tram
случај: hgon
гост: hgip
Бар: brap
боца: hbet
благословити: blak
комешање: crak
унутрашњи: trik
поправити: krik
извести: prit
шупаљ: hcot
провинција: hpos
цивилизација: srac
обесити: hgak
шок: crok
изузетак: swap
напрезање: tren
стандардни: ryan
вожња: dran
ослободити: hruk
псовати: kses
благо: zran
семе: hbis
кула: tras
фаворит: fwit
недавно: hcem
скорашњи-прошлост-напет: hrot
будан: srik
намештај: mrin
конопац: hkos
авантура: hdas
Роиалти: ryit
гозба: dyat
описати: dras
шездесет: hses
скала: hkem
церемонија: srec
лов: clik
шапат: psus
у-великој-мери: ryat
хришћанство: ksim
advokat: hwif
детаљ: drit
принцеза: hrus
олтар: dlat
web: hwes
љубичаста: brin
окупити: hkoc
избор: hben
концепција: kren
пијан: crik
сипати: brac
дизање: hlif
гест: hjis
управљати: rwin
размена: tcen
одређен-чланак: hdek
цар: mras
даљински: hroc
ружан: clup
безопасан: cras
ролна: hrof
инч: nlic
новине: grat
брада: dric
pocepati: srim
комисија: kson
а: grak
прелаз: kcoc
независност: htes
мирис: hwon
осамнаест: hdec
историјски: tris
бруто: krut
корен: hrok
блато: hbik
невеста: dlan
вео: pras
театар: tret
поређење: kras
супарник: rwis
равнотежа: slen
тренер: kron
хумор: hnum
роман: rwas
освета: hbaf
љубоморан: ryut
точак: hlok
спаљен: glat
блиц: flac
створити: hkec
конфликт: hnot
клетва: hlos
проклињући-расположење: pram
беспомоћан: hces
позитиван: hzit
клуб: klup
поплава: nras
зрно: gwan
равнодушност: hdun
хоризонт: crim
претпостављен-расположење: hsom
стрм: htop
хармонија: mron
гром: hgot
детињство: htok
колено: hgun
софтвер: pwen
повреда: kram
признаница: ryis
омогућити: nlim
протаза: hpoc
клизање: slok
револуција: hrif
пољопривредник: hjim
moždani-udar: trak
платформа: hpof
гласник: hmes
привилегија: hpek
организован: hyot
ученик: clen
пећина: hgec
традиција: rwat
трагедија: tses
збогом: hjap
критика: ryik
памук: krap
болница: slot
закуп: kris
гасни: hges
неизбежан: pwic
смртан: hgim
лист: glit
публикација: plun
непријатељски: tsup
превод: dwan
сахрана: jran
брашно: mrun
преписка: ryon
романтичан: hrom
колиба: clun
предложити: psot
миметичан: hmet
долар: dlon
дневна-светлост: hjac
шеснаест: hsos
монтажа: hzac
колонија: klon
крило: gyin
лав: hles
култура: klut
колона: hkom
лукав: glak
драма: dram
šala: hjuc
измаглица: hdus
медицина: dwas
четрнаест: hkes
киселина: sram
to-jest: hyet
приход: hmok
епископ: hbip
поморанџа: tron
купатило: byan
примитиван: rwit
корпа: ksek
секретар: sris
слама: prak
нестрпљив: pfif
спас: slon
данашњи-напет: dlin
nameravam: zrin
пара: tcip
отров: hwoc
таленат: tlon
клима: lwim
ефикасан: fric
разликовати: tcif
прање: dwac
исповест: kfis
бесмислица: hjas
угаљ: kyon
кану: kwon
привремен: tric
делимитативе-аспект: hdip
кост: hcos
понедељак: nwic
уторак: glac
Среда: bwac
федерални: frin
пожељан: hzic
представник: ryic
постељина: lwin
лавабо: swuk
братанац: bwin
крвав: kric
опсада: cren
стомак: hpem
месинг: pcon
врх: hzik
пети: pfik
јефтин: brat
ексклузиван-лице: kwen
уграбити: zrat
ограда: hzas
статуа: tfam
артиљерија: tlep
пригрлити: mrap
који-окружује: sren
строго: srot
јелен: hluf
грм: hbuc
железница: hrep
пражњење: hduk
наследник: mris
храст: blun
непријатан: pren
изум: hgic
клавир: pyon
убедити: swen
невидљив: gric
познат: ryun
окрутност: kluk
искушење: hyoc
Телиц-аспект: hlep
економски: kfik
међународни: troc
ометати: tcek
философ: flif
елегантан: gyit
благостање: kyen
риболов: mlak
украсти: truc
усна: hloc
пензионисати: ryac
растезање: sras
галерија: glen
паралелно: zlan
ателиц-аспект: htep
континент: trap
заштитни-расположење: nrim
Тие: dwat
mobilni: slep
јаје: dyan
вештачки: jrat
у-међувремену: nwis
криза: ksot
учтив: sloc
ручак: lyon
Бор: pwon
гурање: hcef
савез: lyen
струк: hkop
чудо: hmek
морнар: slis
чистоћа: prut
република: hguk
телефон: tfen
бич: krip
кошуља: cyim
увести: ryas
Sofa: hsof
замах: hsup
лопов: ksif
задржати: nrec
канал: kcen
личност: klim
реформа: kfam
претећи: hzim
палма: plim
звучник: hzak
праг: dwic
изазвати: pris
копље: bzak
уредан: syec
седница: cwen
мучење: crot
влажан: tcum
гребен: grit
путник: hyek
млин: mwik
карта: jrac
крагна: klok
заменити: klif
намерно: drat
пиво: hbif
сомот: hwem
гравитација: gwit
проповед: hpum
злоупотреба: glas
стадо: hgen
тринаест: tres
оправдати: jyit
петак: crum
четка: broc
преузимање: dlas
крем: krem
литица: klaf
порота: jrin
чудовиште: ksos
смрзнут: hgoc
лонац: pfot
пени: psen
инсистирати: srut
јабука: hpep
дискутовати: drak
позадина: prun
преписати: trim
периодичан: prik
забава: nren
вирус: bris
детињаст: blit
одразити: flit
претворити: kcet
контура: kluc
опера: hpop
одобрење: nron
издати: rwak
казнити: hzen
лакат: kcon
privrženost: tcet
поправка: hrop
сумњив: cyec
седамдесет: swet
натпис: srip
јама: grac
поремећај: dlak
бинарни: byin
опатија: bjan
арров: tcec
склони: trec
разрадити: frat
лојалност: hlot
новчић: syip
дрхтати: tcem
изгнанство: gwin
механички: myim
замка: crap
торта: kyek
сер: cyes
оклевати: sret
седамнаесторо: syet
dušo: myon
улог: dzat
газити: hjam
цигла: brit
осамдесет: hpes
na-nesreću: pcen
консултовати: kcot
легенда: lwen
жетва: hfos
промоција: pfon
пећ: hsop
побуњеник: bric
старомодан: hnom
надути: cron
мочвара: swot
прелив: hdes
аскета: pces
менаџер: mren
припев: cros
рационалан: tson
обрада: pson
вук: blaf
тепих: hgap
антика: hjak
плодан: frut
звиждук: slif
сир: twis
угристи: byat
позвати: jwan
катедрала: kyet
лука: brak
лутати: djan
усеви: tsos
морнарица: nlen
маска: mrok
оловка: pses
поврће: sroc
експонат: hzet
панталоне: tlun
корупција: hrup
орман: nram
супа: srup
хирург: syon
џепарац: tcot
шпијун: gyas
немаран: hlec
трач: gyic
знак: hzon
апстрактан: srok
четвртак: cwim
саобраћај: ryaf
архитектура: ryek
пукотина: rwaf
украс: rwon
преокренути: lwas
забавити: mwun
опоравак: ksus
тротоар: plut
одлучујући: dyin
негативан: nraf
фестивал: hfec
смањити: hrum
издаја: zyan
ловац: djin
змија: syen
батерија: bret
восак: flam
детектив: dlit
анализа: nlis
истицање: hzot
пливање: twen
коверат: lwaf
ма-ко: hgek
цигарета: jrit
моторни: mrot
волонтер: hwot
реакција: ryif
пртљаг: blam
глув: hboc
сок: hjus
понизност: jlit
министарство: mret
полни: hjon
пречник: dyam
секира: blac
дијамант: dlam
наизменичан: hlek
одјек: hgus
уздржавање: swon
идентитет: hdaf
екран: krun
лењ: lwis
моментане-аспект: hmop
компактни: kfot
заношење: hdif
нестати: hgaf
зрак: ryen
мастило: mwic
масиван: mraf
подрум: dyac
памћење: nrun
блесак: klek
сенат: slet
Mrtvački-sanduk: tfap
опроштај: frac
прогутати: nlun
размазити: nlot
љуљашка: swun
ливада: gram
комплекс: klos
оставка: hzis
скроман-регистровати: nret
завера: swim
бибер: prip
пони: pron
кандидат: hzam
лисица: flik
димњак: tcon
надлежност: drik
пољопривреда: rwic
тачност: tcuk
бивши-покојни: brim
демократски: mrek
пупољак: hbos
ћебе: bwat
довикнути: hgep
свиња: srus
у-облику: krek
слонова-кост: craf
класичан: ksok
посматрач: nwet
слон: lwit
нокти: nwus
пчела: hmif
сахранити: dzan
глумац: bzat
зној: zwan
пољски: ploc
илузија: hlus
несигурност: pcet
секундарни: syif
преклопити: tsot
сеоски: grun
стењање: nyen
личити: slec
цитат: hzun
врећа: cyek
мука: fren
игла: hjun
контролисано: nroc
пилетина: truk
доследан: kwot
барел: bras
уобичајен-аспект: hcep
експерт: ksec
импресионирати: blin
маслина: zlin
комби: myen
препрека: bwak
климање-главом: kcec
подстичу: plaf
дефиниција: fyic
рођендан: gjin
чекић: hcof
мирисан: hfon
понављање: trun
тривијалан: twut
шут: hjik
kopati: kwaf
љубимац: plot
Lobanja: hcop
законодавство: dlik
пета: cruk
мрштење: crun
патент: plet
милијарде: blim
хемијски: fyik
пилот: pyot
имитирати: mlot
сукња: kwet
необично: srap
недељно: jwik
технички: tfip
вегетација: tset
врана: kraf
izlazak-Sunca: sruc
животни-век: glin
допринети: hyom
кука: hdok
тигар: blic
пробити: crut
рукав: slun
аутопут: jras
милиција: mlip
јарак: kroc
интегритет: kret
деветнаест: dzin
органски: rwik
теологија: flic
пловак: flut
вештица: byac
досадно: hwuk
дипломатски: dyik
студио: twos
прекорачити: kcok
шампањац: cyen
инспирисати: crif
барјак: hbes
развод: lwon
завртањ: hbut
вена: jyan
пасиван: psif
пена: hgum
шљунак: grik
кецеља: tyen
планета: gren
полица: claf
вентилатор: flon
тропски: hjip
фаза: fwas
произвољан: rwen
изговорити: kfun
жива: krok
Црееп: hrem
самоубиство: tcos
новинар: prot
лишити: hpok
вешт: klun
балкон: blik
виљушка: fras
запосленик: mlek
послодавац: myot
ширина: jrak
изиритиран: djit
оптужити: klot
пензија: pyen
глагол: kres
мајмун: mwon
прихватљив: hwek
потпис: tlim
pravoslavan: rwos
иронија: fron
jaslice: nrap
опирање: jlan
увоз: tyot
бакља: croc
граматика: gjak
депозит: gyat
колонијалан: plon
јахта: jyat
значајан: kwec
купола: kwun
дебљина: hfot
тврдоглав: cyon
мишић: hmup
величина: ryam
р: ryos
кукавички: rwam
појас: gwac
тост: tros
миш: myus
слог: slim
Пат: prap
дијалог: dlaf
неутралан: nrot
марљивост: dwin
контрадикција: trot
постићи: kfic
коза: byak
цветати: hfet
наметнути: mlon
анониман: nwim
формалан-регистровати: frit
теле: hbof
упутство: mwut
Мелт: hjec
избрисати: flas
кишобран: gras
чизма: bzut
минерал: mrim
примирје: crus
патка: hbok
планирање: pfam
сапун: hsuf
лутка: gwak
скелет: klet
вила: blis
шивење: jlin
помирити: dyak
котао: kset
зрео: mruc
зец: kruc
диригент: nwot
зависност: djat
играч: jlic
инсект: pset
ресторан: cret
сова: lwun
радикал: djik
резидент: zwin
змај: dron
слушни-доказни: drot
жедан: kyos
развлачити: dren
рачуница: glun
регулација: ryim
градоначелник: mlap
мањина: mric
аквизиција: dwon
ветеран: bren
оркестар: ryes
сланина: bjin
nedostatak: zwat
тканина: frap
музичар: gzik
ментално: hnep
везник: nyon
неадекватан: nrip
архитекта: tsek
лимун: nyim
кашаљ: kcos
главобоља: crek
станар: ryet
плодност: srun
лечити: hfoc
деведесет: nwon
случајан: hbec
кашика: kcek
балон: blon
креда: hfip
инференцијалне-доказни: nlet
издавач: pcot
сирће: sruk
пепео: fyec
псовка: slek
оживети: nrut
осетљив: kfim
тунел: tfun
слагалица: hpef
механизам: mwim
математика: gzit
избледети: frun
јетра: jwin
сублативе-случај: bwik
потапање: dris
јединица: twim
монопол: hnop
коцкање: hgup
подморница: bzin
земљотрес: hbem
лабораторија: brot
плута: kruk
сам-контрола: syot
Буда: hbus
книт: bjat
амбасада: blas
најдаље: sres
који-тумачи-расположење: drim
подстицај: tyuc
чоколада: clot
случајност: tyon
рукавица: gwat
клечати: hjek
географија: hjif
инвестиција: nwes
усмен: mrec
аналогија: nlip
секуларни: srek
Јастреб: blap
психологија: nloc
причврстити: gjan
туча: krep
улога: cyum
доза: hdos
лосос: slom
пудинг: pwun
магнетни: gyik
пумпа: pcom
кисеоник: ksip
потврда: tfot
медаља: hmem
реторика: trok
огреботина: rwap
весло: dyas
телескоп: trip
огрлица: clek
правопис: prif
виски: hwos
врба: hwof
камила: hlum
аматер: myet
излаз: crec
биографија: brif
магарац: gzac
месечно: mwis
игнорисати: nruk
одмор: byit
клик: lyik
овал: twon
еластичан: lyet
рјечник: kfon
шунка: gzam
дуга: rwun
потрошити: kcum
ражањ: tcup
резервоар: trek
колега: clok
лептир: trif
графикон: graf
близанац: jwat
независно: trem
бамбус: hbum
трговац: jlat
акумулација: kles
инспектор: nyet
залогај: hyos
ноћна-мора: hbom
џем: gjam
музеј: mrem
азбука: lwam
растурање: zras
рација: crip
открити: clus
трулеж: fraf
агресиван: gris
трење: mroc
пристаниште: gyac
паук: brik
кромпир: trut
ревизија: cwon
похлепа: jlac
превремени: ryot
умножити: gzan
Спин: pcip
статистика: tsok
календар: klem
номинација: nwen
трилион: tlos
поткровље: tlok
потврдан-расположење: rwim
апликације: pfen
номинални: nlon
незадовољство: sraf
инфекција: hfok
бацач: krot
слегање-раменима: cyok
пионир: gzin
пропуст: nlif
купус: glic
атлетски: tlet
пијанство: mrut
идиофони-инструменти: hdof
полуга: lwek
сенатор: syem
ирис: nrif
