ﺭﺪﺼﻤﻟﺍ-ﺔﻐﻴﺻ: hnit
ﺔﻋﻮﻤﺠﻣ: swat
ﻢﺳﺍ: hnem
ﻖﺋﻻ﻿-ﻢﺳﺇ: hran
hortative: hrat
ﺪﻠﺑ: hlit
ﺖﺒﻠﻃ: hput
ﻲﺋﺮﻣ-ﺮﻫﺎﻇ: crit
ﻞﻀﻓﺃ: pcac
ﺐﻧﺎﺟ: psac
ﺱﺭﺩ: hkus
ﻰﺜﻧﺃ: hfin
ﻲﻔﻜﻳ: kyat
ﺍﺬﻜﻫ: hpuc
ﻞﻣﺎﻛ: hcun
ﺔﻓﺮﻏ: hfac
ﺎﺒﻳﺮﻗ: hlap
ﻦﻜﻤﻳ-ﻻ﻿: nyat
ءﺎﻣ: hwik
desiderative-ﺝﺍﺰﻣ: hdin
ﺭﻮﻧ: lyak
ﻻ﻿ﻭ: hnun
ﺔﻤﻠﻛ: slat
ﺏﺎﺑ: tyan
ﻡﺍﺪﺨﺘﺳﺍ: hpus
ﺡﺎﺒﺻ: hsap
terminative-ﺔﻟﺎﺣ: twik
ﺔﻄﻠﺳ: hkuk
ﻢﻬﺴﻔﻧﺃ: hmis
ﻲﻟﺎﺤﻟﺍ: hyin
ﺕﻮﺻ: hwas
ﺾﻴﺑﺃ: hpis
ﻝﺎﻣ: tlan
ﻰﻟﺎﺘﻟﺍ: kyak
ﺮﻴﻘﻓ: hyis
ﺕﻮﻤﻟﺍ: hmut
ﻞﻜﺷ: hfam
inessive-ﺔﻟﺎﺣ: nwik
ﺐﻠﻘﻟﺍ-ﺐﻴﻃ: tyac
ﺎﺒﻟﺎﻏ: tsan
ﺔﻨﺳ: nwan
ﻖﻳﺪﺻ: myat
ﻡﺎﻈﻨﻟﺍ: hyut
ﺐﺟﺍﻭ-ﺝﺍﺰﻣ: hpim
ﺔﻟﻮﺠﻟﺍ: hcut
ﻦﻣﺅﺃ: hban
ﺔﻣﺎﻋ: hpin
ﺔﻟﺎﺣ-ﻡﻼ﻿ﻜﻟﺍ-ﻕﺎﻴﺳ: hsas
ﻦﺑﺍ: psat
ﺔﺋﺎﻣ: hmas
ﻝﺎﻔﻃﻷ﻿ﺍ: hcis
ﺍﺬﻜﻫﻭ: tyak
ﻞﻣﺃ: hcap
ﻕﻮﻓ: hyip
ﺰﻳﺰﻌﻟﺍ: pyin
ﺃﺮﻗﺍ: pyac
ﺔﻨﻳﺪﻤﻟﺍ: hsic
ﻞﻌﻔﻟﺎﺑ-،ﺎﻘﺑﺎﺳ: hpic
ﺔﻘﻴﻘﺣ: hfat
factive-ﺮﻫﺎﻇ: hfit
ﻊﻤﺳ: hsun
ﻞﻗﻷ﻿ﺍ: hmim
ﺎﻤﺑﺭ: pyat
ﺢﺘﻓ: kcat
ﻢﺴﺠﻟﺍ: tcic
ءﺍﻮﻫ: cwac
ﺔﻌﻴﺒﻃ: nyit
ﺓﺪﻋﺎﺴﻣ: mlat
ﺔﻟﺎﺳﺭ: lyat
ﺔﻌﺑﺭﺃ: ksat
ﻲﻨﻤﺘﻟﺍ-ﻰﻠﻋ-ﻝﺍﺩ ﺝﺍﺰﻣ: hpam
ﻖﻳﺮﺣ: hfak
ﺍﺬﻟ: hyif
ﺔﻋﺎﺳ: hcam
ﺮﺣ: tyit
ﺏﺮﺣ: syat
ءﺍﻮﺳ: hsaf
ﺐﺒﺳ: kyan
ﺪﺤﺘﻣ: hnut
ﺔﻤﻟﺎﻜﻣ: hkuc
ﺍ-ﺍﺫﺎﻤﻟ: hwam
ﻊﺋﺎﺿ: hkut
ﻒﻟﺃ: tsas
ﺔﻠﺋﺎﻋ: hfic
ﺡﻭﺭ: twam
ﻝﺍﺆﺳ: swac
ﺔﻳﺎﻋﺭ: kcan
REALIS-ﺝﺍﺰﻣ: hlin
ﻲﻨﻌﺗ: mwit
ﻞﻤﺘﺤﻣ-ﺝﺍﺰﻣ: hten
ﻩﺎﺠﺗ: cyan
allative-ﺔﻟﺎﺣ: lwik
ﻲﺴﻧﺇ-ﺚﻴﻧﺄﺗ-ﻭﺃ ﺮﻴﻛﺬﺗ ﺲﻨﺟ: hrin
ﺮﻴﺼﻗ: kyut
ﺭﺩﺎﻗ: hyuk
ﻲﺣ: hkip
ﻉﻮﺿﻮﻤﻟﺍ: hsek
ﻪﺴﻔﻧ-ﻉﻮﺿﻮﻣ-ﺔﻣﻼ﻿ﻋ: hcek
ﻒﻠﺘﺨﻣ-ﻉﻮﺿﻮﻣ: hfek
ﺔﺑﺎﺟﺇ: tsat
ﺮﺤﺑ: mwat
ﻑﻮﺧ: hcoc
ﻢﻬﻔﺗ: pcat
ﻕﺎﺷ: kyin
ﻁﻭﺮﺷ: tyut
ﻚﺷ: hdac
dubitative-ﺝﺍﺰﻣ: twin
ﺐﻠﻄﺗ: psan
ﺔﺤﻠﺳﺃ: tcas
ﺩﻮﺳﺃ: clis
ﺮﻀﺣﺍ: tyat
ﻞﻴﻤﺟ: ksis
ﻦﻛﺍﺩ: tcak
ﺪﻘﻋ: psak
ﺓﺮﺸﻋ: htaf
ﻦﻴﺒﺗ: pyan
ﺔﺼﻗ: hkif
ﻙﺮﺘﺸﻣ: kwan
ﺏﺎﺘﻛ: hkup
ﻲﻧﻭﺮﺘﻜﻟﺇ: lyin
ﻢﻠﻜﺘﺗ: plak
ﺔﻣﻼ﻿ﻋ: myac
ﻡﺎﻤﺘﻫﺍ: nyis
ﺐﺘﻛﺍ: kcit
ﺮﻳﺮﺳ: pwat
ﻱﺭﻭﺮﺿ: syis
ﺓﺮﻜﻓ: hwis
ﻦﻓ: klat
vialis-ﺔﻟﺎﺣ: hlas
ﺥﺃ: pyak
ﺎﻧﺎﻴﺣﺃ: ksas
ﻂﺧ: lyan
ﻝﻭﺪﺟ: tlas
ﺮﻬﻧ: nwit
ﻦﻴﻋ: kyac
ﺕﺎﻣﻮﻠﻌﻣ: fyin
ﺓﺄﺠﻓ: tfan
ﺐﻳﺮﻏ: hgan
ﻖﻴﻤﻋ: ksan
ﺮﻴﻴﻐﺗ: hrit
ﺭﻮﻌﺷ: nwac
ﻊﻤﺘﺠﻳ: mlit
ﺽﺮﻏ: htuc
ﺪﻴﻌﺳ: hcuc
ﺍﺪﺑ: syit
ﻡﺩ: cyac
ﻊﻔﺗﺭﺍ: kwas
ﺏﻮﻨﺟ: swan
ﺩﺮﺑ: tlat
ﻡﺎﻣﻷ﻿ﺍ-ﻰﻟﺇ: myik
ﻊﺿﻮﻣ: psis
ﺮﺧﺄﺘﻣ: tyam
ﻒﻗﻮﻣ: syan
ﺽﺮﺘﻓﺍ: nlas
ﺔﻨﺑﺍ: pyit
ﻲﺑ-ﺹﺎﺨﻟﺍ: myan
ﻊﻄﻗ: hkim
ﺦﺴﻧ: hfap
ﺝﻭﺰﻟﺍ: hgat
ﺔﺘﺳ: hlis
ﺮﻛﺬﺗ: twat
ﺮﻴﺛﺄﺗ: hyaf
ﻊﻘﺗ: htuk
ﺍﺪﻋ-ﺎﻣ: hsip
ﺮﻌﺷ: hpaf
ﺯﺎﻴﺘﺟﺍ: pyas
ﺮﺸﻨﻟﺍ-ﻖﺣ: pcit
ﺶﻴﺟ: cyit
ﺾﻛﺭﺍ: kcak
ﻥﺎﺼﺣ: kcas
ﻞﺒﻘﺘﺴﻣ: hwic
ﺏﺮﻏ: pcak
ﻊﻓﺩ: plit
ﺮﻤﺣﺃ: hyun
ﺐﻫﺫ: tcun
ﺔﺒﻏﺭ: hdan
ﺐﻌﻟ: plin
ﻲﺴﻴﺋﺭ: mwas
ﺐﺘﻜﻣ: hfus
ﺔﻣﻮﻜﺣ: syak
ﺔﺴﻴﻨﻛ: kyas
ﻝﻮﻄﻟﺍ: hlen
ﺔﻛﺮﺷ: ksin
ﺔﻗﺭﻭ: kyis
ﻝﺎﻤﺘﺣﺍ: hbin
ﺔﺻﺎﺧ: cyas
ﻞﻤﺤﺘﻳ: pcas
ﺓﺬﻓﺎﻧ: cyak
ﺔﻴﻗﺎﻔﺗﻻ﻿ﺍ: hgac
ﻝﺎﻤﺟ: syac
ﺐﺟﺍﻭ: tfac
ﻝﺎﺳﺭﺇ: fyan
ﺕﺎﻓﺎﺴﻤﻟﺍ: htif
ﺖﻤﺼﻟﺍ: slan
ﻡﺪﻗ: fyat
ﻱﺮﺑ: kyik
ﺕﻮﻤﻳ: myam
ﻆﻔﺣ: pfan
ﺮﻀﺧﺃ: kcin
ﺔﻠﻜﺸﻣ: mlan
ﺔﻣﺎﺴﺘﺑﺍ: myak
ﺊﻃﺎﺧ: clat
ﻒﻠﺘﺨﻣ: pcin
ﻡﻮﻧ: slit
quotative-ﺔﻟﺎﺣ: kwik
ﺔﻳﺍﺪﺒﻟﺍ: cwan
ءﺍﺮﺟﺇ: kfan
ﺓﺭﺎﻳﺯ: fwat
ﻊﺒﺗﺇ: nlan
ﻝﻭﺎﺣ: tcis
ﺭﻮﻀﺣ: psit
ﻮﻠﺣ: tlit
ﻲﻨﻏ: tcin
ﻭﺪﻌﻟﺍ: tcam
ﺔﻨﻴﻔﺳ: hcip
ﺔﻟﺎﺣ: kyit
ﺎﻬﻨﻤﺿ-ﻦﻣ: hkum
ﻞﻣﺎﺷ-ﺺﺨﺷ: hlon
ﺮﺳ: kwit
precative-ﺝﺍﺰﻣ: pwim
ﺏﺬﻬﻣ-ﻞﻴﺠﺴﺗ: hbit
ﺮﺷ: pwac
ﻡﺪﻘﺘﻳ-،ﺮﻴﺴﻳ-،ﺱﺭﺎﻣ: myas
ﻥﺎﻛ-ﺎﻳﺍ: kwac
ءﺎﻘﺒﻟﺍ: hlam
ﻦﻣ-ﻻ﻿ﺪﺑ: plat
ﻕﺭﺯﺃ: plan
ﻦﻜﻤﻣ-ﺮﻴﻏ: psap
ﺔﺳﺭﺪﻤﻟﺍ: hsuk
ﺔﺒﺳﺎﻨﻣ: ksac
ﺝﻭﺰﺘﻣ: nwat
ﻡﺎﻌﻃ: hcuk
ﻥﻭﺮﺸﻋ: tsis
ﺉﺩﺎﻫ: tcit
ﺔﻟﻮﻬﺴﺑ: hnis
ﻞﻤﺘﺤﻣ-ﺐﻧﺎﺟ: hrap
ﺔﻐﻟ: lyac
ﺮﻴﺒﻌﺘﻟﺍ: syas
ﻉﻮﺒﺳﺃ: hsus
ﺔﻋﺎﻗ: hcum
ﺮﻄﺧ: kcic
ﺔﻴﻜﻠﻤﻟﺍ: myit
ﺪﻴﻟﺍﻮﻣ-ﻦﻣ: nyan
ﺔﻤﻜﺤﻣ: kcut
ﻡﻮﻤﻌﻟﺍ-ﻰﻠﻋ: tyap
ﺭﻮﺛﺄﻣ-ﺐﻧﺎﺟ: hmip
ﺔﻤﻴﻗ: tyas
ﻂﻴﺴﺑ: syap
ﺓﺮﺠﺷ: pyic
ﺏﺭﺎﺣ: pyap
ﺭﺍﺪﺠﻟﺍ: twit
ﺔﻨﺠﻟﺍ: cwak
inchoative-ﺐﻧﺎﺟ: htip
jussive-ﺝﺍﺰﻣ: hjin
ﺔﻤﻐﻧ: twun
ﺭﺎﺒﺘﻋﺍ: klan
ﻊﻗﻮﺘﻣ: pcik
ﺮﻬﺷ: hmaf
ﺓﺮﺒﺧ: nyap
ﺎﻣﺎﻤﺗ: nyac
ﺝﺯﺎﻃ: tsac
ﻕﻭﺩ: hnuk
ﻰﻄﻐﻣ: kwak
ﺪﻴﻘﻣ: hyim
ﻕﺮﺸﻟﺍ: tyuk
ﺮﺠﺣ: pwan
ﺾﻌﺑ: kfat
ﻩﺎﺠﺗﺍ: tlac
ﻲﺳﺮﻛ: kwis
ﻢﻋﺪﻟﺍ: syut
ﺦﻳﺭﺎﺘﻟﺍ: tyic
ﺔﻳﺮﻗ: klac
ﻝﺎﺠﻣ-،ﻞﻘﺣ: clit
ﻥﺫﺇ: nwin
ﻞﻫﺎﺴﺘﻣ-ﺝﺍﺰﻣ: hmom
ﺡﺎﺠﻧ: slak
ﻖﺋﻻ﻿: hric
ﻞﺗ: clin
ﻰﻘﻴﺳﻮﻣ: ksik
ﻲﺻﺎﻘﻟﺍ-ﻲﻧﺎﻫﺮﺑ: hdat
ﻝﺍﻭﺰﻟﺍ-ﺪﻌﺑ: htup
ءﺎﻜﺑ: hyuc
ﻑﺮﺷ: hnaf
ﺔﻌﺒﺳ: swit
ﺹﺎﺧ: pfat
ﺭﺎﺒﺧﺃ: nwas
ﺪﻬﺸﻣ: slac
ﺔﻘﻳﺪﺣ: cyam
ﻕﺎﺒﺳ: htus
ﻲﻌﻳﺯﻮﺗ-ﺔﻟﺎﺣ: twak
ﻢﻠﻌﺗ: clan
ﻲﺳﺎﻴﺳ: syik
ﺔﺑﺬﻛ: kcun
ﺏﻮﺒﺼﻤﻟﺍ: tsak
ﻞﻛﺃ: kcam
ﺔﻴﺿﺭﺃ: hlaf
ءﻮﺳ: pwin
ﻲﻠﺻﺃ: mlin
ﻒﻴﺼﻟﺍ: kyam
ﻦﻳﺩ: tlam
ﺓﺭﻮﺻ: ksit
ﺏﺮﻫ: plap
ﻒﻟﺆﻣ: hlut
ﻰﻨﺑ: pyun
ﻢﻤﺼﻣ: htem
ﻢﻟﺃ: hdon
ﻊﻴﺑﺭ: psin
ﻥﺮﻗ: syic
ﻢﻋﺎﻧ: mwan
ﻦﻛﺭ: kyun
ﺝﺎﺘﻧﺇ: psas
ﻚﺤﺿ: cyaf
ﻰﺴﻨﻧ: flat
ﺎﺑﻭﺭﻭﺃ: hyup
ﺔﻴﻧﺎﻤﺛ: lwat
ﻥﺎﺘﺴﻓ: lwac
ﺐﻴﻫﺭ: cyap
ﺲﻔﻨﺗ: syaf
ﻢﻴﻜﺣ: hbas
ﻲﻜﻠﻤﺗ-ﺔﻣﻼ﻿ﻋ: srak
ﺓﺮﻛﺍﺫ: myin
ﺚﻳﺪﺣ: fwan
ﺔﻌﻘﺑ: tcap
ﻊﻔﺗﺮﺗ: hyus
ﺔﺣﺍﺮﺘﺳﺍ: pyik
ﻥﻮﺴﻤﺧ: hfis
ﺓﺮﻳﺰﺟ: tlap
ﺲﻤﻟ: hsuc
ﺪﻋﻭ: pcam
commissive-ﺝﺍﺰﻣ: mwin
ﺔﻴﻤﻠﻌﻟﺍ-ﺔﺟﺭﺪﻟﺍ: tfat
ﺔﻄﺧ: plac
ﻙﻮﻠﺳ: nyak
ﺓﺄﺟﺎﻔﻣ: cran
ﺔﻘﻴﻗﺩ: hmun
ﺭﺎﻨﻟﺍ-ﻕﻼ﻿ﻃﺍ: hwut
ﺃﻮﺳﺃ: pcap
ﺝﺎﺟﺯ: klak
ﻞﺜﻣ: tlin
ﻦﻣﺁ: hsif
ﺭﻮﺘﻛﺩ: tsit
ﻝﺎﻤﻛﻷ﻿ﺍ-ﺐﻧﺎﺟ: hmep
ﺭﺮﻜﺘﻣ: tyun
ﺮﻜﺴﻋ: slin
ﺊﻓﺍﺩ: nyam
ﺏﺮﺷ: pfin
ﺔﻠﺌﺳﺃ: pcaf
ﺐﻀﻏ: nran
ﺓﺮﺷﺎﺒﻣ: tyik
ﺔﻌﺒﻗ: hcup
ﺐﻠﻜﻟﺍ: kwap
ﻡﺩﺎﺧ: hnuc
ءﺎﻳﺮﺒﻛ: hram
ﺪﺸﺣ: tcuc
ﺭﺎﻄﻗ: nyin
ﻲﻗﻼ﻿ﺧﺃ: myut
ﺔﻄﺒﺗﺮﻤﻟﺍ: kyim
ﻞﺧﺩﺃ: fyak
ﻢﻜﺣ: nyas
ﻒﻴﺳ: cwat
ﻡﻮﺠﻫ: kfak
ﺔﺤﺼﻟﺍ: clac
ﺓﺮﻘﻓ: pyaf
ﻲﻋﺎﻤﺘﺟﺍ: hsum
ﺩﺭ: tfit
ﻒﺳﺁ: hpec
ﺔﻋﺎﺠﺷ: krac
ﺔﻤﻌﻧ: hnen
ﻲﻤﺳﺭ: hfaf
ﺔﻣﺪﻘﻤﻟﺍ: tsik
ﺐﻠﻃ: pwit
ﺔﺤﻤﻟ: klas
ﺔﻛﺮﺣ: hyon
ﻊﻗﻮﺗ: cwit
ﻞﺑﺎﻘﻣ: psam
ﺮﺸﻋ-ﻲﻨﺛﺍ: tyaf
ﺏﻮﻄﺨﻣ: nyut
ﺬﻴﺒﻧ: hwun
ﻢﻌﻃ: swut
ﺪﻳﺪﺣ: fyac
ﺮﺸﻧ: syin
ﺓﺭﺎﺠﺗ: myap
ﺓﺰﻴﻣ: twac
ﺏﺎﻴﺛ-،ﺲﺑﻼ﻿ﻣ: kfip
ﻲﺿﺎﻘﻟﺍ: fwak
ﻕﺮﻓ: tfaf
ﻖﻠﻗ: kcis
ﻥﺎﻄﺒﻗ: kwin
ﻦﻣ-ءﺎﻬﺘﻧﻻ﻿ﺍ-ﻢﺗ: nlat
ﻒﻗﻭ-ﺐﻧﺎﺟ: hsep
ﻲﻟﻮﻀﻓ: kyic
ﻲﺒﻨﺟﺃ: kwic
ﻒﻴﺜﻜﺗ: hnif
ﺔﻴﻤﻫﺃ: myun
ﺍﺮﻴﺧﺃ: hfim
ﺓﺭﻮﺗﺎﻓ: fwin
ﺖﺒﺛ: hpuk
ﻥﻭﺩ-ﻝﻮﺤﻳ: flan
ﻖﻨﻌﻟﺍ: cyun
ﻲﻧﻮﻧﺎﻗ: hfik
ﻑﺎﺟ: swak
ﺔﻣﺪﺧ: syam
ﺮﺴﺨﺗ: pcut
ﻞﻴﻟﺩ: pyut
ﺮﻫﺎﻇ-ﺔﻟﺎﺣ: hdak
ﻡﺪﻘﺗ: pyis
ءﺎﻨﺑ: klit
ﻦﻋ-ﺚﺤﺒﻟﺍ: syuc
ﻦﻳﺰﺣ: hrac
ﺔﺌﻴﻄﺧ: psip
ﻥﻮﺛﻼ﻿ﺛ: tfis
ﻕﺩﺎﺻ: tsin
ﻕﻼ﻿ﻏﺇ: kyap
ﻚﻨﺑ: pcun
ﺮﻴﺼﻣ: cyik
ﺔﺑﺎﻏ: hfun
ﺲﻴﻘﻳ---ﺱﺎﻴﻗ: mlac
ﻚﻟﺫ-ﻑﻼ﻿ﺧ: htoc
ﻯﺮﺠﻣ: lyam
ﺰﺒﺧ: hpup
ﻲﻓﺎﺿﺇ: tfak
ﺮﺘﺧﺃ: twas
ﻥﺍﻮﻴﺣ: nwam
zoic-ﺚﻴﻧﺄﺗ-ﻭﺃ ﺮﻴﻛﺬﺗ ﺲﻨﺟ: hzin
eventive-ﺝﺍﺰﻣ: hwim
ﻪﺴﻔﻧ-ﺙﺪﺣ-ﺔﻣﻼ﻿ﻋ: hcom
ﻒﻋﺎﻀﻤﻟﺍ-ﺔﻟﺎﺣ: tlak
ﻚﻴﻤﺳ: hmus
ﻕﻮﻠﺨﻣ: hyum
ﺮﻄﻣ: myic
ﺢﻄﺳ: pfas
ﺱﺪﻘﻣ: swis
ﻮﻴﻟﻮﻳ: clim
ﺮﻳﺮﻘﺗ: hfut
ﻞﺣﺎﺳ: pwas
ﻒﻠﻣ: hfif
ﻒﺘﻛ: cwut
ﺶﻫﺪﻨﻣ: kran
ﻲﻜﻠﻣ: klik
ﺔﻴﻨﻏﺃ: hkuf
ﺔﺣﺍﺭ: kfaf
ﺪﺣﺍﻭ-ﻱﺃ: nyic
ﺐﺸﻋ: kcap
ﻝﺩﺎﻌﺗ: cwik
ﺡﺎﺘﺘﻓﺍ: cyic
ﻮﻴﻧﻮﻳ: cwun
ﻚﻤﺳ: mlic
ﻝﺎﻤﻟﺍ-ﺱﺃﺭ: klin
ﻱﺪﺛ: cyut
ﺞﻠﺛ: hcif
ﻢﻴﻠﻌﺘﻟﺍ: tlik
ﺩﺎﺣ: tcaf
ﺔﻘﻔﺷ: hdam
ﻑﻭﺮﺼﻣ: fyas
