Infinitive: hnit
ხარჯზე: fyas
შენია: hmuc
მილიონი: mlun
დაიღალა: tcik
კლავს: ksam
ჩრდილი: cwap
წონა: plas
მასობრივი: mlas
შეიქმნა: tlip
მამაცი: pyam
წვრილი: plic
კმაყოფილი: srat
შეამოწმეთ: kcik
ძალით: hdet
ეროვნული: nyaf
ღვთაებრივი: swin
ხეობაში: clak
ვხვდები,: kwam
სპეკულაცია-განწყობა: hken
ყვითელი: clas
ნაშთები: mwac
bent: nlac
ყუთი: pwak
სეზონი: tsim
მეცნიერება: slas
ჭაბურღილის: kcuc
ბიძა: hmuk
სია: lyit
აგვისტო: ksut
პოპულარული: hlup
უცნობი: fyit
ნაცნობი: flak
ნაცნობი-რეგისტრაცია: krit
მკითხველს: tsut
მიდგომა: pcuc
ორჯერ: tsap
ინტელექტუალური: tfik
ნამდვილად: tsam
მღვდელი: pcis
დაიჭრა: fran
მწუხარება: hpom
სასახლე: kfas
სცემეს: clap
eh?: hnec
სულელი: myuk
ზღვარზე: pfac
ცხრა: nwun
პაკეტური: psut
განიცდიან: tfas
ხმაური: hcus
ლიტერატურა: lyic
რჩევა: swas
ცარიელი: kcuk
წოდება: psik
ქარიშხალი: tcut
ჯიბეში: kyip
ფანტაზია: nlin
სასჯელი: cwas
ნოემბერი: nwap
დეკემბერი: tsip
არარსებობის: psic
მადლობა: ryak
მისამართი: tyis
ფრინველის: pyuc
მფლობელი: mlik
ქურთუკი: kwut
მომზადება: tyip
ურთიერთობა: lwan
მოწევა: htum
იანვარი: nwak
მანქანა: clic
შინაარსი: nyik
კბილი: tlis
სირცხვილი: hcet
bay: kcaf
ტვინის: pyuk
ბეჭედი: klic
ფრაზა-marker: frak
კვ: ksap
ხილი: fyut
ჩაი: tsic
აგიხსნით: slam
მისასალმებელი: cwam
პოეზია: pwis
ყიდვა: klam
ერთგული: hdic
შფოთვა: hcen
ორმოცი: klis
აპრილი: pyip
kindly: kfit
ოქტომბერი: kfap
მწარე: kyuc
მონა: tlaf
ფხვიერი: hluk
ტექსტი: tsus
საკრედიტო: cyip
თხუთმეტი: pfit
სასტიკი: kcim
შეუერთდება: cluc
პროცესი: hpif
დანაშაული: kyaf
მტვერი: tsuc
პრაქტიკული: plik
ფერი: nlak
განადგურება: nyuc
მომატება: lyas
ცხვირი: hnus
ვაღიაროთ: tyim
გუშინ: kfac
hesternal-დაძაბული: tlen
ვერ: slap
გაგრძელდება: tcim
აცვიათ: pwam
ბრმა: nlit
ათეული: tsun
ფრენა: fyap
დიდება: cwin
devil: cwaf
თანდათან: twic
მსხვერპლს: kyif
სწავლება: cyis
სინდისის: tfin
თეორია: tlic
მინისტრი: myis
სიძულვილი: hnet
ტბა: cwic
ცენტრი: syun
faint: pfic
რაციონალური-გენდერული: hron
ფრთხილად: fwac
სარგებლობენ: nlam
თაყვანისცემა: pwap
საქონელი: twap
კანი: twaf
სახურავი: tlut
გვირგვინი: gyan
ციხე: klap
ტახტზე: tcus
მიმაგრებული: nlaf
mile: mlim
ექსტრემალური: krim
ციხეში: fyis
თასი: kcip
წევრი: mlam
სამოქალაქო: syim
ყველგან: tsaf
აშკარაა,: tfic
რამდენიმე: pwaf
მოცულობა: clam
საბაჟო: ksaf
bow: ksun
სარჩელი: slut
ხორცი: mwak
რძე: hluc
მცენარეული-გენდერული: hwen
ხედვა: slic
იშვიათი: nlap
დეიდაშვილი: ksic
ხიდი: pwut
დაცვა: pfak
მარილი: swam
innocent: hwus
დედოფალი: kwim
იმედი: kcus
ცნობისმოყვარეობა: hras
ცეკვა: tyus
სასტუმრო: clut
შეავსოთ: flin
პატიმარი: psun
მაღაზია: hjan
კიბეები: sric
beg: hmen
ქვიშის: sran
ძალადობრივი: hgit
სექტემბერი: hsem
გამგზავრების: prac
ჩაშლის: crin
უნარი: krin
მსხვილფეხა-რქოსანი-პირუტყვი: hwec
ტექნიკა: hwip
სამზარეულო: hkon
გაყიდვა: hbak
სიჩქარე: hsot
დასკვნა: clon
კომპიუტერული: hkot
მარადიული: hsen
შეზღუდული: mrit
ბიბლიოთეკა: hbek
ბაზა: hbac
დაბნეულობა: hrun
დიდებული: cris
ანალოგიურად: hjic
შეშინებული: hbic
უბედური: prin
სტატია: hrek
მზარეული: kfin
band: hbat
უდაბნო: hget
კოცნა: hbun
ბურთი: hbot
ჯოხი: hpot
არგუმენტი: hrut
დაიცვან: nrak
კურთხევად-განწყობა: hbim
ნათელი: hrim
დამნაშავე: hdis
gun: hgin
პოლიციის: plis
დამალვა: hzan
ექსპედიცია: srin
ignorant: nrin
გულუხვი: drac
cloud: blan
ნარჩენების: htek
თებერვალი: frif
დაავადება: hren
დახარჯვა: bwan
წყარო: sron
ინიციატივა-შემთხვევაში: hnok
დეიდა: hbam
დაგვიანებით: dlic
გადაიდო-აუცილებელია: hlip
ცნობით-მტკიცებულების: prat
შუაღამისას: dyit
გმირი: nrac
ფილოსოფია: hfof
finger: hjit
კომფორტული: hzat
სადღაც: hmoc
პრეს-: bran
თანამშრომლები: hraf
ჯილდო: rwan
ბრალი: dlac
სიღარიბეს: krat
შუბლის: htec
რეკლამა: glan
angel: htet
სინგულარული-ნომერი: hgam
გამთენიისას: hbon
კომერციული: krak
აპატიებს: pran
ცხვარი: hcec
მოთმინება: hpen
ფერმა: crac
რეფერენტული: hrec
სიმინდის: mran
გასაღები: kcif
უმრავლესობა: hmot
სისუსტე: hdut
ატმოსფერო: traf
შვებით: tcoc
კაცობრიობის: mlis
ოპოზიციის: pric
დისკზე: hdik
lonely: hket
მხატვარი: nrat
რაინდი: cwis
ხიბლი: tran
გადაწყვეტილება: drin
გამგებელი: gran
ფილიალი: rwac
განწყობას: hsoc
ენთუზიაზმი: tsum
ინდუქციური-განწყობა: hdum
საზოგადოების: hmum
ნავთობის: hyen
მილის: hbap
ბეჭდვითი: trat
oh: dyoc
დისკურსი-კონტექსტში: hros
წოდებითი-შემთხვევაში: hwok
სალონში: ksen
სიგნალიზაცია: plam
ნერვული: hnes
მუდმივი: hset
დანა: ksuk
აბრეშუმის: slik
აბუჩად: grin
ჯოჯოხეთი: nrik
გამოყოფილი: plen
სერიოზულად: mrat
შერეული: mrik
ხის: mrak
ურჩევნია: hpet
გაფრთხილება: trin
მითითება-განწყობა: htom
იმპულსი: hmos
ამბიცია: mrac
უარყოფს: hnek
კონსტიტუცია: swic
ინსტრუმენტი: srit
უწყვეტი-ასპექტი: hnip
tide: hgas
კოლეჯი: klen
კუდი: hkek
თაობის: nric
კატა: blat
პირდაპირი-მტკიცებულების: hret
მიტოვებული: trac
თერთმეტი: hyec
ინსტიქტი: nlik
დამახასიათებელი: trit
ტომის: hgik
apprehensive-განწყობა: pcim
თავშესაფარი: crat
უხეში: hruc
riding: hris
shake: hmon
მრეწველობა: hdot
პროფესია: hres
ნათურა: hdap
ყავა: kfif
დაემორჩილოს: htot
ჩრდილოეთ: nrit
მედდა: nris
გარწმუნებთ: hjat
ჯაჭვი: ryin
სწავლების: cric
ფეხსაცმელი: hgut
ეზოში: mram
ბუნდოვანი: hmec
სხვაგან: hlet
ბინა: pret
საქმიანობის: twot
შაბათი: cram
sunshine: hduc
ქვრივი: hwuc
ელემენტი: hlem
ასახვა: hfen
ორგანიზაცია: hgis
ვარსკვლავი: tram
ინციდენტი: hgon
სტუმარი: hgip
ბარი: brap
ბოთლი: hbet
დალოცოს: blak
აჟიოტაჟი: crak
შიდა: trik
დაფიქსირება: krik
გამომდინარეობს: prit
ღრუ: hcot
პროვინცია: hpos
ცივილიზაციის: srac
hang: hgak
შოკი: crok
გამონაკლისი: swap
დაძაბულობა: tren
სტანდარტული: ryan
მართვის: dran
rid: hruk
ფიცს: kses
საგანძური: zran
თესლი: hbis
კოშკი: tras
საყვარელი: fwit
ცოტა-ხნის-წინ: hcem
ბოლო-ბოლო-დაძაბული: hrot
მეძინა: srik
ავეჯი: mrin
თოკზე: hkos
სათავგადასავლო: hdas
ჰონორარის: ryit
დღესასწაული: dyat
აღწერს: dras
სამოცი: hses
მასშტაბის: hkem
ცერემონია: srec
ნადირობა: clik
whisper: psus
დიდწილად: ryat
ქრისტიანობა: ksim
ადვოკატი: hwif
დეტალურად: drit
princess: hrus
საკურთხევლის: dlat
ვებ: hwes
purple: brin
შევიკრიბოთ: hkoc
საარჩევნო: hben
კონცეფცია: kren
მთვრალი: crik
დაასხით: brac
ლიფტით: hlif
ჟესტი: hjis
მართვა: rwin
გაცვლა: tcen
გარკვეული-სტატია: hdek
იმპერატორი: mras
დისტანციური: hroc
მახინჯი: clup
უვნებელია: cras
roll: hrof
inch: nlic
გაზეთი: grat
წვერი: dric
გაანადგურეს: srim
კომისიის: kson
მაშინ,-როდესაც: grak
გადაკვეთა: kcoc
დამოუკიდებლობის: htes
სუნი: hwon
თვრამეტი: hdec
ისტორიული: tris
მთლიანი: krut
root: hrok
ტალახში: hbik
პატარძალი: dlan
veil: pras
თეატრი: tret
შედარება: kras
კონკურენტი: rwis
ბალანსი: slen
მწვრთნელი: kron
იუმორი: hnum
რომანი: rwas
შურისძიების: hbaf
ეჭვიანი: ryut
საჭე: hlok
დაიწვა: glat
ფლეშ: flac
შექმნა: hkec
კონფლიქტის: hnot
წყევლა: hlos
imprecatory-განწყობა: pram
უმწეო: hces
დადებითი: hzit
შესვლა: klup
წყალდიდობის: nras
მარცვლეულის: gwan
გულგრილობა: hdun
ჰორიზონტზე: crim
სავარაუდო-განწყობა: hsom
ციცაბო: htop
ჰარმონია: mron
thunder: hgot
ბავშვობაში: htok
მუხლი: hgun
პროგრამული-უზრუნველყოფა: pwen
დაზიანება: kram
მიღების: ryis
მისცემს: nlim
protasis: hpoc
slip: slok
რევოლუცია: hrif
ფერმერი: hjim
ინსულტის: trak
პლატფორმა: hpof
მომხმარებლები: hmes
პრივილეგია: hpek
ორგანიზებული: hyot
სტუდენტი: clen
მღვიმე: hgec
ტრადიცია: rwat
ტრაგედია: tses
გამოსამშვიდობებელი: hjap
კრიტიკა: ryik
ბამბა: krap
საავადმყოფოში: slot
ქირავდება: kris
გაზის: hges
გარდაუვალია: pwic
სასიკვდილო: hgim
ფოთოლი: glit
გამოცემა: plun
მტრული: tsup
თარგმანი: dwan
დაკრძალვის: jran
ფქვილი: mrun
მიმოწერა: ryon
რომანტიული: hrom
ქოხი: clun
შესთავაზოს: psot
mimetic: hmet
დოლარი: dlon
დღისით: hjac
თექვსმეტი: hsos
ასამბლეის: hzac
კოლონია: klon
ფრთა: gyin
lion: hles
კულტურა: klut
სვეტი: hkom
cunning: glak
დრამა: dram
ხუმრობა: hjuc
mist: hdus
მედიცინის: dwas
თოთხმეტი: hkes
მჟავა: sram
კერძოდ,: hyet
შემოსავალი: hmok
ეპისკოპოსი: hbip
orange: tron
აბანო: byan
პრიმიტიული: rwit
კალათაში: ksek
მდივანი: sris
ჩალის: prak
მოუთმენელი: pfif
ხსნა: slon
hodiernal-დაძაბული: dlin
აპირებენ: zrin
steam: tcip
შხამი: hwoc
ნიჭი: tlon
კლიმატის: lwim
ეფექტური: fric
გარჩევა: tcif
სარეცხი: dwac
აღიარება: kfis
სისულელეა: hjas
ქვანახშირი: kyon
canoe: kwon
დროებითი: tric
delimitative-ასპექტი: hdip
ძვლის: hcos
monday: nwic
სამშაბათი: glac
ოთხშაბათი: bwac
ფედერალური: frin
სასურველია: hzic
წარმომადგენელი: ryic
თეთრეულის: lwin
რადიატორის: swuk
ძმისშვილი: bwin
სისხლიანი: kric
ალყის: cren
კუჭის: hpem
სპილენძის: pcon
სამიტზე: hzik
მეხუთე: pfik
იაფი: brat
ექსკლუზიური-პირი: kwen
წართმევას: zrat
ღობე: hzas
ძეგლი: tfam
საარტილერიო: tlep
იკისროს: mrap
მიმდებარე: sren
მკაცრად: srot
ირმის: hluf
ბუჩქი: hbuc
რკინიგზის: hrep
გამონადენი: hduk
მემკვიდრე: mris
მუხა: blun
უსიამოვნო: pren
გამოგონება: hgic
ფორტეპიანო: pyon
დაარწმუნოს: swen
უხილავი: gric
კარგად-ცნობილი: ryun
სისასტიკით: kluk
ცდუნება: hyoc
telic-ასპექტი: hlep
ეკონომიკური: kfik
საერთაშორისო: troc
ხელს-უშლის: tcek
ფილოსოფოსი: flif
ელეგანტური: gyit
კეთილდღეობა: kyen
თევზჭერის: mlak
იპარავენ: truc
ტუჩის: hloc
გადადგეს: ryac
მონაკვეთი: sras
გალერეა: glen
პარალელურად: zlan
atelic-ასპექტი: htep
კონტინენტზე: trap
prohibitive-განწყობა: nrim
ჰალსტუხი: dwat
მობილური: slep
კვერცხი: dyan
ხელოვნური: jrat
ამასობაში: nwis
კრიზისი: ksot
თავაზიანი: sloc
ლანჩი: lyon
ფიჭვის: pwon
ბიძგი: hcef
ალიანსი: lyen
წელის: hkop
სასწაული: hmek
მეზღვაური: slis
სიწმინდეს: prut
რესპუბლიკა: hguk
ტელეფონი: tfen
whip: krip
პერანგი: cyim
დანერგვა: ryas
sofa: hsof
პერსონალი-ბარათს-გაატარებს: hsup
ქურდი: ksif
შეინარჩუნებს: nrec
არხი: kcen
პიროვნება: klim
რეფორმა: kfam
საშიში: hzim
palm: plim
სპიკერი: hzak
ბარიერი: dwic
გამოიწვიოს: pris
სათადარიგო: bzak
neat: syec
სხდომაზე: cwen
წამების: crot
ნესტიან: tcum
ქედის: grit
მგზავრის: hyek
mill: mwik
რუკა: jrac
საყელო: klok
შეცვლის: klif
განზრახ: drat
ლუდი: hbif
velvet: hwem
სიმძიმის: gwit
ქადაგების: hpum
ბოროტად: glas
ფარა: hgen
ცამეტი: tres
ამართლებს: jyit
პარასკევი: crum
ფუნჯი: broc
ჩამოტვირთვა: dlas
კრემი: krem
cliff: klaf
ჟიურის: jrin
monster: ksos
გაყინული: hgoc
ბანკში: pfot
penny: psen
ამტკიცებენ,: srut
apple: hpep
განიხილავენ: drak
ფონზე: prun
ტრანსკრიფციას: trim
პერიოდული: prik
გასართობი: nren
ვირუსი: bris
ბავშვური: blit
ასახავს: flit
