mastar: ni
İlgeç-dava: pwoh
seçmeli-nicelik: vwih
epenthetic-morfem: p6
olumsuz-nicelik: gwah
bağlayıcı-parçacık: qyih
uzak-gelecek-gergin: tl6h
tekrarlama-bildiren-görünüş: f6
dağıtım-zamir: bzih
hitabe-anlaşma: ks6h
evrensel-nicelik: xlah
kayan-noktalı-sayı: fu
varoluşsal-nicelik: sweh
alternatif-nicelik: l6
geçmiş-pasif-ortaç: xyih
lokatif-yönlü-dava: kfoh
counterfactual-şartlı: fyoh
