infinito: ni
indifferenza: du
presunto-umore: syih
ferita: kroh
protasi: rwoh
ostile: cyuh
mimetico: mreh
cioè: gwih
hodiernal-teso: dloh
delimitative-aspetto: dweh
esclusivo-persona: kwuh
Telic-aspetto: tfeh
atelic-aspetto: tsoh
proibitivo-umore: jrih
tortura: nroh
lealtà: nloh
momentane-aspetto: myeh
perdono: jrah
umile-registro: myih
ex-deceduto: frih
citazione: wu
fastidio: zrah
abituale-aspetto: bu
consequenziale: kseh
diligenza: dyih
formale-registro: sreh
uditorio-probatorio: creh
congiunzione: ksoh
induttivo-probatorio: flih
espletivo: sleh
Sublative-caso: swoh
dichiarativa-umore: ksuh
verbale: kceh
affermativa-umore: fwah
insoddisfazione: dyah
idiophone: dyoh
eccessivo-caso: zwah
irrealis-umore: ze
timidezza: cyoh
adattamento: pyih
pronome-marcatore: ryeh
opprimere: zroh
equanimità: jyah
pegative-caso: pweh
prosecutive-caso: pwuh
preoccupazione: byah
participio: pfih
a-distanza-passato teso: dzah
storico-teso: sroh
isterismo: syeh
doppio-numero: dluh
sensoriale-probatorio-umore: xi
movimento-salita: ryoh
retrospettiva: txih
movimento-discesa: myoh
flesse: blih
superessive-caso: psuh
transitivo: t6
frustrazione: xrah
movimento-a-monte: truh
movimento-a-valle: txah
disgiunzione: xo
anticlimax: tloh
corrente-rilevanza-marcatore: xa
acronimo: qi
sigla: nl6h
gerundio: ge
preterito: preh
aoristo: broh
partitivo-caso: pxih
Epifania: pf6h
accrescitivo: xe
fobia: xyoh
determinante: txeh
predicativo: plih
prolative-caso: pxah
veridico: vyih
binary--valore: vrih
finito-verbo: vi
prova-numero: pc6h
professionista-condanna: r6
amicizia: va
gnomic-umore: kxih
centrico-caso: dreh
pre-hodiernal: x6
paziente-caso: qa
obliquo-caso: bwoh
in-mezzo-voce: tyoh
identificabile: xyah
goal-grilletto: groh
lative-caso: dvah
non-umano: n6
attenuante: nyuh
multal-numero: mloh
trans-numerale: ts6h
galassia-Genere: gjah
Ciao-ciao: jwah
abessive-caso: bvah
adessive-caso: dvih
a-caso: kxah
agentive-caso: dveh
agente-grilletto: greh
attore-ruolo: nruh
Comune-Genere: k6
accompagnatore: kloh
passivo-voce: pyoh
stella-Genere: qrah
citazione-modulo: xu
verbale-sostantivo: xlih
Clausola---coda: kluh
diretto-oggetto: rweh
ergative-caso: gvih
in-lingua: byih
locative-caso: kwoh
avverbiale-caso: vlah
finale-particella: nluh
evitative-caso: ve
possessivo-caso: kfih
nominalizzazione: mleh
posseduto-caso: djah
ausiliario-verbo: fyih
primario-oggetto: myuh
antessive-caso: nleh
animare-Genere: xrih
subessive-caso: bvih
veicolo-Genere: vlih
minerale-Genere: xwih
verbo---suffisso: kxeh
empatico-gioia: pfeh
cambiamento-di-evento: qrih
diverso-evento: txoh
universo-Genere: bjih
località-Genere: lyeh
ricerca-Genere: txuh
artistico-Genere: s6
crastinal-teso: sl6h
astratto-Genere: sruh
esocentrica-caso: zrih
transitivo-verbo: tfoh
passato-perfective: tr6h
indiretto-discorso: dyeh
secondo-linguaggio: sr6h
collettivo-sostantivo: kxoh
absolutive-caso: bvuh
paziente-grilletto: pruh
se-stesso-fiducia: swuh
riflessivo-voce: flah
impersonale-verbo: pseh
modale-caso: dleh
inanimato-Genere: djih
causativo: kruh
propositivo-umore: pxoh
elettrico-corrente: breh
associativo-caso: sloh
superlativo-caso: sluh
planetario-Genere: pxeh
reciproco-voce: syoh
nucleo-benefactive: kfeh
else-if: kyeh
successivo-clausola: lyoh
presto-futuro-teso: rwuh
applicativa-voce: pyuh
antipassive-voce: ps6h
continuativo-aspetto: tfuh
necessitative-umore: nr6h
singolo-azione-verbo: qyah
superlativo-grado: tluh
esistenziale-clausola: sy6h
presente-participio: vrah
luminoso-intensità: kyuh
singulative-numero: glih
passivo-participio: pfoh
eccessivo-durata: kxuh
quantità-di-sostanza: m6
postpositional-caso: pwoh
elettivo-quantificatore: vwih
epenthetic-morfema: p6
negatory-quantificatore: gwah
connettivo-particella: qyih
a-distanza-futuro teso: tl6h
frequentative-aspetto: f6
distributivo-pronome: bzih
allogamento-accordo: ks6h
universale-quantificatore: xlah
virgola-mobile-- numero: fu
esistenziale-quantificatore: sweh
alternativa-quantificatore: l6
passato-passivo-participio: xyih
locative-direzionale-caso: kfoh
controfattuale-condizionale: fyoh
