απαρέμφατο: hnit
Οκτώβριος: kfap
πικρός: kyuc
δούλος: tlaf
χύμα: hluk
κείμενο: tsus
πίστωση: cyip
δεκαπέντε: pfit
σκληρός: kcim
ενώνω: cluc
διαδικασία: hpif
έγκλημα: kyaf
σκόνη: tsuc
πρακτικός: plik
χρώμα: nlak
καταστρέφω: nyuc
αυξάνω: lyas
μύτη: hnus
ομολογώ: tyim
εχθές: kfac
hesternal-σε-υπερένταση: tlen
αποτυγχάνω: slap
συνεχίζω: tcim
φορούν: pwam
τυφλός: nlit
ντουζίνα: tsun
μύγα: fyap
έπαινος: cwin
διάβολος: cwaf
σταδιακά: twic
θυσία: kyif
άσκηση: cyis
συνείδηση: tfin
θεωρία: tlic
υπουργός: myis
μισώ: hnet
λίμνη: cwic
κέντρο: syun
λιποθυμία: pfic
λογικός-γένος: hron
προσεκτικός: fwac
απολαμβάνω: nlam
λατρεία: pwap
εμπορεύματα: twap
δέρμα: twaf
στέγη: tlut
στέμμα: gyan
κάστρο: klap
θρόνος: tcus
επισυνάπτεται: nlaf
μίλι: mlim
άκρο: krim
φυλακή: fyis
φλιτζάνι: kcip
μέλος: mlam
εμφύλιος: syim
παντού: tsaf
καταφανής: tfic
ζευγάρι: pwaf
τόμος: clam
έθιμο: ksaf
τόξο: ksun
κοστούμι: slut
κρέας: mwak
γάλα: hluc
φυτικός-γένος: hwen
όραμα: slic
σπάνιος: nlap
εξάδελφος: ksic
γέφυρα: pwut
προστατεύω: pfak
άλας: swam
αθώος: hwus
βασίλισσα: kwim
κόμης: kcus
περιέργεια: hras
χορός: tyus
ξενοδοχείο: clut
γέμισμα: flin
φυλακισμένος: psun
κατάστημα: hjan
σκάλες: sric
ικετεύω: hmen
άμμος: sran
βίαιος: hgit
Σεπτέμβριος: hsem
αναχώρηση: prac
καταστροφή: crin
επιδεξιότητα: krin
βοοειδή: hwec
εξοπλισμός: hwip
κουζίνα: hkon
πωλώ: hbak
ταχύτητα: hsot
σύναψη: clon
ηλεκτρονικός-υπολογιστής: hkot
αιώνιος: hsen
περιωρισμένος: mrit
βιβλιοθήκη: hbek
βάση: hbac
σύγχυση: hrun
ένδοξος: cris
επίσης: hjic
έντρομος: hbic
δυστυχής: prin
άρθρο: hrek
μάγειρας: kfin
ζώνη: hbat
έρημος: hget
φιλί: hbun
μπάλα: hbot
ραβδί: hpot
επιχείρημα: hrut
παρατηρώ: nrak
ευλογία-διάθεση: hbim
εκπληκτικός: hrim
ένοχος: hdis
όπλο: hgin
αστυνομία: plis
κρύβω: hzan
εκστρατεία: srin
αμαθής: nrin
γενναιόδωρος: drac
σύννεφο: blan
απόβλητα: htek
Φεβρουάριος: frif
ασθένεια: hren
ξοδεύω: bwan
πηγή: sron
πρωτοβουλία-περίπτωση: hnok
θεία: hbam
καθυστέρηση: dlic
καθυστέρηση-επιτακτικός: hlip
αναφερθεί-αποδεικτικός: prat
μεσάνυχτα: dyit
ήρωας: nrac
φιλοσοφία: hfof
δάχτυλο: hjit
άνετος: hzat
κάπου: hmoc
τύπος: bran
προσωπικό: hraf
ανταμοιβή: rwan
ευθύνη: dlac
μιζέρια: krat
μέτωπο: htec
διαφήμιση: glan
άγγελος: htet
ενικός-αριθμός: hgam
αυγή: hbon
εμπορικός: krak
συγχωρώ: pran
πρόβατα: hcec
υπομονή: hpen
αγρόκτημα: crac
αναφορικός: hrec
καλαμπόκι: mran
κλειδί: kcif
πλειοψηφία: hmot
αδυναμία: hdut
ατμόσφαιρα: traf
στεναγμός: tcoc
ανθρωπότητα: mlis
αντιπολίτευση: pric
δίσκος: hdik
μοναχικός: hket
καλλιτέχνης: nrat
ιππότης: cwis
γοητεία: tran
απόφαση: drin
κυβερνήτης: gran
υποκατάστημα: rwac
διάθεση: hsoc
ενθουσιασμός: tsum
επαγωγικός-διάθεση: hdum
κοινότητα: hmum
έλαιο: hyen
σωλήνας: hbap
αποτύπωμα: trat
oh: dyoc
ομιλία-συμφραζόμενα: hros
κλητική-πτώση-περίπτωση: hwok
καμπίνα: ksen
τρομάζω: plam
νευρικός: hnes
μόνιμος: hset
μαχαίρι: ksuk
μετάξι: slik
περιφρόνηση: grin
κόλαση: nrik
διαχωρίζεται: plen
σοβαρά: mrat
μικτός: mrik
ξύλινος: mrak
προτιμώ: hpet
προειδοποίηση: trin
νουθεσία-διάθεση: htom
ώθηση: hmos
φιλοδοξία: mrac
αρνούμαι: hnek
σύνταγμα: swic
όργανο: srit
συνεχής-άποψη: hnip
παλίρροια: hgas
κολλέγιο: klen
ουρά: hkek
γενιά: nric
Γάτα: blat
απευθείας-αποδεικτικός: hret
εγκαταλειμμένος: trac
έντεκα: hyec
ένστικτο: nlik
χαρακτηριστικός: trit
φυλή: hgik
φοβισμένος-διάθεση: pcim
καταφύγιο: crat
αγενής: hruc
ιππασία: hris
σέικ: hmon
βιομηχανία: hdot
επάγγελμα: hres
λυχνία: hdap
καφές: kfif
υπακούω: htot
βόρειος: nrit
νοσοκόμα: nris
διαβεβαιώνω: hjat
αλυσίδα: ryin
διδασκαλία: cric
παπούτσια: hgut
αυλή: mram
ασαφής: hmec
αλλού: hlet
διαμέρισμα: pret
δραστηριότητα: twot
Σάββατο: cram
λιακάδα: hduc
χήρα: hwuc
στοιχείο: hlem
αντανάκλαση: hfen
οργάνωση: hgis
αστέρι: tram
περιστατικό: hgon
επισκέπτης: hgip
μπαρ: brap
μπουκάλι: hbet
ευλογώ: blak
ταραχή: crak
εσωτερικός: trik
διορθώνω: krik
αντλώ: prit
κοίλος: hcot
επαρχία: hpos
πολιτισμός: srac
κρεμώ: hgak
σοκ: crok
εξαίρεση: swap
ένταση: tren
πρότυπο: ryan
οδήγηση: dran
απαλλάσσω: hruk
ορκίζομαι: kses
θησαυρός: zran
σπόρος: hbis
πύργος: tras
ευνοούμενος: fwit
πρόσφατα: hcem
πρόσφατος-το-παρελθόν σε υπερένταση: hrot
άγρυπνος: srik
έπιπλα: mrin
σκοινί: hkos
περιπέτεια: hdas
βασιλεία: ryit
γιορτή: dyat
περιγράφω: dras
εξήντα: hses
κλίμακα: hkem
τελετή: srec
κυνήγι: clik
ψίθυρος: psus
μεγάλα: ryat
χριστιανισμός: ksim
δικηγόρος: hwif
λεπτομέρεια: drit
πριγκίπισσα: hrus
βωμός: dlat
ιστός: hwes
μωβ: brin
μαζεύω: hkoc
εκλογή: hben
σύλληψη: kren
μεθυσμένος: crik
χύνω: brac
ανελκυστήρας: hlif
χειρονομία: hjis
διαχειρίζομαι: rwin
ανταλλαγή: tcen
σαφής-άρθρο: hdek
αυτοκράτορας: mras
μακρινός: hroc
άσχημος: clup
αβλαβής: cras
ρολό: hrof
ίντσα: nlic
εφημερίδα: grat
γενειάδα: dric
σχίσιμο: srim
επιτροπή: kson
ενώ: grak
διάβαση: kcoc
ανεξαρτησία: htes
μυρωδιά: hwon
δεκαοχτώ: hdec
ιστορικός: tris
ακαθάριστο: krut
ρίζα: hrok
λάσπη: hbik
νύμφη: dlan
πέπλο: pras
θέατρο: tret
σύγκριση: kras
αντίπαλος: rwis
ισορροπία: slen
πούλμαν: kron
χιούμορ: hnum
μυθιστόρημα: rwas
εκδίκηση: hbaf
ζηλιάρης: ryut
τροχός: hlok
κάηκε: glat
λάμψη: flac
δημιουργώ: hkec
σύγκρουση: hnot
κατάρα: hlos
imprecatory-διάθεση: pram
ανήμπορος: hces
θετικός: hzit
λέσχη: klup
πλημμύρα: nras
σιτηρά: gwan
αδιαφορία: hdun
ορίζοντας: crim
assumptive-διάθεση: hsom
απότομος: htop
αρμονία: mron
βροντή: hgot
παιδική-ηλικία: htok
γόνατο: hgun
λογισμικό: pwen
βλάβη: kram
παραλαβή: ryis
καθιστώ-ικανό: nlim
PROTASIS: hpoc
ολίσθημα: slok
επανάσταση: hrif
γεωργός: hjim
κτύπημα: trak
πλατφόρμα: hpof
αγγελιαφόρος: hmes
προνόμιο: hpek
οργανωμένος: hyot
φοιτητής: clen
σπήλαιο: hgec
παράδοση: rwat
τραγωδία: tses
αποχαιρετισμός: hjap
κριτική: ryik
βαμβάκι: krap
νοσοκομείο: slot
ενοίκιο: kris
αέριο: hges
αναπόφευκτος: pwic
θανάσιμα: hgim
φύλλο: glit
δημοσίευση: plun
εχθρικός: tsup
μετάφραση: dwan
κηδεία: jran
αλεύρι: mrun
αλληλογραφία: ryon
ρομαντικός: hrom
καλύβα: clun
προτείνω: psot
μιμητικός: hmet
δολάριο: dlon
φως-ημέρας: hjac
δεκαέξι: hsos
συνέλευση: hzac
αποικία: klon
πτέρυγα: gyin
λιοντάρι: hles
κουλτούρα: klut
στήλη: hkom
πονηριά: glak
δράμα: dram
αστείο: hjuc
ομίχλη: hdus
φάρμακο: dwas
δεκατέσσερα: hkes
οξύ: sram
δηλαδή: hyet
εισόδημα: hmok
επίσκοπος: hbip
πορτοκάλι: tron
λούτρο: byan
πρωτόγονος: rwit
καλάθι: ksek
γραμματέας: sris
άχυρο: prak
ανυπόμονος: pfif
σωτηρία: slon
hodiernal-σε-υπερένταση: dlin
σκοπεύω: zrin
ατμός: tcip
δηλητήριο: hwoc
ταλέντο: tlon
κλίμα: lwim
αποτελεσματικός: fric
διακρίνω: tcif
πλύση: dwac
ομολογία: kfis
ανοησίες: hjas
άνθρακας: kyon
κανό: kwon
προσωρινός: tric
delimitative-άποψη: hdip
οστό: hcos
Δευτέρα: nwic
Τρίτη: glac
Τετάρτη: bwac
ομοσπονδιακός: frin
επιθυμητός: hzic
εκπρόσωπος: ryic
λινό: lwin
νεροχύτης: swuk
ανιψιός: bwin
αιματηρός: kric
πολιορκία: cren
στομάχι: hpem
ορείχαλκος: pcon
κορυφή: hzik
πέμπτος: pfik
φτηνός: brat
αποκλειστικός-πρόσωπο: kwen
αρπάζω: zrat
φράκτης: hzas
άγαλμα: tfam
πυροβολικό: tlep
εναγκαλισμός: mrap
περιβάλλων: sren
αυστηρά: srot
ελάφι: hluf
θάμνος: hbuc
σιδηρόδρομος: hrep
εκπλήρωση: hduk
κληρονόμος: mris
δρυς: blun
δυσάρεστος: pren
εφεύρεση: hgic
πιάνο: pyon
πείθω: swen
αόρατος: gric
πασίγνωστος: ryun
σκληρότητα: kluk
πειρασμός: hyoc
telic-άποψη: hlep
οικονομικός: kfik
διεθνής: troc
επεμβαίνω: tcek
φιλόσοφος: flif
κομψός: gyit
ευημερία: kyen
αλιεία: mlak
κλέβω: truc
χείλος: hloc
αποσύρω: ryac
τέντωμα: sras
στοά: glen
παράλληλο: zlan
atelic-άποψη: htep
ήπειρος: trap
απαγορευτικός-διάθεση: nrim
γραβάτα: dwat
κύτταρο: slep
αυγό: dyan
τεχνητός: jrat
Εν-τω-μεταξύ,: nwis
κρίση: ksot
ευγενικός: sloc
μεσημεριανό: lyon
πεύκο: pwon
Σπρώξτε: hcef
ΣΥΜΜΑΧΙΑ: lyen
μέση: hkop
θαύμα: hmek
ναύτης: slis
καθαρότητα: prut
δημοκρατία: hguk
τηλέφωνο: tfen
μαστίγιο: krip
πουκάμισο: cyim
παρουσιάζω: ryas
καναπές: hsof
σκούπισμα: hsup
κλέφτης: ksif
διατηρώ: nrec
κανάλι: kcen
προσωπικότητα: klim
μεταρρύθμιση: kfam
απειλή: hzim
παλάμη: plim
ομιλητής: hzak
κατώφλι: dwic
προκαλέσει: pris
δόρυ: bzak
πετυχημένος: syec
συνεδρία: cwen
βασανιστήριο: crot
υγρασία: tcum
κορυφογραμμή: grit
ταξιδιώτης: hyek
μύλος: mwik
χάρτης: jrac
περιλαίμιο: klok
αντικαθιστώ: klif
επίτηδες: drat
μπύρα: hbif
βελούδο: hwem
βαρύτητα: gwit
κήρυγμα: hpum
κατάχρηση: glas
σμήνος: hgen
δεκατρείς: tres
δικαιολογώ: jyit
Παρασκευή: crum
βούρτσα: broc
κατεβάσετε: dlas
κρέμα: krem
γκρεμός: klaf
ένορκοι: jrin
Τέρας: ksos
παγωμένος: hgoc
δοχείο: pfot
σεντ: psen
επιμένω: srut
μήλο: hpep
συζητώ: drak
φόντο: prun
αντιγράφω: trim
περιοδικός: prik
ψυχαγωγία: nren
ιός: bris
παιδαριώδης: blit
κατοπτρίζω: flit
μετατρέπω: kcet
περίγραμμα: kluc
όπερα: hpop
έγκριση: nron
προδίδω: rwak
τιμωρώ: hzen
