infinitiivi: ni
ahdistunut: cwih
lakkaaminen-näkökohta: za
vahvistussana: tfih
todistusarvo-tapaus: ryah
surullinen: syah
muuten: tyah
Zoic-Kahvi-sukupuoli: zo
eventive-mieliala: nwoh
sama-tapahtuma-merkki: cwoh
multiplikatiivinen-tapaus: plah
yllättynyt: prah
sääli: lyah
massa-: mlih
vakuuttunut: srih
hyve: be
keinotteleva-mieliala: po
tuttu-ilmoittautua: krih
haavoittunut: frah
suru: proh
eh?: nyah
kiittää: kyah
häpeä: ru
lauseke-merkki: fyah
luotettava: cyih
jännitys: tyeh
hesternal-jännittynyt: tleh
vihata: tyih
järkevä-sukupuoli: tlih
äärimmäinen: kreh
kasviperäistä-sukupuoli: slih
uteliaisuus: kyih
pelästynyt: kcuh
artikla: myah
siunaus-mieliala: bwih
syyllinen: dlih
oppimaton: nrih
antelias: drah
aloite-tapaus: twoh
myöhässä-pakottava: ji
raportoitu-todistusarvo: psah
syyttää: dlah
kurjuus: kfah
yksikkö-määrä: gu
antaa-anteeksi: pfah
kärsivällisyys: je
viite: freh
yksinäinen: kyoh
viehätys: croh
innostusta: tsuh
induktiivinen-mieliala: tcuh
esitelmä-konteksti: ye
vocative-tapaus: bo
ylenkatse: grih
kehotus-mieliala: tyuh
kunnianhimo: bwah
jatkuva-näkökohta: nyeh
suoraan-todistusarvo: troh
levoton-mieliala: pcoh
järkyttää: cruh
viimeaikainen-ohi-jännittynyt: clih
selvä-artikla: klih
mustasukkainen: ryuh
imprecatory-mieliala: mrih
välinpitämättömyys: du
assumptive-mieliala: syih
vahinko: kroh
protasis: rwoh
vihamielinen: cyuh
miiminen: mreh
nimittäin: gwih
hodiernal-jännittynyt: dloh
delimitative-näkökohta: dweh
yksinomainen-henkilö: kwuh
telic-näkökohta: tfeh
atelic-näkökohta: tsoh
ehkäisevä-mieliala: jrih
kiduttaa: nroh
uskollisuus: nloh
momentane-näkökohta: myeh
anteeksianto: jrah
nöyrä-ilmoittautua: myih
entinen-kuollut: frih
lainata: wu
harmi: zrah
tavanomainen-näkökohta: bu
johtuva: kseh
ahkeruus: dyih
muodollinen-ilmoittautua: sreh
auditiivinen-todistusarvo: creh
luettuna: ksoh
inferential-todistusarvo: flih
voimasana: sleh
sublative-tapaus: swoh
declarative-mieliala: ksuh
sanallinen: kceh
myöntävä-mieliala: fwah
tyytymättömyys: dyah
idiofoni: dyoh
liiallinen-tapaus: zwah
irrealis-mieliala: ze
ujous: cyoh
sovittaminen: pyih
pronomini-merkki: ryeh
sortaa: zroh
mielentyyneys: jyah
pegative-tapaus: pweh
prosecutive-tapaus: pwuh
huoli: byah
partisiippi: pfih
kauko--ohi-jännittynyt: dzah
historiallinen-jännittynyt: sroh
hysteria: syeh
kaksois--määrä: dluh
aisti--todistusarvo-mieliala: xi
liike-ylämäkeä: ryoh
takautuva: txih
liike-alamäkeä: myoh
taivutettu: blih
superessive-tapaus: psuh
transitiivinen: t6
pettymys: xrah
liike-yläjuoksulle: truh
liike-alajuoksulla: txah
disjunktio: xo
antikliimaksi: tloh
nykyinen-merkityksellisyys-merkki: xa
akronyymi: qi
alkukirjainlyhenne: nl6h
gerundi: ge
preteriti: preh
aoristi: broh
partitiivi-tapaus: pxih
loppiainen: pf6h
puhetta-tukevaa: xe
fobia: xyoh
määritin: txeh
predikatiivinen: plih
prolative-tapaus: pxah
veridical: vyih
binary---arvo: vrih
rajallinen-verbi: vi
oikeudenkäynti-määrä: pc6h
ammattilainen-tuomita: r6
ystävyys: va
genomisen-mieliala: kxih
centric-tapaus: dreh
pre-hodiernal: x6
potilas-tapaus: qa
vino-tapaus: bwoh
keskimmäinen-ääni: tyoh
tunnistettavissa: xyah
tavoite-laukaista: groh
dännön-tapaus: dvah
ei-ihmisen: n6
vaimentavat: nyuh
multal-määrä: mloh
trans-numero: ts6h
galaxy-sukupuoli: gjah
bye-Bye: jwah
abessiivi-tapaus: bvah
adessiivi-tapaus: dvih
että-tapaus: kxah
agentive-tapaus: dveh
agentti-laukaista: greh
näyttelijä-rooli: nruh
yhteinen-sukupuoli: k6
accompanier: kloh
passiivinen-ääni: pyoh
tähti-sukupuoli: qrah
lainaus-muoto: xu
sanallinen-substantiivi: xlih
lauseke-hännän: kluh
suoraan-esine: rweh
ergative-tapaus: gvih
in--kielellä: byih
locative-tapaus: kwoh
adverbiaali-tapaus: vlah
lopullinen-hiukkanen: nluh
evitative-tapaus: ve
omistushaluinen-tapaus: kfih
nominalization: mleh
riivattu-tapaus: djah
apu--verbi: fyih
ensisijainen-esine: myuh
antessive-tapaus: nleh
elävöittää-sukupuoli: xrih
subessive-tapaus: bvih
ajoneuvo-sukupuoli: vlih
mineraali-sukupuoli: xwih
verbi---pääte: kxeh
empaattinen-ilo: pfeh
muuttaa-of-tapahtuma: qrih
eri-tapahtuma: txoh
maailmankaikkeus-sukupuoli: bjih
sijainti-sukupuoli: lyeh
tutkimus-sukupuoli: txuh
taiteellinen-sukupuoli: s6
crastinal-jännittynyt: sl6h
abstrakti-sukupuoli: sruh
exocentric-tapaus: zrih
transitiivinen-verbi: tfoh
ohi-perfektiivinen: tr6h
epäsuora-puhe: dyeh
toinen-kieli: sr6h
kollektiivinen-substantiivi: kxoh
absolutive-tapaus: bvuh
potilas-laukaista: pruh
itse-luottamus: swuh
refleksiivinen-ääni: flah
persoonaton-verbi: pseh
modaalinen-tapaus: dleh
eloton-sukupuoli: djih
syynä-oleva: kruh
propositive-mieliala: pxoh
sähköinen-nykyinen: breh
assosiatiivinen-tapaus: sloh
superlatiivi--tapaus: sluh
planeettojen-sukupuoli: pxeh
vastavuoroinen-ääni: syoh
ydin-benefactive: kfeh
muu---jos: kyeh
peräkkäinen-lauseke: lyoh
pian-tulevaisuus-jännittynyt: rwuh
applicative-ääni: pyuh
antipassive-ääni: ps6h
continuative-näkökohta: tfuh
necessitative-mieliala: nr6h
yksittäinen-toiminta-verbi: qyah
superlatiivi--aste: tluh
eksistentiaalinen-lauseke: sy6h
esittää-partisiippi: vrah
valoisa-intensiteetti: kyuh
singulative-määrä: glih
passiivinen-partisiippi: pfoh
liiallinen-kesto: kxuh
määrä-of-aine: m6
postpositional-tapaus: pwoh
valinnainen-kvantisointi: vwih
epenthetic-morfeemi: p6
negatory-kvantisointi: gwah
yhdistävä-hiukkanen: qyih
kauko--tulevaisuus-jännittynyt: tl6h
frequentative-näkökohta: f6
jakelu-pronomini: bzih
allocution-sopimus: ks6h
yleismaailmallinen-kvantisointi: xlah
kelluva---point- numero: fu
eksistentiaalinen-kvantisointi: sweh
vaihtoehto-kvantisointi: l6
ohi-passiivinen-partisiippi: xyih
locative-suunta--tapaus: kfoh
vaihtoehtoisen-ehdollinen: fyoh
