infinitif: ni
yg-meniru-niru: mreh
yaitu: gwih
hari-ini-tegang: dloh
delimitative-aspek: dweh
eksklusif-orang: kwuh
TELIC-aspek: tfeh
tak-telis-aspek: tsoh
terlalu-tinggi-suasana hati: jrih
penyiksaan: nroh
loyalitas: nloh
momentane-aspek: myeh
pengampunan: jrah
merendahkan-daftar: myih
bekas-mendiang: frih
kutipan: wu
gangguan: zrah
biasa-aspek: bu
konsekuensial: kseh
ketekunan: dyih
resmi-daftar: sreh
pendengaran-yg-berdasar atas kenyataan: creh
konjungsi: ksoh
inferensial-yg-berdasar atas kenyataan: flih
kata-lontaran: sleh
sublative-kasus: swoh
deklaratif-suasana-hati: ksuh
lisan: kceh
setuju-suasana-hati: fwah
ketidakpuasan: dyah
idiophone: dyoh
terlalu-banyak-kasus: zwah
irrealis-suasana-hati: ze
perasaan-malu: cyoh
adaptasi: pyih
kata-ganti-penanda: ryeh
menindas: zroh
ketenangan: jyah
pegative-kasus: pweh
prosecutive-kasus: pwuh
keasyikan: byah
partisip: pfih
terpencil-lalu-tegang: dzah
bersejarah-tegang: sroh
histeri: syeh
rangkap-jumlah: dluh
indrawi-yg-berdasar atas kenyataan suasana hati: xi
gerakan-menanjak: ryoh
retrospektif: txih
gerakan-lereng: myoh
infleksi: blih
superessive-kasus: psuh
transitif: t6
frustrasi: xrah
gerakan-hulu: truh
gerakan-hilir: txah
pemisahan: xo
antiklimaks: tloh
arus-hubungan-penanda: xa
akronim: qi
initialism: nl6h
gerund: ge
bentuk-kata-kerja masa lalu: preh
aorist: broh
yg-dipisahkan-kasus: pxih
pencerahan: pf6h
yg-bertambah: xe
fobi: xyoh
penentu: txeh
predikatif: plih
prolative-kasus: pxah
tulus: vyih
biner---nilai: vrih
terbatas-kata-kerja: vi
percobaan-jumlah: pc6h
pro-kalimat: r6
persahabatan: va
yg-bersifat-peribahasa suasana hati: kxih
centric-kasus: dreh
pra-hari-ini: x6
sabar-kasus: qa
miring-kasus: bwoh
tengah-suara: tyoh
diidentifikasi: xyah
tujuan-pelatuk: groh
mendapatkan-kursi-kasus: dvah
non-manusia: n6
attenuative: nyuh
multal-jumlah: mloh
trans-angka: ts6h
galaksi-jenis-kelamin: gjah
sampai-jumpa: jwah
abessive-kasus: bvah
adessive-kasus: dvih
untuk-kasus: kxah
agentif-kasus: dveh
agen-pelatuk: greh
aktor-peran: nruh
umum-jenis-kelamin: k6
accompanier: kloh
pasif-suara: pyoh
bintang-jenis-kelamin: qrah
kutipan-untuk-m: xu
lisan-kata-benda: xlih
klausul---ekor: kluh
langsung-obyek: rweh
ergatif-kasus: gvih
di---bahasa: byih
lokatif-kasus: kwoh
bersifat-kata-keterangan kasus: vlah
terakhir-partikel: nluh
evitative-kasus: ve
posesif-kasus: kfih
nominalisasi: mleh
kerasukan-kasus: djah
bantu-kata-kerja: fyih
utama-obyek: myuh
antessive-kasus: nleh
menghidupkan-jenis-kelamin: xrih
subessive-kasus: bvih
kendaraan-jenis-kelamin: vlih
mineral-jenis-kelamin: xwih
verba---akhiran: kxeh
empati-kegembiraan: pfeh
perubahan-dari-peristiwa: qrih
berbeda-peristiwa: txoh
alam-semesta-jenis kelamin: bjih
lokalitas-jenis-kelamin: lyeh
penelitian-jenis-kelamin: txuh
artistik-jenis-kelamin: s6
crastinal-tegang: sl6h
abstrak-jenis-kelamin: sruh
exocentric-kasus: zrih
transitif-kata-kerja: tfoh
lalu-perfektif: tr6h
tidak-langsung-pidato: dyeh
kedua-bahasa: sr6h
kolektif-kata-benda: kxoh
absolutif-kasus: bvuh
sabar-pelatuk: pruh
diri-kepercayaan: swuh
refleksif-suara: flah
adil-kata-kerja: pseh
modal-kasus: dleh
mati-jenis-kelamin: djih
kausatif: kruh
propositive-suasana-hati: pxoh
listrik-arus: breh
asosiatif-kasus: sloh
superlatif-kasus: sluh
planet-jenis-kelamin: pxeh
timbal-balik-suara: syoh
inti-benefaktif: kfeh
lain---jika: kyeh
berturut-turut-ayat: lyoh
segera-masa-depan tegang: rwuh
aplikatif-suara: pyuh
antipasif-suara: ps6h
continuative-aspek: tfuh
necessitative-suasana-hati: nr6h
tunggal-tindakan-kata kerja: qyah
superlatif-gelar: tluh
eksistensial-ayat: sy6h
menyajikan-partisip: vrah
bercahaya-intensitas: kyuh
singulative-jumlah: glih
pasif-partisip: pfoh
terlalu-banyak-lamanya: kxuh
jumlah-dari-zat: m6
postpositional-kasus: pwoh
fakultatif-pembilang: vwih
epenthetic-morfem: p6
yg-menolak-pembilang: gwah
ikat-partikel: qyih
terpencil-masa-depan tegang: tl6h
yg-berulang-ulang-aspek: f6
distributif-kata-ganti: bzih
allocution-perjanjian: ks6h
universal-pembilang: xlah
floating-point---nomor: fu
eksistensial-pembilang: sweh
alternatif-pembilang: l6
lalu-pasif-partisip: xyih
lokatif-directional-kasus: kfoh
kontrafakta-bersyarat: fyoh
