bezokolicznik: ni
irrealis-humor: ze
nieśmiałość: cyoh
dostosowanie: pyih
zaimek-znacznik: ryeh
uciskać: zroh
spokój-umysłu: jyah
pegative-sprawa: pweh
prosecutive-sprawa: pwuh
zaabsorbowanie: byah
imiesłów: pfih
zdalny-przeszłość-czas: dzah
historyczny-czas: sroh
histeria: syeh
podwójny-numer: dluh
sensoryczny-dowodowy-humor: xi
ruch-pod-górkę: ryoh
z-mocą-wsteczną: txih
ruch-spadek: myoh
fleksyjny: blih
superessive-sprawa: psuh
przechodni: t6
udaremnienie: xrah
ruch-upriver: truh
ruch-downriver: txah
dysjunkcja: xo
rozczarowanie: tloh
obecny-Znaczenie,-związek z tematem znacznik: xa
akronim: qi
initialism: nl6h
rzeczownik-odsłowny: ge
Preterite: preh
aoryst: broh
cząstkowy-sprawa: pxih
Święto-Trzech-Króli: pf6h
augmentatywny: xe
fobia: xyoh
determinantem: txeh
predykatywny: plih
prolative-sprawa: pxah
veridical: vyih
Wartość-binarna: vrih
skończone-czasownik: vi
próba-numer: pc6h
zawodowiec-zdanie: r6
przyjaźń: va
gnomiczny-humor: kxih
centryczny-sprawa: dreh
pre-hodiernal: x6
cierpliwy-sprawa: qa
ukośny-sprawa: bwoh
środkowy-głos: tyoh
zidentyfikowania: xyah
cel-cyngiel: groh
lative-sprawa: dvah
nie-człowiek: n6
odfermentowujące: nyuh
multal-numer: mloh
trans-liczbowy: ts6h
galaktyka-płeć: gjah
do-widzenia: jwah
abessive-sprawa: bvah
adessive-sprawa: dvih
do-sprawa: kxah
agentive-sprawa: dveh
agent-cyngiel: greh
aktor-rola: nruh
wspólny-płeć: k6
accompanier: kloh
pasywny-głos: pyoh
gwiazda-płeć: qrah
cytat-formularz: xu
werbalny-rzeczownik: xlih
Klauzula-ogon: kluh
bezpośredni-obiekt: rweh
ergative-sprawa: gvih
w---języka: byih
miejscownik-sprawa: kwoh
przysłówkowy-sprawa: vlah
finał-cząstka: nluh
evitative-sprawa: ve
zaborczy-sprawa: kfih
nominalization: mleh
opętany-sprawa: djah
pomocniczy-czasownik: fyih
Podstawowa-obiekt: myuh
antessive-sprawa: nleh
animować-płeć: xrih
subessive-sprawa: bvih
pojazd-płeć: vlih
minerał-płeć: xwih
czasownik---przyrostek: kxeh
empatyczny-radość: pfeh
zmiana-z-zdarzenie: qrih
różne-zdarzenie: txoh
wszechświat-płeć: bjih
miejscowość-płeć: lyeh
Badania-płeć: txuh
artystyczny-płeć: s6
crastinal-czas: sl6h
abstrakcyjny-płeć: sruh
exocentric-sprawa: zrih
przechodni-czasownik: tfoh
przeszłość-perfektywny: tr6h
pośredni-przemówienie: dyeh
Sekunda-język: sr6h
kolektyw-rzeczownik: kxoh
absolutive-sprawa: bvuh
cierpliwy-cyngiel: pruh
samego-siebie-pewność siebie: swuh
zwrotny-głos: flah
bezosobowy-czasownik: pseh
modalny-sprawa: dleh
nieożywiony-płeć: djih
przyczynowy: kruh
propositive-humor: pxoh
elektryczny-aktualny: breh
asocjacyjny-sprawa: sloh
superlatyw-sprawa: sluh
planetarny-płeć: pxeh
odwrotność-głos: syoh
rdzeń-benefactive: kfeh
else--if: kyeh
kolejny-klauzula: lyoh
wkrótce-przyszłość-czas: rwuh
aplikacyjnych-głos: pyuh
antipassive-głos: ps6h
continuative-aspekt: tfuh
necessitative-humor: nr6h
pojedynczy-czynność-czasownik: qyah
superlatyw-stopień: tluh
egzystencjalny-klauzula: sy6h
obecny-imiesłów: vrah
świetlny-intensywność: kyuh
singulative-numer: glih
pasywny-imiesłów: pfoh
nadmierny-trwanie: kxuh
ilość-z-substancja: m6
postpositional-sprawa: pwoh
obieralny-kwantyfikator: vwih
epentetyczny-morfem: p6
przeczący-kwantyfikator: gwah
łączący-cząstka: qyih
zdalny-przyszłość-czas: tl6h
częstotliwy-aspekt: f6
dystrybucyjny-zaimek: bzih
przemówienie-umowa: ks6h
uniwersalny-kwantyfikator: xlah
zmiennoprzecinkową-numer: fu
egzystencjalny-kwantyfikator: sweh
alternatywny-kwantyfikator: l6
przeszłość-pasywny-imiesłów: xyih
miejscownik-kierunkowy-sprawa: kfoh
alternatywę-warunkowy: fyoh
