Infinitive: ni
სახელი: gi
სათანადო-არსებითი-სახელი: tsah
hortative: re
ჩანს-მტკიცებულების: crih
desiderative-განწყობა: dwah
terminative-შემთხვევაში: twih
inessive-შემთხვევაში: nweh
აუცილებელია-განწყობა: prih
მჯერა,: kcah
სახელმწიფო-კონტექსტში: ga
იმედი-მაქვს,: cwah
factive-მტკიცებულების: fwih
optative-განწყობა: pcih
რეალურ-განწყობა: le
პოტენციური-განწყობა: tlah
allative-შემთხვევაში: lweh
anthropic-გენდერული: fi
სათაური: wo
იგივე-სათაური-marker: cyah
სხვადასხვა-სათაური: fe
შიში: ko
ეჭვი: cu
dubitative-განწყობა: tweh
ინტერესი: nyih
vialis-შემთხვევაში: wi
უცნაური: trih
ცვლილება: ryih
ბედნიერი: clah
გარდა: swah
სურვილი: kwah
სიგრძე: lo
ალბათობა: bi
შეთანხმება: grah
პრობლემები: mlah
quotative-შემთხვევაში: kwih
ინკლუზიური-პირი: lwoh
precative-განწყობა: rwah
თავაზიანი-რეგისტრაცია: brih
პერსპექტიული-ასპექტი: tfah
gnomic-ასპექტი: go
inchoative-ასპექტი: zi
jussive-განწყობა: jwih
permissive-განწყობა: mwah
სათანადო: kcih
დისტალური-საჩვენებელი: tseh
გამანაწილებელ-შემთხვევაში: nwah
განისაზღვრება: treh
ტკივილი: droh
ბრძენი: ja
კუთვნილებითი-marker: srah
commissive-განწყობა: mu
სიურპრიზი: crah
completive-ასპექტი: kweh
აღშფოთება: nrah
სიამაყე: brah
ბოდიში: pceh
გამბედაობა: krah
მადლი: nreh
მოძრაობა: mroh
შეშფოთებულია: cwih
შეწყვეტის-ასპექტი: za
გამაძლიერებელი: tfih
მტკიცებულების-შემთხვევაში: ryah
სამწუხარო: syah
წინააღმდეგ-შემთხვევაში,: tyah
zoic-გენდერული: zo
Eventive-სისტემის-განწყობა: nwoh
იგივე-ღონისძიება-marker: cwoh
multiplicative-შემთხვევაში: plah
მიკვირს,: prah
სამწუხაროა,: lyah
მასობრივი: mlih
კმაყოფილი: srih
ძალით: be
სპეკულაცია-განწყობა: po
ნაცნობი-რეგისტრაცია: krih
დაიჭრა: frah
მწუხარება: proh
eh?: nyah
მადლობა: kyah
სირცხვილი: ru
ფრაზა-marker: fyah
ერთგული: cyih
შფოთვა: tyeh
hesternal-დაძაბული: tleh
სიძულვილი: tyih
რაციონალური-გენდერული: tlih
ექსტრემალური: kreh
მცენარეული-გენდერული: slih
ცნობისმოყვარეობა: kyih
შეშინებული: kcuh
სტატია: myah
კურთხევად-განწყობა: bwih
დამნაშავე: dlih
ignorant: nrih
გულუხვი: drah
ინიციატივა-შემთხვევაში: twoh
გადაიდო-აუცილებელია: ji
ცნობით-მტკიცებულების: psah
ბრალი: dlah
სიღარიბეს: kfah
სინგულარული-ნომერი: gu
აპატიებს: pfah
მოთმინება: je
რეფერენტული: freh
lonely: kyoh
ხიბლი: croh
ენთუზიაზმი: tsuh
ინდუქციური-განწყობა: tcuh
დისკურსი-კონტექსტში: ye
წოდებითი-შემთხვევაში: bo
აბუჩად: grih
მითითება-განწყობა: tyuh
ამბიცია: bwah
უწყვეტი-ასპექტი: nyeh
პირდაპირი-მტკიცებულების: troh
apprehensive-განწყობა: pcoh
შოკი: cruh
ბოლო-ბოლო-დაძაბული: clih
გარკვეული-სტატია: klih
ეჭვიანი: ryuh
imprecatory-განწყობა: mrih
გულგრილობა: du
სავარაუდო-განწყობა: syih
დაზიანება: kroh
protasis: rwoh
მტრული: cyuh
mimetic: mreh
კერძოდ,: gwih
hodiernal-დაძაბული: dloh
delimitative-ასპექტი: dweh
ექსკლუზიური-პირი: kwuh
telic-ასპექტი: tfeh
atelic-ასპექტი: tsoh
prohibitive-განწყობა: jrih
წამების: nroh
ერთგულება: nloh
momentane-ასპექტი: myeh
პატიება: jrah
თავმდაბალი-რეგისტრაცია: myih
ყოფილი-გარდაცვლილი: frih
პასუხის: wu
გაღიზიანებას: zrah
მუდმივი-ასპექტი: bu
შედეგობრივ: kseh
შრომისმოყვარეობა: dyih
ფორმალური-რეგისტრაცია: sreh
აუდიტორია-მტკიცებულების: creh
ერთობლიობაში: ksoh
ახსნითი-მტკიცებულების: flih
expletive: sleh
sublative-შემთხვევაში: swoh
დეკლარაციული-განწყობა: ksuh
სიტყვიერი: kceh
სასარგებლოდ-განწყობა: fwah
უკმაყოფილება: dyah
idiophone: dyoh
გადაჭარბებული-შემთხვევაში: zwah
irrealis-განწყობა: ze
shyness: cyoh
ადაპტაციის: pyih
ნაცვალსახელი-marker: ryeh
ზეწოლას: zroh
equanimity: jyah
pegative-შემთხვევაში: pweh
prosecutive-შემთხვევაში: pwuh
გატაცებული: byah
მიმღეობის: pfih
დისტანციური-ბოლო-დაძაბული: dzah
ისტორიული-დაძაბული: sroh
ისტერიის: syeh
ორმაგი-ნომერი: dluh
სენსორული-მტკიცებულების-განწყობა: xi
მოძრაობის-აღმართზე: ryoh
რეტროსპექტივა: txih
მოძრაობის-downhill: myoh
inflected: blih
superessive-შემთხვევაში: psuh
გარდამავალი: t6
იმედგაცრუება: xrah
მოძრაობის-upriver: truh
მოძრაობის-downriver: txah
გათიშვის: xo
anticlimax: tloh
მიმდინარე-შესაბამისობის-marker: xa
აკრონიმი: qi
initialism: nl6h
gerund: ge
preterite: preh
aorist: broh
partitive-შემთხვევაში: pxih
ნათლისღების: pf6h
augmentative: xe
phobia: xyoh
განმსაზღვრელი: txeh
predicative: plih
prolative-შემთხვევაში: pxah
veridical: vyih
ორობითი---ღირებულება: vrih
სასრული-verb: vi
სასამართლო-ნომერი: pc6h
პრო-წინადადება: r6
მეგობრობისათვის: va
gnomic-განწყობა: kxih
centric-შემთხვევაში: dreh
წინასწარ-hodiernal: x6
პაციენტი-შემთხვევაში: qa
oblique-შემთხვევაში: bwoh
შუა-ხმა: tyoh
იდენტიფიცირებადი: xyah
მიზანი-გამოიწვევს: groh
lative-შემთხვევაში: dvah
არასამთავრობო-ადამიანის: n6
attenuative: nyuh
multal-ნომერი: mloh
trans-ციფრების: ts6h
galaxy-გენდერული: gjah
ნახვამდის: jwah
abessive-შემთხვევაში: bvah
adessive-შემთხვევაში: dvih
to-შემთხვევაში: kxah
agentive-შემთხვევაში: dveh
აგენტი-გამოიწვევს: greh
მსახიობი-როლი: nruh
საერთო-გენდერული: k6
accompanier: kloh
პასიური-ხმა: pyoh
ვარსკვლავი-გენდერული: qrah
ციტირების-ფორმა: xu
სიტყვიერი-არსებითი-სახელი: xlih
პუნქტი-კუდი: kluh
პირდაპირი-ობიექტი: rweh
ერგატიული-შემთხვევაში: gvih
ამ-ენაზე: byih
ლოკატიური-შემთხვევაში: kwoh
ზმნისართულ-შემთხვევაში: vlah
საბოლოო-ნაწილაკების: nluh
evitative-შემთხვევაში: ve
კუთვნილებითი-შემთხვევაში: kfih
ნომინალიზაცია: mleh
გააჩნდა-შემთხვევაში: djah
დამხმარე-verb: fyih
პირველადი-ობიექტი: myuh
antessive-შემთხვევაში: nleh
animate-გენდერული: xrih
subessive-შემთხვევაში: bvih
მანქანა-გენდერული: vlih
მინერალური-გენდერული: xwih
ზმნა--სუფიქსი: kxeh
თანამგრძნობი-სიხარული: pfeh
ცვლილება-საქართველოს-ღონისძიება: qrih
განსხვავებული-ღონისძიება: txoh
სამყარო-გენდერული: bjih
რაიონი-გენდერული: lyeh
კვლევა-გენდერული: txuh
მხატვრული-გენდერული: s6
crastinal-დაძაბული: sl6h
აბსტრაქტული-გენდერული: sruh
exocentric-შემთხვევაში: zrih
გარდამავალი-verb: tfoh
ბოლო-სრულყოფილი: tr6h
არაპირდაპირი-გამოსვლა: dyeh
მეორე-ენა: sr6h
კოლექტიური-არსებითი-სახელი: kxoh
absolutive-შემთხვევაში: bvuh
პაციენტი-გამოიწვევს: pruh
თვითმმართველობის-ნდობის: swuh
რეფლექსურ-ხმა: flah
უპიროვნო-verb: pseh
მოდალური-შემთხვევაში: dleh
inanimate-გენდერული: djih
გამომწვევი: kruh
propositive-განწყობა: pxoh
ელექტრო-მიმდინარე: breh
ასოციაციური-შემთხვევაში: sloh
უბადლო-შემთხვევაში: sluh
პლანეტარული-გენდერული: pxeh
საპასუხო-ხმა: syoh
ძირითადი-benefactive: kfeh
სხვა-თუ: kyeh
ზედიზედ-პუნქტი: lyoh
მალე-მომავალი-დაძაბული: rwuh
applicative-ხმა: pyuh
antipassive-ხმა: ps6h
continuative-ასპექტი: tfuh
necessitative-განწყობა: nr6h
მარტოხელა-აქცია-verb: qyah
უბადლო-ხარისხი: tluh
ეგზისტენციალური-პუნქტი: sy6h
იმყოფება-მიმღეობის: vrah
luminous-ინტენსივობის: kyuh
singulative-ნომერი: glih
პასიური-მიმღეობის: pfoh
გადაჭარბებული-ხანგრძლივობა: kxuh
თანხა-საქართველოს-ნივთიერება: m6
postpositional-შემთხვევაში: pwoh
არჩევითი-კვანტიფიკატორი: vwih
epenthetic-morpheme: p6
negatory-კვანტიფიკატორი: gwah
შემაერთებელი-ნაწილაკების: qyih
დისტანციური-მომავალი-დაძაბული: tl6h
frequentative-ასპექტი: f6
გამანაწილებელ-ნაცვალსახელი: bzih
გამოსულიყო-შეთანხმება: ks6h
უნივერსალური-კვანტიფიკატორი: xlah
მცურავი-პუნქტიანი-ნომერი: fu
ეგზისტენციალური-კვანტიფიკატორი: sweh
ალტერნატიული-კვანტიფიკატორი: l6
ბოლო-პასიური-მიმღეობის: xyih
ლოკატიური-მიმართულების-შემთხვევაში: kfoh
ჰიპოთეტური-პირობითი: fyoh
