nauni: ni
predicative: plih
prolative-kesi: pxah
veridical: vyih
mapacha---thamani: vrih
finite-verb: vi
kesi-idadi: pc6h
pro-hukumu: r6
urafiki: va
gnomic-mood: kxih
centric-kesi: dreh
kabla-hodiernal: x6
mgonjwa-kesi: qa
oblique-kesi: bwoh
katikati-sauti: tyoh
zinazotambulika: xyah
lengo-trigger: groh
lative-kesi: dvah
zisizo-binadamu: n6
attenuative: nyuh
multal-idadi: mloh
trans-numeral: ts6h
galaxy-jinsia: gjah
kwaheri: jwah
abessive-kesi: bvah
adessive-kesi: dvih
kwa-kesi: kxah
agentive-kesi: dveh
wakala-trigger: greh
muigizaji-jukumu: nruh
kawaida-jinsia: k6
accompanier: kloh
watazamaji-sauti: pyoh
nyota-jinsia: qrah
citation-fomu: xu
matusi-noun: xlih
kifungu-mkia: kluh
moja-kwa-moja kitu: rweh
ergative-kesi: gvih
katika-lugha: byih
locative-kesi: kwoh
adverbial-kesi: vlah
mwisho-chembe: nluh
evitative-kesi: ve
kutochukua-kesi: kfih
nominalization: mleh
mwendawazimu-kesi: djah
msaidizi-verb: fyih
msingi-kitu: myuh
antessive-kesi: nleh
animate-jinsia: xrih
subessive-kesi: bvih
gari-jinsia: vlih
madini-jinsia: xwih
kitendo---suffix: kxeh
huruma-furaha: pfeh
mabadiliko-ya-tukio: qrih
tofauti-tukio: txoh
ulimwengu-jinsia: bjih
eneo-jinsia: lyeh
utafiti-jinsia: txuh
kisanii-jinsia: s6
crastinal-uliopo: sl6h
abstract-jinsia: sruh
exocentric-kesi: zrih
elekezi-verb: tfoh
siku-za-nyuma perfective: tr6h
moja-kwa-moja hotuba: dyeh
pili-lugha: sr6h
pamoja-noun: kxoh
absolutive-kesi: bvuh
mgonjwa-trigger: pruh
binafsi-kujiamini: swuh
reflexive-sauti: flah
impersonal-verb: pseh
modal-kesi: dleh
inanimate-jinsia: djih
causative: kruh
propositive-mood: pxoh
umeme-sasa: breh
associative-kesi: sloh
superlative-kesi: sluh
planetary-jinsia: pxeh
kubadilishana-sauti: syoh
msingi-benefactive: kfeh
kingine---kama: kyeh
mfululizo-kifungu: lyoh
haraka-baadaye-uliopo: rwuh
applicative-sauti: pyuh
antipassive-sauti: ps6h
continuative-kipengele: tfuh
necessitative-mood: nr6h
single-hatua-verb: qyah
superlative-shahada: tluh
existential-kifungu: sy6h
sasa-Mmoja: vrah
luminous-kiwango: kyuh
singulative-idadi: glih
watazamaji-Mmoja: pfoh
kupindukia-muda: kxuh
kiasi-ya-Dutu: m6
postpositional-kesi: pwoh
elective-watakwimu: vwih
epenthetic-morpheme: p6
negatory-watakwimu: gwah
connective-chembe: qyih
kijijini-baadaye-uliopo: tl6h
frequentative-kipengele: f6
distributive-pronoun: bzih
allocution-makubaliano: ks6h
wote-watakwimu: xlah
floating-kumweka---idadi: fu
existential-watakwimu: sweh
mbadala-watakwimu: l6
siku-za-nyuma watazamaji Mmoja: xyih
locative-directional-kesi: kfoh
counterfactual-masharti: fyoh
