mastar: hnit
antropik-cinsiyet: hrin
kısa: kyut
güçlü: hyuk
canlı: hkip
konu: hsek
aynı-konu-işaretleyici: hcek
farklı-konu: hfek
cevap: tsat
deniz: mwat
korku: hcoc
iyi-anlamak: pcat
sert: kyin
şartlar: tyut
şüphe: hdac
kararsızlık-belirten-ruh hali: twin
sormak: psan
silâh: tcas
siyah: clis
getirmek: tyat
güzel: ksis
karanlık: tcak
ambar: psak
on: htaf
gösteri: pyan
öykü: hkif
ortak: kwan
kitap: hkup
elektronik: lyin
konuşma: plak
işaret: myac
faiz: nyis
yazmak: kcit
yatak: pwat
gerekli: syis
Fikir: hwis
sanat: klat
vialis-dava: hlas
kardeş: pyak
bazen: ksas
çizgi: lyan
tablo: tlas
nehir: nwit
göz: kyac
bilgi: fyin
aniden: tfan
garip: hgan
derin: ksan
değişiklik: hrit
duygu: nwac
karşılamak: mlit
amaç: htuc
mutlu: hcuc
görünmek: syit
kan: cyac
gül: kwas
güney: swan
soğuk: tlat
ileri: myik
pozisyon: psis
geç: tyam
durmak: syan
zannetmek: nlas
kız: pyit
mayın: myan
kesim: hkim
kopya: hfap
koca: hgat
altı: hlis
hatırlamak: twat
etki: hyaf
düşmek: htuk
dışında: hsip
saç: hpaf
pas: pyas
telif-hakkı: pcit
ordu: cyit
koşmak: kcak
at: kcas
gelecek: hwic
batısında: pcak
ödeme: plit
kırmızı: hyun
altın: tcun
arzu: hdan
oynamak: plin
usta: mwas
ofis: hfus
hükümet: syak
kilise: kyas
uzunluk: hlen
şirket: ksin
kâğıt: kyis
olasılık: hbin
özellikle: cyas
ayı: pcas
pencere: cyak
anlaşma: hgac
güzellik: syac
görev: tfac
göndermek: fyan
mesafe: htif
Sessizlik: slan
ayak: fyat
vahşi: kyik
ölmek: myam
kurtarmak: pfan
yeşil: kcin
sorun: mlan
gülümseme: myak
yanlış: clat
çeşitli: pcin
uyku: slit
quotative-dava: kwik
başlangıç: cwan
eylem: kfan
ziyaret: fwat
izleyin: nlan
denemek: tcis
varlık: psit
tatlı: tlit
zengin: tcin
düşman: tcam
gemi: hcip
durum: kyit
Dahil: hkum
dahil-kişi: hlon
gizli: kwit
precative-ruh-hali: pwim
kibar-kayıt: hbit
kötülük: pwac
Mart: myas
her-neyse: kwac
kalmak: hlam
yerine: plat
mavi: plan
imkansız: psap
okul: hsuk
fırsat: ksac
evli: nwat
Gıda: hcuk
yirmi: tsis
sessiz: tcit
kolayca: hnis
muhtemel-görünüş: hrap
dil: lyac
ifade: syas
hafta: hsus
salon: hcum
Tehlike: kcic
özellik: myit
doğmuş: nyan
mahkeme: kcut
genellikle: tyap
Gnomic-görünüş: hmip
değer: tyas
basit: syap
ağaç: pyic
kavga: pyap
duvar: twit
cennet: cwak
yeni-başlayan-görünüş: htip
emir-ruh-hali: hjin
ton: twun
saygı: klan
beklenen: pcik
ay: hmaf
deneyim: nyap
tamamen: nyac
taze: tsac
dük: hnuk
kapalı: kwak
bağlı: hyim
Doğu: tyuk
taş: pwan
biraz: kfat
yön: tlac
sandalye: kwis
destek: syut
tarih: tyic
köy: klac
alan: clit
izin: nwin
hoşgörülü-ruh-hali: hmom
başarı: slak
uygun: hric
tepe: clin
müzik: ksik
merkezden-uzak-inandırıcı: hdat
öğleden-sonra: htup
ağlamak: hyuc
onur: hnaf
Yedi: swit
özel: pfat
haber: nwas
sahne: slac
bahçe: cyam
yarış: htus
dağıtım-dava: twak
öğrenmek: clan
siyasi: syik
yalan: kcun
döküm: tsak
yemek: kcam
zemin: hlaf
hasta: pwin
orijinal: mlin
yaz: kyam
din: tlam
resim: ksit
kaçış: plap
yazar: hlut
kahverengi: pyun
kararlı: htem
ağrı: hdon
bahar: psin
yüzyıl: syic
yumuşak: mwan
köşe: kyun
üretmek: psas
gülmek: cyaf
unutmak: flat
Avrupa: hyup
sekiz: lwat
elbise: lwac
korkunç: cyap
nefes: syaf
bilge: hbas
iyelik-işaretleyici: srak
bellek: myin
modern: fwan
spot: tcap
yükselmek: hyus
mola: pyik
elli: hfis
ada: tlap
dokunma: hsuc
söz: pcam
commissive-ruh-hali: mwin
derece: tfat
plan: plac
davranış: nyak
sürpriz: cran
dakika: hmun
atış: hwut
daha-da-kötüsü: pcap
bardak: klak
örnek: tlin
kasa: hsif
doktor: tsit
completive-görünüş: hmep
tekrarlanan: tyun
askeri: slin
sıcak: nyam
içki: pfin
sorular: pcaf
öfke: nran
doğrudan-doğruya: tyik
şapka: hcup
köpek: kwap
hizmetçi: hnuc
gurur: hram
kalabalık: tcuc
tren: nyin
manevi: myut
ilişkili: kyim
girmek: fyak
kural: nyas
kılıç: cwat
saldırı: kfak
sağlık: clac
paragraf: pyaf
sosyal: hsum
geri-ödeme: tfit
Üzgünüm: hpec
cesaret: krac
lütuf: hnen
resmi: hfaf
sağlanan: tsik
istek: pwit
bakış: klas
hareket: hyon
beklemek: cwit
karşısında: psam
oniki: tyaf
nişanlı: nyut
şarap: hwun
tat: swut
demir: fyac
dağıtmak: syin
ticaret: myap
avantaj: twac
giysi: kfip
yargıç: fwak
fark: tfaf
endişeli: kcis
kaptan: kwin
bitmiş: nlat
kesilme-görünüş: hsep
meraklı: kyic
yabancı: kwic
koyulaştırıcı: hnif
önem: myun
nihayet: hfim
fatura: fwin
kanıtlamak: hpuk
önlemek: flan
boyun: cyun
yasal: hfik
kuru: swak
servis: syam
kaybetmek: pcut
kanıt: pyut
ortada-dava: hdak
ilerleme: pyis
bina: klit
arama: syuc
üzücü: hrac
günah: psip
otuz: tfis
dürüst: tsin
kapamak: kyap
banka: pcun
kader: cyik
orman: hfun
ölçmek: mlac
aksi-halde: htoc
dere: lyam
ekmek: hpup
ek: tfak
seçmek: twas
hayvan: nwam
hayvanlara-ait-cinsiyet: hzin
EVENTIVE-ruh-hali: hwim
aynı-olay-işaretleyici: hcom
çarpımsal-dava: tlak
kalın: hmus
yaratık: hyum
yağmur: myic
yüzey: pfas
kutsal: swis
Temmuz: clim
rapor: hfut
sahil: pwas
dosya: hfif
omuz: cwut
şaşırmış: kran
royal: klik
şarkı: hkuf
konfor: kfaf
kimse: nyic
çim: kcap
çekmek: cwik
açılış: cyic
Haziran: cwun
balık: mlic
sermaye: klin
meme: cyut
kar: hcif
Eğitim: tlik
keskin: tcaf
yazık: hdam
gider: fyas
seninki: hmuc
milyon: mlun
yorgun: tcik
öldürmek: ksam
gölge: cwap
ağırlık: plas
kitle: mlas
kurulmuş: tlip
cesur: pyam
ince: plic
memnun: srat
ara: kcik
erdem: hdet
ulusal: nyaf
ilahi: swin
vadi: clak
tahmin: kwam
spekülatif-ruh-hali: hken
sarı: clas
kalıntılar: mwac
bükülmüş: nlac
kutu: pwak
sezon: tsim
bilim: slas
delik: kcuc
amca: hmuk
liste: lyit
Ağustos: ksut
popüler: hlup
bilinmeyen: fyit
tanıdık: flak
tanıdık-kayıt: krit
okuyucu: tsut
yaklaşım: pcuc
iki-kere: tsap
entellektüel: tfik
gerçekten: tsam
rahip: pcis
yaralı: fran
üzüntü: hpom
saray: kfas
dövmek: clap
ha?: hnec
aptal: myuk
kenar: pfac
dokuz: nwun
patlama: psut
acı-çekmek: tfas
gürültü: hcus
edebiyat: lyic
tavsiye: swas
boş: kcuk
rütbe: psik
fırtına: tcut
cep: kyip
hayal-gücü: nlin
cümle: cwas
Kasım: nwap
Aralık: tsip
yokluk: psic
teşekkür: ryak
adres: tyis
kuş: pyuc
mal-sahibi: mlik
ceket: kwut
hazırlamak: tyip
ilişkiler: lwan
duman: htum
Ocak: nwak
makine: clic
içerik: nyik
dişler: tlis
utanç: hcet
defne: kcaf
beyin: pyuk
halka: klic
ifade-işaretleyici: frak
kare: ksap
meyve: fyut
çay: tsic
açıklamak: slam
hoşgeldiniz: cwam
şiir: pwis
satın-almak: klam
sadık: hdic
heyecan: hcen
kırk: klis
Nisan: pyip
nazikçe: kfit
Ekim: kfap
acı: kyuc
köle: tlaf
gevşek: hluk
metin: tsus
kredi: cyip
onbeş: pfit
zalim: kcim
katılmak: cluc
süreç: hpif
suç: kyaf
toz: tsuc
pratik: plik
renk: nlak
yıkmak: nyuc
artırmak: lyas
burun: hnus
itiraf-etmek: tyim
dün: kfac
hesternal-gergin: tlen
başarısız: slap
devam-etmek: tcim
aşınma: pwam
kör: nlit
düzine: tsun
sinek: fyap
övgü: cwin
şeytan: cwaf
kademeli-olarak: twic
kurban: kyif
egzersiz: cyis
vicdan: tfin
teori: tlic
bakan: myis
nefret: hnet
göl: cwic
merkez: syun
soluk: pfic
akılcı-cinsiyet: hron
dikkatli: fwac
zevk-almak: nlam
ibadet: pwap
mal: twap
cilt: twaf
çatı: tlut
taç: gyan
kale: klap
taht: tcus
ekli: nlaf
mil: mlim
aşırı: krim
hapis: fyis
fincan: kcip
üye: mlam
sivil: syim
her-yerde: tsaf
belirgin: tfic
çift: pwaf
hacim: clam
görenek: ksaf
yay: ksun
takım-elbise: slut
et: mwak
süt: hluc
bitkisel-cinsiyet: hwen
vizyon: slic
nadir: nlap
kuzen: ksic
köprü: pwut
korumak: pfak
tuz: swam
masum: hwus
kraliçe: kwim
saymak: kcus
merak: hras
dans: tyus
otel: clut
doldurmak: flin
tutuklu: psun
mağaza: hjan
merdivenler: sric
dilenmek: hmen
kum: sran
şiddetli: hgit
Eylül: hsem
kalkış: prac
harabe: crin
beceri: krin
sığırlar: hwec
ekipman: hwip
mutfak: hkon
satmak: hbak
hız: hsot
Sonuç: clon
bilgisayar: hkot
sonsuz: hsen
sınırlı: mrit
kütüphane: hbek
baz: hbac
karışıklık: hrun
şanlı: cris
aynı-şekilde: hjic
korkmuş: hbic
mutsuz: prin
makale: hrek
pişirmek: kfin
bant: hbat
çöl: hget
öpücük: hbun
top: hbot
sopa: hpot
tartışma: hrut
gözlemek: nrak
kutsama-ruh-hali: hbim
çarpıcı: hrim
suçlu: hdis
tabanca: hgin
polis: plis
gizlemek: hzan
sefer: srin
cahil: nrin
cömert: drac
bulut: blan
atık: htek
Şubat: frif
hastalık: hren
harcamak: bwan
kaynak: sron
girişim-dava: hnok
teyze: hbam
gecikme: dlic
gecikmiş-zorunlu: hlip
rapor-ortada: prat
gece-yarısı: dyit
kahraman: nrac
felsefe: hfof
parmak: hjit
rahat: hzat
bir-yerde: hmoc
basın: bran
personel: hraf
ödül: rwan
suçlama: dlac
sefalet: krat
alın: htec
ilan: glan
melek: htet
Tekil-sayı: hgam
şafak: hbon
ticari: krak
affetmek: pran
koyun: hcec
sabır: hpen
çiftlik: crac
tutarlılığına: hrec
Mısır: mran
anahtar: kcif
çoğunluk: hmot
zayıflık: hdut
atmosfer: traf
iç-çekiş: tcoc
insanlık: mlis
muhalefet: pric
disk: hdik
yalnız: hket
sanatçı: nrat
şövalye: cwis
çekicilik: tran
karar: drin
vali: gran
şube: rwac
eğilim: hsoc
coşku: tsum
tümevarımsal-ruh-hali: hdum
topluluk: hmum
yağ: hyen
boru: hbap
baskı: trat
aman: dyoc
söylev-bağlam: hros
vokatif-dava: hwok
kabin: ksen
alarm: plam
sinir: hnes
kalıcı: hset
bıçak: ksuk
ipek: slik
hakaret: grin
cehennem: nrik
ayrılmış: plen
ağır: mrat
karışık: mrik
ahşap: mrak
tercih: hpet
uyarı: trin
öğüt-ruh-hali: htom
dürtü: hmos
hırs: mrac
reddetmek: hnek
anayasa: swic
enstrüman: srit
sürekli-görünüş: hnip
gelgit: hgas
kolej: klen
kuyruk: hkek
nesil: nric
kedi: blat
direkt-ortada: hret
terkedilmiş: trac
on-bir: hyec
içgüdü: nlik
karakteristik: trit
kabile: hgik
endişeli-ruh-hali: pcim
barınak: crat
kaba: hruc
binme: hris
sallamak: hmon
sanayi: hdot
meslek: hres
lamba: hdap
Kahve: kfif
itaat-etmek: htot
kuzey: nrit
hemşire: nris
sağlamak: hjat
zincir: ryin
öğretim: cric
ayakkabı: hgut
yarda: mram
belirsiz: hmec
başka-yerde: hlet
daire: pret
etkinlik: twot
Cumartesi: cram
güneş: hduc
dul: hwuc
eleman: hlem
yansıma: hfen
organizasyon: hgis
star: tram
olay: hgon
konuk: hgip
bar: brap
şişe: hbet
kutsamak: blak
karıştırma: crak
iç: trik
düzeltmek: krik
türetmek: prit
oyuk: hcot
il: hpos
medeniyet: srac
asmak: hgak
şok: crok
istisna: swap
gerginlik: tren
standart: ryan
sürücü: dran
kurtulmuş: hruk
küfretmek: kses
hazine: zran
tohum: hbis
kule: tras
favori: fwit
geçenlerde: hcem
son-geçmiş-gergin: hrot
uyanık: srik
mobilya: mrin
halat: hkos
macera: hdas
kraliyet: ryit
bayram: dyat
tanımlamak: dras
altmış: hses
ölçek: hkem
tören: srec
avcılık: clik
fısıltı: psus
genelde: ryat
Hristiyanlık: ksim
avukat: hwif
detay: drit
prenses: hrus
altar: dlat
ağ: hwes
mor: brin
toplamak: hkoc
seçim: hben
gebe-kalma: kren
sarhoş: crik
dökmek: brac
asansör: hlif
jest: hjis
yönetmek: rwin
takas: tcen
kesin-makale: hdek
imparator: mras
uzak: hroc
çirkin: clup
zararsız: cras
rulo: hrof
inç: nlic
gazete: grat
sakal: dric
gözyaşı: srim
komisyon: kson
oysa: grak
geçit: kcoc
bağımsızlık: htes
koku: hwon
onsekiz: hdec
tarihi: tris
brüt: krut
kök: hrok
çamur: hbik
gelin: dlan
peçe: pras
tiyatro: tret
karşılaştırma: kras
rakip: rwis
denge: slen
koç: kron
mizah: hnum
yeni: rwas
intikam: hbaf
kıskanç: ryut
tekerlek: hlok
yanmış: glat
flaş: flac
oluşturmak: hkec
çatışma: hnot
lanet: hlos
lanet-ruh-hali: pram
çaresiz: hces
pozitif: hzit
kulüp: klup
sel: nras
tahıl: gwan
kayıtsızlık: hdun
ufuk: crim
assumptive-ruh-hali: hsom
dik: htop
armoni: mron
gök-gürültüsü: hgot
çocukluk: htok
diz: hgun
yazılım: pwen
hasar: kram
makbuz: ryis
etkinleştirmek: nlim
protasis: hpoc
kayma: slok
devrim: hrif
çiftçi: hjim
inme: trak
platform: hpof
haberci: hmes
ayrıcalık: hpek
örgütlü: hyot
öğrenci: clen
mağara: hgec
gelenek: rwat
trajedi: tses
veda: hjap
eleştiri: ryik
pamuk: krap
hastane: slot
kira: kris
gaz: hges
kaçınılmaz: pwic
ölümcül: hgim
yaprak: glit
yayın: plun
düşmanca: tsup
çeviri: dwan
cenaze: jran
un: mrun
yazışma: ryon
romantik: hrom
kulübe: clun
önermek: psot
taklit-eden: hmet
dolar: dlon
gün-ışığı: hjac
on-altı: hsos
montaj: hzac
koloni: klon
kanat: gyin
aslan: hles
kültür: klut
sütun: hkom
kurnaz: glak
dram: dram
şaka: hjuc
sis: hdus
tıp: dwas
on-dört: hkes
asit: sram
yani: hyet
gelir: hmok
piskopos: hbip
turuncu: tron
banyo: byan
ilkel: rwit
sepet: ksek
sekreter: sris
saman: prak
sabırsız: pfif
kurtuluş: slon
hodiernal-gergin: dlin
niyetinde: zrin
buhar: tcip
zehir: hwoc
yetenek: tlon
iklim: lwim
etkili: fric
ayırmak: tcif
yıkama: dwac
itiraf: kfis
saçmalık: hjas
kömür: kyon
kano: kwon
geçici: tric
delimitative-görünüş: hdip
kemik: hcos
Pazartesi: nwic
Salı: glac
Çarşamba: bwac
federal: frin
çekici: hzic
temsilci: ryic
keten: lwin
lavabo: swuk
yeğen: bwin
kanlı: kric
kuşatma: cren
mide: hpem
pirinç: pcon
zirve: hzik
beşinci: pfik
ucuz: brat
özel-kişi: kwen
kaçırmamak: zrat
çit: hzas
heykel: tfam
ağır-silahlar: tlep
kucaklamak: mrap
çevreleyen: sren
kesinlikle: srot
geyik: hluf
çalı: hbuc
demiryolu: hrep
deşarj: hduk
mirasçı: mris
meşe: blun
tatsız: pren
buluş: hgic
piyano: pyon
ikna-etmek: swen
görünmez: gric
tanınmış: ryun
zulüm: kluk
ayartma: hyoc
bitmişlik-görünüş: hlep
ekonomik: kfik
uluslararası: troc
müdahale-etmek: tcek
filozof: flif
zarif: gyit
refah: kyen
balık-tutma: mlak
çalmak: truc
dudak: hloc
emekli-olmak: ryac
germek: sras
galeri: glen
paralel: zlan
atelic-görünüş: htep
kıta: trap
yasaklayıcı-ruh-hali: nrim
kravat: dwat
hücre: slep
yumurta: dyan
yapay: jrat
bu-arada: nwis
kriz: ksot
kibar: sloc
öğle-yemeği: lyon
çam: pwon
it: hcef
ittifak: lyen
bel: hkop
mucize: hmek
denizci: slis
saflık: prut
cumhuriyet: hguk
telefon: tfen
kırbaç: krip
gömlek: cyim
tanıtmak: ryas
kanepe: hsof
süpürme: hsup
hırsız: ksif
tutmak: nrec
kanal: kcen
kişilik: klim
reform: kfam
tehdit: hzim
palmiye: plim
konuşmacı: hzak
eşik: dwic
uyarmak: pris
mızrak: bzak
temiz: syec
oturum: cwen
işkence: crot
nemli: tcum
sırt: grit
gezgin: hyek
değirmen: mwik
harita: jrac
yaka: klok
değiştirmek: klif
kasten: drat
bira: hbif
kadife: hwem
yerçekimi: gwit
vaaz: hpum
taciz: glas
sürü: hgen
on-üç: tres
haklı-çıkarmak: jyit
Cuma: crum
fırça: broc
indir: dlas
krem: krem
uçurum: klaf
jüri: jrin
canavar: ksos
dondurulmuş: hgoc
pot: pfot
kuruş: psen
ısrar: srut
elma: hpep
tartışmak: drak
arka-plân: prun
uyarlamak: trim
periyodik: prik
eğlence: nren
virüs: bris
çocukça: blit
yansıtmak: flit
dönüştürmek: kcet
taslak: kluc
opera: hpop
onay: nron
açığa-vurmak: rwak
cezalandırmak: hzen
dirsek: kcon
haciz: tcet
onarım: hrop
şüpheli: cyec
yetmiş: swet
yazı: srip
çukur: grac
düzensizlik: dlak
ikili: byin
manastır: bjan
ok: tcec
eğilimi: trec
ayrıntılı: frat
bağlılık: hlot
sikke: syip
titreme: tcem
sürgün: gwin
mekanik: myim
tuzak: crap
kek: kyek
bayım: cyes
tereddüt: sret
on-yedi: syet
bal: myon
kazık: dzat
basmak: hjam
tuğla: brit
seksen: hpes
ne-yazık-ki: pcen
danışmak: kcot
efsane: lwen
hasat: hfos
tanıtım: pfon
soba: hsop
asi: bric
eski-moda: hnom
kabarma: cron
bataklık: swot
pansuman: hdes
sofu: pces
müdür: mren
koro: cros
akılcı: tson
işleme: pson
kurt: blaf
halı: hgap
eskilik: hjak
bereketli: frut
düdük: slif
peynir: twis
ısırık: byat
davet-etmek: jwan
katedral: kyet
liman: brak
dolaşmak: djan
bitkileri: tsos
donanma: nlen
maske: mrok
kalem: pses
sebze: sroc
sergi: hzet
pantolon: tlun
rüşvet: hrup
kabine: nram
çorba: srup
cerrah: syon
ödenek: tcot
casus: gyas
pervasız: hlec
dedikodu: gyic
simge: hzon
soyut: srok
Perşembe: cwim
trafik: ryaf
mimari: ryek
çatlak: rwaf
süs: rwon
ters: lwas
eğlendirmek: mwun
kurtarma: ksus
kaldırım: plut
belirleyici: dyin
negatif: nraf
festival: hfec
azaltmak: hrum
vatan-hainliği: zyan
avcı: djin
yılan: syen
pil: bret
balmumu: flam
dedektif: dlit
analiz: nlis
vurgu: hzot
yüzmek: twen
zarf: lwaf
her-kim: hgek
sigara: jrit
motor: mrot
gönüllü: hwot
reaksiyon: ryif
bagaj: blam
SAĞIR: hboc
meyve-suyu: hjus
tevazu: jlit
bakanlık: mret
cinsel: hjon
çap: dyam
balta: blac
elmas: dlam
alternatif: hlek
yankı: hgus
kısıtlama: swon
kimlik: hdaf
ekran: krun
tembel: lwis
momentane-görünüş: hmop
kompakt: kfot
sürüklenme: hdif
kaybolmak: hgaf
ışın: ryen
mürekkep: mwic
masif: mraf
kiler: dyac
unutulmaz: nrun
parıltı: klek
senato: slet
tabut: tfap
affetme: frac
yutmak: nlun
şımartmak: nlot
salıncak: swun
çayır: gram
karmaşık: klos
istifa: hzis
mütevazi-kayıt: nret
komplo: swim
biber: prip
midilli: pron
aday: hzam
tilki: flik
baca: tcon
yargı: drik
tarım: rwic
doğruluk: tcuk
eski-merhum: brim
demokratik: mrek
tomurcuk: hbos
battaniye: bwat
dolu: hgep
domuz: srus
şeklinde: krek
fildişi: craf
klasik: ksok
gözlemci: nwet
fil: lwit
çiviler: nwus
arı: hmif
gömmek: dzan
aktör: bzat
ter: zwan
lehçe: ploc
yanılsama: hlus
belirsizlik: pcet
ikincil: syif
kat: tsot
kırsal: grun
inilti: nyen
benzemek: slec
alıntı: hzun
çuval: cyek
sıkıntı: fren
iğne: hjun
kontrollü: nroc
tavuk: truk
tutarlı: kwot
varil: bras
alışılmış-görünüş: hcep
uzman: ksec
etkilemek: blin
zeytin: zlin
kamyonet: myen
engel: bwak
kafa-sallama: kcec
beslemek: plaf
tanım: fyic
doğum-günü: gjin
çekiç: hcof
kokulu: hfon
tekrarlama: trun
önemsiz: twut
tekme: hjik
kazmak: kwaf
evcil-hayvan: plot
kafatası: hcop
yasama-organı: dlik
topuk: cruk
kaşlarını-çatmak: crun
patent: plet
milyar: blim
kimyasal: fyik
pilot: pyot
taklit-etmek: mlot
etek: kwet
alışılmadık: srap
haftalık: jwik
teknik: tfip
bitki-örtüsü: tset
karga: kraf
gündoğumu: sruc
ömür: glin
katkıda-bulunmak: hyom
kanca: hdok
kaplan: blic
nüfuz: crut
kol: slun
karayolu: jras
milis: mlip
hendek: kroc
bütünlük: kret
on-dokuz: dzin
organik: rwik
ilahiyat: flic
şamandıra: flut
cadı: byac
sıkılmış: hwuk
diplomatik: dyik
stüdyo: twos
aşmak: kcok
Şampanya: cyen
ilham-vermek: crif
afiş: hbes
boşanma: lwon
sürgü: hbut
damar: jyan
pasif: psif
köpük: hgum
çakıl: grik
apron: tyen
gezegen: gren
raf: claf
fan: flon
tropikal: hjip
faz: fwas
keyfi: rwen
telaffuz: kfun
Merkür: krok
sürünme: hrem
intihar: tcos
muhabir: prot
yoksun-bırakmak: hpok
yetenekli: klun
balkon: blik
çatal: fras
işçi: mlek
işveren: myot
genişlik: jrak
tedirgin: djit
suçlamak: klot
emeklilik: pyen
fiil: kres
maymun: mwon
kabul-edilebilir: hwek
imza: tlim
Ortodoks: rwos
alay: fron
fidanlık: nrap
isteksizlik: jlan
ithalat: tyot
meşale: croc
dilbilgisi: gjak
mevduat: gyat
sömürge: plon
yat: jyat
önemli: kwec
kubbe: kwun
kalınlık: hfot
inatçı: cyon
kas: hmup
kadir: ryam
ovmak: ryos
korkakça: rwam
koşum: gwac
tost: tros
fare: myus
hece: slim
sıvazlama: prap
diyalog: dlaf
nötr: nrot
çalışkanlık: dwin
çelişki: trot
başarmak: kfic
keçi: byak
güzelleşmek: hfet
yüklemek: mlon
anonim: nwim
resmi-kayıt: frit
buzağı: hbof
manuel: mwut
eriyik: hjec
silmek: flas
şemsiye: gras
çizme: bzut
mineral: mrim
ateşkes: crus
ördek: hbok
planlama: pfam
sabun: hsuf
bebek: gwak
iskelet: klet
villa: blis
dikiş: jlin
uzlaştırmak: dyak
çaydanlık: kset
olgun: mruc
tavşan: kruc
kondüktör: nwot
bağımlılık: djat
oyuncu: jlic
böcek: pset
restoran: cret
baykuş: lwun
radikal: djik
yerli: zwin
Ejderha: dron
işitsel-ortada: drot
susuz: kyos
oyalanmak: dren
hesaplama: glun
düzenleme: ryim
