Infinitiv: hnit
bedeuten: mwit
Potenzial-Stimmung: hten
gegenüber: cyan
Allativ-Fall: lwik
anthropische-Geschlecht: hrin
kurz: kyut
fähig: hyuk
Leben: hkip
Gegenstand: hsek
gleich-Fach-Marker: hcek
anders-Fach: hfek
Antworten: tsat
Meer: mwat
Angst: hcoc
verstehen: pcat
hart: kyin
Bedingungen: tyut
Zweifel: hdac
dubitative-Stimmung: twin
Frag: psan
Waffen: tcas
schwarz: clis
bringen: tyat
schön: ksis
dunkel: tcak
halten: psak
zehn: htaf
Show: pyan
Geschichte: hkif
gemeinsam: kwan
Buch: hkup
elektronisch: lyin
Gespräch: plak
Kennzeichen: myac
interessieren: nyis
schreiben: kcit
Bett: pwat
notwendig: syis
Idee: hwis
Kunst: klat
Vialis-Fall: hlas
Bruder: pyak
manchmal: ksas
Leitung: lyan
Tabelle: tlas
Fluss: nwit
Auge: kyac
Informationen: fyin
plötzlich: tfan
komisch: hgan
tief: ksan
Veränderung: hrit
Gefühl: nwac
treffen: mlit
Zweck: htuc
glücklich: hcuc
scheinen: syit
Blut: cyac
Rose: kwas
Süden: swan
kalt: tlat
Vorwärts-: myik
Position: psis
spät: tyam
Stand: syan
annehmen: nlas
Tochter: pyit
Bergwerk: myan
schneiden: hkim
Kopie: hfap
Mann: hgat
sechs: hlis
erinnern: twat
bewirken: hyaf
Fall: htuk
außer: hsip
Haar: hpaf
bestehen: pyas
Copyright: pcit
Armee: cyit
Lauf: kcak
Pferd: kcas
Zukunft: hwic
West-: pcak
zahlen: plit
rot: hyun
Gold-: tcun
Verlangen: hdan
spielen: plin
Meister: mwas
Büro: hfus
Regierung: syak
Kirche: kyas
Länge: hlen
Gesellschaft: ksin
Papier-: kyis
Wahrscheinlichkeit: hbin
besonders: cyas
Bär: pcas
Fenster: cyak
Vereinbarung: hgac
Schönheit: syac
Pflicht: tfac
senden: fyan
Entfernung: htif
Schweigen: slan
Fuß: fyat
wild: kyik
sterben: myam
sparen: pfan
grün: kcin
Schwierigkeiten: mlan
Lächeln: myak
falsch: clat
verschiedene: pcin
Schlaf: slit
quotative-Fall: kwik
Anfang: cwan
Aktion: kfan
Besuch: fwat
Folgen: nlan
Versuchen: tcis
Gegenwart: psit
süß: tlit
reich: tcin
Feind: tcam
Schiff: hcip
Zustand: kyit
einschließlich: hkum
inklusive-Person: hlon
Geheimnis: kwit
Precativ-Stimmung: pwim
höflich-Neu-registrieren: hbit
böse: pwac
März: myas
was-auch-immer: kwac
bleibe: hlam
stattdessen: plat
blau: plan
unmöglich: psap
Schule: hsuk
Gelegenheit: ksac
verheiratet: nwat
Lebensmittel: hcuk
zwanzig: tsis
ruhig: tcit
leicht: hnis
prospektiv-Aspekt: hrap
Sprache: lyac
Ausdruck: syas
Woche: hsus
Halle: hcum
Achtung: kcic
Eigentum: myit
geboren: nyan
Gericht: kcut
allgemein: tyap
gnomic-Aspekt: hmip
wert: tyas
einfach: syap
Baum: pyic
Kampf: pyap
Mauer: twit
Himmel: cwak
inchoative-Aspekt: htip
jussive-Stimmung: hjin
Ton: twun
betrachten: klan
erwartet: pcik
Monat: hmaf
Berufserfahrung: nyap
ganz: nyac
frisch: tsac
Herzog: hnuk
bedeckt: kwak
gebunden: hyim
Osten: tyuk
Stein: pwan
etwas: kfat
Richtung: tlac
Sessel: kwis
unterstützen: syut
Datum: tyic
Dorf: klac
Bereich: clit
Erlaubnis: nwin
freizügig-Stimmung: hmom
Erfolg: slak
richtig: hric
Hügel: clin
Musik-: ksik
distalen-demonstrativ: hdat
Nachmittag: htup
Schrei: hyuc
Ehre: hnaf
Sieben: swit
Privat-: pfat
Nachrichten: nwas
Szene: slac
Garten: cyam
Rennen: htus
distributive-Fall: twak
lernen: clan
politisch: syik
Lüge: kcun
Besetzung: tsak
essen: kcam
Boden: hlaf
krank: pwin
Original: mlin
Sommer-: kyam
Religion: tlam
Bild: ksit
Flucht: plap
Autor: hlut
braun: pyun
entschlossen: htem
Schmerz: hdon
Feder: psin
Jahrhundert: syic
weich: mwan
Ecke: kyun
produzieren: psas
Lachen: cyaf
vergessen: flat
Europa: hyup
acht: lwat
Kleid: lwac
furchtbar: cyap
Atem: syaf
weise: hbas
besitzergreifend-Marker: srak
Erinnerung: myin
im-Trend: fwan
Ort-und-Stelle: tcap
erhebt-euch: hyus
Unterbrechung: pyik
fünfzig: hfis
Insel: tlap
berühren: hsuc
versprechen: pcam
kommissiven-Stimmung: mwin
Grad: tfat
planen: plac
Verhalten: nyak
überraschen: cran
Minute: hmun
Schuss: hwut
schlimmer: pcap
Glas: klak
Beispiel: tlin
Safe: hsif
Arzt: tsit
completive-Aspekt: hmep
wiederholt: tyun
Militär-: slin
warm: nyam
Getränk: pfin
Fragen: pcaf
Zorn: nran
direkt: tyik
Hut: hcup
Hund: kwap
Diener: hnuc
Stolz: hram
Menge: tcuc
Bahn: nyin
Moral-: myut
damit-verbundenen: kyim
Eintreten: fyak
Regel: nyas
Schwert: cwat
Angriff: kfak
Gesundheit: clac
Absatz: pyaf
Sozial-: hsum
Rückerstattung: tfit
Es-tut-uns leid: hpec
Mut: krac
Anmut: hnen
offiziell: hfaf
sofern: tsik
anfordern: pwit
Blick: klas
Bewegung: hyon
damit-rechnen: cwit
Gegenteil: psam
zwölf: tyaf
beschäftigt: nyut
Wein: hwun
Geschmack: swut
Eisen: fyac
verteilen: syin
Handel: myap
Vorteil: twac
Kleider: kfip
Richter: fwak
Unterschied: tfaf
ängstlich: kcis
Kapitän: kwin
fertig: nlat
Einstellung-Aspekt: hsep
neugierig: kyic
fremd: kwic
Verstärker: hnif
Bedeutung: myun
endlich: hfim
Rechnung: fwin
beweisen: hpuk
verhindern: flan
Hals: cyun
legal: hfik
trocken: swak
dienen: syam
verlieren: pcut
Beweis: pyut
beweiskräftig-Fall: hdak
Progress: pyis
Gebäude: klit
Suche: syuc
traurig: hrac
Sünde: psip
dreißig: tfis
ehrlich: tsin
geschlossen: kyap
Bank: pcun
Schicksal: cyik
Wald: hfun
messen: mlac
Andernfalls: htoc
Strom: lyam
Brot: hpup
zusätzlich: tfak
wählen: twas
Tier: nwam
zoic-Geschlecht: hzin
eventive-Stimmung: hwim
gleich-Ereignis-Marker: hcom
Multiplikations-Fall: tlak
dick: hmus
Kreatur: hyum
Regen: myic
Oberfläche: pfas
heilig: swis
Juli: clim
Bericht: hfut
Küste: pwas
Datei: hfif
Schulter: cwut
überrascht: kran
königlich: klik
Lied: hkuf
Komfort: kfaf
jemand: nyic
Gras: kcap
zeichnen: cwik
Öffnung: cyic
Juni: cwun
Fisch: mlic
Hauptstadt: klin
Brust: cyut
Schnee: hcif
Bildung: tlik
scharf: tcaf
Mitleid: hdam
Ausgabe: fyas
Ihre: hmuc
Million: mlun
müde: tcik
töten: ksam
Schatten: cwap
Gewicht: plas
Masse: mlas
etabliert: tlip
trotzen: pyam
dünn: plic
zufrieden: srat
prüfen: kcik
Tugend: hdet
nationale: nyaf
göttlich: swin
Tal: clak
vermuten: kwam
spekulativ-Stimmung: hken
gelb: clas
Überreste: mwac
gebogen: nlac
Box: pwak
Saison: tsim
Wissenschaft: slas
Bohrloch: kcuc
Onkel: hmuk
Liste: lyit
August: ksut
Beliebt: hlup
unbekannt: fyit
familiär: flak
familiär-Neu-registrieren: krit
Leser: tsut
Ansatz: pcuc
zweimal: tsap
intellektuelle: tfik
wirklich: tsam
Priester: pcis
verwundet: fran
Trauer: hpom
Palast: kfas
schlagen: clap
eh?: hnec
Dummkopf: myuk
Rand: pfac
neun: nwun
platzen: psut
leiden: tfas
Lärm: hcus
Literatur: lyic
Rat: swas
leer: kcuk
Rang: psik
Sturm: tcut
Tasche: kyip
Phantasie: nlin
Satz: cwas
November: nwap
Dezember: tsip
Abwesenheit: psic
danken: ryak
Adresse: tyis
Vogel: pyuc
Inhaber: mlik
Mantel: kwut
vorbereiten: tyip
Verhältnis: lwan
rauchen: htum
Januar: nwak
Maschine: clic
Inhalt: nyik
Gebiss: tlis
Schande: hcet
Bucht: kcaf
Gehirn: pyuk
Ring: klic
Phrase-Marker: frak
Platz: ksap
Frucht: fyut
Tee: tsic
erklären: slam
herzlich-willkommen: cwam
Poesie: pwis
kaufen: klam
treu: hdic
Aufregung: hcen
vierzig: klis
April: pyip
freundlich: kfit
Oktober: kfap
bitter: kyuc
Sklave: tlaf
lose: hluk
Text: tsus
Kredit: cyip
fünfzehn: pfit
grausam: kcim
beitreten: cluc
verarbeiten: hpif
Kriminalität: kyaf
Staub: tsuc
praktisch: plik
Farbe: nlak
zerstören: nyuc
erhöhen,-ansteigen: lyas
Nase: hnus
zugeben: tyim
gestern: kfac
hesternal-Tempus: tlen
scheitern: slap
fortsetzen: tcim
tragen: pwam
blind: nlit
Dutzend: tsun
Fliege: fyap
loben: cwin
Teufel: cwaf
allmählich: twic
Opfer: kyif
Übung: cyis
Gewissen: tfin
Theorie: tlic
Minister: myis
Hass: hnet
See: cwic
Center: syun
Ohnmacht: pfic
rational-Geschlecht: hron
vorsichtig: fwac
genießen: nlam
Anbetung: pwap
Waren: twap
Haut: twaf
Dach: tlut
Krone: gyan
Schloss: klap
Thron: tcus
angebracht: nlaf
Meile: mlim
extrem: krim
Gefängnis: fyis
Tasse: kcip
Mitglied: mlam
bürgerlich: syim
überall: tsaf
offensichtlich: tfic
Paar: pwaf
Volumen: clam
Brauch: ksaf
Bogen: ksun
Anzug: slut
Fleisch: mwak
Milch: hluc
pflanzlich-Geschlecht: hwen
Vision: slic
Selten: nlap
Cousin: ksic
Brücke: pwut
schützen: pfak
Salz-: swam
unschuldig: hwus
Königin: kwim
Graf: kcus
Neugierde: hras
tanzen: tyus
Hotel: clut
füllen: flin
Gefangene: psun
Geschäft: hjan
Treppe: sric
betteln: hmen
Sand: sran
gewalttätig: hgit
September: hsem
Abreise: prac
Ruine: crin
Fähigkeit: krin
Rinder: hwec
Ausrüstung: hwip
Küche: hkon
verkaufen: hbak
Geschwindigkeit: hsot
Abschluss: clon
Computer: hkot
ewig: hsen
begrenzt: mrit
Bibliothek: hbek
Base: hbac
Verwirrung: hrun
herrlich: cris
Gleichfalls: hjic
erschrocken: hbic
unzufrieden: prin
Artikel: hrek
Koch: kfin
Band: hbat
Wüste: hget
Kuss: hbun
Ball: hbot
Stock: hpot
Argument: hrut
beobachten: nrak
Segen-Stimmung: hbim
auffallend: hrim
schuldig: hdis
Gewehr: hgin
Polizei: plis
verstecken: hzan
Expedition: srin
ignorant: nrin
großzügig: drac
Wolke: blan
Abfall: htek
Februar: frif
Krankheit: hren
verbringen: bwan
Quelle: sron
Initiative-Fall: hnok
Tante: hbam
verzögern: dlic
verspätet-Imperativ: hlip
berichtet-beweiskräftig: prat
Mitternacht: dyit
Held: nrac
Philosophie: hfof
Finger: hjit
bequem: hzat
irgendwo: hmoc
Drücken-Sie: bran
Personal: hraf
Belohnung: rwan
Schuld: dlac
Elend: krat
Stirn: htec
Anzeige: glan
Engel: htet
Singular-Nummer: hgam
Dämmerung: hbon
kommerziell: krak
verzeihen: pran
Schaf: hcec
Geduld: hpen
Bauernhof: crac
Bezugs: hrec
Mais: mran
Taste: kcif
Mehrheit: hmot
Schwäche: hdut
Atmosphäre: traf
Seufzer: tcoc
Menschheit: mlis
Opposition: pric
Scheibe: hdik
einsam: hket
Künstler: nrat
Ritter: cwis
Charme: tran
Entscheidung: drin
Gouverneur: gran
Zweig: rwac
Anordnung: hsoc
Begeisterung: tsum
induktiv-Stimmung: hdum
Gemeinschaft: hmum
Öl: hyen
Rohr: hbap
drucken: trat
Oh: dyoc
Diskurs-Kontext: hros
Vokativ-Fall: hwok
Kabine: ksen
Alarm: plam
nervös: hnes
Dauer: hset
Messer: ksuk
Seide: slik
Verachtung: grin
Hölle: nrik
getrennt: plen
ernst: mrat
gemischt: mrik
hölzern: mrak
bevorzugen: hpet
Warnung: trin
Ermahnung-Stimmung: htom
Impuls: hmos
Ambition: mrac
leugnen: hnek
Verfassung: swic
Instrument: srit
kontinuierlich-Aspekt: hnip
Tide: hgas
Hochschule: klen
Schwanz: hkek
Generation: nric
Katze: blat
direkt-beweiskräftig: hret
verlassen: trac
elf: hyec
Instinkt: nlik
Eigenschaft: trit
Stamm: hgik
besorgt-Stimmung: pcim
Schutz: crat
unhöflich: hruc
Reiten: hris
Shake: hmon
Industrie: hdot
Beruf: hres
Lampe: hdap
Kaffee: kfif
Folge-leisten: htot
Nord-: nrit
Krankenschwester: nris
versichern: hjat
Kette: ryin
Lehre: cric
Schuhe: hgut
Yard: mram
vage: hmec
anderswo: hlet
Wohnung: pret
Aktivität: twot
Samstag: cram
Sonnenschein: hduc
Witwe: hwuc
Element: hlem
Betrachtung: hfen
Organisation: hgis
Star: tram
Vorfall: hgon
Gast: hgip
Bar: brap
Flasche: hbet
segnen: blak
rühren: crak
innere: trik
Fix: krik
ableiten: prit
hohl: hcot
Provinz: hpos
Zivilisation: srac
aufhängen: hgak
Schock: crok
Ausnahme: swap
Belastung: tren
Standard: ryan
Fahren: dran
loswerden: hruk
schwören: kses
Schatz: zran
Samen: hbis
Turm: tras
Favorit: fwit
vor-kurzem: hcem
kürzlich-Vergangenheit-Tempus: hrot
wach: srik
Möbel: mrin
Seil: hkos
Abenteuer: hdas
Königtum: ryit
Fest: dyat
beschreiben: dras
sechzig: hses
Rahmen: hkem
Zeremonie: srec
Jagd: clik
flüstern: psus
weitgehend: ryat
Christentum: ksim
Anwalt: hwif
Detail: drit
Prinzessin: hrus
Altar: dlat
Netz: hwes
lila: brin
sammeln: hkoc
Wahl: hben
Konzeption: kren
betrunken: crik
gießen: brac
Aufzug: hlif
Geste: hjis
verwalten: rwin
Austausch-: tcen
eindeutig-Artikel: hdek
Kaiser: mras
entfernt: hroc
hässlich: clup
harmlos: cras
rollen: hrof
Zoll: nlic
Zeitung: grat
Bart: dric
reißen: srim
Kommission: kson
während: grak
Kreuzung: kcoc
Unabhängigkeit: htes
Geruch: hwon
achtzehn: hdec
historisch: tris
brutto: krut
Wurzel: hrok
Schlamm: hbik
Braut: dlan
Schleier: pras
Theater: tret
Vergleich: kras
Rivale: rwis
Balance: slen
Trainer: kron
Humor: hnum
Roman: rwas
Rache: hbaf
eifersüchtig: ryut
Rad: hlok
verbrannt: glat
blinken: flac
erstellen: hkec
Konflikt: hnot
Fluch: hlos
imprecatory-Stimmung: pram
hilflos: hces
positiv: hzit
Klub: klup
Flut: nras
Getreide: gwan
Gleichgültigkeit: hdun
Horizont: crim
assumptive-Stimmung: hsom
steil: htop
Harmonie: mron
Donner: hgot
Kindheit: htok
Knie: hgun
Software: pwen
Verletzung: kram
Eingang: ryis
aktivieren: nlim
protasis: hpoc
Beleg: slok
Revolution: hrif
Farmer: hjim
Schlaganfall: trak
Plattform: hpof
Bote: hmes
Privileg: hpek
organisiert: hyot
Schüler: clen
Höhle: hgec
Tradition: rwat
Tragödie: tses
Abschied: hjap
Kritik: ryik
Baumwolle: krap
Krankenhaus: slot
Miete: kris
Gas: hges
unvermeidlich: pwic
tödlich: hgim
Blatt: glit
Veröffentlichung: plun
feindlich: tsup
Übersetzung: dwan
Beerdigung: jran
Mehl: mrun
Korrespondenz: ryon
Romantiker: hrom
Hütte: clun
vorschlagen: psot
Mimetikum: hmet
Dollar: dlon
Tageslicht: hjac
sechzehn: hsos
Versammlung: hzac
Kolonie: klon
Flügel: gyin
Löwe: hles
Kultur: klut
Spalte: hkom
gerissen: glak
Drama: dram
Scherz: hjuc
Nebel: hdus
Medizin: dwas
vierzehn: hkes
Acid: sram
nämlich: hyet
Einkommen: hmok
Bischof: hbip
Orange: tron
Bad: byan
Primitive: rwit
Korb: ksek
Sekretär: sris
Stroh: prak
ungeduldig: pfif
Heil: slon
hodiernal-Tempus: dlin
wollen: zrin
Dampf: tcip
Gift: hwoc
Talent: tlon
Klima: lwim
Wirksam: fric
unterscheiden: tcif
waschen: dwac
Bekenntnis: kfis
Unsinn: hjas
Kohle: kyon
Kanu: kwon
temporäre: tric
delimitative-Aspekt: hdip
Knochen: hcos
Montag: nwic
Dienstag: glac
Mittwoch: bwac
Bundes-: frin
wünschenswert: hzic
Vertreter: ryic
Leinen-: lwin
sinken: swuk
Neffe: bwin
blutig: kric
Belagerung: cren
Bauch: hpem
Messing-: pcon
Gipfel: hzik
fünfte: pfik
billig: brat
exklusiv-Person: kwen
ergreifen: zrat
Zaun: hzas
Statue: tfam
Artillerie: tlep
Umarmung: mrap
umgebenden: sren
streng: srot
Hirsch: hluf
Busch: hbuc
Eisenbahn: hrep
entladen: hduk
Erbe: mris
Eiche: blun
unangenehm: pren
Erfindung: hgic
Klavier: pyon
überzeugen: swen
unsichtbar: gric
allgemein-bekannt: ryun
Grausamkeit: kluk
Versuchung: hyoc
telic-Aspekt: hlep
wirtschaftlich: kfik
international: troc
einmischen: tcek
Philosoph: flif
elegant: gyit
Wohlergehen: kyen
Angeln: mlak
stehlen: truc
Lippe: hloc
in-den-Ruhestand gehen: ryac
strecken: sras
Galerie: glen
parallel: zlan
Atelic-Aspekt: htep
Kontinent: trap
unerschwinglich-Stimmung: nrim
Krawatte: dwat
Zelle: slep
Ei: dyan
künstlich: jrat
in-der-gleichen Zeit: nwis
Krise: ksot
höflich: sloc
Mittagessen: lyon
Kiefer: pwon
drücken: hcef
Allianz: lyen
Taille: hkop
Wunder: hmek
Seemann: slis
Reinheit: prut
Republik: hguk
Telefon: tfen
Peitsche: krip
Hemd: cyim
vorstellen: ryas
Sofa: hsof
fegen: hsup
Dieb: ksif
behalten: nrec
Kanal: kcen
Persönlichkeit: klim
Reform: kfam
bedrohlich: hzim
Palme: plim
Lautsprecher: hzak
Schwelle: dwic
induzieren: pris
Speer: bzak
ordentlich: syec
Session: cwen
Folter: crot
feucht: tcum
Grat: grit
Reisende: hyek
Mühle: mwik
Karte: jrac
Halsband: klok
ersetzen: klif
bewusst: drat
Bier: hbif
Samt: hwem
Schwerkraft: gwit
Predigt: hpum
Missbrauch: glas
Herde: hgen
dreizehn: tres
rechtfertigen: jyit
Freitag: crum
Bürste: broc
herunterladen: dlas
Creme: krem
Cliff: klaf
Jury: jrin
Monster-: ksos
gefroren: hgoc
Pot: pfot
Penny: psen
darauf-bestehen: srut
Apfel: hpep
diskutieren: drak
Hintergrund: prun
transkribieren: trim
periodisch: prik
Unterhaltung: nren
Virus: bris
kindisch: blit
reflektieren: flit
konvertieren: kcet
skizzieren: kluc
Oper: hpop
Zustimmung: nron
verraten: rwak
bestrafen: hzen
Ellbogen: kcon
Befestigung: tcet
reparieren: hrop
verdächtig: cyec
siebzig: swet
Schrift: srip
Grube: grac
Störung: dlak
binär: byin
Abtei: bjan
Pfeil: tcec
neigen: trec
erarbeiten: frat
Loyalität: hlot
Münze: syip
zittern: tcem
Exil: gwin
mechanisch: myim
Falle: crap
Kuchen: kyek
Herr: cyes
zögern: sret
siebzehn: syet
Honig: myon
Anteil: dzat
treten: hjam
Ziegel: brit
achtzig: hpes
leider: pcen
konsultieren: kcot
Legende: lwen
Ernte: hfos
Beförderung: pfon
Herd: hsop
Rebell: bric
altmodisch: hnom
quellen: cron
Sumpf: swot
Dressing: hdes
Asket: pces
Manager: mren
Chor: cros
rational: tson
Verarbeitung: pson
Wolf: blaf
Teppich: hgap
Antike: hjak
fruchtbar: frut
pfeifen: slif
Käse: twis
beißen: byat
einladen: jwan
Dom: kyet
Hafen: brak
wandern: djan
Pflanzen: tsos
Marine: nlen
Maske: mrok
Bleistift: pses
Gemüse: sroc
ausstellen: hzet
Hose: tlun
Korruption: hrup
Kabinett: nram
Suppe: srup
Chirurg: syon
Freibetrag: tcot
Spion: gyas
leichtsinnig: hlec
Klatsch: gyic
Zeichen: hzon
Zusammenfassung: srok
Donnerstag: cwim
Verkehr: ryaf
Architektur: ryek
knacken: rwaf
Ornament: rwon
umkehren: lwas
amüsieren: mwun
Wiederherstellung: ksus
Pflaster: plut
entscheidend: dyin
Negativ: nraf
Festival: hfec
reduzieren: hrum
Verrat: zyan
Jäger: djin
Schlange: syen
Batterie: bret
Wachs: flam
Detektiv: dlit
Analyse: nlis
Betonung: hzot
schwimmen: twen
Umschlag: lwaf
wer-auch-immer: hgek
Zigarette: jrit
Motor-: mrot
Freiwillige: hwot
Reaktion: ryif
Gepäck: blam
taub: hboc
Saft: hjus
Demut: jlit
Ministerium: mret
sexuell: hjon
Durchmesser: dyam
Axt: blac
Diamant: dlam
wechseln: hlek
Echo: hgus
Zurückhaltung: swon
Identität: hdaf
Bildschirm: krun
faul: lwis
momentane-Aspekt: hmop
kompakt: kfot
Drift: hdif
verschwinden: hgaf
Strahl: ryen
Tinte: mwic
massiv: mraf
Keller: dyac
unvergesslich: nrun
Glanz: klek
Senat: slet
Sarg: tfap
Vergebung: frac
schlucken: nlun
frönen: nlot
Swing: swun
Wiese: gram
Komplex: klos
Rücktritt: hzis
demütigen-Neu-registrieren: nret
Verschwörung: swim
Pfeffer: prip
Pony: pron
Kandidat: hzam
Fuchs: flik
Kamin: tcon
Zuständigkeit: drik
Landwirtschaft: rwic
Genauigkeit: tcuk
ehemalige-Verstorbene: brim
demokratisch: mrek
Knospe: hbos
Decke: bwat
Hagel: hgep
Schwein: srus
geformt: krek
Elfenbein: craf
klassisch: ksok
Beobachter: nwet
Elefant: lwit
Nägel: nwus
Biene: hmif
begraben: dzan
Darsteller: bzat
Schweiß: zwan
polieren: ploc
Illusion: hlus
Unsicherheit: pcet
Sekundär: syif
falten: tsot
ländlich: grun
Stöhnen: nyen
ähneln: slec
Zitat: hzun
Sack: cyek
Ärger: fren
Nadel: hjun
kontrolliert: nroc
Huhn: truk
konsistent: kwot
Fass: bras
gewohnheitsmäßig-Aspekt: hcep
Experte: ksec
beeindrucken: blin
Olive: zlin
Lieferwagen: myen
Hindernis: bwak
nicken: kcec
fördern: plaf
Definition: fyic
Geburtstag: gjin
Hammer: hcof
duftend: hfon
Wiederholung: trun
trivial: twut
Kick: hjik
graben: kwaf
Haustier: plot
Schädel: hcop
Legislative: dlik
Ferse: cruk
Stirnrunzeln: crun
Patent: plet
Billion: blim
Chemikalie: fyik
Pilot: pyot
imitieren: mlot
Rock: kwet
ungewöhnlich: srap
wöchentlich: jwik
technisch: tfip
Vegetation: tset
Krähe: kraf
Sonnenaufgang: sruc
Lebenszeit: glin
beitragen: hyom
Haken: hdok
Tiger: blic
durchdringen: crut
Ärmel: slun
Autobahn: jras
Miliz: mlip
Graben: kroc
Integrität: kret
neunzehn: dzin
organisch: rwik
Theologie: flic
schweben: flut
Hexe: byac
gelangweilt: hwuk
diplomatisch: dyik
Studio: twos
überschreiten: kcok
Champagner: cyen
inspirieren: crif
Banner: hbes
Scheidung: lwon
Bolzen: hbut
Vene: jyan
passiv: psif
Schaum: hgum
Kies: grik
Schürze: tyen
Planet: gren
Regal: claf
Ventilator: flon
tropisch: hjip
Phase: fwas
willkürlich: rwen
aussprechen: kfun
Quecksilber: krok
kriechen: hrem
Selbstmord: tcos
Reporter: prot
berauben: hpok
geschickt: klun
Balkon: blik
Gabel: fras
Mitarbeiter: mlek
Arbeitgeber: myot
Breite: jrak
irritiert: djit
beschuldigen: klot
Pension: pyen
