bendratis: hnit
sąmyšis: crak
vidinis: trik
nustatyti: krik
gauti: prit
tuščiaviduris: hcot
provincija: hpos
civilizacija: srac
padvisinti: hgak
šokas: crok
išimtis: swap
padermė: tren
standartas: ryan
vairavimas: dran
atsikratyti: hruk
prisiekti: kses
lobis: zran
sėklos: hbis
bokštas: tras
mėgstamas: fwit
neseniai: hcem
naujas-praeitis-įtempti: hrot
budrus: srik
baldai: mrin
virvė: hkos
nuotykis: hdas
"Royalty: ryit
šventė: dyat
apibūdinti: dras
šešiasdešimt: hses
skalė: hkem
ceremonija: srec
medžioklė: clik
šnabždesys: psus
daugiausia: ryat
krikščionybė: ksim
teisininkas: hwif
detalė: drit
princesė: hrus
altorius: dlat
tinklas: hwes
purpurinis: brin
surinkti: hkoc
rinkimai: hben
samprata: kren
girtas: crik
pilti: brac
keltuvas: hlif
gestas: hjis
valdyti: rwin
mainai: tcen
neabejotinas-straipsnis: hdek
imperatorius: mras
nuotolinis: hroc
bjaurus: clup
nekenksmingas: cras
ritinys: hrof
colis: nlic
laikraštis: grat
barzda: dric
ašara: srim
komisija: kson
o: grak
sankryža: kcoc
nepriklausomumas: htes
kvapas: hwon
aštuoniolika: hdec
istorinis: tris
bruto: krut
šaknis: hrok
purvas: hbik
nuotaka: dlan
šydas: pras
teatras: tret
palyginimas: kras
varžovų: rwis
balansas: slen
treneris: kron
humoras: hnum
romanas: rwas
kerštas: hbaf
pavydus: ryut
ratas: hlok
sudegino: glat
blykstė: flac
kurti: hkec
konfliktas: hnot
prakeikimas: hlos
prakeikiantis-nuotaika: pram
bejėgis: hces
teigiamas: hzit
klubas: klup
potvynis: nras
grūdai: gwan
abejingumas: hdun
horizontas: crim
arogantiškas-nuotaika: hsom
status: htop
harmonija: mron
perkūnas: hgot
vaikystė: htok
kelis: hgun
programinė-įranga: pwen
sužalojimas: kram
gavimas: ryis
leisti: nlim
Protasis: hpoc
slydimas: slok
revoliucija: hrif
ūkininkas: hjim
insultas: trak
platforma: hpof
pasiuntinys: hmes
privilegija: hpek
organizuotas: hyot
studentas: clen
urvas: hgec
tradicija: rwat
tragedija: tses
atsisveikinimas: hjap
kritika: ryik
medvilnė: krap
ligoninė: slot
nuoma: kris
dujos: hges
neišvengiamas: pwic
mirtinas: hgim
lapas: glit
leidinys: plun
priešiškas: tsup
vertimas: dwan
laidotuvės: jran
miltai: mrun
korespondencija: ryon
romantiškas: hrom
namelis: clun
pasiūlyti: psot
mimezinis: hmet
doleris: dlon
dienos-šviesa: hjac
šešiolika: hsos
surinkimas: hzac
kolonija: klon
sparnas: gyin
liūtas: hles
kultūra: klut
kolona: hkom
gudrus: glak
drama: dram
anekdotas: hjuc
rūkas: hdus
medicina: dwas
keturiolika: hkes
rūgštis: sram
būtent: hyet
pajamos: hmok
vyskupas: hbip
oranžinis: tron
vonia: byan
primityvus: rwit
krepšys: ksek
sekretorius: sris
šiaudų: prak
nekantrus: pfif
išgelbėjimas: slon
hodiernal-įtempti: dlin
skirti: zrin
garas: tcip
nuodai: hwoc
talentas: tlon
klimatas: lwim
veiksmingas: fric
išskirti: tcif
skalbimas: dwac
išpažintis: kfis
nesąmonė: hjas
anglis: kyon
kanoja: kwon
laikinas: tric
delimitative-aspektas: hdip
kaulas: hcos
pirmadienis: nwic
antradienis: glac
trečiadienis: bwac
federalinis: frin
pageidaujamas: hzic
atstovas: ryic
linas: lwin
kriauklė: swuk
sūnėnas: bwin
kruvinas: kric
apgula: cren
skrandis: hpem
žalvaris: pcon
viršūnė: hzik
penktas: pfik
pigus: brat
išskirtinis-asmuo: kwen
pasinaudoti: zrat
tvora: hzas
statula: tfam
artilerija: tlep
apkabinti: mrap
supantis: sren
griežtai: srot
elnias: hluf
krūmas: hbuc
geležinkelis: hrep
iškrovimas: hduk
įpėdinis: mris
ąžuolas: blun
nemalonus: pren
išradimas: hgic
pianinas: pyon
įtikinti: swen
nematomas: gric
garsus: ryun
žiaurumas: kluk
pagunda: hyoc
TELIC-aspektas: hlep
ekonominis: kfik
tarptautinis: troc
trukdyti: tcek
filosofas: flif
elegantiškas: gyit
gerovė: kyen
žvejyba: mlak
pavogti: truc
lūpa: hloc
išeiti-į-pensiją: ryac
ruožas: sras
galerija: glen
lygiagretus: zlan
atelic-aspektas: htep
žemynas: trap
neįperkamas-nuotaika: nrim
kaklaraištis: dwat
ląstelė: slep
kiaušinis: dyan
dirbtinis: jrat
tuo-tarpu: nwis
krizė: ksot
mandagus: sloc
pietūs: lyon
pušis: pwon
stumti: hcef
aljansas: lyen
juosmuo: hkop
stebuklas: hmek
jūreivis: slis
grynumas: prut
respublika: hguk
telefonas: tfen
plakti: krip
marškiniai: cyim
pristatyti: ryas
sofa: hsof
valymas: hsup
vagis: ksif
išlaikyti: nrec
kanalas: kcen
asmenybė: klim
reforma: kfam
grasinantis: hzim
palmė: plim
garsiakalbis: hzak
slenkstis: dwic
sukelti: pris
ietis: bzak
tvarkingas: syec
sesija: cwen
kankinimas: crot
drėgnas: tcum
kraigas: grit
keliautojas: hyek
malūnas: mwik
žemėlapis: jrac
apykaklė: klok
pakeisti: klif
sąmoningai: drat
alus: hbif
aksomas: hwem
gravitacija: gwit
pamokslas: hpum
piktnaudžiavimas: glas
pulkas: hgen
trylika: tres
pateisinti: jyit
penktadienis: crum
šepetys: broc
parsisiųsti: dlas
kremas: krem
uola: klaf
žiuri: jrin
pabaisa: ksos
užšalęs: hgoc
puodas: pfot
centas: psen
primygtinai-reikalauti: srut
obuolys: hpep
aptarti: drak
fonas: prun
transkribuoti: trim
periodinis: prik
pramoga: nren
virusas: bris
vaikiškas: blit
atspindėti: flit
konvertuoti: kcet
kontūras: kluc
opera: hpop
pritarimas: nron
išdavinėti: rwak
nubausti: hzen
alkūnė: kcon
areštas: tcet
remontas: hrop
įtartinas: cyec
septyniasdešimt: swet
Šventasis-Raštas: srip
duobė: grac
sutrikimas: dlak
dvejetainis: byin
abatija: bjan
rodyklė: tcec
linkę: trec
detalizuoti: frat
lojalumas: hlot
moneta: syip
drebėti: tcem
tremtis: gwin
mechaninis: myim
gaudyklė: crap
tortas: kyek
seras: cyes
nesiryžti: sret
septyniolika: syet
medus: myon
kuolas: dzat
protektorius: hjam
plyta: brit
aštuoniasdešimt: hpes
deja: pcen
konsultuotis: kcot
legenda: lwen
derlius: hfos
skatinimas: pfon
viryklė: hsop
sukilėlių: bric
senamadiškas: hnom
bangavimas: cron
pelkė: swot
padažas: hdes
asketiškas: pces
vadybininkas: mren
choras: cros
racionalus: tson
apdorojimas: pson
vilkas: blaf
kilimas: hgap
senovė: hjak
derlingas: frut
švilpukas: slif
sūris: twis
įkąsti: byat
pakviesti: jwan
katedra: kyet
uostas: brak
nuklysti: djan
augalai: tsos
karinis-jūrų-laivynas: nlen
kaukė: mrok
pieštukas: pses
daržovių: sroc
eksponatas: hzet
kelnės: tlun
korupcija: hrup
kabinetas: nram
sriuba: srup
chirurgas: syon
pašalpa: tcot
šnipas: gyas
neapgalvotas: hlec
paskalos: gyic
žetonas: hzon
abstraktus: srok
ketvirtadienis: cwim
eismas: ryaf
architektūra: ryek
krekas: rwaf
ornamentas: rwon
atvirkštinis: lwas
linksmintis: mwun
atsigavimas: ksus
šaligatvis: plut
lemiamas: dyin
neigiamas: nraf
festivalis: hfec
sumažinti: hrum
išdavystė: zyan
medžiotojas: djin
gyvatė: syen
baterija: bret
vaškas: flam
detektyvas: dlit
analizė: nlis
pabrėžimas: hzot
plaukti: twen
vokas: lwaf
kas-tik: hgek
cigaretė: jrit
variklis: mrot
savanoris: hwot
reakcija: ryif
bagažas: blam
kurčias: hboc
sultys: hjus
nuolankumas: jlit
ministerija: mret
seksualinis: hjon
skersmuo: dyam
kirvis: blac
deimantas: dlam
atsarginis: hlek
aidas: hgus
apribojimas: swon
tapatybė: hdaf
ekranas: krun
tingus: lwis
momentane-aspektas: hmop
kompaktiškas: kfot
dreifas: hdif
išnykti: hgaf
spindulys: ryen
rašalas: mwic
masinis: mraf
rūsys: dyac
įsimintinas: nrun
žvilgsnis: klek
senatas: slet
karstas: tfap
atleidimas: frac
nuryti: nlun
atsiduoti: nlot
sūpynės: swun
pieva: gram
kompleksas: klos
atsistatydinimas: hzis
nuolankus-registruotis: nret
sąmokslas: swim
paprika: prip
ponis: pron
kandidatas: hzam
lapė: flik
kaminas: tcon
jurisdikcija: drik
Žemdirbystė: rwic
tikslumas: tcuk
buvęs-velionis: brim
demokratinis: mrek
pumpuras: hbos
antklodė: bwat
kruša: hgep
kiaulė: srus
formos: krek
dramblio-kaulas: craf
klasikinis: ksok
stebėtojas: nwet
dramblys: lwit
nagai: nwus
bitė: hmif
palaidoti: dzan
aktorius: bzat
prakaitas: zwan
lenkų: ploc
iliuzija: hlus
neapibrėžtumas: pcet
antrinis: syif
sulankstyti: tsot
kaimo: grun
dejavimas: nyen
priminti: slec
citata: hzun
maišas: cyek
susierzinimas: fren
adata: hjun
kontroliuojamomis: nroc
vištiena: truk
nuoseklus: kwot
statinė: bras
įprastas-aspektas: hcep
ekspertas: ksec
įteigti: blin
alyvmedis: zlin
furgonas: myen
kliūtis: bwak
kinkuoti: kcec
skatinti: plaf
apibrėžimas: fyic
gimimo-diena: gjin
plaktukas: hcof
gardus: hfon
kartojimas: trun
trivialus: twut
smūgis: hjik
kasti: kwaf
glamonėti: plot
kaukolė: hcop
teisės-aktų-leidėjas: dlik
kulnas: cruk
raukytis: crun
patentas: plet
milijardų: blim
cheminis: fyik
pilotas: pyot
imituoti: mlot
sijonas: kwet
itin: srap
kas-savaitę: jwik
techninis: tfip
augmenija: tset
varna: kraf
saulėtekis: sruc
gyvenimas: glin
prisidėti: hyom
kablys: hdok
tigras: blic
prasiskverbti: crut
įvorė: slun
greitkelis: jras
milicija: mlip
griovys: kroc
vientisumas: kret
devyniolika: dzin
organinis: rwik
teologija: flic
plūdė: flut
ragana: byac
Padovanok-dovaną-Pasiūlyk savaitės: hwuk
diplomatinis: dyik
studija: twos
viršyti: kcok
šampanas: cyen
įkvėpti: crif
vėliava: hbes
skyrybos: lwon
varžtas: hbut
vena: jyan
pasyvus: psif
puta: hgum
