berfenw: hnit
celf: klat
vialis-achos: hlas
brawd: pyak
weithiau: ksas
llinell: lyan
tabl: tlas
afon: nwit
llygad: kyac
gwybodaeth: fyin
yn-sydyn: tfan
rhyfedd: hgan
dwfn: ksan
newid: hrit
teimlad: nwac
cwrdd: mlit
pwrpas: htuc
hapus: hcuc
ymddengys: syit
gwaed: cyac
rhosyn: kwas
de: swan
oer: tlat
ymlaen: myik
sefyllfa: psis
yn-hwyr: tyam
sefyll: syan
Mae'n-debyg: nlas
merch: pyit
mwynglawdd: myan
torri: hkim
copi: hfap
gŵr: hgat
chwech: hlis
cofiwch: twat
effaith: hyaf
syrthio: htuk
ac-eithrio: hsip
gwallt: hpaf
pasio: pyas
hawlfraint: pcit
y-fyddin: cyit
rhedeg: kcak
ceffyl: kcas
dyfodol: hwic
orllewin: pcak
talu: plit
Coch: hyun
aur: tcun
dymuniad: hdan
chwarae: plin
meistr: mwas
swyddfa: hfus
llywodraeth: syak
eglwys: kyas
hyd: hlen
cwmni: ksin
papur: kyis
tebygolrwydd: hbin
yn-enwedig: cyas
arth: pcas
ffenestr: cyak
cytundeb: hgac
harddwch: syac
dyletswydd: tfac
anfon: fyan
pellter: htif
tawelwch: slan
droed: fyat
gwyllt: kyik
yn-marw: myam
arbed: pfan
gwyrdd: kcin
trafferth: mlan
gwenu: myak
anghywir: clat
amrywiol: pcin
cysgu: slit
quotative-achos: kwik
dechrau: cwan
gweithredu: kfan
ymweliad: fwat
dilyn: nlan
ceisiwch: tcis
presenoldeb: psit
melys: tlit
gyfoethog: tcin
gelyn: tcam
llong: hcip
cyflwr: kyit
Gan-gynnwys: hkum
gynhwysol-person: hlon
gyfrinach: kwit
precative-hwyliau: pwim
gwrtais-gofrestru: hbit
drwg: pwac
mawrth: myas
Beth-bynnag: kwac
aros: hlam
yn-lle-hynny: plat
glas: plan
amhosibl: psap
ysgol: hsuk
achlysur: ksac
briod: nwat
bwyd: hcuk
ugain: tsis
dawel: tcit
yn-hawdd: hnis
darpar-agwedd: hrap
iaith: lyac
mynegiant: syas
wythnos: hsus
neuadd: hcum
perygl: kcic
eiddo: myit
eni: nyan
llys: kcut
Yn-gyffredinol,: tyap
gnomic-agwedd: hmip
werth: tyas
syml: syap
coed: pyic
frwydr: pyap
wal: twit
nefoedd: cwak
inchoative-agwedd: htip
jussive-hwyliau: hjin
tôn: twun
sylw: klan
Disgwylir: pcik
mis: hmaf
profiad: nyap
yn-gyfan-gwbl: nyac
ffres: tsac
dug: hnuk
a-gwmpesir: kwak
rhwymo: hyim
ddwyrain: tyuk
carreg: pwan
braidd: kfat
cyfarwyddyd: tlac
cadeirydd: kwis
cefnogaeth: syut
dyddiad: tyic
pentref: klac
maes: clit
caniatâd: nwin
caniataol-hwyliau: hmom
llwyddiant: slak
priodol: hric
bryn: clin
cerddoriaeth: ksik
distal-dangosol: hdat
prynhawn: htup
crio: hyuc
anrhydedd: hnaf
saith: swit
preifat: pfat
newyddion: nwas
olygfa: slac
gardd: cyam
hil: htus
dosbarthol-achos: twak
dysgu: clan
gwleidyddol: syik
gorwedd: kcun
bwrw: tsak
bwyta: kcam
llawr: hlaf
sâl: pwin
gwreiddiol: mlin
haf: kyam
crefydd: tlam
llun: ksit
dianc: plap
awdur: hlut
brown: pyun
benderfynir: htem
poen: hdon
gwanwyn: psin
ganrif: syic
meddal: mwan
cornel: kyun
cynhyrchu: psas
chwerthin: cyaf
anghofio: flat
ewrop: hyup
wyth: lwat
gwisg: lwac
ofnadwy: cyap
anadl: syaf
ddoeth: hbas
meddiannol-marciwr: srak
cof: myin
modern: fwan
fan-a'r-lle: tcap
yn-codi: hyus
egwyl: pyik
hanner-cant: hfis
ynys: tlap
cyffwrdd: hsuc
addewid: pcam
commissive-hwyliau: mwin
gradd: tfat
cynllun: plac
ymddygiad: nyak
syndod: cran
munud: hmun
ergyd: hwut
waeth: pcap
gwydr: klak
enghraifft: tlin
yn-ddiogel: hsif
meddyg: tsit
completive-agwedd: hmep
dro-ar-ôl tro: tyun
milwrol: slin
cynnes: nyam
diod: pfin
cwestiynau: pcaf
dicter: nran
yn-uniongyrchol: tyik
het: hcup
ci: kwap
gwas: hnuc
balchder: hram
dorf: tcuc
trên: nyin
moesol: myut
cysylltiedig: kyim
fynd-i-mewn: fyak
rheol: nyas
cleddyf: cwat
ymosodiad: kfak
iechyd: clac
paragraff: pyaf
cymdeithasol: hsum
ad-daliad: tfit
n-chwith: hpec
dewrder: krac
gras: hnen
swyddogol: hfaf
a-ddarperir: tsik
cais: pwit
Cipolwg: klas
symudiad: hyon
disgwyl: cwit
gyferbyn: psam
deuddeg: tyaf
cymryd-rhan: nyut
gwin: hwun
blas: swut
haearn: fyac
dosbarthu: syin
fasnach: myap
mantais: twac
dillad: kfip
barnwr: fwak
gwahaniaeth: tfaf
bryderus: kcis
capten: kwin
gorffenedig: nlat
rhoi'r-gorau-i agwedd: hsep
chwilfrydig: kyic
tramor: kwic
intensifier: hnif
pwysigrwydd: myun
yn-olaf: hfim
bil: fwin
profi: hpuk
atal: flan
gwddf: cyun
cyfreithiol: hfik
sych: swak
gweini: syam
colli: pcut
tystiolaeth: pyut
tystiolaethol-achos: hdak
cynnydd: pyis
adeilad: klit
chwilio: syuc
drist: hrac
pechod: psip
deg-ar-hugain: tfis
onest: tsin
cau: kyap
banc: pcun
tynged: cyik
coedwig: hfun
mesur: mlac
fel-arall: htoc
nant: lyam
bara: hpup
ychwanegol: tfak
dewis: twas
anifeiliaid: nwam
zoic-rhyw: hzin
eventive-hwyliau: hwim
yr-un-digwyddiad marciwr: hcom
lluosogol-achos: tlak
trwchus: hmus
creadur: hyum
glaw: myic
wyneb: pfas
sanctaidd: swis
Gorffennaf: clim
adroddiad: hfut
arfordir: pwas
ffeil: hfif
ysgwydd: cwut
synnu: kran
brenhinol: klik
cân: hkuf
cysur: kfaf
unrhyw-un: nyic
glaswellt: kcap
tynnu: cwik
agor: cyic
Mehefin: cwun
pysgod: mlic
cyfalaf: klin
fron: cyut
eira: hcif
addysg: tlik
miniog: tcaf
biti: hdam
traul: fyas
eich-un-chi: hmuc
miliwn: mlun
wedi-blino: tcik
lladd: ksam
cysgod: cwap
pwysau: plas
màs: mlas
sefydlu: tlip
dewr: pyam
tenau: plic
bodlon: srat
gwiriwch: kcik
rhinwedd: hdet
cenedlaethol: nyaf
ddwyfol: swin
cwm: clak
dyfalu: kwam
hapfasnachol-hwyliau: hken
melyn: clas
gweddillion: mwac
plygu: nlac
blwch: pwak
tymor: tsim
gwyddoniaeth: slas
turio: kcuc
ewythr: hmuk
rhestr: lyit
Awst: ksut
poblogaidd: hlup
anhysbys: fyit
cyfarwydd: flak
cyfarwydd-gofrestru: krit
darllenydd: tsut
ymagwedd: pcuc
ddwywaith: tsap
deallusol: tfik
wirioneddol: tsam
offeiriad: pcis
glwyfo: fran
tristwch: hpom
palas: kfas
guro: clap
eh?: hnec
ffwl: myuk
ymyl: pfac
naw: nwun
byrstio: psut
yn-dioddef: tfas
sŵn: hcus
llenyddiaeth: lyic
cyngor: swas
gwag: kcuk
rheng: psik
storm: tcut
poced: kyip
dychymyg: nlin
dedfryd: cwas
Tachwedd: nwap
Rhagfyr: tsip
absenoldeb: psic
diolch: ryak
cyfeiriad: tyis
aderyn: pyuc
perchennog: mlik
cot: kwut
paratoi: tyip
cysylltiadau: lwan
mwg: htum
Ionawr: nwak
peiriant: clic
cynnwys: nyik
dannedd: tlis
cywilydd: hcet
bae: kcaf
ymennydd: pyuk
ffoniwch: klic
ymadrodd-marciwr: frak
sgwâr: ksap
ffrwythau: fyut
te: tsic
eglurwch: slam
croeso: cwam
barddoniaeth: pwis
prynu: klam
ffyddlon: hdic
cyffro: hcen
deugain: klis
Ebrill: pyip
garedig: kfit
Hydref: kfap
chwerw: kyuc
gaethweision: tlaf
rhydd: hluk
testun: tsus
credyd: cyip
pymtheg: pfit
creulon: kcim
ymuno: cluc
proses: hpif
trosedd: kyaf
llwch: tsuc
ymarferol: plik
lliw: nlak
dinistrio: nyuc
cynyddu: lyas
trwyn: hnus
cyfaddef: tyim
ddoe: kfac
hesternal-amser: tlen
methu: slap
parhau: tcim
gwisgo: pwam
ddall: nlit
dwsin: tsun
hedfan: fyap
canmoliaeth: cwin
diafol: cwaf
yn-raddol: twic
aberth: kyif
ymarfer-corff: cyis
cydwybod: tfin
theori: tlic
gweinidog: myis
casineb: hnet
llyn: cwic
canolfan: syun
llewygu: pfic
rhesymegol-rhyw: hron
gofalus: fwac
mwynhau: nlam
addoli: pwap
nwyddau: twap
croen: twaf
to: tlut
goron: gyan
castell: klap
orsedd: tcus
ynghlwm: nlaf
filltir: mlim
eithafol: krim
carchar: fyis
cwpan: kcip
aelod: mlam
sifil: syim
ym-mhob-man: tsaf
yn-amlwg: tfic
cwpl: pwaf
cyfaint: clam
arfer: ksaf
bwa: ksun
siwt: slut
cig: mwak
llaeth: hluc
vegetal-rhyw: hwen
gweledigaeth: slic
prin: nlap
cefnder: ksic
bont: pwut
gwarchod: pfak
halen: swam
diniwed: hwus
brenhines: kwim
cyfrif: kcus
chwilfrydedd: hras
dawns: tyus
gwesty: clut
llenwi: flin
carcharor: psun
siop: hjan
grisiau: sric
beg: hmen
tywod: sran
treisgar: hgit
Medi: hsem
ymadawiad: prac
adfail: crin
sgiliau: krin
gwartheg: hwec
offer: hwip
cegin: hkon
gwerthu: hbak
cyflymder: hsot
casgliad: clon
cyfrifiadur: hkot
tragwyddol: hsen
cyfyngedig: mrit
llyfrgell: hbek
sylfaen: hbac
dryswch: hrun
gogoneddus: cris
yn-yr-un modd: hjic
ofnus: hbic
anhapus: prin
erthygl: hrek
cogydd: kfin
band: hbat
anialwch: hget
cusan: hbun
pêl: hbot
ffon: hpot
ddadl: hrut
arsylwi: nrak
bendith-hwyliau: hbim
trawiadol: hrim
yn-euog: hdis
gwn: hgin
heddlu: plis
cuddio: hzan
alldaith: srin
anwybodus: nrin
hael: drac
cloud: blan
gwastraff: htek
Chwefror: frif
clefyd: hren
treulio: bwan
ffynhonnell: sron
menter-achos: hnok
modryb: hbam
oedi: dlic
oedi-hanfodol: hlip
adroddwyd-tystiolaethol: prat
canol-nos: dyit
arwr: nrac
athroniaeth: hfof
bys: hjit
gyfforddus: hzat
rhywle: hmoc
wasg: bran
staff: hraf
Gwobr: rwan
bai: dlac
diflastod: krat
talcen: htec
ad: glan
angel: htet
unigol-rhif: hgam
wawr: hbon
masnachol: krak
maddau: pran
defaid: hcec
amynedd: hpen
fferm: crac
cyfeiriadol: hrec
corn: mran
allweddol: kcif
mwyafrif: hmot
gwendid: hdut
awyrgylch: traf
sigh: tcoc
dynoliaeth: mlis
gwrthwynebiad: pric
disg: hdik
unig: hket
artist: nrat
marchog: cwis
swyn: tran
penderfyniad: drin
llywodraethwr: gran
gangen: rwac
gwarediad: hsoc
brwdfrydedd: tsum
anwythol-hwyliau: hdum
cymuned: hmum
olew: hyen
pibell: hbap
print: trat
oh: dyoc
disgwrs-cyd-destun: hros
vocative-achos: hwok
caban: ksen
larwm: plam
nerfus: hnes
parhaol: hset
cyllell: ksuk
sidan: slik
ddirmyg: grin
uffern: nrik
gwahanu: plen
o-ddifrif: mrat
cymysg: mrik
pren: mrak
Mae'n-well: hpet
rhybudd: trin
admonition-hwyliau: htom
impulse: hmos
uchelgais: mrac
gwadu: hnek
cyfansoddiad: swic
offeryn: srit
parhaus-agwedd: hnip
llanw: hgas
coleg: klen
cynffon: hkek
genhedlaeth: nric
cath: blat
uniongyrchol-tystiolaethol: hret
wedi'u-gadael: trac
un-ar-ddeg: hyec
greddf: nlik
nodweddiadol: trit
llwyth: hgik
bryderus-hwyliau: pcim
lloches: crat
anghwrtais: hruc
marchogaeth: hris
ysgwyd: hmon
diwydiant: hdot
proffesiwn: hres
lamp: hdap
coffi: kfif
ufuddhau: htot
gogleddol: nrit
nyrs: nris
sicrhau: hjat
cadwyn: ryin
addysgu: cric
esgidiau: hgut
iard: mram
amwys: hmec
mewn-mannau-eraill: hlet
fflat: pret
gweithgaredd: twot
Dydd-Sadwrn: cram
heulwen: hduc
gweddw: hwuc
elfen: hlem
myfyrio: hfen
sefydliad: hgis
seren: tram
digwyddiad: hgon
gwestai: hgip
bar: brap
potel: hbet
bendithia: blak
gynnwrf: crak
mewnol: trik
atgyweiria: krik
deillio: prit
pant: hcot
talaith: hpos
gwareiddiad: srac
hongian: hgak
sioc: crok
eithriad: swap
straen: tren
safonol: ryan
gyrru: dran
gwared: hruk
tyngu: kses
trysor: zran
hadau: hbis
twr: tras
hoff: fwit
Yn-ddiweddar,: hcem
diweddar-gorffennol-amser: hrot
effro: srik
dodrefn: mrin
rhaff: hkos
antur: hdas
breindal: ryit
gwledd: dyat
disgrifiwch: dras
trigain: hses
graddfa: hkem
seremoni: srec
hela: clik
sibrwd: psus
i-raddau-helaeth: ryat
Cristnogaeth: ksim
cyfreithiwr: hwif
manylion: drit
tywysoges: hrus
allor: dlat
we: hwes
porffor: brin
casglu: hkoc
etholiad: hben
beichiogi: kren
feddw: crik
arllwys: brac
lifft: hlif
ystum: hjis
rheoli: rwin
cyfnewid: tcen
pendant-erthygl: hdek
ymerawdwr: mras
bell: hroc
hyll: clup
ddiniwed: cras
y-gofrestr: hrof
modfedd: nlic
papur-newydd: grat
barf: dric
rwygo: srim
comisiwn: kson
tra: grak
groesfan: kcoc
annibyniaeth: htes
arogl: hwon
deunaw: hdec
hanesyddol: tris
gros: krut
gwraidd: hrok
mwd: hbik
briodferch: dlan
llen: pras
theatr: tret
cymhariaeth: kras
wrthwynebydd: rwis
cydbwysedd: slen
hyfforddwr: kron
hiwmor: hnum
nofel: rwas
dial: hbaf
genfigennus: ryut
olwyn: hlok
llosgi: glat
fflach: flac
creu: hkec
gwrthdaro: hnot
curse: hlos
imprecatory-hwyliau: pram
ddiymadferth: hces
cadarnhaol: hzit
clwb: klup
llifogydd: nras
grawn: gwan
difaterwch: hdun
gorwel: crim
assumptive-hwyliau: hsom
serth: htop
cytgord: mron
taranau: hgot
plentyndod: htok
pen-glin: hgun
meddalwedd: pwen
anaf: kram
derbynneb: ryis
galluogi: nlim
protasis: hpoc
slip: slok
chwyldro: hrif
ffermwr: hjim
strôc: trak
llwyfan: hpof
negesydd: hmes
braint: hpek
drefnu: hyot
myfyriwr: clen
ogof: hgec
traddodiad: rwat
drasiedi: tses
ffarwel: hjap
beirniadaeth: ryik
cotwm: krap
ysbyty: slot
rhent: kris
nwy: hges
anochel: pwic
marwol: hgim
dail: glit
cyhoeddi: plun
gelyniaethus: tsup
cyfieithu: dwan
angladd: jran
blawd: mrun
gohebiaeth: ryon
rhamantus: hrom
cwt: clun
cynnig: psot
mimetic: hmet
doler: dlon
golau-dydd: hjac
un-ar-bymtheg: hsos
cynulliad: hzac
nythfa: klon
adain: gyin
llew: hles
diwylliant: klut
colofn: hkom
cyfrwys: glak
drama: dram
jôc: hjuc
niwl: hdus
meddygaeth: dwas
pedwar-ar-ddeg: hkes
asid: sram
sef: hyet
incwm: hmok
esgob: hbip
orange: tron
bath: byan
cyntefig: rwit
basged: ksek
ysgrifennydd: sris
gwellt: prak
ddiamynedd: pfif
iachawdwriaeth: slon
hodiernal-amser: dlin
yn-bwriadu: zrin
stêm: tcip
gwenwyn: hwoc
talent: tlon
hinsawdd: lwim
effeithiol: fric
gwahaniaethu: tcif
golchi: dwac
cyffes: kfis
lol: hjas
glo: kyon
canŵ: kwon
dros-dro: tric
delimitative-agwedd: hdip
asgwrn: hcos
Dydd-Llun: nwic
Dydd-Mawrth: glac
Dydd-Mercher: bwac
ffederal: frin
ddymunol: hzic
cynrychiolydd: ryic
llieiniau: lwin
sinc: swuk
nai: bwin
gwaedlyd: kric
gwarchae: cren
stumog: hpem
pres: pcon
copa: hzik
pumed: pfik
rhad: brat
exclusive-person: kwen
atafaelu: zrat
ffens: hzas
cerflun: tfam
magnelau: tlep
gofleidio: mrap
cyfagos: sren
llym: srot
ceirw: hluf
llwyn: hbuc
Railroad: hrep
rhyddhau: hduk
etifedd: mris
derw: blun
annymunol: pren
ddyfais: hgic
piano: pyon
perswadio: swen
anweledig: gric
dda---hysbys: ryun
creulondeb: kluk
temtasiwn: hyoc
Telic-agwedd: hlep
economaidd: kfik
rhyngwladol: troc
ymyrryd: tcek
athronydd: flif
cain: gyit
lles: kyen
pysgota: mlak
dwyn: truc
gwefus: hloc
ymddeol: ryac
darn: sras
oriel: glen
cyfochrog: zlan
atelic-agwedd: htep
cyfandir: trap
waharddol-hwyliau: nrim
tei: dwat
cell: slep
wy: dyan
artiffisial: jrat
yn-y-cyfamser: nwis
argyfwng: ksot
gwrtais: sloc
cinio: lyon
pinwydd: pwon
gwthio: hcef
cynghrair: lyen
canol: hkop
wyrth: hmek
morwr: slis
purdeb: prut
gweriniaeth: hguk
ffôn: tfen
chwip: krip
shirt: cyim
cyflwyno: ryas
soffa: hsof
ysgubo: hsup
lleidr: ksif
cadw: nrec
sianel: kcen
personoliaeth: klim
diwygio: kfam
bygythiol: hzim
palmwydd: plim
siaradwr: hzak
trothwy: dwic
cymell: pris
picell: bzak
daclus: syec
sesiwn: cwen
artaith: crot
llaith: tcum
crib: grit
teithiwr: hyek
felin: mwik
map: jrac
coler: klok
cymryd-lle: klif
yn-fwriadol: drat
cwrw: hbif
melfed: hwem
disgyrchiant: gwit
bregeth: hpum
cam-drin: glas
ddiadell: hgen
tri-ar-ddeg: tres
cyfiawnhau: jyit
Dydd-Gwener: crum
brwsh: broc
download: dlas
hufen: krem
clogwyn: klaf
rheithgor: jrin
anghenfil: ksos
rhewi: hgoc
pot: pfot
ceiniog: psen
mynnu: srut
afal: hpep
trafod: drak
cefndir: prun
drawsgrifio: trim
cyfnodol: prik
adloniant: nren
firws: bris
plentynnaidd: blit
adlewyrchu: flit
trosi: kcet
amlinelliad: kluc
opera: hpop
cymeradwyaeth: nron
bradychu: rwak
cosbi: hzen
penelin: kcon
atodiad: tcet
trwsio: hrop
amheus: cyec
saith-deg: swet
ysgrythur: srip
pwll: grac
anhrefn: dlak
deuaidd: byin
abaty: bjan
arrow: tcec
yn-tueddu: trec
ymhelaethu: frat
teyrngarwch: hlot
darn-arian: syip
crynu: tcem
alltudiaeth: gwin
mecanyddol: myim
trap: crap
cacen: kyek
syr: cyes
petruso: sret
un-deg-saith: syet
mêl: myon
fantol: dzat
gwadn: hjam
brics: brit
wyth-deg: hpes
yn-anffodus: pcen
ymgynghori: kcot
chwedl: lwen
cynhaeaf: hfos
dyrchafiad: pfon
stôf: hsop
rebel: bric
hen-ffasiwn: hnom
chwyddo: cron
gors: swot
dresin: hdes
asgetig: pces
rheolwr: mren
corws: cros
rhesymegol: tson
prosesu: pson
Blaidd: blaf
carped: hgap
hynafiaeth: hjak
ffrwythlon: frut
chwiban: slif
caws: twis
brathu: byat
gwahodd: jwan
eglwys-gadeiriol: kyet
harbwr: brak
crwydro: djan
cnydau: tsos
nefi: nlen
mwgwd: mrok
pensil: pses
llysiau: sroc
arddangosyn: hzet
trowsus: tlun
llygredd: hrup
cabinet: nram
cawl: srup
llawfeddyg: syon
lwfans: tcot
sbïo: gyas
di-hid: hlec
clecs: gyic
tocyn: hzon
haniaethol: srok
Dydd-Iau: cwim
traffig: ryaf
pensaernïaeth: ryek
crac: rwaf
addurn: rwon
cefn: lwas
difyrru: mwun
adferiad: ksus
palmant: plut
bendant: dyin
negyddol: nraf
wyl: hfec
lleihau: hrum
brad: zyan
helwyr: djin
neidr: syen
batri: bret
cwyr: flam
ditectif: dlit
dadansoddiad: nlis
pwyslais: hzot
nofio: twen
amlen: lwaf
pwy-bynnag: hgek
sigarét: jrit
modur: mrot
gwirfoddolwr: hwot
adwaith: ryif
bagiau: blam
byddar: hboc
sudd: hjus
gostyngeiddrwydd: jlit
gweinidogaeth: mret
rhywiol: hjon
diamedr: dyam
bwyell: blac
diemwnt: dlam
yn-ail: hlek
echo: hgus
ataliaeth: swon
hunaniaeth: hdaf
sgrin: krun
ddiog: lwis
momentane-agwedd: hmop
compact: kfot
drifft: hdif
diflannu: hgaf
ray: ryen
inc: mwic
enfawr: mraf
seler: dyac
cofiadwy: nrun
llacharedd: klek
senedd: slet
arch: tfap
maddeuant: frac
llyncu: nlun
fwynhau: nlot
swing: swun
dôl: gram
cymhleth: klos
ymddiswyddiad: hzis
ostyngedig-gofrestru: nret
gynllwynio: swim
pupur: prip
merlyn: pron
ymgeisydd: hzam
llwynog: flik
simnai: tcon
awdurdodaeth: drik
amaethyddiaeth: rwic
cywirdeb: tcuk
cyn-ymadawedig: brim
democrataidd: mrek
blaguryn: hbos
blanced: bwat
cenllysg: hgep
mochyn: srus
siâp: krek
ifori: craf
clasurol: ksok
arsylwr: nwet
eliffant: lwit
hoelion: nwus
gwenyn: hmif
claddu: dzan
actor: bzat
chwys: zwan
sglein: ploc
rhith: hlus
ansicrwydd: pcet
eilaidd: syif
blygu: tsot
gwledig: grun
ochneidio: nyen
yn-debyg: slec
quote: hzun
sach: cyek
annifyrrwch: fren
nodwydd: hjun
dan-reolaeth: nroc
cyw-iâr: truk
cyson: kwot
gasgen: bras
arferol-agwedd: hcep
arbenigwr: ksec
greu-argraff: blin
olewydd: zlin
van: myen
rhwystr: bwak
nodio: kcec
maeth: plaf
diffiniad: fyic
pen-blwydd: gjin
morthwyl: hcof
persawrus: hfon
ailadrodd: trun
ddibwys: twut
cic: hjik
gloddfa: kwaf
anifeiliaid-anwes: plot
penglog: hcop
deddfwrfa: dlik
sawdl: cruk
gwgu: crun
patent: plet
biliwn: blim
cemegol: fyik
peilot: pyot
dynwared: mlot
sgert: kwet
anarferol: srap
wythnosol: jwik
technegol: tfip
llystyfiant: tset
frân: kraf
sunrise: sruc
oes: glin
cyfrannu: hyom
bachyn: hdok
teigr: blic
treiddio: crut
llawes: slun
priffyrdd: jras
milisia: mlip
ffos: kroc
uniondeb: kret
pedwar-ar-bymtheg: dzin
organig: rwik
diwinyddiaeth: flic
arnofio: flut
wrach: byac
diflasu: hwuk
diplomyddol: dyik
stiwdio: twos
yn-fwy-na: kcok
siampên: cyen
ysbrydoli: crif
banner: hbes
ysgariad: lwon
bollt: hbut
gwythïen: jyan
goddefol: psif
ewyn: hgum
graean: grik
ffedog: tyen
blaned: gren
silff: claf
gefnogwr: flon
trofannol: hjip
cam: fwas
mympwyol: rwen
ynganu: kfun
mercwri: krok
ymgripiad: hrem
hunanladdiad: tcos
