инфинитив: hnit
место: tcap
подъем: hyus
ломать: pyik
50: hfis
остров: tlap
коснуться: hsuc
обещание: pcam
commissive-настроение: mwin
степень: tfat
план: plac
поведение: nyak
сюрприз: cran
минут: hmun
выстрел: hwut
хуже: pcap
стакан: klak
пример: tlin
безопасно: hsif
врач: tsit
заканчивающий-аспект: hmep
повторный: tyun
военный: slin
тепло: nyam
напиток: pfin
вопросов: pcaf
гнев: nran
непосредственно: tyik
шапка: hcup
собака: kwap
служащий: hnuc
гордость: hram
толпа: tcuc
поезд: nyin
моральный: myut
связано: kyim
войти: fyak
правило: nyas
меч: cwat
атака: kfak
здоровье: clac
параграф: pyaf
Социальное: hsum
возврат: tfit
Прости: hpec
мужество: krac
Грейс: hnen
официальный: hfaf
предоставлена: tsik
запрос: pwit
взгляд: klas
движение: hyon
ожидать: cwit
напротив: psam
двенадцать: tyaf
занято: nyut
вино: hwun
вкус: swut
железо: fyac
распространять: syin
сделка: myap
преимущество: twac
одежда: kfip
судья: fwak
разница: tfaf
тревожный: kcis
капитан: kwin
законченный: nlat
прекращение-аспект: hsep
любопытный: kyic
иностранный: kwic
усилитель: hnif
важность: myun
в-конце-концов: hfim
законопроект: fwin
доказывать: hpuk
не-допустить: flan
шея: cyun
правовой: hfik
сухой: swak
обслуживать: syam
потерять: pcut
доказательства: pyut
доказательный-дело: hdak
прогресс: pyis
здание: klit
поиск: syuc
грустный: hrac
грех: psip
30: tfis
честный: tsin
закрыть: kyap
банка: pcun
судьба: cyik
лес: hfun
измерять: mlac
в-противном-случае: htoc
поток: lyam
хлеб: hpup
дополнительный: tfak
выберите: twas
животное: nwam
содержащий-окаменелости-Пол: hzin
Событийный-настроение: hwim
одна-и-та же мероприятие маркер: hcom
мультипликативный-дело: tlak
толстый: hmus
существо: hyum
дождь: myic
поверхность: pfas
святой: swis
июль: clim
отчет: hfut
берег: pwas
файл: hfif
плечо: cwut
удивленный: kran
королевский: klik
песня: hkuf
комфорт: kfaf
кто-угодно: nyic
трава: kcap
привлечь: cwik
открытие: cyic
июнь: cwun
рыба: mlic
столица: klin
грудь: cyut
снег: hcif
образование: tlik
резкое: tcaf
жалость: hdam
расходы: fyas
ваш: hmuc
миллиона: mlun
устала: tcik
убийство: ksam
тень: cwap
вес: plas
масса: mlas
установленный: tlip
Храбрый: pyam
тонкий: plic
доволен: srat
проверить: kcik
добродетель: hdet
национальный: nyaf
божественный: swin
долина: clak
Угадай: kwam
спекулятивный-настроение: hken
желтый: clas
остатки: mwac
изогнутый: nlac
коробка: pwak
время-года: tsim
наука: slas
отверстие: kcuc
дядя: hmuk
список: lyit
август: ksut
популярный: hlup
неизвестный: fyit
знакомые: flak
знакомые-регистр: krit
читатель: tsut
подход: pcuc
дважды: tsap
интеллектуальной: tfik
действительно: tsam
священник: pcis
ранен: fran
печаль: hpom
дворец: kfas
бить: clap
а?: hnec
дурак: myuk
край: pfac
9: nwun
взрыв: psut
страдать: tfas
шум: hcus
литература: lyic
совет: swas
пустой: kcuk
ранг: psik
буря: tcut
карман: kyip
воображение: nlin
предложение: cwas
ноябрь: nwap
Декабрь: tsip
отсутствие: psic
спасибо: ryak
адрес: tyis
птица: pyuc
владелец: mlik
Пальто: kwut
подготовить: tyip
связи: lwan
дым: htum
январь: nwak
машина: clic
содержание: nyik
зубы: tlis
позор: hcet
бухта: kcaf
головной-мозг: pyuk
кольцо: klic
фраза-маркер: frak
квадрат: ksap
фрукты: fyut
чай: tsic
объяснять: slam
Добро-пожаловат: cwam
поэзия: pwis
купить: klam
верный: hdic
волнение: hcen
сорок: klis
апрель: pyip
любезно: kfit
октября: kfap
горький: kyuc
раб: tlaf
свободный: hluk
текст: tsus
кредит: cyip
15: pfit
жестокий: kcim
присоединиться: cluc
обработать: hpif
преступление: kyaf
пыли: tsuc
практическое: plik
цвет: nlak
уничтожить: nyuc
увеличение: lyas
нос: hnus
признавать: tyim
вчера: kfac
hesternal-напряженный: tlen
потерпеть-неудачу: slap
Продолжать: tcim
носить: pwam
слепой: nlit
дюжина: tsun
летать: fyap
хвалить: cwin
дьявол: cwaf
постепенно: twic
жертва: kyif
упражнение: cyis
совесть: tfin
теория: tlic
министр: myis
ненавидеть: hnet
озеро: cwic
центр: syun
слабый: pfic
рациональный-Пол: hron
осторожный: fwac
наслаждаться: nlam
поклонение: pwap
товар: twap
кожа: twaf
крыша: tlut
корона: gyan
замок: klap
трон: tcus
прикрепленный: nlaf
мили: mlim
крайняя: krim
тюрьма: fyis
кружка: kcip
член: mlam
гражданского: syim
везде: tsaf
очевидный: tfic
пара: pwaf
объем: clam
обычай: ksaf
лук: ksun
костюм: slut
мясо: mwak
молоко: hluc
растительный-Пол: hwen
видение: slic
редкий: nlap
двоюродная-сестра: ksic
мост: pwut
защищать: pfak
поваренная-соль: swam
невинный: hwus
Королева: kwim
подсчет: kcus
любопытство: hras
танец: tyus
Гостиница: clut
заполнить: flin
заключенный: psun
магазин: hjan
лестница: sric
очень-прошу: hmen
песок: sran
сильный: hgit
сентябрь: hsem
Вылет-из: prac
разорение: crin
умение: krin
крупный-рогатый-скот: hwec
оборудование: hwip
кухня: hkon
продавать: hbak
скорость: hsot
вывод: clon
компьютер: hkot
вечный: hsen
ограниченное: mrit
библиотека: hbek
база: hbac
путаница: hrun
славный: cris
также: hjic
испуганный: hbic
несчастный: prin
статья: hrek
готовить: kfin
группа: hbat
пустыня: hget
поцелуй: hbun
мяч: hbot
придерживаться: hpot
аргумент: hrut
наблюдать: nrak
благословение-настроение: hbim
поразительный: hrim
виновный: hdis
пистолет: hgin
полиция: plis
скрывать: hzan
экспедиция: srin
невежественный: nrin
щедрый: drac
облако: blan
отходы: htek
февраль: frif
болезнь: hren
проводить: bwan
источник: sron
инициатива-дело: hnok
тетя: hbam
задержка: dlic
задерживается-императив: hlip
сообщается-доказательный: prat
полночь: dyit
герой: nrac
философия: hfof
Палец: hjit
удобный: hzat
где-то: hmoc
Нажмите: bran
сотрудники: hraf
награда: rwan
вина: dlac
нищета: krat
лоб: htec
объявление: glan
ангел: htet
единственное-число-номер: hgam
рассвет: hbon
коммерческая: krak
прощать: pran
овца: hcec
терпение: hpen
ферма: crac
справочный: hrec
кукуруза: mran
ключ: kcif
большинство: hmot
слабое-место: hdut
атмосфера: traf
вздох: tcoc
человечество: mlis
оппозиция: pric
диск: hdik
Одинокий: hket
художник: nrat
рыцарь: cwis
очарование: tran
решение: drin
губернатор: gran
филиал: rwac
расположение: hsoc
энтузиазм: tsum
индуктивный-настроение: hdum
сообщество: hmum
масло: hyen
труба: hbap
Распечатать: trat
ой: dyoc
речь-контекст: hros
звательный-дело: hwok
кабина: ksen
аварийная-сигнализация: plam
нервный: hnes
постоянный: hset
нож: ksuk
шелк: slik
презрение: grin
ад: nrik
раздельный: plen
шутки-в-сторону: mrat
смешанный: mrik
деревянный: mrak
предпочитать: hpet
предупреждение: trin
замечание-настроение: htom
импульс: hmos
амбиция: mrac
Отрицать: hnek
конституция: swic
инструмент: srit
непрерывный-аспект: hnip
волна: hgas
колледж: klen
хвост: hkek
поколение: nric
Кот: blat
непосредственный-доказательный: hret
заброшенный: trac
11: hyec
инстинкт: nlik
характеристика: trit
племя: hgik
опасающийся-настроение: pcim
кров: crat
грубый: hruc
верховой: hris
трясти: hmon
промышленность: hdot
профессия: hres
лампа: hdap
кофе: kfif
подчиниться: htot
северный: nrit
медсестра: nris
гарантировать: hjat
цепи: ryin
учение: cric
обувь: hgut
двор: mram
неопределенный: hmec
в-другом-месте: hlet
квартира: pret
Мероприятия: twot
суббота: cram
Солнечный-свет: hduc
вдова: hwuc
элемент: hlem
отражение: hfen
организация: hgis
звезда: tram
инцидент: hgon
гость: hgip
бар: brap
бутылка: hbet
благословить: blak
размешать: crak
внутренний: trik
фиксировать: krik
выводить: prit
полый: hcot
провинция: hpos
цивилизация: srac
вешать: hgak
шок: crok
исключение: swap
напряжение: tren
стандарт: ryan
вождение: dran
избавиться: hruk
клянусь: kses
сокровище: zran
семена: hbis
башня: tras
любимый: fwit
в-последнее-время: hcem
недавний-мимо-напряженный: hrot
проснулся: srik
мебель: mrin
веревка: hkos
приключение: hdas
роялти: ryit
праздник: dyat
описывать: dras
шестьдесят: hses
масштаб: hkem
церемония: srec
охота: clik
шепот: psus
во-многом: ryat
христианство: ksim
адвокат: hwif
деталь: drit
принцесса: hrus
алтарь: dlat
Web: hwes
пурпурный: brin
собирать: hkoc
выборы: hben
концепция: kren
пьяный: crik
залить: brac
лифт: hlif
жест: hjis
управлять: rwin
обмен: tcen
определенный-статья: hdek
император: mras
дистанционный-пульт: hroc
уродливый: clup
безвредный: cras
рулон: hrof
дюйм: nlic
газета: grat
борода: dric
слеза: srim
комиссия: kson
в-то-время как: grak
пересечение: kcoc
независимость: htes
запах: hwon
18: hdec
исторический: tris
валовой: krut
корень: hrok
грязь: hbik
невеста: dlan
вуаль: pras
театр: tret
сравнение: kras
соперник: rwis
баланс: slen
тренер: kron
юмор: hnum
роман: rwas
жажда-мести: hbaf
ревнивый: ryut
колесо: hlok
сожжен: glat
вспышка: flac
Создайте: hkec
конфликт: hnot
проклятие: hlos
проклинающий-настроение: pram
беспомощный: hces
положительный: hzit
клуб: klup
наводнение: nras
зерна: gwan
равнодушие: hdun
горизонт: crim
предположительный-настроение: hsom
крутой: htop
гармония: mron
гром: hgot
детство: htok
колено: hgun
программного-обеспечения: pwen
травма: kram
квитанция: ryis
включить: nlim
протазис: hpoc
скольжение: slok
революция: hrif
фермер: hjim
Инсульт: trak
Платформа: hpof
вестник: hmes
привилегия: hpek
организованный: hyot
студент: clen
пещера: hgec
традиция: rwat
трагедия: tses
прощальный-привет: hjap
критика: ryik
хлопок: krap
больница: slot
аренда: kris
газ: hges
неизбежный: pwic
смертельно: hgim
лист: glit
публикация: plun
враждебный: tsup
перевод: dwan
похороны: jran
мука: mrun
переписка: ryon
романтический: hrom
хижина: clun
предложить: psot
подражательный: hmet
доллар: dlon
дневной-свет: hjac
шестнадцать: hsos
сборка: hzac
колония: klon
крыло: gyin
лев: hles
культура: klut
колонка: hkom
хитрость: glak
драма: dram
шутка: hjuc
туман: hdus
лекарственное-средство: dwas
14: hkes
кислота: sram
а-именно: hyet
доход: hmok
епископ: hbip
оранжевый: tron
ванна: byan
примитивный: rwit
корзина: ksek
секретарь: sris
солома: prak
нетерпеливый: pfif
спасение: slon
сегодняшний-напряженный: dlin
намереваться: zrin
Стим: tcip
яд: hwoc
талант: tlon
климат: lwim
эффективный: fric
выделить: tcif
мыть: dwac
признание: kfis
бред-какой-то: hjas
каменный-уголь: kyon
каноэ: kwon
временный: tric
delimitative-аспект: hdip
кость: hcos
понедельник: nwic
вторник: glac
среда: bwac
федеральный: frin
желательный: hzic
представитель: ryic
белье: lwin
раковина: swuk
племянник: bwin
кровавый: kric
осада: cren
желудок: hpem
латунь: pcon
саммит: hzik
пятый: pfik
дешево: brat
эксклюзивный-человек: kwen
воспользоваться: zrat
забор: hzas
статуя: tfam
артиллерия: tlep
охватывать: mrap
окружающих: sren
строго: srot
олень: hluf
куст: hbuc
железная-дорога: hrep
разряд: hduk
наследник: mris
дуб: blun
неприятный: pren
изобретение: hgic
пианино: pyon
убеждать: swen
невидимый: gric
общеизвестный: ryun
жестокость: kluk
искушение: hyoc
целенаправленный-аспект: hlep
экономический: kfik
Международный: troc
вмешиваться: tcek
философ: flif
элегантный: gyit
обеспечение: kyen
ловит-рыбу: mlak
украсть: truc
губа: hloc
выходить-на-пенсию: ryac
протяжение: sras
галерея: glen
параллельно: zlan
atelic-аспект: htep
континент: trap
запретительный-настроение: nrim
галстук: dwat
клетка: slep
яйцо: dyan
искусственный: jrat
между-тем: nwis
кризис: ksot
вежливый: sloc
обед: lyon
сосна: pwon
От-себя: hcef
альянс: lyen
Талия: hkop
чудо: hmek
моряк: slis
чистота: prut
республика: hguk
телефон: tfen
кнут: krip
Рубашка: cyim
вводить: ryas
диван: hsof
подметать: hsup
вор: ksif
сохранить: nrec
канал: kcen
личность: klim
реформа: kfam
угрожающий: hzim
Пальма: plim
оратор: hzak
порог: dwic
индуцировать: pris
копье: bzak
аккуратный: syec
сессия: cwen
пытки: crot
влажный: tcum
хребет: grit
путешественник: hyek
мельница: mwik
карта: jrac
воротник: klok
заменять: klif
умышленно: drat
пиво: hbif
бархат: hwem
сила-тяжести: gwit
проповедь: hpum
злоупотребление: glas
стадо: hgen
13: tres
оправдывать: jyit
пятница: crum
щетка: broc
скачать: dlas
крем: krem
утес: klaf
жюри: jrin
монстр: ksos
замороженные: hgoc
горшок: pfot
пенни: psen
настаивать: srut
яблоко: hpep
обсуждать: drak
задний-план: prun
транскрибировать: trim
периодический: prik
развлекательная-программа: nren
вирус: bris
детский: blit
отражать: flit
конвертировать: kcet
контур: kluc
опера: hpop
утверждение: nron
предавать: rwak
наказать: hzen
локоть: kcon
прикрепление: tcet
ремонт: hrop
подозрительный: cyec
семьдесят: swet
священное-писание: srip
яма: grac
расстройство: dlak
двоичный: byin
аббатство: bjan
стрела: tcec
тенденцию: trec
разрабатывать: frat
верность: hlot
монета: syip
дрожать: tcem
изгнание: gwin
механический: myim
ловушка: crap
кекс: kyek
сэр: cyes
колебаться: sret
семнадцать: syet
мед: myon
доля: dzat
протектор: hjam
кирпич: brit
восемьдесят: hpes
К-сожалению: pcen
консультироваться: kcot
легенда: lwen
уборка-урожая: hfos
продвижение: pfon
плита: hsop
бунтарь: bric
старомодный: hnom
зыбь: cron
болото: swot
повязка: hdes
аскет: pces
менеджер: mren
хор: cros
рациональный: tson
обработка: pson
волк: blaf
ковер: hgap
древность: hjak
плодородный: frut
свисток: slif
сыр: twis
укусить: byat
приглашать: jwan
кафедральный-собор: kyet
гавань: brak
бродить: djan
культуры: tsos
флот: nlen
маска: mrok
карандаш: pses
овощной: sroc
экспонат: hzet
брюки: tlun
коррупция: hrup
шкаф: nram
суп: srup
врач-хирург: syon
пособие: tcot
шпион: gyas
безрассудный: hlec
слухи: gyic
знак: hzon
Абстрактные: srok
Четверг: cwim
трафик: ryaf
архитектура: ryek
трещина: rwaf
орнамент: rwon
задний-ход: lwas
забавлять: mwun
восстановление: ksus
тротуар: plut
решающий: dyin
отрицательный: nraf
фестиваль: hfec
уменьшить: hrum
измена: zyan
охотник: djin
змея: syen
батарея: bret
воск: flam
детектив: dlit
анализ: nlis
акцент: hzot
плавать: twen
конверт: lwaf
кто-бы-ни: hgek
сигарета: jrit
двигатель: mrot
доброволец: hwot
реакция: ryif
Багаж: blam
глухой: hboc
сок: hjus
смирение: jlit
министерство: mret
сексуальное: hjon
диаметр: dyam
топор: blac
алмаз: dlam
заместитель: hlek
эхо: hgus
сдержанность: swon
идентичность: hdaf
экран: krun
ленивый: lwis
momentane-аспект: hmop
компактный: kfot
дрейф: hdif
исчезать: hgaf
луч: ryen
чернила: mwic
массивный: mraf
подвал: dyac
памятный: nrun
яркий-свет: klek
сенат: slet
гроб: tfap
прощение: frac
глотать: nlun
баловать: nlot
свинг: swun
луг: gram
сложный: klos
отставка: hzis
скромный-регистр: nret
заговор: swim
перец: prip
пони: pron
кандидат: hzam
лиса: flik
дымовая-труба: tcon
юрисдикция: drik
сельское-хозяйство: rwic
точность: tcuk
бывший-умерший: brim
демократический: mrek
бутон: hbos
одеяло: bwat
град: hgep
свинья: srus
профилированный: krek
слоновая-кость: craf
классическая: ksok
наблюдатель: nwet
слон: lwit
ногти: nwus
пчела: hmif
похоронить: dzan
актер: bzat
пот: zwan
полировка: ploc
иллюзия: hlus
неопределенность: pcet
вторичный: syif
сложить: tsot
сельский: grun
стон: nyen
походить: slec
цитата: hzun
мешок: cyek
раздражение: fren
игла: hjun
контролируемый: nroc
курица: truk
последовательный: kwot
баррель: bras
привычный-аспект: hcep
эксперт: ksec
впечатление: blin
оливковый: zlin
фургон: myen
препятствие: bwak
кивать-головой: kcec
способствовать: plaf
определение: fyic
день-рождения: gjin
молоток: hcof
ароматный: hfon
повторение: trun
тривиальный: twut
удар: hjik
копать: kwaf
домашнее-животное: plot
череп: hcop
законодательная-власть: dlik
каблук: cruk
хмуриться: crun
патент: plet
миллиард: blim
химическая: fyik
пилот: pyot
подражать: mlot
юбка: kwet
необычно: srap
еженедельно: jwik
технический: tfip
растительность: tset
ворона: kraf
Восход: sruc
продолжительность-жизни: glin
делать-вклад: hyom
крюк: hdok
тигр: blic
проникать: crut
рукав: slun
шоссе: jras
милиция: mlip
ров: kroc
целостность: kret
19: dzin
органический: rwik
теология: flic
поплавок: flut
ведьма: byac
скучающий: hwuk
дипломатический: dyik
студия: twos
превышать: kcok
шампанское: cyen
вдохновлять: crif
баннер: hbes
развод: lwon
болт: hbut
вена: jyan
пассивный: psif
пена: hgum
гравий: grik
фартук: tyen
планета: gren
полка: claf
поклонник: flon
тропический: hjip
фаза: fwas
произвольный: rwen
произносить: kfun
Меркурий: krok
ползать: hrem
самоубийство: tcos
репортер: prot
лишать: hpok
опытный: klun
балкон: blik
вилка: fras
наемный-рабочий: mlek
работодатель: myot
ширина: jrak
раздраженный: djit
обвинить: klot
пенсия: pyen
глагол: kres
обезьяна: mwon
приемлемо: hwek
подпись: tlim
ортодоксальный: rwos
Ирония: fron
питомник: nrap
нежелание: jlan
Импортировать: tyot
факел: croc
грамматика: gjak
депозит: gyat
колониальный: plon
яхта: jyat
логически-вытекающий: kwec
купол: kwun
толщина: hfot
упертый: cyon
мышца: hmup
величина: ryam
натирать: ryos
трусливый: rwam
упряжь: gwac
тост: tros
мышь: myus
слог: slim
похлопывание: prap
диалог: dlaf
нейтральный: nrot
усердие: dwin
противоречие: trot
достигать: kfic
козел: byak
процветать: hfet
наложить: mlon
анонимный: nwim
формальный-регистр: frit
теленок: hbof
руководство: mwut
плавиться: hjec
Удалить: flas
зонтик: gras
ботинок: bzut
минеральная: mrim
перемирие: crus
утка: hbok
планирование: pfam
мыло: hsuf
кукла: gwak
скелет: klet
вилла: blis
шитье: jlin
примириться: dyak
чайник: kset
зрелый: mruc
кролик: kruc
проводник: nwot
зависимость: djat
игрок: jlic
насекомое: pset
ресторан: cret
сова: lwun
радикал: djik
резидент: zwin
Дракон: dron
слуховой-доказательный: drot
жаждущий: kyos
задерживаться: dren
расчет: glun
регулирование: ryim
мэр: mlap
меньшинство: mric
получение: dwon
ветеран: bren
оркестр: ryes
бекон: bjin
недостаток: zwat
ткань: frap
музыкант: gzik
умственно: hnep
соединение: nyon
недостаточный: nrip
архитектор: tsek
лимон: nyim
кашель: kcos
Головная-боль: crek
арендатор: ryet
плодородие: srun
заживать: hfoc
девяносто: nwon
случайный: hbec
ложка: kcek
воздушный-шар: blon
мел: hfip
выведенный-доказательный: nlet
издатель: pcot
уксус: sruk
пепел: fyec
бранное-слово: slek
возрождать: nrut
восприимчивый: kfim
тоннель: tfun
головоломка: hpef
механизм: mwim
математика: gzit
увядать: frun
печень: jwin
sublative-дело: bwik
падение: dris
Ед.-изм: twim
монополия: hnop
игорный: hgup
подводная-лодка: bzin
землетрясение: hbem
лаборатория: brot
пробка: kruk
само-контроль: syot
Будда: hbus
вязать: bjat
посольство: blas
дальний: sres
декларативный-настроение: drim
стимул: tyuc
шоколад: clot
совпадение: tyon
перчатка: gwat
становиться-на-колени: hjek
география: hjif
инвестиции: nwes
словесный: mrec
аналогия: nlip
светский: srek
ястреб: blap
психология: nloc
скрепить: gjan
лом: krep
роль: cyum
дозировать: hdos
лосось: slom
пудинг: pwun
магнитный: gyik
насос: pcom
кислород: ksip
сертификат: tfot
медаль: hmem
риторика: trok
скрип: rwap
весло: dyas
телескоп: trip
ожерелье: clek
написание: prif
виски: hwos
ива: hwof
верблюд: hlum
любитель: myet
Выход: crec
биография: brif
осел: gzac
ежемесячно: mwis
игнорировать: nruk
отпуск: byit
щелчок: lyik
овальный: twon
