வினையெச்சம்: hnit
ஆர்வமாக: kyic
வெளிநாட்டு: kwic
தீவிரப்படுத்தி: hnif
முக்கியத்துவம்: myun
இறுதியாக: hfim
மசோதா: fwin
நிரூபிக்க: hpuk
தடுக்க: flan
கழுத்து: cyun
சட்ட: hfik
உலர்: swak
சேவை: syam
இழக்க: pcut
ஆதாரங்கள்: pyut
சான்றுத்-வழக்கு: hdak
முன்னேற்றம்: pyis
கட்டிடம்: klit
தேடல்: syuc
வருத்தம்: hrac
பாவம்: psip
முப்பது: tfis
நேர்மையான: tsin
மூடப்பட்டது: kyap
வங்கி: pcun
விதி: cyik
காட்டில்: hfun
அளவிட: mlac
இல்லையெனில்: htoc
ஸ்ட்ரீம்: lyam
ரொட்டி: hpup
கூடுதல்: tfak
தேர்வு: twas
விலங்கு: nwam
zoic-பாலினம்: hzin
eventive-மனநிலை: hwim
அதே-நிகழ்வு-மார்க்கர்: hcom
பெருக்கல்-வழக்கு: tlak
தடித்த: hmus
உயிரினம்: hyum
மழை: myic
மேற்பரப்பு: pfas
புனித: swis
ஜூலை: clim
அறிக்கை: hfut
கடற்கரையில்: pwas
கோப்பு: hfif
தோள்பட்டை: cwut
ஆச்சரியமாக: kran
அரச: klik
பாடல்: hkuf
ஆறுதல்: kfaf
யாரையும்: nyic
புல்: kcap
வரைய: cwik
திறப்பு: cyic
ஜூன்: cwun
மீன்: mlic
தலைநகர்: klin
மார்பக: cyut
பனி: hcif
கல்வி: tlik
கூர்மையான: tcaf
பரிதாபம்: hdam
இழப்பில்: fyas
உன்: hmuc
மில்லியன்: mlun
சோர்வாக: tcik
கொலை: ksam
நிழல்: cwap
எடை: plas
நிறை: mlas
நிறுவப்பட்டது: tlip
துணிச்சலான: pyam
மெல்லிய: plic
திருப்தி: srat
காசோலை: kcik
நல்லொழுக்கம்: hdet
தேசிய: nyaf
தெய்வீக: swin
பள்ளத்தாக்கில்: clak
யூகிக்க: kwam
ஊக-மனநிலை: hken
மஞ்சள்: clas
எஞ்சியுள்ள: mwac
வளைந்த: nlac
பெட்டியில்: pwak
சீசன்: tsim
அறிவியல்: slas
துளை: kcuc
மாமா: hmuk
பட்டியலில்: lyit
ஆகஸ்ட்: ksut
பிரபலமான: hlup
அறியப்படாத: fyit
தெரிந்திருந்தால்: flak
தெரிந்திருந்தால்-பதிவு: krit
வாசகர்: tsut
அணுகுமுறை: pcuc
இருமுறை: tsap
அறிவுசார்: tfik
உண்மையிலேயே: tsam
பூசாரி: pcis
காயமடைந்த: fran
துக்கம்: hpom
அரண்மனை: kfas
அடிக்க: clap
ஹே?: hnec
முட்டாளாக்க: myuk
விளிம்பில்: pfac
ஒன்பது: nwun
வெடிப்பு: psut
பாதிக்கப்படுகிகிறது: tfas
சத்தம்: hcus
இலக்கியம்: lyic
ஆலோசனை: swas
காலியாக: kcuk
சாதனை: psik
புயல்: tcut
பாக்கெட்: kyip
கற்பனை: nlin
தண்டனை: cwas
நவம்பர்: nwap
டிசம்பர்: tsip
இல்லாத: psic
நன்றி: ryak
முகவரி: tyis
பறவை: pyuc
உரிமையாளர்: mlik
கோட்: kwut
தயார்: tyip
உறவுகள்: lwan
புகை: htum
ஜனவரி: nwak
இயந்திரம்: clic
உள்ளடக்கம்: nyik
பற்கள்: tlis
அவமானம்: hcet
வளைகுடா: kcaf
மூளை: pyuk
மோதிரம்: klic
சொற்றொடர்-மார்க்கர்: frak
சதுர: ksap
பழம்: fyut
தேநீர்: tsic
விளக்க: slam
வரவேற்பு: cwam
கவிதை: pwis
வாங்க: klam
உண்மையும்: hdic
உற்சாகத்தை: hcen
நாற்பது: klis
ஏப்ரல்: pyip
கனிவான: kfit
அக்டோபர்: kfap
கசப்பான: kyuc
அடிமை: tlaf
தளர்வான: hluk
உரை: tsus
கடன்: cyip
பதினைந்து: pfit
கொடுமையான: kcim
சேர: cluc
செயல்முறை: hpif
குற்றம்: kyaf
தூசி: tsuc
நடைமுறை: plik
வண்ண: nlak
அழிக்க: nyuc
அதிகரி: lyas
மூக்கு: hnus
ஒப்பு: tyim
நேற்று: kfac
நேற்றைய-பதட்டமான: tlen
தோல்வி: slap
தொடர்ந்து: tcim
அணிய: pwam
குருட்டு: nlit
டஜன்: tsun
ஈ: fyap
பாராட்டு: cwin
பிசாசு: cwaf
படிப்படியாக: twic
தியாகம்: kyif
உடற்பயிற்சி: cyis
மனசாட்சி: tfin
கோட்பாடு: tlic
அமைச்சர்: myis
வெறுக்கிறேன்: hnet
ஏரி: cwic
சென்டர்: syun
மயக்கம்: pfic
பகுத்தறிவு-பாலினம்: hron
கவனமாக: fwac
அனுபவிக்க: nlam
வழிபாடு: pwap
பொருட்கள்: twap
தோல்: twaf
கூரை: tlut
கிரீடம்: gyan
கோட்டை: klap
அரியணை: tcus
இணைக்கப்பட்ட: nlaf
மைல்: mlim
தீவிர: krim
சிறையில்: fyis
கப்: kcip
உறுப்பினர்: mlam
சிவில்: syim
எல்லா-இடங்களிலும்: tsaf
தெளிவாக: tfic
ஜோடி: pwaf
தொகுதி: clam
விருப்ப: ksaf
வில்: ksun
வழக்கு: slut
இறைச்சி: mwak
பால்: hluc
காய்கறிக்-பாலினம்: hwen
பார்வை: slic
அரிய: nlap
உறவினர்: ksic
பாலம்: pwut
பாதுகாக்க: pfak
உப்பு: swam
அப்பாவி: hwus
ராணி: kwim
எண்ண: kcus
ஆர்வத்தை: hras
நடனம்: tyus
விடுதி: clut
நிரப்ப: flin
கைதி: psun
கடை: hjan
மாடிப்படி: sric
பிச்சையெடுத்து: hmen
மணல்: sran
வன்முறை: hgit
செப்டம்பர்: hsem
புறப்படும்: prac
அழிவை: crin
திறன்: krin
கால்நடைகள்: hwec
உபகரணங்கள்: hwip
சமையலறை: hkon
விற்க: hbak
வேகம்: hsot
தீர்மானம்: clon
கணினி: hkot
நித்திய: hsen
வரையறுக்கப்பட்ட: mrit
நூலகம்: hbek
அடித்தளம்: hbac
குழப்பம்: hrun
புகழ்பெற்ற: cris
இதேபோல்: hjic
பயந்து: hbic
மகிழ்ச்சியற்ற: prin
கட்டுரை: hrek
சமையல்காரர்: kfin
இசைக்குழு: hbat
பாலைவனத்தில்: hget
முத்தம்: hbun
பந்து: hbot
குச்சி: hpot
வாதம்: hrut
கண்காணிக்க: nrak
ஆசியும்-மனநிலை: hbim
வேலைநிறுத்தம்: hrim
குற்றவாளி: hdis
துப்பாக்கி: hgin
காவல்: plis
மறைக்க: hzan
பயணம்: srin
அறியாமை: nrin
தாராள: drac
மேகம்: blan
கழிவு: htek
பிப்ரவரி: frif
நோய்: hren
செலவிட: bwan
மூல: sron
முயற்சி-வழக்கு: hnok
அத்தை: hbam
தாமதம்: dlic
தாமதமாக-கட்டாயம்: hlip
தகவல்-சான்றுத்: prat
நள்ளிரவு: dyit
ஹீரோ: nrac
தத்துவம்: hfof
விரல்: hjit
வசதியாக: hzat
எங்காவது: hmoc
பத்திரிகை: bran
ஊழியர்கள்: hraf
வெகுமதி: rwan
பழி: dlac
துன்பம்: krat
நெற்றியில்: htec
விளம்பரம்: glan
தேவதை: htet
ஒருமை-எண்: hgam
விடியல்: hbon
வணிக: krak
மன்னிக்க: pran
ஆடுகள்: hcec
பொறுமை: hpen
விவசாய: crac
குறிப்புடன்: hrec
சோளம்: mran
முக்கிய: kcif
பெரும்பான்மை: hmot
பலவீனம்: hdut
வளிமண்டலத்தில்: traf
பெருமூச்சு: tcoc
மனித: mlis
எதிர்ப்பு: pric
வட்டு: hdik
தனியாக: hket
கலைஞர்: nrat
நைட்: cwis
அழகை: tran
முடிவு: drin
கவர்னர்: gran
கிளை: rwac
மனநிலைதான்: hsoc
உற்சாகம்: tsum
ஒப்பீட்டு-மனநிலை: hdum
சமூகம்: hmum
எண்ணெய்: hyen
குழாய்: hbap
அச்சு: trat
ஓ: dyoc
சொற்பொழிவு-சூழல்: hros
விளிவேற்றுமையில்-வழக்கு: hwok
அறைக்கு: ksen
அலாரம்: plam
பதட்டமாக: hnes
நிரந்தர: hset
கத்தி: ksuk
பட்டு: slik
அலட்சியம்: grin
நரகத்தில்: nrik
பிரிக்கப்பட்ட: plen
தீவிரமாக: mrat
கலப்பு: mrik
மர: mrak
விரும்புகிகிறது: hpet
எச்சரிக்கை: trin
இந்த-அறிவுரையை-மனநிலை: htom
உந்துவிசை: hmos
லட்சியம்: mrac
மறுக்க: hnek
அரசியலமைப்பு: swic
கருவி: srit
தொடர்ச்சியான-அம்சம்: hnip
அலை: hgas
கல்லூரி: klen
வால்: hkek
தலைமுறை: nric
பூனை: blat
நேரடி-சான்றுத்: hret
கைவிடப்பட்ட: trac
பதினொரு: hyec
உள்ளுணர்வு: nlik
பண்பு: trit
பழங்குடி: hgik
பயம்-மனநிலை: pcim
தங்குமிடம்: crat
முரட்டுத்தனமாக: hruc
சவாரி: hris
குலுக்கல்: hmon
தொழில்: hdot
தொழிலை: hres
விளக்கு: hdap
காபி: kfif
கீழ்ப்படிய: htot
வடக்கு: nrit
செவிலியர்: nris
உறுதி: hjat
சங்கிலி: ryin
கற்பித்தல்: cric
காலணிகள்: hgut
முற்றத்தில்: mram
தெளிவற்ற: hmec
மற்ற-இடங்களில்: hlet
அபார்ட்மெண்ட்: pret
செயல்பாடு: twot
சனிக்கிழமை: cram
சூரிய-ஒளி: hduc
விதவை: hwuc
உறுப்பு: hlem
பிரதிபலிப்பு: hfen
அமைப்பு: hgis
நட்சத்திர: tram
சம்பவம்: hgon
விருந்தினர்: hgip
பட்டியில்: brap
பாட்டில்: hbet
ஆசீர்வதிப்பார்: blak
பரபரப்பை: crak
உள்: trik
சரி: krik
வருவிக்க: prit
வெற்று: hcot
மாகாணத்தில்: hpos
நாகரிகம்: srac
செயலிழப்பு: hgak
அதிர்ச்சி: crok
விதிவிலக்கு: swap
திரிபு: tren
நிலையான: ryan
ஓட்டுநர்: dran
விடுபட: hruk
சத்தியம்: kses
புதையல்: zran
விதை: hbis
கோபுரம்: tras
பிடித்த: fwit
சமீபத்தில்: hcem
அண்மையில்-கடந்த-பதட்டமான: hrot
விழித்து: srik
தளபாடங்கள்: mrin
கயிறு: hkos
சாகச: hdas
ராயல்டி: ryit
விருந்து: dyat
விவரிக்க: dras
அறுபது: hses
அளவில்: hkem
விழா: srec
வேட்டை: clik
விஸ்பர்: psus
பெரும்பாலும்: ryat
கிறித்துவம்: ksim
வழக்கறிஞர்: hwif
விவரம்: drit
இளவரசி: hrus
பலிபீடத்தின்: dlat
வலை: hwes
ஊதா: brin
சேகரிக்க: hkoc
தேர்தல்: hben
கருத்துரு: kren
குடித்துவிட்டு: crik
ஊற்ற: brac
லிப்ட்: hlif
சைகை: hjis
நிர்வகிக்க: rwin
பரிமாற்றம்: tcen
திட்டவட்டமான-கட்டுரை: hdek
பேரரசர்: mras
தொலை: hroc
அசிங்கமான: clup
பாதிப்பில்லாத: cras
ரோல்: hrof
அங்குல: nlic
செய்தித்தாள்: grat
தாடி: dric
கிழிக்க: srim
கமிஷன்: kson
அதேசமயம்: grak
கடப்பு: kcoc
சுதந்திரம்: htes
வாசனை: hwon
பதினெட்டு: hdec
வரலாற்று: tris
மொத்த: krut
ரூட்: hrok
மண்: hbik
மணமகள்: dlan
முக்காடு: pras
தியேட்டர்: tret
ஒப்பீடு: kras
போட்டி: rwis
சமநிலை: slen
பயிற்சியாளர்: kron
நகைச்சுவை: hnum
நாவல்: rwas
பழிவாங்கும்: hbaf
பொறாமை: ryut
சக்கர: hlok
எரிந்த: glat
ஃபிளாஷ்: flac
உருவாக்க: hkec
மோதல்: hnot
சாபம்: hlos
imprecatory-மனநிலை: pram
ஆதரவற்ற: hces
நற்சிந்தனை: hzit
கிளப்: klup
வெள்ள: nras
தானிய: gwan
அலட்சியம்,: hdun
அடிவானத்தில்: crim
assumptive-மனநிலை: hsom
செங்குத்தான: htop
நல்லிணக்கம்: mron
இடி: hgot
குழந்தை-பருவத்தில்: htok
முழங்கால்: hgun
மென்பொருள்: pwen
காயம்: kram
ரசீது: ryis
செயல்படுத்த: nlim
protasis: hpoc
சீட்டு: slok
புரட்சி: hrif
விவசாயி: hjim
பக்கவாதம்: trak
மேடையில்: hpof
தூதர்: hmes
சலுகை: hpek
ஏற்பாடு: hyot
மாணவர்: clen
குகை: hgec
பாரம்பரியம்: rwat
சோகம்: tses
பிரியாவிடை: hjap
திறனாய்வு: ryik
பருத்தி: krap
மருத்துவமனையில்: slot
வாடகைக்கு: kris
எரிவாயு: hges
தவிர்க்க-முடியாத: pwic
கொடிய: hgim
இலை: glit
வெளியீடு: plun
விரோத: tsup
மொழிபெயர்ப்பு: dwan
இறுதி-சடங்கு: jran
மாவு: mrun
கடித: ryon
காதல்: hrom
குடிசை: clun
முன்மொழிய: psot
நடித்துக்-காட்டும்-தன்மை உடைய: hmet
டாலர்: dlon
பகல்: hjac
பதினாறு: hsos
சட்டசபை: hzac
காலனி: klon
சாரி: gyin
சிங்கம்: hles
கலாச்சாரம்: klut
பத்தியில்: hkom
தந்திரமான: glak
நாடகம்: dram
ஜோக்: hjuc
மூடுபனி: hdus
மருத்துவம்: dwas
பதினான்கு: hkes
அமிலம்: sram
அதாவது: hyet
வருமானம்: hmok
பிஷப்: hbip
ஆரஞ்சு: tron
குளியல்: byan
பழமையான: rwit
கூடை: ksek
செயலாளர்: sris
வைக்கோல்: prak
பொறுமையிழந்து: pfif
இரட்சிப்பின்: slon
hodiernal-பதட்டமான: dlin
உத்தேசித்துள்ள: zrin
நீராவி: tcip
விஷம்: hwoc
திறமை: tlon
காலநிலை: lwim
பயனுள்ள: fric
வேறுபடுத்தி: tcif
கழுவும்: dwac
வாக்குமூலம்: kfis
முட்டாள்தனத்தை: hjas
நிலக்கரி: kyon
கேனோ: kwon
தற்காலிக: tric
delimitative-அம்சம்: hdip
எலும்பு: hcos
திங்கள்: nwic
செவ்வாய்க்கிழமை: glac
புதன்கிழமை: bwac
மத்திய: frin
விரும்பத்தக்கதாக: hzic
பிரதிநிதி: ryic
கைத்தறி: lwin
மடு: swuk
மருமகன்: bwin
இரத்தம்-தோய்ந்த: kric
முற்றுகை: cren
வயிறு: hpem
பித்தளை: pcon
உச்சிமாநாடு: hzik
ஐந்தாவது: pfik
மலிவான: brat
பிரத்தியேக-நபர்: kwen
பறிமுதல்: zrat
வேலி: hzas
சிலை: tfam
பீரங்கி: tlep
தழுவி: mrap
சுற்றியுள்ள: sren
கண்டிப்பாக: srot
மான்: hluf
புஷ்: hbuc
இரயில்: hrep
வெளியேற்ற: hduk
வாரிசு: mris
ஓக்: blun
விரும்பத்தகாத: pren
கண்டுபிடிப்பு: hgic
பியானோ: pyon
சம்மதிக்க: swen
கண்ணுக்கு-தெரியாத: gric
நன்கு-அறியப்பட்ட: ryun
கொடுமை: kluk
சலனமும்: hyoc
telic-அம்சம்: hlep
