hi li hu  ser li ha ya
psin hu  retorno li ha ya
psiy hu  pressão li ha ya
pyuf hu  teste li ha ya
psit hu  velocidade li ha ya
pyuc hu  projeto li ha ya
psan hu  espaço li ha ya
psaf hu  responder li ha ya
psat hu  superfície li ha ya
psal hu  vela li ha ya
nyip hu  espelho li ha ya
psut hu  promessa li ha ya
nyat hu  entrar li ha ya
plum hu  edição li ha ya
plam hu  plasma li ha ya
pluy hu  popular li ha ya
plin hu  avião li ha ya
nyul hu  rolo li ha ya
pfic hu  preferir li ha ya
plut hu  poeira li ha ya
plun hu  provavelmente li ha ya
syim hu  sete li ha ya
pfal hu  falhou li ha ya
pcum hu  esperança li ha ya
syip hu  limpo li ha ya
pcit hu  apreciar li ha ya
pcil hu  especial li ha ya
psun hu  fonte li ha ya
plan hu  plano li ha ya
syan hu  ciano li ha ya
plat hu  planeta li ha ya
pfus hu  ônibus li ha ya
swit hu  interruptor li ha ya
play hu  jogar li ha ya
syiw hu  servir li ha ya
nlic hu  Inglês li ha ya
syic hu  pesquisa li ha ya
syam hu  fique li ha ya
nyit hu  unidade li ha ya
nyus hu  ionizar li ha ya
slin hu  apenas-você li ha ya
nyut hu  nêutron li ha ya
nyis hu  referência li ha ya
syat hu  sólido li ha ya
tyik hu  decadência li ha ya
syut hu  apoio li ha ya
syun hu  universo li ha ya
swil hu  alma li ha ya
swat hu  água li ha ya
swuy hu  pergunta li ha ya
swun hu  sonhar li ha ya
syit hu  enviar li ha ya
slac hu  errado li ha ya
slat hu  lado li ha ya
syak hu  desperto li ha ya
slof hu  vocabulário li ha ya
slam hu  sublimado li ha ya
tkun hu  Chinês li ha ya
tyip hu  novamente li ha ya
tyap hu  tentar li ha ya
tyaw hu  idéia li ha ya
tyas hu  arremessar li ha ya
tyic hu  linha-de-endereço li ha ya
slim hu  exemplo li ha ya
tyus hu  caso li ha ya
tyif hu  traduzir li ha ya
tkic hu  tradução-dictionary li ha ya
tyis hu  transição li ha ya
tsiy hu  história li ha ya
tsip hu  passo li ha ya
tyuc hu  ensinar li ha ya
tyuk hu  objeto li ha ya
tyuf hu  diferente li ha ya
tyil hu  frio li ha ya
tyam hu  átomo li ha ya
twal hu  bem-vindo li ha ya
twuf hu  dois li ha ya
tyim hu  tremer li ha ya
tyak hu  eu-grito li ha ya
tyin hu  três li ha ya
tyan hu  cadeia li ha ya
tyup hu  robô li ha ya
tsiw hu  satélite li ha ya
twis hu  real li ha ya
tsic hu  julgamento li ha ya
tsim hu  juntos li ha ya
tsin hu  instrução li ha ya
tsuy hu  sentar li ha ya
tsil hu  mérito li ha ya
tsan hu  aluna li ha ya
tsak hu  ataque li ha ya
tsay hu  estrela li ha ya
tsac hu  aumentar li ha ya
tsam hu  propósito li ha ya
tsum hu  estudo li ha ya
tlas hu  prato li ha ya
tsap hu  propriedade li ha ya
tsal hu  estado li ha ya
tsaf hu  sabor li ha ya
tsun hu  substantivo li ha ya
tlak hu  retângulo li ha ya
tsul hu  adulto li ha ya
tlay hu  dobrar li ha ya
tsuk hu  loja li ha ya
tlum hu  velho li ha ya
tlis hu  desejo li ha ya
tcap hu  transparente li ha ya
tlik hu  eletricidade li ha ya
tfin hu  individual li ha ya
tfan hu  transferência li ha ya
tfas hu  desastre li ha ya
tfim hu  temporal li ha ya
tfun hu  confiança li ha ya
tlun hu  ponto-triplo li ha ya
fwap hu  cinco li ha ya
tlin hu  ordinal li ha ya
tciy hu  mudança li ha ya
tfak hu  sujeira li ha ya
flan hu  inundação li ha ya
tcik hu  verificar li ha ya
flat hu  avião li ha ya
tcuk hu  truque li ha ya
tcil hu  prisão li ha ya
tcum hu  juntar li ha ya
fyis hu  oficial li ha ya
tcin hu  cadeia li ha ya
fyut hu  fruta li ha ya
tfus hu  dano li ha ya
tcuy hu  fora li ha ya
tcun hu  energia li ha ya
tlan hu  tradição li ha ya
tfal hu  registro li ha ya
flay hu  voar li ha ya
tcan hu  árvore li ha ya
fwas hu  fase li ha ya
mink hu  mente li ha ya
flun hu  por-favor li ha ya
fyas hu  frase li ha ya
cyan hu  incluir li ha ya
cwuy hu  cuidado li ha ya
cyin hu  aprender li ha ya
clan hu  fonte li ha ya
clin hu  relacionamento li ha ya
fwil hu  vigor li ha ya
flit hu  flauta li ha ya
flut hu  flor li ha ya
mayn hu  harmonia li ha ya
mant hu  magenta li ha ya
miyn hu  menos li ha ya
miyt hu  consciente li ha ya
fluc hu  fluir li ha ya
clut hu  fluido-supercrítico- li ha ya
clum hu  frase li ha ya
miyk hu  enviar li ha ya
mist hu  medir li ha ya
mank hu  cérebro li ha ya
mayc hu  imagem li ha ya
milt hu  fusão li ha ya
musk hu  música li ha ya
malp hu  recompensa li ha ya
mayt hu  imaginário-unidade li ha ya
mans hu  humano li ha ya
mayp hu  mapa li ha ya
mast hu  assunto li ha ya
kiyn hu  um li ha ya
muyn hu  enganar li ha ya
muyp hu  melhorar li ha ya
kint hu  converter li ha ya
muyk hu  superior li ha ya
miwk hu  pessoa li ha ya
must hu  a-maioria li ha ya
munk hu  possível li ha ya
munt hu  humor li ha ya
muft hu  morrer li ha ya
mint hu  método li ha ya
muyt hu  aliado li ha ya
malt hu  material li ha ya
mack hu  imaginar li ha ya
kist hu  substituir li ha ya
muys hu  emoção li ha ya
mult hu  modulo li ha ya
kant hu  constante li ha ya
kasp hu  captura li ha ya
kast hu  criar li ha ya
kiyp hu  papel li ha ya
kisp hu  expoente li ha ya
kift hu  perdoar li ha ya
kays hu  gramatical-of-the-casos li ha ya
kayn hu  stream-de-stream li ha ya
kanp hu  conectar li ha ya
kaws hu  gás li ha ya
kimt hu  cair li ha ya
kump hu  complexo li ha ya
kunp hu  próximo li ha ya
kumt hu  comando li ha ya
kamt hu  gramática li ha ya
kuym hu  comum li ha ya
yinp hu  retorno li ha ya
yilk hu  amarelo li ha ya
yawt hu  dano li ha ya
kuct hu  crime li ha ya
kuyt hu  ponto-crítico li ha ya
kuls hu  cruel li ha ya
kusp hu  colapso li ha ya
kust hu  constante li ha ya
yisk hu  rico li ha ya
yist hu  exportação li ha ya
yimt hu  ritmo li ha ya
kuwt hu  código li ha ya
yink hu  anel li ha ya
yasp hu  trabalho li ha ya
yift hu  valor li ha ya
yamt hu  admirar li ha ya
kunt hu  controle li ha ya
kult hu  cultura li ha ya
yalt hu  cedo li ha ya
yaft hu  linha li ha ya
yilt hu  Euler-Número li ha ya
yumt hu  misericórdia li ha ya
yusk hu  este li ha ya
yask hu  reação li ha ya
yuyp hu  Europa li ha ya
yuns hu  Urano li ha ya
yust hu  resto li ha ya
yast hu  livre li ha ya
yunt hu  recipiente li ha ya
piyn hu  dizer li ha ya
piyt hu  depender li ha ya
yimk hu  perguntar li ha ya
pint hu  corrida li ha ya
pist hu  permissão li ha ya
yalk hu  veículo li ha ya
yulp hu  papel li ha ya
piys hu  pi li ha ya
pamt hu  permanente li ha ya
pays hu  base li ha ya
yult hu  utilidade li ha ya
pans hu  Espanhol li ha ya
puyk hu  gramaticais-a-objetos li ha ya
puyt hu  morder li ha ya
panp hu  pão li ha ya
past hu  produzir li ha ya
puwt hu  fornecer li ha ya
pulk hu  polígono li ha ya
puls hu  beijo li ha ya
pult hu  garrafa li ha ya
pust hu  correio li ha ya
pant hu  perguntar-emprestado li ha ya
pusk hu  carga li ha ya
nuys hu  ruído li ha ya
niyk hu  próximo li ha ya
punt hu  ponto li ha ya
niwt hu  rede li ha ya
nist hu  agradável li ha ya
nuls hu  zero li ha ya
nift hu  nove li ha ya
nict hu  nativo li ha ya
pack hu  desfrutar li ha ya
siyt hu  sugerir li ha ya
nims hu  animismo li ha ya
sift hu  mudança li ha ya
numt hu  Nota li ha ya
sayk hu  sábio li ha ya
nilt hu  inteligência li ha ya
nayt hu  raro li ha ya
nast hu  interesse li ha ya
nuyt hu  Norte li ha ya
nusp hu  para-obter li ha ya
sanp hu  para-ampliar li ha ya
wins hu  Vênus li ha ya
wuym hu  volume li ha ya
wint hu  vento li ha ya
sink hu  diminuir li ha ya
silk hu  seis li ha ya
tiyk hu  dez-horas li ha ya
tiyn hu  continue li ha ya
sayp hu  fornecem li ha ya
sayn hu  salvar li ha ya
siyn hu  aparecer li ha ya
niyt hu  enésima-root li ha ya
tiws hu  teatro li ha ya
nuks hu  unix li ha ya
nust hu  atenção li ha ya
salc hu  social li ha ya
sact hu  atirar li ha ya
suyk hu  sofrer li ha ya
sank hu  um-frequentemente li ha ya
sumt hu  assunto li ha ya
sunp hu  supor li ha ya
suyt hu  direito li ha ya
sunt hu  sul li ha ya
sucp hu  cônjuge li ha ya
sulc hu  solução li ha ya
sark hu  sarcasmo li ha ya
nuft hu  hostil li ha ya
tiym hu  tarde li ha ya
nalt hu  natureza li ha ya
sayt hu  a-velocidade-de-luz li ha ya
tiyf hu  conduzir li ha ya
sant hu  arte li ha ya
sint hu  sentir li ha ya
tins hu  espesso li ha ya
tawk hu  autoridade li ha ya
tiys hu  distância li ha ya
tink hu  texto li ha ya
ticp hu  quase li ha ya
timp hu  -gramatical li ha ya
tisk hu  texto li ha ya
tinp hu  golden-ratio li ha ya
tiwk hu  atividade li ha ya
tayf hu  fornecimento li ha ya
tisp hu  representar li ha ya
tuym hu  mundo li ha ya
tayk hu  anexar li ha ya
liys hu  liberdade li ha ya
task hu  tarefa li ha ya
talk hu  falar li ha ya
taym hu  tempo li ha ya
talf hu  esconder li ha ya
tank hu  repentino li ha ya
tayn hu  área li ha ya
tasp hu  banco-de-dados li ha ya
tuyk hu  médico li ha ya
tuyn hu  vez li ha ya
tuys hu  ladrao li ha ya
tuyc hu  destruir li ha ya
/sˈa5˧n tɕjˈɑu2˧˥ʔ ɕˈiɜŋ/ 三角形 :zh. /tɹˈaɪaŋɡəl/ triangle :en.
/tɾiˈaŋɡulo/ triángulo :es. /tɾɪkˈoːɳ/ त्रिकोण :hi. /mθlθ/
مثلث :ar. /sˈɛɡi tˈiɡa/ segi tiga :id. /trʲiuɡˈoɭnik/
треугольник :ru. /pˈembe tˈatu/ pembe tatu :sw. /øtʃɟˈæn/
üçgen :tr. /kˈolmɪo/ kolmio :fi. /trˈiːaŋəl/ triangel :sv.
/mosˈallas/ مثلث :fa. /trˈiɣonˌo/ τρίγωνο :el. 10 t, 8 u, 8 n,
8 k, 8 a, 7 l, 7 i, 6 y, 4 m, 3 s, 3 c, 1 p, 1 f, 0 w, tunk hu
 triângulo li ha ya
lisk hu  tempo-de-férias li ha ya
tukc hu  Turco li ha ya
liyp hu  biblioteca li ha ya
talp hu  tampo-da-mesa li ha ya
layt hu  onze li ha ya
lank hu  local li ha ya
tusk hu  progresso li ha ya
tamk hu  relógio li ha ya
liwk hu  legal li ha ya
tanp hu  virar-para-cima li ha ya
tack hu  obrigado li ha ya
tuwm hu  duração li ha ya
fayt hu  feito li ha ya
list hu  a-menos li ha ya
fals hu  falso li ha ya
falt hu  omissão li ha ya
funk hu  função li ha ya
lant hu  lento li ha ya
last hu  lista li ha ya
laft hu  benefício li ha ya
lunk hu  lógica li ha ya
fult hu  hotel li ha ya
liyk hu  líquido li ha ya
lufk hu  bloco li ha ya
liyt hu  literatura li ha ya
liwt hu  doou li ha ya
fint hu  encontrar li ha ya
fayk hu  fábrica li ha ya
liyn hu  linha li ha ya
link hu  link li ha ya
layk hu  lago li ha ya
fast hu  visita li ha ya
fisk hu  afixar li ha ya
faym hu  fazenda li ha ya
lint hu  dentro li ha ya
fuyk hu  pobre li ha ya
fans hu  Francês li ha ya
fusk hu  foco li ha ya
lumk hu  logaritmo li ha ya
ciyk hu  seguro li ha ya
lunt hu  pessoas li ha ya
fuym hu  formato li ha ya
cink hu  desejo li ha ya
cank hu  sinal li ha ya
cant hu  hábito li ha ya
cint hu  agente li ha ya
funm hu  fonema li ha ya
lunp hu  laço li ha ya
luwt hu  alaúde li ha ya
tick hu  dicionário li ha ya
budz hu  Budismo li ha ya
cinp hu  informação li ha ya
