hi li hu  인가 li ha ya
puwt hu  제공 li ha ya
panp hu  빵 li ha ya
pusk hu  하중 li ha ya
puls hu  키스 li ha ya
pulk hu  다각형 li ha ya
pult hu  병 li ha ya
pust hu  우편 li ha ya
nuys hu  잡음 li ha ya
punt hu  포인트 li ha ya
nuls hu  제로 li ha ya
pant hu  대출 li ha ya
niyk hu  가까이에 li ha ya
niwt hu  네트워크 li ha ya
siyt hu  제안 li ha ya
nist hu  좋은 li ha ya
nims hu  정령-신앙 li ha ya
nift hu  구 li ha ya
nict hu  출신 li ha ya
sift hu  변화 li ha ya
sayk hu  슬기로운 li ha ya
pack hu  즐길-수 li ha ya
numt hu  주의 li ha ya
nayt hu  드문 li ha ya
nilt hu  지성 li ha ya
nast hu  관심 li ha ya
nuyt hu  북 li ha ya
nusp hu  잊지 li ha ya
sanp hu  확장 li ha ya
kamt hu  문법 li ha ya
wuym hu  체적 li ha ya
wins hu  금성 li ha ya
tiyk hu  열 li ha ya
sink hu  감소 li ha ya
tiyn hu  계속 li ha ya
silk hu  여섯 li ha ya
siyn hu  것 li ha ya
niyt hu  n-번째-루트 li ha ya
sayp hu  공급 li ha ya
sayn hu  저장 li ha ya
wint hu  바람 li ha ya
tiws hu  극장 li ha ya
nuks hu  유닉스 li ha ya
nust hu  통지 li ha ya
salc hu  사회적인 li ha ya
sact hu  사격 li ha ya
sank hu  자주 li ha ya
suyk hu  고통 li ha ya
sumt hu  제목 li ha ya
sunp hu  가정 li ha ya
suyt hu  옳은 li ha ya
nuft hu  적의 li ha ya
sucp hu  배우자 li ha ya
sunt hu  남쪽 li ha ya
sark hu  풍자 li ha ya
sulc hu  해결 li ha ya
tiym hu  늦게 li ha ya
sant hu  예술 li ha ya
sayt hu  광속의 li ha ya
nalt hu  자연 li ha ya
tiyf hu  드라이브 li ha ya
tawk hu  권위 li ha ya
tins hu  밀집한 li ha ya
tiys hu  거리 li ha ya
yimk hu  질문 li ha ya
tuym hu  세계 li ha ya
ticp hu  거의 li ha ya
tink hu  본문 li ha ya
tinp hu  황금-비율 li ha ya
tisk hu  본문 li ha ya
tuwm hu  지속 li ha ya
tayf hu  제공 li ha ya
tisp hu  대표 li ha ya
tayk hu  첨부 li ha ya
tamk hu  보기 li ha ya
liys hu  자유 li ha ya
tank hu  갑자기 li ha ya
talk hu  이야기 li ha ya
task hu  태스크 li ha ya
talf hu  숨기기 li ha ya
taym hu  시간 li ha ya
talp hu  테이블 li ha ya
lisk hu  휴가 li ha ya
tuyk hu  의사 li ha ya
tuyn hu  회전 li ha ya
tasp hu  데이터베이스 li ha ya
tuyc hu  파괴 li ha ya
tuys hu  도둑 li ha ya
/sˈa5˧n tɕjˈɑu2˧˥ʔ ɕˈiɜŋ/ 三角形 :zh. /tɹˈaɪaŋɡəl/ triangle :en.
/tɾiˈaŋɡulo/ triángulo :es. /tɾɪkˈoːɳ/ त्रिकोण :hi. /mθlθ/
مثلث :ar. /sˈɛɡi tˈiɡa/ segi tiga :id. /trʲiuɡˈoɭnik/
треугольник :ru. /pˈembe tˈatu/ pembe tatu :sw. /øtʃɟˈæn/
üçgen :tr. /kˈolmɪo/ kolmio :fi. /trˈiːaŋəl/ triangel :sv.
/mosˈallas/ مثلث :fa. /trˈiɣonˌo/ τρίγωνο :el. 10 t, 8 u, 8 n,
8 k, 8 a, 7 l, 7 i, 6 y, 4 m, 3 s, 3 c, 1 p, 1 f, 0 w, tunk hu
 삼각형 li ha ya
tayn hu  지역 li ha ya
tukc hu  터키의 li ha ya
liyp hu  도서관 li ha ya
layt hu  열한 li ha ya
lank hu  지방의 li ha ya
tack hu  감사 li ha ya
tusk hu  진행 li ha ya
tanp hu  표시 li ha ya
liwk hu  적법한 li ha ya
liyt hu  문학 li ha ya
lint hu  내부 li ha ya
fayt hu  사실 li ha ya
fals hu  그릇된 li ha ya
list hu  이상 li ha ya
falt hu  디폴트-값 li ha ya
funk hu  기능 li ha ya
fult hu  호텔 li ha ya
last hu  명부 li ha ya
laft hu  이익 li ha ya
lant hu  느린 li ha ya
lunk hu  논리 li ha ya
liyk hu  액체 li ha ya
liwt hu  선물 li ha ya
lufk hu  자물쇠 li ha ya
liyn hu  라인 li ha ya
layk hu  호수 li ha ya
fint hu  발견 li ha ya
fayk hu  공장 li ha ya
link hu  링크 li ha ya
fisk hu  부착 li ha ya
fast hu  방문 li ha ya
lunt hu  사람들 li ha ya
faym hu  농장 li ha ya
lumk hu  로그 li ha ya
fuyk hu  가난한 li ha ya
fans hu  프랑스의 li ha ya
lunp hu  고리 li ha ya
fusk hu  초점 li ha ya
fuym hu  형태 li ha ya
ciyk hu  확실한 li ha ya
funm hu  음소 li ha ya
cink hu  소원 li ha ya
cint hu  대리인 li ha ya
cank hu  기호 li ha ya
cant hu  습관 li ha ya
luwt hu  류트 li ha ya
sint hu  감각 li ha ya
cinp hu  정보 li ha ya
budz hu  불교 li ha ya
timp hu  문법-시제 li ha ya
tiwk hu  활동 li ha ya
tick hu  사전 li ha ya
kwal hu  언어 li ha ya
