hi li hu  होना li ha ya
nyat hu  प्रवेश li ha ya
plum hu  समस्या li ha ya
pluy hu  लोकप्रिय li ha ya
plam hu  प्लाज्मा li ha ya
plin hu  प्लेन li ha ya
pfic hu  पसंद-करते-हैं li ha ya
plut hu  धूल li ha ya
plun hu  शायद li ha ya
nyul hu  रोल li ha ya
pfal hu  असफल li ha ya
pcum hu  आशा li ha ya
syim hu  सात li ha ya
pcit hu  सराहना li ha ya
pcil hu  विशेष li ha ya
syip hu  साफ li ha ya
plan hu  प्लान li ha ya
plat hu  ग्रह li ha ya
syan hu  सियान li ha ya
pfus hu  बस li ha ya
syak hu  जागर li ha ya
swit hu  स्विच li ha ya
syiw hu  सेवा-कर li ha ya
nlic hu  अंग्रेजी li ha ya
play hu  प्ले li ha ya
syic hu  अनुसंधान li ha ya
syam hu  ठहरना li ha ya
nyit hu  इकाई li ha ya
nyus hu  योण-बनाना li ha ya
slin hu  सिंगल li ha ya
nyut hu  न्युट्रोन li ha ya
nyis hu  संदर्भ li ha ya
syat hu  ठोस li ha ya
syut hu  समर्थन li ha ya
tyik hu  क्षय li ha ya
syun hu  ब्रम्हांड li ha ya
swat hu  पानी li ha ya
swuy hu  सवाल li ha ya
swun hu  नींद li ha ya
swil hu  आत्मा li ha ya
slac hu  गलत li ha ya
slat hu  पक्ष li ha ya
syit hu  भेजो li ha ya
slof hu  शब्दावली li ha ya
slam hu  निर्मल-करना li ha ya
tkun hu  चीनी li ha ya
tyip hu  फिर-से li ha ya
tyap hu  कोशिश li ha ya
tyaw hu  विचार li ha ya
tyas hu  फेंकना li ha ya
tyic hu  दिशा li ha ya
tyus hu  प्रकरण li ha ya
tyim hu  घबराना li ha ya
tyif hu  अनुवाद-करें li ha ya
tyis hu  संक्रमण li ha ya
tsiy hu  कहानी li ha ya
tsip hu  कदम li ha ya
tyil hu  ठंडा li ha ya
tyuc hu  सिखाना li ha ya
tyuk hu  वस्तु li ha ya
tyuf hu  विभिन्न li ha ya
tyam hu  परमाणु li ha ya
tyak hu  चिल्लाना li ha ya
twal hu  स्वागत li ha ya
twuf hu  दो li ha ya
twis hu  सच li ha ya
tyin hu  तीन li ha ya
tyan hu  तार li ha ya
tyup hu  रोबोट li ha ya
tsiw hu  उपग्रह li ha ya
tsil hu  लायक li ha ya
tsim hu  साथ-साथ li ha ya
tsic hu  परीक्षण li ha ya
tsin hu  अनुदेश li ha ya
tsuy hu  बैठिये li ha ya
tsak hu  हमला li ha ya
tsam hu  उद्देश्य li ha ya
tsan hu  छात्र li ha ya
tsay hu  तारा li ha ya
tlas hu  थाली li ha ya
tsac hu  वृद्धि li ha ya
tsum hu  अध्ययन li ha ya
tsap hu  संपत्ति li ha ya
tsal hu  स्टेट li ha ya
tsaf hu  स्वाद li ha ya
tsuk hu  दुकान li ha ya
tsun hu  संज्ञा li ha ya
tsul hu  वयस्क li ha ya
tlak hu  आयत li ha ya
tlay hu  तह li ha ya
tcap hu  पारदर्शक li ha ya
tlis hu  इच्छा li ha ya
tlum hu  पुराना li ha ya
tlik hu  बिजली li ha ya
tlun hu  तीन-बिंदु li ha ya
fwap hu  पंज li ha ya
tfan hu  स्थानांतरण li ha ya
tfas hu  आपदा li ha ya
tfim hu  अस्थायी li ha ya
tfun hu  भरोसा li ha ya
tfin hu  व्यक्ति li ha ya
tfak hu  गंदगी li ha ya
tlan hu  परंपरा li ha ya
tciy hu  परिवर्तन li ha ya
flan hu  बाढ़ li ha ya
flat hu  समतल li ha ya
tcik hu  चेक li ha ya
tfus hu  क्षति li ha ya
tcil hu  जेल li ha ya
tcuk hu  चाल li ha ya
tcum hu  में-शामिल-होने-के li ha ya
tcin hu  चेन li ha ya
fyis hu  सरकारी li ha ya
tcan hu  पेड li ha ya
fyut hu  फल li ha ya
tcuy hu  बाहर li ha ya
tcun hu  शक्ति li ha ya
tfal hu  फ़ाइल li ha ya
fwil hu  बल li ha ya
flay hu  मक्खी li ha ya
fwas hu  अवस्था li ha ya
mink hu  माइंड li ha ya
fyas hu  मुहावरा li ha ya
flun hu  कृपया li ha ya
slim hu  उदाहरण li ha ya
cyin hu  सीखना li ha ya
cyan hu  शामिल li ha ya
cwuy hu  ध्यान li ha ya
clin hu  संबंध li ha ya
clan hu  मूल li ha ya
flit hu  बंसी li ha ya
mayn hu  सामंजस्य li ha ya
fluc hu  बहे li ha ya
mant hu  मैजंटा li ha ya
flut hu  फूल li ha ya
miyn hu  नाबालिग li ha ya
miyt hu  अवगत li ha ya
clut hu  सुपर-तरल li ha ya
clum hu  सेंटेंस li ha ya
tkic hu  अनुवाद-शब्दकोश li ha ya
mist hu  नाप li ha ya
milt hu  पिघल li ha ya
mayc hu  छवि li ha ya
mank hu  मस्तिष्क li ha ya
musk hu  संगीत li ha ya
mayp hu  मेप li ha ya
mayt hu  काल्पनिक-इकाई li ha ya
malp hu  इनाम li ha ya
mans hu  मानव li ha ya
mast hu  मामला li ha ya
kiyn hu  एक-र li ha ya
kint hu  बदलना li ha ya
muyn hu  मूर्ख li ha ya
muyp hu  में-सुधार li ha ya
miyk hu  भेजो li ha ya
muyk hu  प्रमुख li ha ya
must hu  मोस्ट li ha ya
munk hu  संभव li ha ya
munt hu  मनोदशा li ha ya
muyt hu  मित्र li ha ya
muft hu  मरना li ha ya
mint hu  विधि li ha ya
malt hu  सामग्री li ha ya
mack hu  कल्पना li ha ya
kiyp hu  कागज li ha ya
kant hu  लगातार li ha ya
kist hu  की-जगह li ha ya
kasp hu  पकड़ li ha ya
kast hu  बना li ha ya
mult hu  modulo li ha ya
kift hu  माफ-कर-दो li ha ya
kisp hu  प्रतिपादक li ha ya
tlin hu  क्रमवाचक li ha ya
kays hu  व्याकरण-केस li ha ya
kayn hu  प्रवाह-चालू li ha ya
kanp hu  कनेक्ट li ha ya
kaws hu  गैस li ha ya
kimt hu  लटकना li ha ya
kump hu  जटिल li ha ya
kumt hu  आदेश li ha ya
yinp hu  की-वापसी li ha ya
kunp hu  बंद li ha ya
yilk hu  पीले li ha ya
kuym hu  सामान्य li ha ya
miwk hu  व्यक्ति li ha ya
yawt hu  बुराई li ha ya
kuyt hu  महत्वपूर्ण-बिंदु li ha ya
kuct hu  अपराध li ha ya
kuls hu  निर्दयी li ha ya
kusp hu  गिरावट li ha ya
kust hu  लगातार li ha ya
muys hu  भावना li ha ya
yisk hu  धनी li ha ya
yist hu  निर्यात li ha ya
yimt hu  ताल li ha ya
yink hu  अंगूठी li ha ya
kuwt hu  कोड li ha ya
yamt hu  प्रशंसा li ha ya
yift hu  लायक li ha ya
yasp hu  काम li ha ya
kunt hu  नियंत्रण li ha ya
yilt hu  Eulers-संख्या li ha ya
yalt hu  जल्दी li ha ya
yask hu  प्रतिक्रिया li ha ya
yaft hu  पंक्ति li ha ya
yumt hu  दया li ha ya
yusk hu  पूर्व li ha ya
yuyp hu  यूरोप li ha ya
yuns hu  ऊरानुस li ha ya
yunt hu  पात्र li ha ya
yust hu  आराम li ha ya
yast hu  मुफ़्त li ha ya
kult hu  संस्कृति li ha ya
piyn hu  मान-लेना li ha ya
panp hu  रोटी li ha ya
piyt hu  निर्भर li ha ya
pint hu  संचालित li ha ya
pist hu  परमिट li ha ya
yalk hu  वाहन li ha ya
piys hu  गड़बड़ी li ha ya
pamt hu  स्थायी li ha ya
yulp hu  भूमिका li ha ya
pays hu  आधार li ha ya
pans hu  स्पेनिश li ha ya
yult hu  उपयोगिता li ha ya
puyk hu  व्याकरण-वस्तु li ha ya
puyt hu  काटना li ha ya
past hu  उत्पादित-करें li ha ya
puwt hu  प्रदान-करना li ha ya
pack hu  आनंद li ha ya
puls hu  चुंबन li ha ya
pulk hu  बहुभुज li ha ya
pult hu  बोतल li ha ya
pust hu  मेल li ha ya
pusk hu  भार li ha ya
nuys hu  शोर-शराबा li ha ya
punt hu  बिंदु li ha ya
nuls hu  शून्य li ha ya
niyk hu  समीप li ha ya
niwt hu  नेटवर्क li ha ya
pant hu  उधार li ha ya
nist hu  अच्छा li ha ya
siyt hu  सुझाना li ha ya
nift hu  नौ li ha ya
nict hu  देशी li ha ya
nims hu  सर्वात्मवाद li ha ya
sift hu  पाली li ha ya
sayk hu  समझदार li ha ya
numt hu  ध्यान-दें li ha ya
kamt hu  व्याकरण li ha ya
nayt hu  विरल li ha ya
nilt hu  बुद्धि li ha ya
nast hu  ब्याज li ha ya
nuyt hu  उत्तर li ha ya
nusp hu  भूल-जा li ha ya
sanp hu  विस्तार li ha ya
wins hu  शुक्र li ha ya
wuym hu  आयतन li ha ya
wint hu  पवन li ha ya
sink hu  कमी li ha ya
tiyk hu  दस li ha ya
silk hu  छक्का li ha ya
tiyn hu  जारी-रहना li ha ya
siyn hu  प्रतीत li ha ya
sayp hu  सप्लाई li ha ya
sayn hu  बचाना li ha ya
niyt hu  n-वें-रूट li ha ya
sant hu  कला li ha ya
tiws hu  थिएटर li ha ya
nuks hu  यूनिक्स li ha ya
salc hu  सामाजिक li ha ya
sact hu  गोली-मार li ha ya
nust hu  नोटिस li ha ya
suyk hu  भुगतना li ha ya
sumt hu  विषय li ha ya
sunp hu  लगता-है li ha ya
suyt hu  सही li ha ya
sank hu  अक्सर li ha ya
sucp hu  पति li ha ya
nuft hu  शत्रुतापूर्ण li ha ya
sunt hu  दक्षिण li ha ya
sark hu  ताना li ha ya
sulc hu  समाधान li ha ya
tiym hu  देर li ha ya
nalt hu  प्रकृति li ha ya
sayt hu  प्रकाश-की-गति li ha ya
tiyf hu  चलाना li ha ya
tawk hu  अधिकार li ha ya
tins hu  घना li ha ya
tiys hu  दूरी li ha ya
sint hu  लगना li ha ya
tink hu  टेक्स्ट li ha ya
ticp hu  लगभग li ha ya
tinp hu  सुनहरा-अनुपात li ha ya
tisk hu  टेक्स्ट li ha ya
tuym hu  दुनिया li ha ya
tisp hu  का-प्रतिनिधित्व li ha ya
tayf hu  प्रस्ताव li ha ya
tayk hu  जोड़ना li ha ya
tamk hu  देखना li ha ya
liys hu  स्वतंत्रता li ha ya
tank hu  अचानक li ha ya
task hu  कार्य li ha ya
talk hu  बातचीत li ha ya
taym hu  समय li ha ya
talf hu  छिपाना li ha ya
talp hu  टेबल li ha ya
lisk hu  छुट्टी li ha ya
tasp hu  डेटाबेस li ha ya
tuyk hu  चिकित्सक li ha ya
tuyn hu  मोड़ li ha ya
tuys hu  चोर li ha ya
tuyc hu  नष्ट li ha ya
tayn hu  कटरा li ha ya
/sˈa5˧n tɕjˈɑu2˧˥ʔ ɕˈiɜŋ/ 三角形 :zh. /tɹˈaɪaŋɡəl/ triangle :en.
/tɾiˈaŋɡulo/ triángulo :es. /tɾɪkˈoːɳ/ त्रिकोण :hi. /mθlθ/
مثلث :ar. /sˈɛɡi tˈiɡa/ segi tiga :id. /trʲiuɡˈoɭnik/
треугольник :ru. /pˈembe tˈatu/ pembe tatu :sw. /øtʃɟˈæn/
üçgen :tr. /kˈolmɪo/ kolmio :fi. /trˈiːaŋəl/ triangel :sv.
/mosˈallas/ مثلث :fa. /trˈiɣonˌo/ τρίγωνο :el. 10 t, 8 u, 8 n,
8 k, 8 a, 7 l, 7 i, 6 y, 4 m, 3 s, 3 c, 1 p, 1 f, 0 w, tunk hu
 त्रिकोण li ha ya
tukc hu  तुर्की li ha ya
layt hu  ग्यारह li ha ya
liyp hu  पुस्तकालय li ha ya
lank hu  स्थानीय li ha ya
tack hu  धन्यवाद li ha ya
tusk hu  प्रगति li ha ya
tanp hu  दिखाई-देते-हैं li ha ya
liwk hu  कानूनी li ha ya
tuwm hu  अवधि li ha ya
liyt hu  साहित्य li ha ya
fayt hu  तथ्य li ha ya
fals hu  असत्य li ha ya
list hu  कम-से-कम li ha ya
falt hu  चूक li ha ya
funk hu  समारोह li ha ya
fult hu  होटल li ha ya
lant hu  धीमा li ha ya
last hu  सूची li ha ya
laft hu  लाभ li ha ya
liyk hu  तरल li ha ya
lunk hu  तर्क li ha ya
liwt hu  उपहार li ha ya
lint hu  अंदर li ha ya
lufk hu  ताला li ha ya
liyn hu  रेखा li ha ya
fint hu  खोज li ha ya
layk hu  झील li ha ya
fayk hu  कारखाना li ha ya
link hu  कडी li ha ya
lunt hu  लोग li ha ya
fast hu  यात्रा li ha ya
fisk hu  प्रत्यय li ha ya
faym hu  खेत li ha ya
lumk hu  लोगारित्म li ha ya
fuyk hu  गरीब li ha ya
fans hu  फ्रेंच li ha ya
lunp hu  पाश li ha ya
fusk hu  फोकस li ha ya
fuym hu  प्रपत्र li ha ya
ciyk hu  ज़रूर li ha ya
funm hu  स्वनिम li ha ya
cink hu  इच्छा li ha ya
cint hu  एजेंट li ha ya
cank hu  संकेत li ha ya
cant hu  आदत li ha ya
luwt hu  वीणा li ha ya
timp hu  व्याकरण-काल li ha ya
cinp hu  इंफॉर्मेशन li ha ya
budz hu  बुद्ध-धर्म li ha ya
tick hu  शब्दकोश li ha ya
tiwk hu  कार्यकलाप li ha ya
yimk hu  पूछो li ha ya
