hi li hu  бути li ha ya
yink hu  кільце li ha ya
yasp hu  робота li ha ya
yift hu  вартість li ha ya
yamt hu  захоплюватися li ha ya
kunt hu  контроль li ha ya
kult hu  культура li ha ya
yalt hu  рано li ha ya
yaft hu  ряд li ha ya
yilt hu  Ейлера-номер li ha ya
yumt hu  милість li ha ya
yusk hu  схід li ha ya
yask hu  реакція li ha ya
yuyp hu  Європа li ha ya
yuns hu  Уран li ha ya
yust hu  інші li ha ya
yunt hu  контейнер li ha ya
yast hu  безкоштовно li ha ya
piyn hu  вважати li ha ya
piyt hu  залежати li ha ya
yimk hu  запитати li ha ya
pint hu  працювати li ha ya
pist hu  дозвіл li ha ya
yalk hu  автомобіль li ha ya
yulp hu  роль li ha ya
piys hu  пі li ha ya
pamt hu  постійний li ha ya
pays hu  база li ha ya
yult hu  утиліта li ha ya
pans hu  Іспанська li ha ya
puyk hu  грамматико-об'єкт li ha ya
puyt hu  вкусити li ha ya
panp hu  хліб li ha ya
past hu  виробляти li ha ya
puwt hu  надати li ha ya
pulk hu  полігон li ha ya
puls hu  поцілунок li ha ya
pult hu  пляшка li ha ya
pust hu  пошта li ha ya
pant hu  брати li ha ya
pusk hu  навантаження li ha ya
nuys hu  шум li ha ya
niyk hu  поруч li ha ya
punt hu  точка li ha ya
niwt hu  мережу li ha ya
nist hu  хороший li ha ya
nuls hu  нулю li ha ya
nift hu  дев'ять li ha ya
nict hu  рідний li ha ya
pack hu  насолоджуватися li ha ya
siyt hu  пропонувати li ha ya
nims hu  анімізм li ha ya
sift hu  зсув li ha ya
numt hu  Замітка li ha ya
sayk hu  мудрий li ha ya
nilt hu  інтелект li ha ya
nayt hu  рідкісний li ha ya
nast hu  інтерес li ha ya
nuyt hu  Північна li ha ya
nusp hu  забувати li ha ya
sanp hu  продовжити li ha ya
wins hu  Венера li ha ya
wuym hu  обсяг li ha ya
wint hu  вітер li ha ya
sink hu  зменшити li ha ya
silk hu  шість li ha ya
tiyk hu  десять li ha ya
tiyn hu  продовжувати li ha ya
sayp hu  поставка li ha ya
sayn hu  зберігати li ha ya
siyn hu  здаватися li ha ya
niyt hu  п-корінь li ha ya
sint hu  відчувати li ha ya
tiws hu  театр li ha ya
nuks hu  Юнекс li ha ya
salc hu  соціального li ha ya
sact hu  стріляти li ha ya
suyk hu  страждати li ha ya
nust hu  повідомлення li ha ya
sumt hu  предмет li ha ya
sunp hu  припускати li ha ya
suyt hu  правильний li ha ya
sank hu  часто li ha ya
sucp hu  дружина li ha ya
sunt hu  на-південь li ha ya
sulc hu  рішення li ha ya
sark hu  сарказм li ha ya
nuft hu  ворожий li ha ya
tiym hu  пізно li ha ya
nalt hu  природа li ha ya
sayt hu  швидкості-світла li ha ya
tiyf hu  привод li ha ya
sant hu  мистецтво li ha ya
tins hu  щільний li ha ya
tawk hu  влада li ha ya
tiys hu  відстань li ha ya
tink hu  текст li ha ya
ticp hu  майже li ha ya
tiwk hu  діяльність li ha ya
tisk hu  текст li ha ya
tinp hu  золотисто-коефіцієнт li ha ya
timp hu  грамматико-напруженою li ha ya
tayf hu  пропозиція li ha ya
tisp hu  представляти li ha ya
tayk hu  надавати li ha ya
tuym hu  світ li ha ya
liys hu  свобода li ha ya
task hu  задача li ha ya
talk hu  говорити li ha ya
tank hu  раптово li ha ya
talf hu  приховувати li ha ya
taym hu  час li ha ya
talp hu  стіл li ha ya
tasp hu  база-даних li ha ya
tuyk hu  лікар li ha ya
tuyn hu  поворот li ha ya
tuys hu  злодій li ha ya
tuyc hu  знищити li ha ya
/sˈa5˧n tɕjˈɑu2˧˥ʔ ɕˈiɜŋ/ 三角形 :zh. /tɹˈaɪaŋɡəl/ triangle :en.
/tɾiˈaŋɡulo/ triángulo :es. /tɾɪkˈoːɳ/ त्रिकोण :hi. /mθlθ/
مثلث :ar. /sˈɛɡi tˈiɡa/ segi tiga :id. /trʲiuɡˈoɭnik/
треугольник :ru. /pˈembe tˈatu/ pembe tatu :sw. /øtʃɟˈæn/
üçgen :tr. /kˈolmɪo/ kolmio :fi. /trˈiːaŋəl/ triangel :sv.
/mosˈallas/ مثلث :fa. /trˈiɣonˌo/ τρίγωνο :el. 10 t, 8 u, 8 n,
8 k, 8 a, 7 l, 7 i, 6 y, 4 m, 3 s, 3 c, 1 p, 1 f, 0 w, tunk hu
 трикутник li ha ya
lisk hu  відпустку li ha ya
tukc hu  Турецький li ha ya
liyp hu  бібліотека li ha ya
tayn hu  площа li ha ya
layt hu  одинадцять li ha ya
lank hu  місцевий li ha ya
tusk hu  прогрес li ha ya
tamk hu  дивитися li ha ya
liwk hu  правової li ha ya
tanp hu  з'являтися li ha ya
tack hu  подякувати li ha ya
tuwm hu  тривалість li ha ya
fayt hu  факт li ha ya
list hu  як-мінімум li ha ya
fals hu  помилковий li ha ya
falt hu  дефолт li ha ya
funk hu  функція li ha ya
lant hu  повільно li ha ya
last hu  список li ha ya
laft hu  вигода li ha ya
lunk hu  логіка li ha ya
fult hu  готельний-комплекс li ha ya
liyk hu  рідина li ha ya
lufk hu  замкнути li ha ya
liwt hu  подарунок li ha ya
liyt hu  література li ha ya
fint hu  знаходити li ha ya
fayk hu  завод li ha ya
liyn hu  лінія li ha ya
layk hu  озеро li ha ya
link hu  посилання li ha ya
fast hu  візит li ha ya
fisk hu  ставити li ha ya
faym hu  ферма li ha ya
lint hu  всередині li ha ya
fuyk hu  бідних li ha ya
fans hu  Французький li ha ya
fusk hu  фокус li ha ya
lumk hu  логарифм li ha ya
ciyk hu  звичайно li ha ya
lunt hu  люди li ha ya
fuym hu  форма li ha ya
cink hu  бажання li ha ya
cank hu  знак li ha ya
cant hu  звичка li ha ya
cint hu  агент li ha ya
funm hu  фонема li ha ya
lunp hu  петля li ha ya
luwt hu  лютня li ha ya
tick hu  словник li ha ya
budz hu  Буддизм li ha ya
cinp hu  інформація li ha ya
