hi li hu  be li ha ya
kfus hu  describe li ha ya
kcim hu  chemical ha ya
kcin hu  agent li ha ya
kcil hu  skill ha ya
kcam hu  estimate li ha ya
kcay hu  cure li ha ya
kcap hu  occupy li ha ya
kcan hu  hunt ha ya
kcas hu  cost li ha ya
kcat hu  eight ha ya
kcal hu  cupboard li ha ya
kcaf hu  escape li ha ya
kcum hu  commission li ha ya
kcun hu  conjugate ha ya
kcut hu  mess ha ya
kcul hu  shell li ha ya
kcuf hu  enough ha ya
pyik hu  break ha ya
pyin hu  experience ha ya
pyis hu  predict li ha ya
pyit hu  four ha ya
pyil hu  appeal ha ya
pyif hu  verb ha ya
pyic hu  peace li ha ya
pyam hu  program ha ya
pyak hu  practice li ha ya
pyaw hu  couple ha ya
pyan hu  spread ha ya
pyas hu  fast ha ya
pyat hu  bring li ha ya
pyal hu  parallel ha ya
pyaf hu  perform ha ya
pyac hu  wonder ha ya
pyum hu  pronoun ha ya
pyuk hu  publish ha ya
pyun hu  bird ha ya
pyus hu  process li ha ya
pyut hu  proton ha ya
pyul hu  boil ha ya
pyuf hu  proof ha ya
pyuc hu  project ha ya
pwit hu  believe li ha ya
pwil hu  variable ha ya
pway hu  away li ha ya
pwan hu  pipe li ha ya
pwas hu  answer ha ya
pwus hu  presence li ha ya
pwut hu  approve ha ya
psim hu  reverse ha ya
psik hu  discrimination li ha ya
psiy hu  pressure ha ya
psin hu  spin ha ya
psit hu  speed ha ya
psil hu  spell ha ya
psif hu  praise li ha ya
psic hu  page li ha ya
psam hu  prepare li ha ya
psak hu  spit li ha ya
psan hu  expand li ha ya
psat hu  surface ha ya
psal hu  sail ha ya
psaf hu  reply ha ya
psac hu  prize li ha ya
psuy hu  protest li ha ya
psun hu  source li ha  source ha ya
psut hu  promise ha ya
psuf hu  breast li ha ya
psuc hu  expression li ha ya
plin hu  plane ha ya
plic hu  particle li ha ya
plam hu  plasma ha  mast fwas hi ya
pak hu  apply li ha ya
play hu  play ha ya
plan hu  plan ha ya
plat hu  planet ha ya
plum hu  problem ha ya
pluk hu  plug li ha ya
pluy hu  popular ha ya
plun hu  probably ha ya
plut hu  dust ha ya
pfim hu  profession li ha ya
pfiy hu  behave li ha ya
pfin hu  fin li ha ya
pfit hu  period li ha ya
pfic hu  prefer ha ya
pfam hu  parent li ha ya
pfan hu  bury li ha ya
pfal hu  fail ha ya
pfum hu  plenty li ha ya
pfun hu  open li ha ya
pfus hu  bus ha ya
pcin hu  money li ha ya
pcis hu  business li ha ya
pcit hu  appreciate ha ya
pcil hu  special ha ya
pcay hu  schedule li ha ya
pcan hu  exchange li ha ya
pcas hu  paw li ha ya
pcat hu  spend li ha ya
pcal hu  jump li ha ya
pcum hu  hope ha ya
pcun hu  person li ha ya
pcus hu  pants li ha ya
pcut hu  bridge li ha ya
pcuf hu  eyebrow li ha ya
nyip hu  mirror ha ya
nyis hu  reference ha ya
nyit hu  unit ha ya
nyas hu  rise li ha ya
nyat hu  enter ha ya
nyal hu  nails li ha ya
nyup hu  invite li ha ya
nyus hu  ionize ha ya
nyut hu  neutron ha ya
nyul hu  roll ha ya
nwat hu  equivalent li ha ya
syim hu  seven ha ya
syik hu  sick li ha ya
syip hu  clean ha ya
syiw hu  serve ha ya
syit hu  send ha ya
syif hu  reserve li ha ya
syic hu  research ha ya
syam hu  stay ha ya
syak hu  awake ha ya
syap hu  order li ha ya
syan hu  cyan ha ya
syat hu  solid ha ya
syuk hu  strict li ha ya
syup hu  rub li ha ya
syun hu  universe ha ya
syut hu  support ha ya
swit hu  switch ha ya
swil hu  soul ha ya
swic hu  conscious li ha ya
swat hu  water ha ya
swal hu  equal li ha ya
swum hu  persuade li ha ya
swuy hu  question ha ya
swun hu  sleep ha ya
slim hu  example li ha ya
slik hu  single ha ya
sliy hu  secular li ha ya
slip hu  always li ha ya
slin hu  cieling li ha ya
slit hu  to-split li ha ya
slif hu  word li ha ya
slic hu  stairs li ha ya
slam hu  sublimate ha ya
slan hu  listen li ha ya
slat hu  side ha ya
slac hu  wrong ha ya
slun hu  alone li ha ya
sluf hu  follow li ha ya
tyim hu  tremble ha ya
tyik hu  decay ha ya
tyip hu  again ha ya
tyin hu  three ha ya
tyis hu  address li ha ya
tyil hu  cold ha ya
tyif hu  translate ha ya
tyic hu  direction ha ya
tyam hu  atom ha ya
tyak hu  shout ha ya
tyap hu  try ha ya
tyaw hu  idea ha ya
tyan hu  string ha ya
tyas hu  throw ha ya
tyal hu  justice li ha ya
tyaf hu  deliver li ha ya
tyac hu  attend li ha ya
tyum hu  transition li ha ya
tyuk hu  object ha ya
tyup hu  robot ha ya
tyun hu  other li ha ya
tyus hu  case ha ya
tyuf hu  different ha ya
tyuc hu  teach ha ya
twis hu  true ha ya
tway hu  door li ha ya
twal hu  welcome ha ya
twuy hu  doorway li ha ya
twuf hu  two li ha ya
tsim hu  together ha ya
tsik hu  tax li ha ya
tsiy hu  story ha ya
tsip hu  step ha ya
tsiw hu  satellite ha ya
tsin hu  instruction ha ya
tsil hu  deserve ha ya
tsic hu  trial ha ya
tsam hu  purpose ha ya
tsak hu  attack ha ya
tsay hu  star ha ya
tsan hu  respect ha ya
tsal hu  state ha ya
tsaf hu  taste ha ya
tsac hu  increase ha ya
tsum hu  study ha ya
tsuk hu  shop ha ya
tsuy hu  sit ha ya
tsup hu  stop li ha ya
tsun hu  noun ha ya
tsul hu  adult ha ya
tlik hu  electricity ha ya
tlin hu  ordinal ha ya
tlis hu  desire ha ya
tlic hu  pleasure li ha ya
tlam hu  belong li ha ya
tlak hu  rectangle ha ya
tlay hu  fold ha ya
tlap hu  treatment li ha ya
tlan hu  tradition ha ya
tlas hu  dish ha ya
tlaf hu  only li ha ya
tlun hu  triple-point ha ya
tfim hu  temporary ha ya
tfik hu  traffic li ha ya
tfin hu  individual ha ya
tfis hu  difference li ha ya
tfam hu  define li ha ya
tfak hu  dirt ha ya
tfan hu  transfer ha ya
tfas hu  disaster ha ya
tfal hu  file ha ya
tfum hu  friend li ha ya
tfun hu  phone li ha ya
tfus hu  damage ha ya
tcim hu  dimension li ha ya
tcik hu  check ha ya
tciy hu  change ha ya
tcin hu  chain ha ya
tcil hu  jail ha ya
tcam hu  chew li ha ya
tcay hu  attitude li ha ya
tcap hu  transparent ha ya
tcan hu  tree ha ya
tcal hu  chat li ha ya
tcum hu  join ha ya
tcuk hu  trick ha ya
tcuy hu  attention li ha ya
tcup hu  drop li ha ya
tcuw hu  outside ha ya
tcun hu  power ha ya
tcul hu  title li ha ya
fyim hu  immediate li ha ya
fyis hu  offical ha ya
fyit hu  front li ha ya
fyil hu  pleasant li ha ya
fyam hu  fame li ha ya
fyaw hu  adverb li ha ya
fyan hu  celebrate li ha ya
fyas hu  phrase ha ya
fyat hu  interpret li ha ya
fyum hu  reform li ha ya
fyun hu  warn li ha ya
fyut hu  fruit ha ya
fwis hu  kind li ha ya
fwil hu  force ha ya
fway hu  variety li ha ya
fwap hu  five ha ya
fwas hu  phase ha ya
flim hu  metalloid li ha ya
flin hu  influence li ha ya
flit hu  flute ha ya
flay hu  fly ha ya
flan hu  flood ha ya
flat hu  flat ha ya
fluk hu  flower li ha ya
flup hu  floor li ha ya
flun hu  please ha ya
flut hu  float li ha ya
fluc hu  flow ha ya
cyik hu  share li ha ya
cyip hu  news li ha ya
cyin hu  learn ha ya
cyis hu  across li ha ya
cyit hu  teeth li ha ya
cyif hu  obvious li ha ya
cyam hu  hinge li ha ya
cyap hu  branch li ha ya
cyan hu  include ha ya
cyas hu  character li ha ya
cyat hu  danger li ha ya
cyal hu  shelf li ha ya
cyaf hu  reveal li ha ya
cyum hu  room li ha ya
cyut hu  condition li ha ya
cwif hu  recieve li ha ya
cwam hu  evening li ha ya
cwan hu  vagina li ha ya
cwal hu  swallow li ha ya
cwuy hu  care ha ya
clin hu  relation ha ya
clak hu  ankle li ha ya
clan hu  origin ha ya
clas hu  hall li ha ya
clum hu  sentence ha ya
clun hu  knee li ha ya
clut hu  supercritical-fluid ha ya
miyn hu  minor ha ya
miyt hu  aware ha ya
miwt hu  death li ha ya
mink hu  mind ha ya
minp hu  between li ha ya
mint hu  minute li ha ya
misp hu  suspect li ha ya
mist hu  measure ha ya
mils hu  military li ha ya
milt hu  melt li ha ya
milc hu  wash li ha ya
mift hu  method li ha ya
mict hu  mention li ha ya
mayk hu  mark li ha ya
mayp hu  map ha ya
mayn hu  harmony ha ya
mays hu  border li ha ya
mayt hu  land li ha ya
mayc hu  image ha ya
mank hu  brain ha ya
mant hu  magenta ha ya
mask hu  mask li ha ya
masp hu  bother li ha ya
mast hu  matter ha ya
malk hu  advertisement li ha ya
malp hu  reward ha ya
malt hu  metal li ha ya
malc hu  regret li ha ya
maft hu  admit li ha ya
mack hu  imagine ha ya
muyk hu  major ha ya
muyp hu  improve ha ya
muyn hu  fool ha ya
muys hu  emote ha ya
muyt hu  die ha ya
muwt hu  mouth li ha ya
munk hu  possible ha ya
munt hu  mood ha ya
musk hu  music ha ya
musp hu  wrist li ha ya
must hu  most ha ya
mult hu  modulo ha ya
muft hu  die ha ya
muct hu  important li ha ya
kimt hu  comittee li ha ya
kiyp hu  paper ha ya
kiyn hu  one ha ya
kint hu  convert ha ya
kisp hu  exponent ha ya
kist hu  replace ha ya
kift hu  forgive ha ya
kict hu  exceed li ha ya
kamp hu  camp li ha ya
kamt hu  amount li ha ya
kaym hu  gather li ha ya
kayp hu  edge li ha ya
kayn hu  flow-current ha ya
kays hu  grammatical-case ha ya
kayt hu  card ha ya
kawp hu  cover li ha ya
kawn hu  hang li ha ya
kaws hu  gas ha ya
kawt hu  bed li ha ya
kanp hu  connect ha ya
kant hu  constant ha ya
kasp hu  catch ha ya
kast hu  create ha ya
kalp hu  cable li ha ya
kals hu  galaxy li ha ya
kalc hu  complain li ha ya
kafp hu  accept li ha ya
kaft hu  active ha ya
kact hu  hot ha ya
kump hu  complex ha ya
kumt hu  command ha ya
kuym hu  common ha ya
kuyp hu  copy li ha ya
kuyt hu  critical-point ha ya
kuwt hu  code ha ya
kunp hu  shut ha ya
kusp hu  collapse ha ya
kust hu  record ha ya
kulp hu  claw li ha ya
kuls hu  cruel ha ya
kult hu  culture ha ya
kulc hu  spoon li ha ya
kufp hu  recover li ha ya
kuft hu  coat li ha ya
kucp hu  skin li ha ya
kuct hu  knife li ha ya
yimt hu  rhythm ha ya
yiwt hu  revolt li ha ya
yink hu  ring ha ya
yinp hu  return ha ya
yint hu  today li ha ya
yisk hu  risk li ha ya
yisp hu  export ha ya
yist hu  yesterday li ha ya
yilk hu  yellow ha ya
yils hu  age li ha ya
yilt hu  Eulers-number ha ya
yilc hu  already li ha ya
yifk hu  wealthy li ha ya
yift hu  worth ha ya
yict hu  reject li ha ya
yamt hu  admire ha ya
yawt hu  ride ha ya
yank hu  rock li ha ya
yanp hu  ordinary li ha ya
yant hu  rent li ha ya
yask hu  ask li ha ya
yasp hu  work ha ya
yast hu  gratis ha ya
yalk hu  vehicle ha ya
yalt hu  early ha ya
yalf hu  travel li ha ya
yafk hu  react li ha ya
yaft hu  row ha ya
yact hu  ration li ha ya
yumk hu  public li ha ya
yumt hu  mercy ha ya
yunk hu  train li ha ya
yunt hu  container ha ya
yusk hu  east ha ya
yusp hu  rob li ha ya
yust hu  rest ha ya
yulp hu  role ha ya
yult hu  utility ha ya
yulf hu  useful li ha ya
yuck hu  root li ha ya
yuct hu  relate li ha ya
pimt hu  possess li ha ya
piyk hu  experiment li ha ya
piyn hu  opine ha ya
piys hu  pi li ha ya
piyt hu  depend ha ya
pint hu  operate ha ya
pisk hu  penis li ha ya
pist hu  permit ha ya
pilt hu  ticket li ha ya
pict hu  pest li ha ya
pamk hu  prompt ha ya
pamt hu  permanent ha ya
paym hu  port li ha ya
payn hu  ban li ha ya
pays hu  base ha ya
payt hu  bite li ha ya
payc hu  price li ha ya
pank hu  trap li ha ya
pant hu  plant li ha ya
pask hu  bag li ha ya
past hu  produce ha ya
palk hu  back li ha ya
pals hu  explode li ha ya
palt hu  politics li ha ya
pack hu  box li ha ya
pact hu  part li ha ya
pumt hu  belly li ha ya
puym hu  stumble li ha ya
puyk hu  grammatical-object ha ya
puyn hu  bottom li ha ya
puys hu  cross li ha ya
puyt hu  report li ha ya
puyc hu  pour li ha ya
puwt hu  provide ha ya
punk hu  leg li ha ya
punt hu  point ha ya
pusk hu  load ha ya
pust hu  mail ha ya
pulk hu  polygon ha ya
puls hu  kiss ha ya
pult hu  bottle ha ya
pulf hu  eyelid li ha ya
wint hu  wind ha ya
wist hu  invest li ha ya
ways hu  face li ha ya
wayt hu  wire li ha ya
wank hu  bowl li ha ya
wasp hu  robe li ha ya
walk hu  wave li ha ya
wuym hu  volume ha ya
wuyt hu  vote li ha ya
wunk hu  elbow li ha ya
wulp hu  rib li ha ya
wuls hu  responsible li ha ya
wult hu  old li ha ya
nimt hu  nonmetal li ha ya
niyk hu  nearby ha ya
niyp hu  avoid li ha ya
niyt hu  nth-root ha ya
niws hu  nose li ha ya
niwt hu  network ha ya
nisk hu  ingredient li ha ya
nisp hu  principle li ha ya
nist hu  nice ha ya
nilk hu  nuclear li ha ya
nilt hu  intelligence ha ya
nift hu  nine ha ya
nick hu  naked li ha ya
nict hu  native ha ya
namt hu  appoint li ha ya
naym hu  normal li ha ya
nayk hu  deny li ha ya
nays hu  organize li ha ya
nayt hu  rare ha ya
nayc hu  nation li ha ya
nask hu  interest ha ya
nasp hu  transport li ha ya
nast hu  install li ha ya
nals hu  contact li ha ya
nalt hu  nature ha ya
nafk hu  window li ha ya
naft hu  artificial li ha ya
nack hu  examine li ha ya
nact hu  interfere ha ya
numk hu  economy li ha ya
numt hu  note ha ya
nuym hu  announce li ha ya
nuys hu  noise ha ya
nuyt hu  north ha ya
nusk hu  anus li ha ya
nusp hu  forget ha ya
nust hu  notice ha ya
nulk hu  neck li ha ya
nulp hu  noble li ha ya
nuls hu  zero ha ya
nult hu  birth li ha ya
nuft hu  hostile ha ya
nuck hu  never li ha ya
simk hu  one-second li ha ya
simp hu  seed li ha ya
simt hu  system ha ya
siym hu  summary li ha ya
siyk hu  secret li ha ya
siyp hu  precise li ha ya
siyn hu  seem ha ya
siyt hu  suggest ha ya
siyc hu  series li ha ya
siwc hu  situation li ha ya
sink hu  decrease ha ya
sinp hu  appear li ha ya
sint hu  feel ha ya
silk hu  six ha ya
silt hu  settle li ha ya
silf hu  civilian li ha ya
sifk hu  lack li ha ya
sifp hu  position li ha ya
sift hu  shift ha ya
sick hu  sex li ha ya
sict hu  sad li ha ya
samk hu  eye li ha ya
samt hu  hour li ha ya
saym hu  stretch li ha ya
sayk hu  wise ha ya
sayp hu  supply ha ya
sayn hu  save ha ya
sayt hu  speed-of-light ha ya
sayf hu  sacrifice ha ya
sayc hu  investigate li ha ya
sank hu  often ha ya
sanp hu  extend ha ya
sant hu  art ha ya
salk hu  kill li ha ya
salp hu  surplus li ha ya
salt hu  salt li ha ya
salf hu  health li ha ya
salc hu  social ha ya
saft hu  safety li ha ya
sack hu  twilight li ha ya
sacp hu  punish li ha ya
sact hu  shoot ha ya
sumk hu  success li ha ya
sump hu  morning li ha ya
sumt hu  subject ha ya
suyk hu  suffer ha ya
suyp hu  absorb li ha ya
suyn hu  structure li ha ya
suyt hu  correct ha ya
sunk hu  trunk li ha ya
sunp hu  suppose ha ya
sunt hu  south ha ya
sult hu  soldier li ha ya
sulc hu  solution ha ya
sufk hu  spine li ha ya
suft hu  sacred li ha ya
suck hu  socket li ha ya
sucp hu  spouse ha ya
timk hu  grammar li ha ya
tiym hu  late ha ya
tiyk hu  ten ha ya
tiyp hu  type li ha ya
tiyn hu  continue ha ya
tiys hu  distance ha ya
tiyf hu  drive ha ya
tiyc hu  delay li ha ya
tiwk hu  develop li ha ya
tiws hu  theater ha ya
tink hu  think ha ya
tinp hu  tense li ha ya
tisk hu  text ha ya
tisp hu  represent ha ya
tilk hu  label li ha ya
tilc hu  technology li ha ya
tifk hu  activity li ha ya
tick hu  debt li ha ya
ticp hu  almost ha ya
tamk hu  look ha ya
tamp hu  debate li ha ya
taym hu  time ha ya
tayk hu  attach ha ya
tayp hu  top li ha ya
tayn hu  area ha ya
tays hu  stand li ha ya
tayf hu  offer ha ya
tayc hu  degree li ha ya
tawk hu  authority ha ya
tank hu  sudden ha ya
tanp hu  tape li ha  tape ha ya
task hu  task ha ya
tasp hu  arrest li ha ya
talk hu  talk ha ya
talp hu  table ha ya
tals hu  pretend li ha ya
talf hu  hide ha ya
talc hu  entitle li ha ya
tafp hu  defend li ha ya
tack hu  thank ha ya
tacp hu  discuss li ha ya
tumk hu  vomit ha ya
tump hu  temple li ha ya
tuym hu  world ha ya
tuyk hu  doctor ha ya
tuyp hu  prototype li ha ya
tuyn hu  turn ha ya
tuys hu  thief ha ya
tuyc hu  destroy ha ya
tuwm hu  duration ha ya
tuwk hu  duty li ha ya
tuwn hu  tone li ha ya
/sˈa5˧n tɕjˈɑu2˧˥ʔ ɕˈiɜŋ/ 三角形 :zh. /tɹˈaɪaŋɡəl/ triangle :en.
/tɾiˈaŋɡulo/ triángulo :es. /tɾɪkˈoːɳ/ त्रिकोण :hi. /mθlθ/
مثلث :ar. /sˈɛɡi tˈiɡa/ segi tiga :id. /trʲiuɡˈoɭnik/
треугольник :ru. /pˈembe tˈatu/ pembe tatu :sw. /øtʃɟˈæn/
üçgen :tr. /kˈolmɪo/ kolmio :fi. /trˈiːaŋəl/ triangel :sv.
/mosˈallas/ مثلث :fa. /trˈiɣonˌo/ τρίγωνο :el. 10 t, 8 u, 8 n,
8 k, 8 a, 7 l, 7 i, 6 y, 4 m, 3 s, 3 c, 1 p, 1 f, 0 w, tunk hu
 triangle ha ya
tunp hu  adapt li ha ya
tusk hu  progress ha ya
tusp hu  gut li ha ya
tulk hu  total li ha ya
tulp hu  pain li ha ya
tufk hu  aim li ha ya
tuck hu  dictionary li ha ya
limk hu  perfect li ha ya
limt hu  limit ha ya
liyk hu  liquid ha ya
liyp hu  library ha ya
liyn hu  line ha ya
liys hu  liberty ha ya
liyt hu  leader li ha ya
liwk hu  legal ha ya
liwt hu  gift ha ya
link hu  link ha ya
linp hu  length li ha ya
lint hu  lend li ha ya
lisk hu  vacation ha ya
list hu  least ha ya
lifk hu  release li ha ya
lick hu  lecture li ha ya
licp hu  leaf li ha ya
lict hu  elect li ha ya
lamk hu  law li ha ya
lamt hu  local li ha ya
layk hu  lake ha ya
layt hu  eleven ha ya
layc hu  literature li ha ya
laws hu  lazy li ha ya
lank hu  tongue li ha ya
lant hu  slow ha ya
lask hu  offend li ha ya
lasp hu  fight li ha ya
last hu  list ha ya
laft hu  benefit ha ya
lack hu  language li ha ya
lumk hu  logarithm ha ya
lumt hu  melody ha ya
luwt hu  lute ha ya
lunk hu  logic ha ya
lunp hu  loop ha ya
lunt hu  people ha ya
lufk hu  lock ha ya
fiym hu  firm li ha ya
fiyn hu  prevent li ha ya
fiys hu  version li ha ya
fiwn hu  evidence li ha ya
fink hu  finger li ha ya
fint hu  find ha ya
fisk hu  affix ha ya
famk hu  familiar li ha ya
faym hu  farm ha ya
fayk hu  factory ha ya
fayt hu  fact ha ya
fant hu  event li ha ya
fask hu  extra li ha ya
fast hu  visit ha ya
fals hu  false ha ya
falt hu  default ha ya
fack hu  fire li ha ya
fact hu  sufficient li ha ya
