abako                         abacus
acxeti auxkcie                buy at a public sale
acxeto                        purchase
Adamo                         Adam
adapti                        accommodate, adapt, adjust, fit
adapti por orkestro           orchestrate, score
adaptigo                      accommodation
adaptigxemo                   adaptability
adaptigxi                     accomodate oneself, adapt oneself
adaptigxo                     adaptation, adjustment
adaptinto                     adaptor
adaptita                      adapted
adapto                        adaptation
adapto por orkestro           orchestration
adekvata                      adequate
Adelaido                      Adelaide
Adena Golfo                   Gulf of Aden
Adeno                         Aden
adepto                        adept, supporter
adhero                        adhesion
adi                           keep
adiaux                        adieu, farewell, bye, goodbye, good-bye
adiauxa                       goodbye-
adiauxi                       say goodbye, say goodbye to, take leave, take leave from
adiauxo                       farewell, goodbye, good-bye
adicii                        add, add up
adicio                        addition
Adisabebo                     Addis Ababa
adjektiva                     adjectival
adjektivo                     adjective
adjudiki                      invite tenders for, put out to tender
adjunkto                      assistant
adjutanto                     adjutant, aide-de-camp
administra                    administrative
administra aparato            machine of government
administra jaro               financial year
administra ofico              stewardship
administracio                 administration, management
administrado                  administration, management
administraj kostoj            administrative expenses
administrantaro               administration, management
administranto                 manager
administri                    administer, manage
administristaro               administration, management
administristo                 administrator
administro                    administration, management
admira                        admiring
admiralitato                  admirality
admiralo                      admiral
Admiraltoj                    Admirality Islands
admirantino                   admirer
admiranto                     admirer
admiri                        admire
admirinda                     admirable
admiro                        admiration
admoni                        admonish, scold
admonletero                   dunning-letter
admono                        exhortation
adoleskantino                 flapper
adoleskanto                   adolescent
adoleskeco                    puberty
adoleskulino                  adolescent
adoleskulo                    adolescent
adolto                        adult
adonido                       pheasant's eye
Adono                         Adonis
adoptado                      adoption
adoptaj gepatroj              foster-parents
adopti                        adopt
adoptita                      adopted
adoptito                      adoptive child
adopto                        adoption
adoptulo                      adoptive child
adorado                       adoration, worship
adorantino                    adorer, female adorer, worshipper, female worshipper
adoranto                      worshipper
adoratino                     adored one
adori                         adore, worship
adorinda                      adorable
adoro                         adoration, worship
adrenalino                    adrenaline
adresanto                     shipper, sender
adresaro                      address list
adresato                      addressee
adresi                        address
adresiga masxino              addressing machine, addressograph
adresigilo                    addressing machine
adresito                      addressee
adreslibro                    directory
adreso                        address
adressxangxo                  change of address
Adrianopolo                   Adrianople
Adriatiko                     Adriatic, Adriatic Sea
adstringa                     tart
adstringilo                   adstringent
adulta                        adulterous
adulti                        commit adultery
adulto                        adultery
adultulino                    adulteress
adultulo                      adulterer
advento                       advent
adverba                       adverbial
adverbo                       adverb
advokatacxo                   pettifogger, shyster
advokato                      advocate, lawyer
aera                          overground, overhead
aera rezisto                  air-resistance
aerdefenda artilerio          ack-ack, anti-aircraft guns
aerdefendo                    air-defence, anti-aircraft defence, anti-aircraft defences
aereskadro                    air squadron, air-squadron
aerfiltrilo                   air-filter
aerfloto                      air-fleet
aerkavo                       air-pocket
aerklapo                      air-valve
aerklimatizita                air-conditioned
aerkuseno                     air cushion
aerlinia piloto               airline pilot, airline-pilot
aermalpurigo                  air-pollution
aermalsana                    airsick
aermalsano                    airsickness
aermehxanikisto               flight engineer, flight mechanic
aero                          air
aerodromo                     airfield
aerohaveno                    airport
aerolito                      meteoric stone
aeroplano                     plane, aeroplane, airplane
aerostato                     balloon, air-balloon
aerpafilo                     air gun, air-gun
aerpirato                     skyjacker
aerponto                      airlift
aerposxta letero              air letter, aerogramme
aerposxtmarko                 air-mail stamp
aerposxto                     airmail
aerpremo                      air-pressure
aerstevardino                 stewardess
aersxipo                      air-ship
aertubo                       tube
aeruma                        airy
aeruma krado                  air-grid
aerumi                        air out, ventilate
aervojo                       airway
afabla                        affable, friendly, good-natured, kind
afableco                      kindness
afablega                      most charming
afazio                        aphasia
afekcii                       affect
afekciita                     affected
afekcio                       affection
afekta                        affected, artificial
afektado                      affectation
afekte milda                  bland, sugary
afektema                      affected
afekti                        attitudinize, pose, put on airs
afektita                      inflated
afekto                        affectation
afektulo                      attitudinizer, poseur
aferkoncerneco                relevance
afero                         affair, business, business deal, case, matter
afgana                        Afghan
afganino                      Afghan woman
Afganio                       Afghanistan
Afganlando                    Afghanistan
afgano                        Afghan
Afganujo                      Afghanistan
afikso                        affix
afineco                       affinity
afisxi                        placard, post, post up
afisxkolono                   advertising pillar
afisxo                        notice, placard, poster
afisxtabulo                   bill-board, notice-board
afliktado                     affliction, ordeal, trial
aflikti                       afflict, grieve
afliktigxo                    sadness
afliktita                     sad
aflikto                       affliction
aforismo                      aphorism
afranki                       prepay, put on stamps
afrankita                     post-paid, stamped
afranko                       postage
afranktarifo                  postal rates
afrika                        African
afrikano                      African
afrikansa                     Afrikaans
afrikansa lingvo              Afrikaans, Afrikaans language
afrikanso                     Afrikaner, Afrikander
afrikazia                     Afro-Asian
Afriko                        Africa
Afrodito                      Aphrodite
afrodiziigajxo                aphrodisiac
afusto                        carriage, gun-carriage
agaca                         tart
agado                         action, activity
Agamemno                      Agamemnon
agapo                         agape
agaragaro                     agar, agar-agar
agariko                       mushroom
agato                         agate
agavo                         agave
agema                         active
agemo                         activity
agendo                        agenda, appointment book
agenteco                      agency
agentejo                      agency
agento                        agent
agenturo                      agency
agi                           act
agi laux                      follow, observe
agita                         inflammatory
agitado                       commotion
agitanto                      activist
agitgrupo                     action committee, action group
agiti                         abet, agitate, incite, stir up
agitigxo                      commotion
agitkomisiono                 action committee, action group
agito                         agitation, commotion, disturbance, excitement, flutter, turmoil
agla nazo                     aquiline nose
agleca nazo                   aquiline nose
aglibero                      elbow-room
aglido                        eaglet
aglo                          eagle
aglomerajxo                   agglomerate
agnoski                       acknowledge, recognize
agnosko                       acknowledgement
ago                           act, action
agonii                        be near death
agonio                        agony, death throes
agorafobio                    agoraphobia
agordi                        tune
agordigxemo                   manageability, tractability
agordo                        agreement
agrabla                       agreeable, enjoyable, lovely, nice, pleasant
agrable                       agreeably, comfortably, pleasantly
agrableco                     pleasantness
agrafa fermilo                hooks and eyes
agrafi                        clasp
agrafo                        clasp, hook
agrara                        agricultural, farm
agregato                      aggregate
agresa                        aggresive
agresema                      aggressive
agresi                        commit aggression
agresiva                      aggressive
agreso                        aggression
agrikultura ekspozicio        agricultural exhibition
agrikultura instruado         agricultural instruction
agrikultura lernejo           agricultural school
agrikultura produktajxo       agricultural product
agrikulturista ligo           farmers' union
agrikulturisto                agrarian
agrikulturo                   agriculture, farming, tillage
agro                          field
agrokulturisto                farmer
agrokulturo                   agriculture
agronomia                     agricultural
agronomio                     agriculture
agronomo                      agriculturist
agropiro                      couch-grass
agrostemo                     corn cockle
agxa                          aged
Agxario                       Adzharia
agxio                         premium
agxo                          age
aha                           aha
ahx                           ah, oh, ow
Ahxajo                        Achaea, Achaia
Ahxeno                        Aix-la-Chapelle
Ahxerono                      Acheron
aidozo                        aids
aj                            ouch, ow
Ajaco                         Ajax
ajlero                        garlic bulb
ajlo                          garlic
ajn                           at all, -ever
Ajro                          Ayr
ajxo                          thing
ajxoj                         stuff, things
ajxura                        open-work
akacio                        acacia
akademia                      academic
akademiano                    academician
akademio                      academy
akajunukso                    cashew-nut
akanto                        acanthus
akapari                       corner, monopolize
akaro                         mite
akcelanta                     accelerative
akcelanto                     promotor
akceli                        accelerate, speed up
akceligxi                     accelerate, pick up
akceligxo                     acceleration
akcelilo                      accelerator, accelerator pedal
akcelo                        acceleration
akcenti                       accent, accentuate, stress
akcento                       accent, stress
akcentsigno                   stress-mark
akceptanto                    acceptor
akceptebla                    acceptable
akcepti                       accept, receive, take, take in
akcepti oficiale              do the honours
akcepti solene                welcome
akcepti vizitantojn           entertain, receive
akceptigi                     force
akceptigi obstine             drive through
akceptinda                    acceptable
akceptindeco                  susceptibility
akceptistino                  receptionist
akceptita                     accepted
akcepto                       acceptance
akceptosalono                 reception room, reception-room
akceptposxtgxirilo            giro payment slip
akceptsalono                  reception room, reception-room
akcesora                      accessory, secondary
akcesora fako                 subsidiary subject
akcesora tono                 overtone
akcesorajxo                   accessory, side-issue
akcesorajxoj                  accessories
akciaro                       share-capital
akcidentema                   accident-prone
akcidenti                     have an accident
akcidento                     accident
akcidentrisko                 accident risk
akcio                         share
akcio de navigacia kompanio   shipping share
akcipitro                     hawk
akciuleco                     shareholdership
akciulo                       shareholder
akcizo                        excise, excise-duty
Akeno                         Aix-la-Chapelle
akeo                          ai, sloth
Akerono                       Acheron
akilkalkano                   Achilles' heel
Akilo                         Achilles
akiltendeno                   Achilles' tendon
akirado                       acquisition
akirajxo                      accession, acquisition, gain
akirebla                      obtainable
akiri                         acquire, attain, get, obtain
akiri pene                    reclaim
akiro                         accession, acquisition, asset
aklamado                      acclamation
aklame                        by acclamation
aklami                        acclaim, applaud
aklamo                        acclaim, acclamation, approval
aklimatizi                    acclimatize
akno                          pimple
akolito                       acolyte
akomodi                       accomodate
akomodigxo                    accommodation
akomodo                       accommodation
akompanado                    accompaniment
akompanantaro                 suite, train
akompanantino                 chaperon, duenna
akompananto                   accompanist, companian
akompani                      accompany
akompani varte                chaperon, squire
akompano                      accompaniment, escort
akonito                       aconite, monkshood
akorda kun                    in accordance with
akordi                        agree
akordigi                      bring into agreement
akordigxema                   manageable, tractable
akordigxi                     come to an agreement
akordionisto                  accordionist
akordiono                     accordion
akordo                        accord, agreement, chord, settlement
akoro                         calamus
akra                          abrasive, lurid, sharp
akra tono                     tartness
akraflanka                    angular, sharp-edged
akratona                      abrasive, sharp-toned, shrill, snappy, tard
akreco                        sharpness
akreditajxo                   credential
akrediti                      accredit
akreditivo                    letter of credit
akreo                         acre
akresona                      shrill
akrido                        grasshopper, locust
akrigi                        sharpen
akrigrimeno                   strop
akro                          acre
akrobata                      acrobatic
akrobatado                    acrobatics
akrobato                      acrobat
akromatopsia                  colour-blind
akronimo                      acronym
Akropolo                      Acropolis
akrulino                      cat
akselo                        armpit
aksesorajxo                   accessorie
aksingo                       hub, nave
aksiomo                       axiom
akso                          axis, axle
aktia                         of Actium
aktinio                       actinium
Aktio                         Actium
aktisto                       actuary
aktiva                        active
aktiva vocxo                  active voice
aktiveco                      activity, vigour
aktivigi                      put on, start, switch on, turn on
aktivo                        assets
aktivoj                       assets
akto                          act, certificate, diploma, document
akto[1]                       act
akto[2]                       certificate, diploma, document
aktori                        act
aktorino                      actress
aktoro                        actor
aktuala                       current, present, present-day, topical, up-to-date
aktualajxo                    topic
aktualeco                     topicality
aktuario                      actuary
aktujo                        brief case, portfolio
akumulatoro                   accumulator, battery, storage battery
akumuli                       accumulate, heap, pile up, stack
akumulilo                     accumulator, battery, storage battery
akupunkturisto                acupuncturist
akupunkturo                   acupuncture
akurata                       accurate, on time, prompt, punctual
akurate                       exactly, sharp
akurateco                     accuracy, exactitude, precision
akustika                      acoustic
akustika ujo                  resonance-box
akustiko                      acoustics
akusxi                        give birth, labour, be in labour
akusxintino                   lying-in woman
akusxistino                   midwife
akusxlito                     childbed
akusxocxambro                 lying-in room
akuta                         acute
akuza                         accusatory
akuzajxo                      accusation, charge, complaint, indictment
akuzanto                      accuser
akuzativo                     accusative
akuzi                         accuse
akuzi pri                     accuse of, charge with, impeach of, indict for, tax with
akuzito                       accused, defendant
akuzo                         accusation
akva                          aquatic, water, water-, of water
akvaforto                     etching
akvamarino                    aquamarine
akvarelo                      water-colour
akvario                       aquarium
akvedukto                     aqueduct
akvero                        drop, drop of water
akvilegio                     columbine
akvo-                         aquatic, water-
akvobubalo                    water buffalo, water-buffalo
akvofalo                      waterfall
akvoklosxo                    diving-bell
akvokreso                     watercress
akvolilio                     waterlily
akvomelono                    water-melon
akvonecesejo                  water-closet
akvoricxa                     abounding in water
akvovaporo                    vapour
akvumado                      watering
akvumi                        irrigate, water
akvumilo                      watering-can
al                            at, to, toward, towards
al ci                         you, to you
al ili                        them, to them
al la                         the, to the
al mi                         me, to me
al ni                         us, to us
al vi                         you, to you
Alabamo                       Alabama, Alabama River
alabastra                     alabaster
alabastro                     alabaster
Alaho                         Allah
Alandinsuloj                  Aalands Islands
alarangxi                     adapt, adjust
alarma                        alarming
alarmbremso                   communication-cord
alarmi                        alarm
alarmilo                      alarm
alarmo                        alarm
alarmsignalo                  alarm, alarm-signal
alarmsonorilo                 alarm-bell
Alasko                        Alaska
alauxdo                       lark
albana                        Albanian
albana lingvo                 Albanian, Albanian language
albanino                      Albanian woman
Albanio                       Albania
albano                        Albanian
Albanujo                      Albania
albatroso                     albatross
Albertlago                    Lake Albert
albino                        albino
Albiono                       Albion
albo                          alb
albordigxa haveno             port of call
albordigxejo                  landing-stage, pier
albordigxi                    land
albumo                        album
alcedo                        halcyon, kingfisher
alceli                        chase, hunt after, hunt for, pursue
alciono                       halcyon, kingfisher
alcxemilo                     lady's mantle
aldehido                      aldehyde
Aldernejo                     Alderney
aldo                          contralto, contralto voice
aldone                        in addition
aldoni                        add
aldoni akvon al               dilute, weaken
aldonita                      accompanying
aldono                        appendix, codicil, rider
aldonvalora imposto           VAT
aldulino                      alto, contralto
Aleganoj                      Alleghanys
alegoria                      allegoric
alegorio                      allegory
aleksandra verso              alexandrine
Aleksandrio                   Alexandria
Aleksandro                    Alexander
aleo                          avenue
Alepo                         Aleppo
alergia                       allergic
alergio                       allergy
alero                         penthouse, shed
alesti                        be present
Aleuxtoj                      Aleutian Islands
alfabeta                      alphabetical
alfabeto                      alphabet
alfabetumo                    ABC book
alfao                         alpha
alfiksi                       affix, attach
alfikso                       attachment
alflugdirekto                 approach path, approach route
alflugi                       approach, fly
alflui                        come flocking in, flow towards, rush towards, stream towards
alfluo                        high tide
Alfredo                       Alfred
alfronti                      confront, face
alfundigi                     deposit
alfundigxi                    sink
algebra                       algebraic
algebro                       algebra
alglui                        paste, paste up, placard, post, post up
algluigxema                   sticky
algluigxi                     stick
algo                          alga, seaweed
algoritmo                     algorithm
algxeria                      Algerian
algxerianino                  Algerian woman
algxeriano                    Algerian
Algxerio                      Algeria
Algxero                       Algiers
algxustigi                    adjust, put right
algxustigo                    adjustment
alhxemiisto                   alchemist
alhxemio                      alchemy
alia                          other, another, else
alianco                       alliance
alibio                        alibi
Alicao                        Alice
alie                          differently, else
alies                         another man's, other people's
aliflanke                     on the other hand
aliformigi                    transform
aliformigo                    recreation, refashioning, regeneration, transformation
aliformigxo                   metamorphosis, transformation
aligatoro                     alligator
aligxi                        join
aligxo                        accession
aliigi                        alter, change, turn
aliigxi                       alter, change
alilandano                    alien, foreigner
alilande                      abroad
aliloke                       elsewhere
aliloken                      elsewhere
alimaniere                    differently
alimento                      alimony
alinei                        indent
alineo                        paragraph
alinome                       alias, otherwise, otherwise called
alinomita                     differently named
alinomite                     alias, otherwise, otherwise called
alirebla                      accessible
aliri                         advance, approach, come on
alirvojo                      access road
alitempe                      another time
aliteracio                    alliteration
aliulo                        another, another man
aljugxado                     tender
aljungi                       put
alkala                        alkaline
alkaleca                      alkaline
alkalo                        alkali
alkemilo                      lady's mantle
alklimatigxi                  acclimate, acclimatize
alklimatigxo                  acclimatization
alko                          elk, moose
alkohola                      alcoholic
alkoholajxmaniulo             alcoholic
alkoholajxo                   alcohol, booze, liquor, spirits, strong drink
alkoholajxoj                  alcoholic drinks
alkoholentenanta              alcoholic
alkoholismo                   alcoholism
alkoholisto                   alcoholic
alkoholo                      alcohol
alkoholtitro                  alcoholic content
alkoholulo                    alcoholic
alkonformigo                  accommodation
alkonformigxemo               adaptability
alkonformigxo                 accommodate oneself, adapt oneself
alkonstrui                    add
alkovo                        alcove, recess
alkrocxi                      hitch on, hook on
alkrocxigxi                   cling to, get caught on
alkrocxigxi al                board
alkrustigxi                   fur
alkrustigxo                   fur, scale
alkudri                       sew, sew on
alkuro                        crush
alkutimajxo                   habit, trick
alkutimigxi                   become accustomed
alligi                        moor
alligiteco                    attachment
alloga                        attractive
allogajxo                     attraction
allogeco                      attraction, attractiveness, charm
allogi                        attract, draw
almanako                      almanac
almarsxi                      advance, march on
almenaux                      at least
almeti                        attach, put onto
almezuri                      take one's measure for
almozmonahxo                  mendicant friar
almozo                        alms
almozordeno                   mendicant order
almozpetado                   begging
almozpetanto                  beggar
almozpeti                     beg
almozpetulo                   beggar
almozulejo                    almshouse, workhouse
almozulino                    beggar-woman
almozulo                      beggar
alna                          alder, alder-, of an alder
alnagxi                       be washed ashore
alno                          alder
aloino                        aloin
alojo                         alloy
aloligno                      eaglewood
aloo                          aloe
alosimila                     aloetic
Alosto[1]                     Alost
alosukeltiristo               aloe juice collector
alosuko                       aloe juice
alpako                        alpaca
alpara                        at par
alparolebla                   approachable, communicative, get-at-able
alparoli                      address
alpasxi                       approach, deal with, tackle
alpasxi al                    approach
alpasxo                       approach
alpherbejo                    alp, alpine pasture
alpismo                       mountaineering
alpisto                       Alpinist, climber, mountain climber, mountaineer
alpkapro                      ibex
alpo                          alp, mountain pasture
Alpoj                         Alps
alportado                     arrival, arrivals, supply
alporti                       bring, fetch
alpregxi                      invoke
alproksimigi                  bring close together
alproksimigxi                 advance, come close, come closer, come on
alproksimigxo                 approach
alproprigi al si              abstract
alsaca                        Alsatian
alsacano                      Alsatian
Alsaco                        Alsace, Elsass
Alsaco-Loreno                 Alsace-Lorraine
alsxovi                       push on, shove on
alsxovigxi                    draw up to the table, sit down to table
alsxultrigi                   level
alsxultrigxi                  aim, take aim
alta                          high, lofty, tall
Alta Kanto                    Canticles, Song of Solomon, Song of Songs
altaro                        altar
altartabulo                   altarpiece
alteco                        height
alten                         into the heights
alterigxi                     land
alterna                       alternate, alternating
alternado                     alternation
alternativo                   alternative, option
alterne                       alternately
alterni                       alternate
alterno                       alternation
altigxanta                    rising
altira forto                  attraction
altiri                        attract
altklasulo                    someone of the upperclass
altkreska                     tall
altlernejo                    academy
altmontarano                  Highlander
alto                          altitude, height
altpreza                      pricey
altrudi                       force, impose upon
altruisma                     altruistic
altruismo                     altruism
altstatura                    lanky, of high stature, tall
aludi                         allude, hint
aludi kalumnie                insinuate
aludo                         allusion
alumeto                       match
aluminio                      aluminium, aluminum
alumino                       alum earth, alumina
aluno                         alum
aluvia                        alluvial
aluvio                        alluvion, alluvium
alveni                        arrive, get
alveno                        arrival
alveturejo                    access, approach, drive, sweep
alveturi                      collide, run
alveturigi                    bring, convey, supply
Alvo                          Alva
alvoki                        appeal to, invoke
alvoki pregxe                 invoke
amabla                        dainty, kind, nice, pretty
amalgami                      amalgamate
amando                        almond
Amano                         Amman
amantino                      lover
amanto                        lover
amao                          aum
amara                         bitter
amaranto                      amaranthus
amareco                       bitterness
amarigi                       make bitter
amarigxi                      become bitter
amarilido                     amaryllis
amasfabriki                   mass produce
amasigi                       amass, heap, pile up, stack
amasigxo                      assembly
amaso                         crowd, heap, mass, multitude, pile
amata                         loved, beloved
amatino                       beloved, loved one, lover, sweetheart, well-beloved
amato                         beloved, loved one, lover, sweetheart, well-beloved
amatoreca                     amateurish, small-time
amatoro                       amateur, fancier
Amazona Riverego              Amazon, Amazon River
Amazono                       Amazon
ambasadejo                    embassy
ambasado                      embassy
ambasadorejo                  embassy, embassy building
ambasadoro                    ambassador
ambaux                        both
ambauxflanken                 to both sides
ambicia                       ambitious
ambicio                       ambition
ambigua                       ambiguous
ambona                        Amboinese
ambonano                      Amboinese
Ambono                        Amboina
amboso                        anvil
ambosocxizilo                 hardy
ambro                         amber
ambrozio                      ambrosia
ambulanco[1]                  ambulance
ambulanco[2]                  ambulance, field hospital
amebo                         amoeba
amen                          amen
amendamento                   amendment
amendi                        amend
amendo                        amendment
amerika                       American
amerikano                     American
Ameriko                       America
Ameriko[1]                    America
ametisto                      amethyst
amfetamino                    amphetamine
amfibio                       amphibian
amfiteatro                    amphitheatre
Amforo                        Aquarius
ami                           love
amika                         friendly
amikeco                       friendship
amikino                       friend
amiko                         friend
aminda                        lovable
amindeco                      sweetness
amindo                        charm, sweetness
amindumi                      court, woo
Amirantoj                     Amirants
amnestii                      amnesty, pardon
amnestio                      amnesty
amo                           love
amoko                         amuck
amoniako                      ammonia
amonio                        ammonia
Amono                         Ammon, Amon, Amun
amorfa                        amorphous
amori                         make love
Amoro                         Cupid, Eros
amortizebla                   redeemable, repayable
amortizi                      amortize, deaden
amortizilo                    shock absorber
amortizo                      redemption
ampermetro                    ammeter
ampero                        ampere, amp@re
amperometro                   ammeter
amplekse                      comprehensively
ampleksi                      comprise
amplekso                      bulk, dimension, extend, size
amplitudo                     amplitude
ampolo                        bulb
amputi                        amputate
amputo                        amputation
amsterdama                    Amsterdam
amsterdamano                  inhabitant of Amsterdam, native of Amsterdam
Amsterdamo                    Amsterdam
Amudarjo                      Amudaryra, Oxus
amuleto                       amulet, charm, talisman
Amuro                         Amur
amuza                         amusing, entertaining, funny
amuzado                       amusement, fun
amuzajxo                      entertainment
amuzi                         amuse
amuzigxi                      enjoy oneself, have a good time
amuzo                         amusement, fun
anabaptismo                   anabaptism
anagramo                      anagram
anakondo                      anaconda
anakronismo                   anachronism
anala seksumo                 anal sex
analfabeta                    illiterate
analfabeto                    illiterate
analfabetulo                  illiterate
analitika                     analytic, analytical
analizi                       analyse
analizisto                    analyst, analytical chemist
analizo                       analysis
analoga                       analogous
analoge                       by analogy with, on the analogy of
analogeco                     analogy
analogia                      analogous
analogio                      analogy
analoj                        annals
ananaso                       pine-apple, pineapple
anapesto                      anapaest
anarhxia                      anarchic, anarchical, anarchist
anarhxiismo                   anarchism
anarhxiisto                   anarchist
anarhxio                      anarchy
anarkia                       anarchic, anarchical, anarchist
anarkiismo                    anarchism
anarkiisto                    anarchist
anarkio                       anarchy
anaro                         adherents, disciples, following, party, supporters
anasa                         duck, duck-, duck's, of a duck
anasa ovo                     duck egg
anasajxo                      duck, duck meat
anaso                         duck
anatemo                       anathema, ban, excommunication
Anatolio                      Anatolia, Asia Minor
anatomia                      anatomical
anatomiisto                   anatomist
anatomio                      anatomy
ancxovo                       anchovy
andaluza                      Andalusian
Andaluzio                     Andalusia
andaluzo                      Andalusian
Andaluzujo                    Andalusia
Andamanmaro                   Andaman Sea
Andamanoj                     Andaman Islands
Andoj                         Andes
andora                        Andorrian
andoranino                    Andorrian woman
andorano                      Andorrian
Andoro                        Andorra
Andromedo                     Andromeda
anekdoto                      anecdote
aneksado                      annexation
aneksi                        annex
anekso                        annexation
anemia                        anaemic
anemio                        anaemia
anemono                       anemone
anestezisto                   anaesthesist
anestezo                      anaesthesia
aneto                         dill
angilforkego                  eelspear
angilforma                    anguilliform, eel-shaped
angilglata                    slippery as an eel
angilhauxto                   eelskin
angilkaptado                  eel-fishing
angilnaso                     eel-pot, eel-trap
angilo                        eel
angilpastecxo                 eel-pie
angilsimila                   eel-like
angilvendisto                 eelmonger
angino                        angina, quinsy
angla                         English
angla lingvo                  English, English language
anglamika                     pro-English
angle                         in English
