hi li hu  -e li ha ya
kip hu  yetenekli li ha ya
kin hu  ana li ha ya
kam hu  gelmek li ha ya
kis hu  yüksek li ha ya
kit hu  son li ha ya
kap hu  kafa li ha ya
kan hu  bilmek li ha ya
kas hu  neden li ha ya
kaf hu  katot li ha ya
kuy hu  büyümek li ha ya
kat hu  almak li ha ya
kal hu  tüm li ha ya
kum hu  ticaret li ha ya
kus hu  gıda li ha ya
kuc hu  küçük li ha ya
yis hu  yazmak li ha ya
kul hu  gol li ha ya
kup hu  satın-almak li ha ya
kun hu  kırmızı li ha ya
yik hu  inkâr-etmek li ha ya
yit hu  bekleyin li ha ya
yum hu  uzuv li ha ya
yat hu  okumak li ha ya
yun hu  çıkarmak li ha ya
yak hu  bazı li ha ya
yuw hu  yıl li ha ya
yac hu  genişlik li ha ya
pis hu  çarpmak li ha ya
pit hu  beyaz li ha ya
pic hu  işemek li ha ya
yus hu  kullanım li ha ya
pay hu  daha-fazla li ha ya
pam hu  kol li ha ya
yul hu  tüm li ha ya
pas hu  geçmek li ha ya
paw hu  yer li ha ya
pak hu  vücut li ha ya
pat hu  baba li ha ya
pus hu  kaka li ha ya
pan hu  karşılamak li ha ya
puk hu  kötü li ha ya
win hu  kazanmak li ha ya
pac hu  sevinç li ha ya
puy hu  çocuk li ha ya
puc hu  boş li ha ya
put hu  satmak li ha ya
pul hu  mavi li ha ya
fut hu  gelecek li ha ya
wan hu  aşk li ha ya
wut hu  ışık li ha ya
niy hu  gerek li ha ya
wap hu  kuyruk li ha ya
wat hu  konuşmak li ha ya
nay hu  nefes-vermek li ha ya
nim hu  ad li ha ya
nat hu  gece li ha ya
nut hu  anot li ha ya
nit hu  net li ha ya
nal hu  çıplak li ha ya
nic hu  enerji li ha ya
sip hu  yudum li ha ya
nuy hu  yeni li ha ya
sit hu  set li ha ya
wul hu  büyük li ha ya
sim hu  benzer li ha ya
nam hu  numara li ha ya
saw hu  siyah li ha ya
sik hu  yükseklik li ha ya
sil hu  kolay li ha ya
sak hu  anlaşmak li ha ya
nul hu  boş li ha ya
suy hu  kaybetmek li ha ya
sap hu  basit li ha ya
say hu  demek li ha ya
sam hu  aynı li ha ya
tim hu  takım li ha ya
tik hu  tutmak li ha ya
san hu  öz li ha ya
sat hu  ses li ha ya
sup hu  ödeme li ha ya
tis hu  solumak li ha ya
sut hu  boyut li ha ya
tiw hu  duvar li ha ya
tiy hu  gün li ha ya
naw hu  mevcut li ha ya
tip hu  başla li ha ya
til hu  düşük li ha ya
tin hu  görmek li ha ya
tam hu  konu li ha ya
tak hu  eklemek li ha ya
tuk hu  içki-içmek li ha ya
tay hu  koymak li ha ya
tal hu  kravat li ha ya
tan hu  vermek li ha ya
tas hu  seçmek li ha ya
tuy hu  tekrar li ha ya
tup hu  derinlik li ha ya
tum hu  sıcaklık li ha ya
tap hu  dokunma li ha ya
tuf hu  zor li ha ya
ton hu  ton li ha ya
fin hu  kadın li ha ya
fit hu  uygun li ha ya
lif hu  sol li ha ya
tul hu  alet li ha ya
lik hu  elektrik-şarj li ha ya
fam hu  aile li ha ya
lin hu  uzunluk li ha ya
ciy hu  yeşil li ha ya
cif hu  bölmek li ha ya
lis hu  canlı li ha ya
cis hu  hayat li ha ya
lit hu  kabartma li ha ya
myut hu  ithalat li ha ya
cay hu  sağ li ha ya
cin hu  işaret li ha ya
cim hu  duymak li ha ya
cum hu  şekil li ha ya
myit hu  hatırlamak li ha ya
myil hu  müttefik li ha ya
cak hu  şey li ha ya
can hu  şans li ha ya
myun hu  kullanmak li ha ya
cal hu  hareket li ha ya
myan hu  yumuşak li ha ya
kyim hu  oyun li ha ya
mwut hu  direnmek li ha ya
myat hu  matematik li ha ya
kyip hu  giysi li ha ya
myul hu  manevi li ha ya
kwit hu  yerçekimi li ha ya
kyam hu  taşımak li ha ya
kyit hu  her li ha ya
myin hu  rüya li ha ya
kyus hu  eğlence li ha ya
kyil hu  daire li ha ya
kyin hu  genel li ha ya
kyap hu  kopya li ha ya
kwat hu  güçlü li ha ya
kyup hu  grup li ha ya
ksat hu  kesin li ha ya
ksiy hu  uzman li ha ya
kyat hu  sert li ha ya
ksit hu  çıkmak li ha ya
ksil hu  kristal li ha ya
kyul hu  kural li ha ya
kwal hu  dil li ha ya
ksap hu  halat li ha ya
ksip hu  giriş li ha ya
ksam hu  karanlık li ha ya
ksin hu  bağlam li ha ya
ksal hu  galaksi li ha ya
ksan hu  düzenlemek li ha ya
ksum hu  iletişim-kurmak li ha ya
kliy hu  açık li ha ya
klim hu  bilim li ha ya
klin hu  elektron li ha ya
ksuf hu  tanımlamak li ha ya
ktin hu  din li ha ya
kcat hu  sekiz li ha ya
pyik hu  mola li ha ya
ksut hu  toplamak li ha ya
klum hu  sütun li ha ya
pyit hu  dört li ha ya
klut hu  dışlamak li ha ya
klun hu  açlık li ha ya
kfit hu  etki li ha ya
ksul hu  okul li ha ya
klaw hu  gülmek li ha ya
pyaw hu  çift li ha ya
kcil hu  beceri li ha ya
kfat hu  sıfat li ha ya
klas hu  sınıf li ha ya
kcut hu  karışıklık li ha ya
kcuf hu  yeterli li ha ya
kcun hu  eşlenik li ha ya
klat hu  fıkra li ha ya
kcim hu  kimyasal li ha ya
klac hu  dışında li ha ya
pyil hu  temyiz li ha ya
kfin hu  Yapılandırma li ha ya
pyan hu  yayılma li ha ya
pyif hu  fiil li ha ya
pyas hu  hızlı li ha ya
pyin hu  deneyim li ha ya
pyam hu  program li ha ya
pyat hu  hemen li ha ya
pyum hu  zamir li ha ya
pyaf hu  yapmak li ha ya
pyun hu  kuş li ha ya
pyal hu  paralel li ha ya
pyac hu  şaşkınlık li ha ya
pyut hu  proton li ha ya
psil hu  büyü li ha ya
pyul hu  çıban li ha ya
pwas hu  cevap li ha ya
pwil hu  değişken li ha ya
pwut hu  onaylamak li ha ya
psin hu  dönme li ha ya
psiy hu  basınç li ha ya
pyuf hu  kanıt li ha ya
psit hu  hız li ha ya
pyuc hu  proje li ha ya
psan hu  alan li ha ya
psaf hu  cevap li ha ya
psat hu  yüzey li ha ya
psal hu  yelken li ha ya
nyip hu  ayna li ha ya
psut hu  söz li ha ya
nyat hu  içeri-girmek li ha ya
plum hu  sorun li ha ya
plam hu  plazma li ha ya
pluy hu  popüler li ha ya
plin hu  düzlem li ha ya
nyul hu  rulo li ha ya
pfic hu  tercih li ha ya
plut hu  toz li ha ya
plun hu  muhtemelen li ha ya
syim hu  yedi li ha ya
pfal hu  başarısız li ha ya
pcum hu  umut li ha ya
syip hu  temiz li ha ya
pcit hu  takdir-etmek li ha ya
pcil hu  özel li ha ya
plan hu  plan li ha ya
plat hu  gezegen li ha ya
syan hu  camgöbeği li ha ya
pfus hu  otobüs li ha ya
psun hu  kaynak li ha ya
swit hu  anahtar li ha ya
play hu  oyun li ha ya
syiw hu  servis li ha ya
nlic hu  İngilizce li ha ya
syic hu  araştırma li ha ya
syam hu  kalmak li ha ya
nyit hu  birim li ha ya
nyus hu  iyonlaştırmak li ha ya
slin hu  tek li ha ya
nyut hu  nötron li ha ya
nyis hu  referans li ha ya
syat hu  katı li ha ya
tyik hu  çürüme li ha ya
syut hu  destek li ha ya
syun hu  evren li ha ya
swil hu  ruh li ha ya
swat hu  su li ha ya
swuy hu  soru li ha ya
swun hu  uyku li ha ya
syit hu  göndermek li ha ya
slac hu  yanlış li ha ya
slat hu  yan li ha ya
syak hu  uyanık li ha ya
slof hu  kelime-hazinesi li ha ya
slam hu  yüceltmek li ha ya
tkun hu  Çin li ha ya
tyip hu  bir-daha li ha ya
tyap hu  denemek li ha ya
tyaw hu  fikir li ha ya
tyas hu  atmak li ha ya
tyic hu  yön li ha ya
slim hu  örnek li ha ya
tyus hu  durum li ha ya
tyif hu  çevirmek li ha ya
tkic hu  çeviri-Sözlük li ha ya
tyis hu  geçiş li ha ya
tsiy hu  öykü li ha ya
tsip hu  adım li ha ya
tyuc hu  öğretmek li ha ya
tyuk hu  nesne li ha ya
tyuf hu  farklı li ha ya
tyil hu  soğuk li ha ya
tyam hu  atom li ha ya
twal hu  hoşgeldiniz li ha ya
twuf hu  iki li ha ya
tyak hu  bağırmak li ha ya
tyim hu  titreme li ha ya
tyin hu  üç li ha ya
tyan hu  dizi li ha ya
tyup hu  robot li ha ya
tsiw hu  uydu li ha ya
twis hu  gerçek li ha ya
tsic hu  deneme li ha ya
tsim hu  birlikte li ha ya
tsin hu  talimat li ha ya
tsuy hu  oturmak li ha ya
tsak hu  saldırı li ha ya
tsan hu  öğrenci li ha ya
tsil hu  hak-etmek li ha ya
tsay hu  yıldız li ha ya
tsac hu  artırmak li ha ya
tsam hu  amaç li ha ya
tsum hu  çalışma li ha ya
tlas hu  yemek li ha ya
tsap hu  özellik li ha ya
tsal hu  devlet li ha ya
tsaf hu  tat li ha ya
tsun hu  isim li ha ya
tlak hu  dikdörtgen li ha ya
tsul hu  yetişkin li ha ya
tlay hu  kat li ha ya
tsuk hu  mağaza li ha ya
tlum hu  eski li ha ya
tlis hu  arzu li ha ya
tcap hu  şeffaf li ha ya
tlik hu  elektrik li ha ya
tlun hu  Üç-nokta li ha ya
tfan hu  transfer li ha ya
tfas hu  felaket li ha ya
tfim hu  geçici li ha ya
tfun hu  güven li ha ya
tfin hu  bireysel li ha ya
fwap hu  beş li ha ya
tfak hu  kir li ha ya
tciy hu  değişiklik li ha ya
tlin hu  sıra li ha ya
flan hu  sel li ha ya
tcik hu  kontrol li ha ya
flat hu  düz li ha ya
tcuk hu  hile li ha ya
tcil hu  hapis li ha ya
tcum hu  katılmak li ha ya
fyis hu  resmi li ha ya
tfus hu  hasar li ha ya
fyut hu  meyve li ha ya
tcin hu  zincir li ha ya
tcuy hu  dışında li ha ya
tcun hu  güç li ha ya
tlan hu  gelenek li ha ya
tfal hu  dosya li ha ya
flay hu  uçmak li ha ya
tcan hu  ağaç li ha ya
fwas hu  faz li ha ya
mink hu  zihin li ha ya
flun hu  lütfen li ha ya
fyas hu  ifade li ha ya
cyan hu  dahil li ha ya
cwuy hu  bakım li ha ya
cyin hu  öğrenmek li ha ya
clan hu  köken li ha ya
clin hu  ilişki li ha ya
fwil hu  kuvvet li ha ya
flit hu  flüt li ha ya
mayn hu  armoni li ha ya
flut hu  çiçek li ha ya
mant hu  eflatun li ha ya
miyn hu  küçük li ha ya
miyt hu  farkında li ha ya
fluc hu  akış li ha ya
clut hu  Süperkritik-akışkan- li ha ya
clum hu  cümle li ha ya
miyk hu  göndermek li ha ya
mist hu  ölçmek li ha ya
mank hu  beyin li ha ya
mayc hu  görüntü li ha ya
milt hu  eriyik li ha ya
musk hu  müzik li ha ya
malp hu  ödül li ha ya
mayp hu  harita li ha ya
mans hu  insan li ha ya
mayt hu  hayali-birim li ha ya
mast hu  madde li ha ya
kiyn hu  bir-tane li ha ya
muyn hu  aptal li ha ya
muyp hu  geliştirmek li ha ya
kint hu  dönüştürmek li ha ya
muyk hu  büyük li ha ya
miwk hu  kişi li ha ya
must hu  en-çok li ha ya
munk hu  mümkün li ha ya
munt hu  ruh-hali li ha ya
muft hu  ölmek li ha ya
mint hu  yöntem li ha ya
muyt hu  müttefik li ha ya
malt hu  malzeme li ha ya
mack hu  sanmak li ha ya
kist hu  değiştirmek li ha ya
muys hu  duygu li ha ya
kiyp hu  kâğıt li ha ya
kant hu  sabit li ha ya
kasp hu  yakalamak li ha ya
kast hu  oluşturmak li ha ya
mult hu  modül li ha ya
kift hu  affetmek li ha ya
kisp hu  üs li ha ya
kays hu  dilbilgisi-durum li ha ya
kayn hu  Akış-akım li ha ya
kanp hu  bağlamak li ha ya
kaws hu  gaz li ha ya
kimt hu  asmak li ha ya
kump hu  kompleks li ha ya
kunp hu  kapamak li ha ya
kumt hu  komuta li ha ya
kamt hu  dilbilgisi li ha ya
yinp hu  geri-dönüş li ha ya
kuym hu  ortak li ha ya
yilk hu  sarı li ha ya
yawt hu  zarar li ha ya
kuct hu  suç li ha ya
kuyt hu  Kritik-nokta li ha ya
kuls hu  zalim li ha ya
kusp hu  çöküş li ha ya
kust hu  sabit li ha ya
yisk hu  zengin li ha ya
yist hu  ihracat li ha ya
yimt hu  ritim li ha ya
kuwt hu  kod li ha ya
yink hu  halka li ha ya
yasp hu  iş li ha ya
yift hu  değer li ha ya
yamt hu  hayran li ha ya
kunt hu  kontrol li ha ya
kult hu  kültür li ha ya
yalt hu  erken li ha ya
yaft hu  sıra li ha ya
yilt hu  Euler-sayı li ha ya
yumt hu  merhamet li ha ya
yusk hu  doğu li ha ya
yask hu  reaksiyon li ha ya
yuyp hu  Avrupa li ha ya
yuns hu  Uranus li ha ya
yust hu  dinlenme li ha ya
yunt hu  konteyner li ha ya
yast hu  bedava li ha ya
piyn hu  farzetmek li ha ya
piyt hu  bağlı li ha ya
yimk hu  sormak li ha ya
pint hu  işletmek li ha ya
pist hu  izin li ha ya
yalk hu  araç li ha ya
yulp hu  rol li ha ya
piys hu  pi-sayısı li ha ya
pamt hu  kalıcı li ha ya
pays hu  baz li ha ya
yult hu  yarar li ha ya
pans hu  İspanyolca li ha ya
puyk hu  dilbilgisi-nesne li ha ya
puyt hu  ısırmak li ha ya
panp hu  ekmek li ha ya
past hu  üretmek li ha ya
puwt hu  sağlamak li ha ya
pulk hu  çokgen li ha ya
puls hu  öpücük li ha ya
pult hu  şişe li ha ya
pust hu  posta li ha ya
pant hu  ödünç-almak li ha ya
pusk hu  yük li ha ya
nuys hu  gürültü li ha ya
niyk hu  yakında li ha ya
punt hu  nokta li ha ya
niwt hu  ağ li ha ya
nist hu  güzel li ha ya
nuls hu  sıfır li ha ya
nift hu  dokuz li ha ya
nict hu  yerli li ha ya
pack hu  zevk-almak li ha ya
siyt hu  önermek li ha ya
nims hu  animizm li ha ya
sift hu  vardiya li ha ya
numt hu  not li ha ya
sayk hu  bilge li ha ya
nilt hu  istihbarat li ha ya
nayt hu  nadir li ha ya
nast hu  ilgi li ha ya
nuyt hu  kuzey li ha ya
nusp hu  unutmak li ha ya
sanp hu  uzatmak li ha ya
wins hu  Venüs li ha ya
wuym hu  hacim li ha ya
wint hu  rüzgar li ha ya
sink hu  azaltmak li ha ya
silk hu  altı li ha ya
tiyk hu  on li ha ya
tiyn hu  devam-etmek li ha ya
sayp hu  arz li ha ya
sayn hu  kurtarmak li ha ya
siyn hu  görünmek li ha ya
niyt hu  nth-kök li ha ya
tiws hu  tiyatro li ha ya
nuks hu  Unix li ha ya
nust hu  ihbar li ha ya
salc hu  sosyal li ha ya
sact hu  sürgün li ha ya
suyk hu  katlanmak li ha ya
sank hu  sık-sık li ha ya
sumt hu  konu li ha ya
sunp hu  zannetmek li ha ya
suyt hu  doğru li ha ya
sunt hu  güney li ha ya
sucp hu  eş li ha ya
sulc hu  çözüm li ha ya
sark hu  istihza li ha ya
nuft hu  düşmanca li ha ya
tiym hu  geç li ha ya
nalt hu  doğa li ha ya
sayt hu  hiz-ışık li ha ya
tiyf hu  sürücü li ha ya
sant hu  sanat li ha ya
sint hu  hissetmek li ha ya
tins hu  yoğun li ha ya
tawk hu  yetki li ha ya
tiys hu  mesafe li ha ya
tink hu  metin li ha ya
ticp hu  neredeyse li ha ya
timp hu  dilbilgisi-gergin li ha ya
tisk hu  metin li ha ya
tinp hu  altın-oran li ha ya
tiwk hu  etkinlik li ha ya
tayf hu  teklif li ha ya
tisp hu  göstermek li ha ya
tayk hu  iliştirmek li ha ya
tuym hu  dünya li ha ya
liys hu  özgürlük li ha ya
task hu  görev li ha ya
talk hu  konuşma li ha ya
tank hu  ani li ha ya
talf hu  gizlemek li ha ya
taym hu  zaman li ha ya
talp hu  tablo li ha ya
tasp hu  Veritabanı li ha ya
tuyk hu  doktor li ha ya
tuyn hu  dönüş li ha ya
tuys hu  hırsız li ha ya
tuyc hu  yıkmak li ha ya
/sˈa5˧n tɕjˈɑu2˧˥ʔ ɕˈiɜŋ/ 三角形 :zh. /tɹˈaɪaŋɡəl/ triangle :en.
/tɾiˈaŋɡulo/ triángulo :es. /tɾɪkˈoːɳ/ त्रिकोण :hi. /mθlθ/
مثلث :ar. /sˈɛɡi tˈiɡa/ segi tiga :id. /trʲiuɡˈoɭnik/
треугольник :ru. /pˈembe tˈatu/ pembe tatu :sw. /øtʃɟˈæn/
üçgen :tr. /kˈolmɪo/ kolmio :fi. /trˈiːaŋəl/ triangel :sv.
/mosˈallas/ مثلث :fa. /trˈiɣonˌo/ τρίγωνο :el. 10 t, 8 u, 8 n,
8 k, 8 a, 7 l, 7 i, 6 y, 4 m, 3 s, 3 c, 1 p, 1 f, 0 w, tunk hu
 üçgen li ha ya
lisk hu  tatil li ha ya
tukc hu  Türk li ha ya
liyp hu  kütüphane li ha ya
tayn hu  alan li ha ya
layt hu  on-bir li ha ya
lank hu  yerel li ha ya
tusk hu  ilerleme li ha ya
tamk hu  bakmak li ha ya
liwk hu  yasal li ha ya
tanp hu  görünmek li ha ya
tack hu  teşekkür li ha ya
tuwm hu  süre li ha ya
fayt hu  gerçek li ha ya
list hu  en-az li ha ya
fals hu  yanlış li ha ya
falt hu  Varsayılan li ha ya
funk hu  işlev li ha ya
lant hu  yavaş li ha ya
last hu  liste li ha ya
laft hu  yarar li ha ya
lunk hu  mantık li ha ya
fult hu  otel li ha ya
liyk hu  sıvı li ha ya
lufk hu  kilitlemek li ha ya
liwt hu  hediye li ha ya
liyt hu  edebiyat li ha ya
fint hu  bulmak li ha ya
fayk hu  fabrika li ha ya
liyn hu  çizgi li ha ya
layk hu  göl li ha ya
link hu  bağlantı li ha ya
fast hu  ziyaret li ha ya
fisk hu  yapıştırmak li ha ya
faym hu  çiftlik li ha ya
lint hu  içinde li ha ya
fuyk hu  fakir li ha ya
fans hu  Fransız li ha ya
fusk hu  odak li ha ya
lumk hu  logaritma li ha ya
ciyk hu  emin li ha ya
lunt hu  insanlar li ha ya
fuym hu  form li ha ya
cink hu  dilek li ha ya
cank hu  işaret li ha ya
cant hu  alışkanlık li ha ya
cint hu  ajan li ha ya
funm hu  fonem li ha ya
lunp hu  döngü li ha ya
luwt hu  ut li ha ya
tick hu  sözlük li ha ya
budz hu  Budizm li ha ya
cinp hu  bilgi li ha ya
