0x003E mi 
0x26DE va7 
0x46DE va_ 
0x2ADE vu7 
0x4ADE vu_ 
0x2EDE ve7 
0x4EDE ve_ 
0x32DE vo7 
0x52DE vo_ 
0x36DE v67 
0x56DE v6_ 
0x233E qi7 
0x433E qi_ 
0x273E qa7 
0x473E qa_ 
0x2B3E qu7 
0x4B3E qu_ 
0x2F3E qe7 
0x4F3E qe_ 
0x333E qo7 
0x533E qo_ 
0x373E q67 
0x573E q6_ 
0x235E xi7 
0x435E xi_ 
0x275E xa7 
0x475E xa_ 
0x2B5E xu7 
0x4B5E xu_ 
0x2F5E xe7 
0x4F5E xe_ 
0x335E xo7 
0x535E xo_ 
0x375E x67 
0x575E x6_ 
0x237E 1i7 
0x437E 1i_ 
0x277E 1a7 
0x477E 1a_ 
0x2B7E 1u7 
0x4B7E 1u_ 
0x2F7E 1e7 
0x4F7E 1e_ 
0x337E 1o7 
0x537E 1o_ 
0x377E 167 
0x577E 16_ 
0x239E 8i7 
0x439E 8i_ 
0x279E 8a7 
0x479E 8a_ 
0x2B9E 8u7 
0x4B9E 8u_ 
0x2F9E 8e7 
0x4F9E 8e_ 
0x339E 8o7 
0x539E 8o_ 
0x379E 867 
0x579E 86_ 
0x000F myih 
0x080F myah 
0x100F myuh 
0x180F myeh 
0x200F myoh 
0x280F my6h 
0x010F mwih 
0x090F mwah 
0x110F mwuh 
0x190F mweh 
0x210F mwoh 
0x290F mw6h 
0x030F mlih 
0x0B0F mlah 
0x130F mluh 
0x1B0F mleh 
0x230F mloh 
0x2B0F ml6h 
0x060F mrih 
0x0E0F mrah 
0x160F mruh 
0x1E0F mreh 
0x260F mroh 
0x2E0F mr6h 
0x0017 kyih 
0x0817 kyah 
0x1017 kyuh 
0x1817 kyeh 
0x2017 kyoh 
0x2817 ky6h 
0x0117 kwih 
0x0917 kwah 
0x1117 kwuh 
0x1917 kweh 
0x2117 kwoh 
0x2917 kw6h 
0x0217 ksih 
0x0A17 ksah 
0x1217 ksuh 
0x1A17 kseh 
0x2217 ksoh 
0x2A17 ks6h 
0x0317 klih 
0x0B17 klah 
0x1317 kluh 
0x1B17 kleh 
0x2317 kloh 
0x2B17 kl6h 
0x0417 kfih 
0x0C17 kfah 
0x1417 kfuh 
0x1C17 kfeh 
0x2417 kfoh 
0x2C17 kf6h 
0x0517 kcih 
0x0D17 kcah 
0x1517 kcuh 
0x1D17 kceh 
0x2517 kcoh 
0x2D17 kc6h 
0x0617 krih 
0x0E17 krah 
0x1617 kruh 
0x1E17 kreh 
0x2617 kroh 
0x2E17 kr6h 
0x0717 kxih 
0x0F17 kxah 
0x1717 kxuh 
0x1F17 kxeh 
0x2717 kxoh 
0x2F17 kx6h 
0x0027 pyih 
0x0827 pyah 
0x1027 pyuh 
0x1827 pyeh 
0x2027 pyoh 
0x2827 py6h 
0x0127 pwih 
0x0927 pwah 
0x1127 pwuh 
0x1927 pweh 
0x2127 pwoh 
0x2927 pw6h 
0x0227 psih 
0x0A27 psah 
0x1227 psuh 
0x1A27 pseh 
0x2227 psoh 
0x2A27 ps6h 
0x0327 plih 
0x0B27 plah 
0x1327 pluh 
0x1B27 pleh 
0x2327 ploh 
0x2B27 pl6h 
0x0427 pfih 
0x0C27 pfah 
0x1427 pfuh 
0x1C27 pfeh 
0x2427 pfoh 
0x2C27 pf6h 
0x0527 pcih 
0x0D27 pcah 
0x1527 pcuh 
0x1D27 pceh 
0x2527 pcoh 
0x2D27 pc6h 
0x0627 prih 
0x0E27 prah 
0x1627 pruh 
0x1E27 preh 
0x2627 proh 
0x2E27 pr6h 
0x0727 pxih 
0x0F27 pxah 
0x1727 pxuh 
0x1F27 pxeh 
0x2727 pxoh 
0x2F27 px6h 
0x0037 nyih 
0x0837 nyah 
0x1037 nyuh 
0x1837 nyeh 
0x2037 nyoh 
0x2837 ny6h 
0x0137 nwih 
0x0937 nwah 
0x1137 nwuh 
0x1937 nweh 
0x2137 nwoh 
0x2937 nw6h 
0x0337 nlih 
0x0B37 nlah 
0x1337 nluh 
0x1B37 nleh 
0x2337 nloh 
0x2B37 nl6h 
0x0637 nrih 
0x0E37 nrah 
0x1637 nruh 
0x1E37 nreh 
0x2637 nroh 
0x2E37 nr6h 
0x004F syih 
0x084F syah 
0x104F syuh 
0x184F syeh 
0x204F syoh 
0x284F sy6h 
0x014F swih 
0x094F swah 
0x114F swuh 
0x194F sweh 
0x214F swoh 
0x294F sw6h 
0x034F slih 
0x0B4F slah 
0x134F sluh 
0x1B4F sleh 
0x234F sloh 
0x2B4F sl6h 
0x064F srih 
0x0E4F srah 
0x164F sruh 
0x1E4F sreh 
0x264F sroh 
0x2E4F sr6h 
0x0057 tyih 
0x0857 tyah 
0x1057 tyuh 
0x1857 tyeh 
0x2057 tyoh 
0x2857 ty6h 
0x0157 twih 
0x0957 twah 
0x1157 twuh 
0x1957 tweh 
0x2157 twoh 
0x2957 tw6h 
0x0257 tsih 
0x0A57 tsah 
0x1257 tsuh 
0x1A57 tseh 
0x2257 tsoh 
0x2A57 ts6h 
0x0357 tlih 
0x0B57 tlah 
0x1357 tluh 
0x1B57 tleh 
0x2357 tloh 
0x2B57 tl6h 
0x0457 tfih 
0x0C57 tfah 
0x1457 tfuh 
0x1C57 tfeh 
0x2457 tfoh 
0x2C57 tf6h 
0x0557 tcih 
0x0D57 tcah 
0x1557 tcuh 
0x1D57 tceh 
0x2557 tcoh 
0x2D57 tc6h 
0x0657 trih 
0x0E57 trah 
0x1657 truh 
0x1E57 treh 
0x2657 troh 
0x2E57 tr6h 
0x0757 txih 
0x0F57 txah 
0x1757 txuh 
0x1F57 txeh 
0x2757 txoh 
0x2F57 tx6h 
0x005F lyih 
0x085F lyah 
0x105F lyuh 
0x185F lyeh 
0x205F lyoh 
0x285F ly6h 
0x015F lwih 
0x095F lwah 
0x115F lwuh 
0x195F lweh 
0x215F lwoh 
0x295F lw6h 
0x0067 fyih 
0x0867 fyah 
0x1067 fyuh 
0x1867 fyeh 
0x2067 fyoh 
0x2867 fy6h 
0x0167 fwih 
0x0967 fwah 
0x1167 fwuh 
0x1967 fweh 
0x2167 fwoh 
0x2967 fw6h 
0x0367 flih 
0x0B67 flah 
0x1367 fluh 
0x1B67 fleh 
0x2367 floh 
0x2B67 fl6h 
0x0667 frih 
0x0E67 frah 
0x1667 fruh 
0x1E67 freh 
0x2667 froh 
0x2E67 fr6h 
0x006F cyih 
0x086F cyah 
0x106F cyuh 
0x186F cyeh 
0x206F cyoh 
0x286F cy6h 
0x016F cwih 
0x096F cwah 
0x116F cwuh 
0x196F cweh 
0x216F cwoh 
0x296F cw6h 
0x036F clih 
0x0B6F clah 
0x136F cluh 
0x1B6F cleh 
0x236F cloh 
0x2B6F cl6h 
0x066F crih 
0x0E6F crah 
0x166F cruh 
0x1E6F creh 
0x266F croh 
0x2E6F cr6h 
0x0077 ryih 
0x0877 ryah 
0x1077 ryuh 
0x1877 ryeh 
0x2077 ryoh 
0x2877 ry6h 
0x0177 rwih 
0x0977 rwah 
0x1177 rwuh 
0x1977 rweh 
0x2177 rwoh 
0x2977 rw6h 
0x008F byih 
0x088F byah 
0x108F byuh 
0x188F byeh 
0x208F byoh 
0x288F by6h 
0x018F bwih 
0x098F bwah 
0x118F bwuh 
0x198F bweh 
0x218F bwoh 
0x298F bw6h 
0x038F blih 
0x0B8F blah 
0x138F bluh 
0x1B8F bleh 
0x238F bloh 
0x2B8F bl6h 
0x068F brih 
0x0E8F brah 
0x168F bruh 
0x1E8F breh 
0x268F broh 
0x2E8F br6h 
0x028F bzih 
0x0A8F bzah 
0x128F bzuh 
0x1A8F bzeh 
0x228F bzoh 
0x2A8F bz6h 
0x058F bjih 
0x0D8F bjah 
0x158F bjuh 
0x1D8F bjeh 
0x258F bjoh 
0x2D8F bj6h 
0x048F bvih 
0x0C8F bvah 
0x148F bvuh 
0x1C8F bveh 
0x248F bvoh 
0x2C8F bv6h 
0x0097 gyih 
0x0897 gyah 
0x1097 gyuh 
0x1897 gyeh 
0x2097 gyoh 
0x2897 gy6h 
0x0197 gwih 
0x0997 gwah 
0x1197 gwuh 
0x1997 gweh 
0x2197 gwoh 
0x2997 gw6h 
0x0397 glih 
0x0B97 glah 
0x1397 gluh 
0x1B97 gleh 
0x2397 gloh 
0x2B97 gl6h 
0x0697 grih 
0x0E97 grah 
0x1697 gruh 
0x1E97 greh 
0x2697 groh 
0x2E97 gr6h 
0x0297 gzih 
0x0A97 gzah 
0x1297 gzuh 
0x1A97 gzeh 
0x2297 gzoh 
0x2A97 gz6h 
0x0597 gjih 
0x0D97 gjah 
0x1597 gjuh 
0x1D97 gjeh 
0x2597 gjoh 
0x2D97 gj6h 
0x0497 gvih 
0x0C97 gvah 
0x1497 gvuh 
0x1C97 gveh 
0x2497 gvoh 
0x2C97 gv6h 
0x009F dyih 
0x089F dyah 
0x109F dyuh 
0x189F dyeh 
0x209F dyoh 
0x289F dy6h 
0x019F dwih 
0x099F dwah 
0x119F dwuh 
0x199F dweh 
0x219F dwoh 
0x299F dw6h 
0x039F dlih 
0x0B9F dlah 
0x139F dluh 
0x1B9F dleh 
0x239F dloh 
0x2B9F dl6h 
0x069F drih 
0x0E9F drah 
0x169F druh 
0x1E9F dreh 
0x269F droh 
0x2E9F dr6h 
0x029F dzih 
0x0A9F dzah 
0x129F dzuh 
0x1A9F dzeh 
0x229F dzoh 
0x2A9F dz6h 
0x059F djih 
0x0D9F djah 
0x159F djuh 
0x1D9F djeh 
0x259F djoh 
0x2D9F dj6h 
0x049F dvih 
0x0C9F dvah 
0x149F dvuh 
0x1C9F dveh 
0x249F dvoh 
0x2C9F dv6h 
0x00A7 zyih 
0x08A7 zyah 
0x10A7 zyuh 
0x18A7 zyeh 
0x20A7 zyoh 
0x28A7 zy6h 
0x01A7 zwih 
0x09A7 zwah 
0x11A7 zwuh 
0x19A7 zweh 
0x21A7 zwoh 
0x29A7 zw6h 
0x03A7 zlih 
0x0BA7 zlah 
0x13A7 zluh 
0x1BA7 zleh 
0x23A7 zloh 
0x2BA7 zl6h 
0x06A7 zrih 
0x0EA7 zrah 
0x16A7 zruh 
0x1EA7 zreh 
0x26A7 zroh 
0x2EA7 zr6h 
0x00AF jyih 
0x08AF jyah 
0x10AF jyuh 
0x18AF jyeh 
0x20AF jyoh 
0x28AF jy6h 
0x01AF jwih 
0x09AF jwah 
0x11AF jwuh 
0x19AF jweh 
0x21AF jwoh 
0x29AF jw6h 
0x03AF jlih 
0x0BAF jlah 
0x13AF jluh 
0x1BAF jleh 
0x23AF jloh 
0x2BAF jl6h 
0x06AF jrih 
0x0EAF jrah 
0x16AF jruh 
0x1EAF jreh 
0x26AF jroh 
0x2EAF jr6h 
0x00B7 vyih 
0x08B7 vyah 
0x10B7 vyuh 
0x18B7 vyeh 
0x20B7 vyoh 
0x28B7 vy6h 
0x01B7 vwih 
0x09B7 vwah 
0x11B7 vwuh 
0x19B7 vweh 
0x21B7 vwoh 
0x29B7 vw6h 
0x03B7 vlih 
0x0BB7 vlah 
0x13B7 vluh 
0x1BB7 vleh 
0x23B7 vloh 
0x2BB7 vl6h 
0x06B7 vrih 
0x0EB7 vrah 
0x16B7 vruh 
0x1EB7 vreh 
0x26B7 vroh 
0x2EB7 vr6h 
0x00CF qyih 
0x08CF qyah 
0x10CF qyuh 
0x18CF qyeh 
0x20CF qyoh 
0x28CF qy6h 
0x01CF qwih 
0x09CF qwah 
0x11CF qwuh 
0x19CF qweh 
0x21CF qwoh 
0x29CF qw6h 
0x03CF qlih 
0x0BCF qlah 
0x13CF qluh 
0x1BCF qleh 
0x23CF qloh 
0x2BCF ql6h 
0x06CF qrih 
0x0ECF qrah 
0x16CF qruh 
0x1ECF qreh 
0x26CF qroh 
0x2ECF qr6h 
0x00D7 xyih 
0x08D7 xyah 
0x10D7 xyuh 
0x18D7 xyeh 
0x20D7 xyoh 
0x28D7 xy6h 
0x01D7 xwih 
0x09D7 xwah 
0x11D7 xwuh 
0x19D7 xweh 
0x21D7 xwoh 
0x29D7 xw6h 
0x03D7 xlih 
0x0BD7 xlah 
0x13D7 xluh 
0x1BD7 xleh 
0x23D7 xloh 
0x2BD7 xl6h 
0x06D7 xrih 
0x0ED7 xrah 
0x16D7 xruh 
0x1ED7 xreh 
0x26D7 xroh 
0x2ED7 xr6h 
0x00DF 1yih 
0x08DF 1yah 
0x10DF 1yuh 
0x18DF 1yeh 
0x20DF 1yoh 
0x28DF 1y6h 
0x01DF 1wih 
0x09DF 1wah 
0x11DF 1wuh 
0x19DF 1weh 
0x21DF 1woh 
0x29DF 1w6h 
0x00E7 8yih 
0x08E7 8yah 
0x10E7 8yuh 
0x18E7 8yeh 
0x20E7 8yoh 
0x28E7 8y6h 
0x01E7 8wih 
0x09E7 8wah 
0x11E7 8wuh 
0x19E7 8weh 
0x21E7 8woh 
0x29E7 8w6h 
0x400F myi7h 
0x800F myi_h 
0x480F mya7h 
0x880F mya_h 
0x500F myu7h 
0x900F myu_h 
0x580F mye7h 
0x980F mye_h 
0x600F myo7h 
0xA00F myo_h 
0x680F my67h 
0xA80F my6_h 
0x410F mwi7h 
0x810F mwi_h 
0x490F mwa7h 
0x890F mwa_h 
0x510F mwu7h 
0x910F mwu_h 
0x590F mwe7h 
0x990F mwe_h 
0x610F mwo7h 
0xA10F mwo_h 
0x690F mw67h 
0xA90F mw6_h 
0x430F mli7h 
0x830F mli_h 
0x4B0F mla7h 
0x8B0F mla_h 
0x530F mlu7h 
0x930F mlu_h 
0x5B0F mle7h 
0x9B0F mle_h 
0x630F mlo7h 
0xA30F mlo_h 
0x6B0F ml67h 
0xAB0F ml6_h 
0x460F mri7h 
0x860F mri_h 
0x4E0F mra7h 
0x8E0F mra_h 
0x560F mru7h 
0x960F mru_h 
0x5E0F mre7h 
0x9E0F mre_h 
0x660F mro7h 
0xA60F mro_h 
0x6E0F mr67h 
0xAE0F mr6_h 
0x4017 kyi7h 
0x8017 kyi_h 
0x4817 kya7h 
0x8817 kya_h 
0x5017 kyu7h 
0x9017 kyu_h 
0x5817 kye7h 
0x9817 kye_h 
0x6017 kyo7h 
0xA017 kyo_h 
0x6817 ky67h 
0xA817 ky6_h 
0x4117 kwi7h 
0x8117 kwi_h 
0x4917 kwa7h 
0x8917 kwa_h 
0x5117 kwu7h 
0x9117 kwu_h 
0x5917 kwe7h 
0x9917 kwe_h 
0x6117 kwo7h 
0xA117 kwo_h 
0x6917 kw67h 
0xA917 kw6_h 
0x4217 ksi7h 
0x8217 ksi_h 
0x4A17 ksa7h 
0x8A17 ksa_h 
0x5217 ksu7h 
0x9217 ksu_h 
0x5A17 kse7h 
0x9A17 kse_h 
0x6217 kso7h 
0xA217 kso_h 
0x6A17 ks67h 
0xAA17 ks6_h 
0x4317 kli7h 
0x8317 kli_h 
0x4B17 kla7h 
0x8B17 kla_h 
0x5317 klu7h 
0x9317 klu_h 
0x5B17 kle7h 
0x9B17 kle_h 
0x6317 klo7h 
0xA317 klo_h 
0x6B17 kl67h 
0xAB17 kl6_h 
0x4417 kfi7h 
0x8417 kfi_h 
0x4C17 kfa7h 
0x8C17 kfa_h 
0x5417 kfu7h 
0x9417 kfu_h 
0x5C17 kfe7h 
0x9C17 kfe_h 
0x6417 kfo7h 
0xA417 kfo_h 
0x6C17 kf67h 
0xAC17 kf6_h 
0x4517 kci7h 
0x8517 kci_h 
0x4D17 kca7h 
0x8D17 kca_h 
0x5517 kcu7h 
0x9517 kcu_h 
0x5D17 kce7h 
0x9D17 kce_h 
0x6517 kco7h 
0xA517 kco_h 
0x6D17 kc67h 
0xAD17 kc6_h 
0x4617 kri7h 
0x8617 kri_h 
0x4E17 kra7h 
0x8E17 kra_h 
0x5617 kru7h 
0x9617 kru_h 
0x5E17 kre7h 
0x9E17 kre_h 
0x6617 kro7h 
0xA617 kro_h 
0x6E17 kr67h 
0xAE17 kr6_h 
0x4717 kxi7h 
0x8717 kxi_h 
0x4F17 kxa7h 
0x8F17 kxa_h 
0x5717 kxu7h 
0x9717 kxu_h 
0x5F17 kxe7h 
0x9F17 kxe_h 
0x6717 kxo7h 
0xA717 kxo_h 
0x6F17 kx67h 
0xAF17 kx6_h 
0x4027 pyi7h 
0x8027 pyi_h 
0x4827 pya7h 
0x8827 pya_h 
0x5027 pyu7h 
0x9027 pyu_h 
0x5827 pye7h 
0x9827 pye_h 
0x6027 pyo7h 
0xA027 pyo_h 
0x6827 py67h 
0xA827 py6_h 
0x4127 pwi7h 
0x8127 pwi_h 
0x4927 pwa7h 
0x8927 pwa_h 
0x5127 pwu7h 
0x9127 pwu_h 
0x5927 pwe7h 
0x9927 pwe_h 
0x6127 pwo7h 
0xA127 pwo_h 
0x6927 pw67h 
0xA927 pw6_h 
0x4227 psi7h 
0x8227 psi_h 
0x4A27 psa7h 
0x8A27 psa_h 
0x5227 psu7h 
0x9227 psu_h 
0x5A27 pse7h 
0x9A27 pse_h 
0x6227 pso7h 
0xA227 pso_h 
0x6A27 ps67h 
0xAA27 ps6_h 
0x4327 pli7h 
0x8327 pli_h 
0x4B27 pla7h 
0x8B27 pla_h 
0x5327 plu7h 
0x9327 plu_h 
0x5B27 ple7h 
0x9B27 ple_h 
0x6327 plo7h 
0xA327 plo_h 
0x6B27 pl67h 
0xAB27 pl6_h 
0x4427 pfi7h 
0x8427 pfi_h 
0x4C27 pfa7h 
0x8C27 pfa_h 
0x5427 pfu7h 
0x9427 pfu_h 
0x5C27 pfe7h 
0x9C27 pfe_h 
0x6427 pfo7h 
0xA427 pfo_h 
0x6C27 pf67h 
0xAC27 pf6_h 
0x4527 pci7h 
0x8527 pci_h 
0x4D27 pca7h 
0x8D27 pca_h 
0x5527 pcu7h 
0x9527 pcu_h 
0x5D27 pce7h 
0x9D27 pce_h 
0x6527 pco7h 
0xA527 pco_h 
0x6D27 pc67h 
0xAD27 pc6_h 
0x4627 pri7h 
0x8627 pri_h 
0x4E27 pra7h 
0x8E27 pra_h 
0x5627 pru7h 
0x9627 pru_h 
0x5E27 pre7h 
0x9E27 pre_h 
0x6627 pro7h 
0xA627 pro_h 
0x6E27 pr67h 
0xAE27 pr6_h 
0x4727 pxi7h 
0x8727 pxi_h 
0x4F27 pxa7h 
0x8F27 pxa_h 
0x5727 pxu7h 
0x9727 pxu_h 
0x5F27 pxe7h 
0x9F27 pxe_h 
0x6727 pxo7h 
0xA727 pxo_h 
0x6F27 px67h 
0xAF27 px6_h 
0x4037 nyi7h 
0x8037 nyi_h 
0x4837 nya7h 
0x8837 nya_h 
0x5037 nyu7h 
0x9037 nyu_h 
0x5837 nye7h 
0x9837 nye_h 
0x6037 nyo7h 
0xA037 nyo_h 
0x6837 ny67h 
0xA837 ny6_h 
0x4137 nwi7h 
0x8137 nwi_h 
0x4937 nwa7h 
0x8937 nwa_h 
0x5137 nwu7h 
0x9137 nwu_h 
0x5937 nwe7h 
0x9937 nwe_h 
0x6137 nwo7h 
0xA137 nwo_h 
0x6937 nw67h 
0xA937 nw6_h 
0x4337 nli7h 
0x8337 nli_h 
0x4B37 nla7h 
0x8B37 nla_h 
0x5337 nlu7h 
0x9337 nlu_h 
0x5B37 nle7h 
0x9B37 nle_h 
0x6337 nlo7h 
0xA337 nlo_h 
0x6B37 nl67h 
0xAB37 nl6_h 
0x4637 nri7h 
0x8637 nri_h 
0x4E37 nra7h 
0x8E37 nra_h 
0x5637 nru7h 
0x9637 nru_h 
0x5E37 nre7h 
0x9E37 nre_h 
0x6637 nro7h 
0xA637 nro_h 
0x6E37 nr67h 
0xAE37 nr6_h 
0x404F syi7h 
0x804F syi_h 
0x484F sya7h 
0x884F sya_h 
0x504F syu7h 
0x904F syu_h 
0x584F sye7h 
0x984F sye_h 
0x604F syo7h 
0xA04F syo_h 
0x684F sy67h 
0xA84F sy6_h 
0x414F swi7h 
0x814F swi_h 
0x494F swa7h 
0x894F swa_h 
0x514F swu7h 
0x914F swu_h 
0x594F swe7h 
0x994F swe_h 
0x614F swo7h 
0xA14F swo_h 
0x694F sw67h 
0xA94F sw6_h 
0x434F sli7h 
0x834F sli_h 
0x4B4F sla7h 
0x8B4F sla_h 
0x534F slu7h 
0x934F slu_h 
0x5B4F sle7h 
0x9B4F sle_h 
0x634F slo7h 
0xA34F slo_h 
0x6B4F sl67h 
0xAB4F sl6_h 
0x464F sri7h 
0x864F sri_h 
0x4E4F sra7h 
0x8E4F sra_h 
0x564F sru7h 
0x964F sru_h 
0x5E4F sre7h 
0x9E4F sre_h 
0x664F sro7h 
0xA64F sro_h 
0x6E4F sr67h 
0xAE4F sr6_h 
0x4057 tyi7h 
0x8057 tyi_h 
0x4857 tya7h 
0x8857 tya_h 
0x5057 tyu7h 
0x9057 tyu_h 
0x5857 tye7h 
0x9857 tye_h 
0x6057 tyo7h 
0xA057 tyo_h 
0x6857 ty67h 
0xA857 ty6_h 
0x4157 twi7h 
0x8157 twi_h 
0x4957 twa7h 
0x8957 twa_h 
0x5157 twu7h 
0x9157 twu_h 
0x5957 twe7h 
0x9957 twe_h 
0x6157 two7h 
0xA157 two_h 
0x6957 tw67h 
0xA957 tw6_h 
0x4257 tsi7h 
0x8257 tsi_h 
0x4A57 tsa7h 
0x8A57 tsa_h 
0x5257 tsu7h 
0x9257 tsu_h 
0x5A57 tse7h 
0x9A57 tse_h 
0x6257 tso7h 
0xA257 tso_h 
0x6A57 ts67h 
0xAA57 ts6_h 
0x4357 tli7h 
0x8357 tli_h 
0x4B57 tla7h 
0x8B57 tla_h 
